,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
RAP1B,37,darkgrey,darkgrey,1,-0.7121640909190005,0.9210646898215744,0.6980927820060993,-0.5013422888698427
MRTFA,37,darkgrey,darkgrey,1,-0.8403364049240429,0.9191852651422507,0.5971029496422854,-0.41833882302257613
RBM39,37,darkgrey,darkgrey,1,-0.7589723695306582,0.9096532723632051,0.5365146620592436,-0.33944529027831366
CDC42SE2,37,darkgrey,darkgrey,1,-0.8199341711496149,0.9088591605186652,0.6635746115191465,-0.49777793678810195
FNBP1,37,darkgrey,darkgrey,1,-0.7661607217800647,0.9088268784957461,0.5457663049302827,-0.31426887798916125
RBM6,37,darkgrey,darkgrey,1,-0.891517818485442,0.9043448388179469,0.5816680078256486,-0.4120058243157055
BAZ1A,37,darkgrey,darkgrey,1,-0.8258837286157203,0.9005762687389383,0.6163383441789619,-0.43740228059161934
KDM2A,37,darkgrey,darkgrey,1,-0.811802440486573,0.8957712789009517,0.5511487131255031,-0.33264897941698635
CAMK1D,37,darkgrey,darkgrey,1,-0.7885554342018082,0.8886532494814293,0.6502179543390634,-0.4853654602447538
PPP6R2,37,darkgrey,darkgrey,1,-0.6792438815846562,0.8868463854452768,0.5540091036549062,-0.34591276268679627
TNRC6B,37,darkgrey,darkgrey,1,-0.8568309162491523,0.8813827903365465,0.6006280755025921,-0.4218717584412633
ARID4B,37,darkgrey,darkgrey,1,-0.8112776791634342,0.87486671650785,0.7160069953706738,-0.5706667854922912
AAK1,37,darkgrey,darkgrey,1,-0.748119487387072,0.8709781082038677,0.5976101151764558,-0.4312455803685003
RAPGEF1,37,darkgrey,darkgrey,1,-0.700220632459568,0.8708131977104059,0.6029590954582017,-0.3705477261503719
GATAD2B,37,darkgrey,darkgrey,1,-0.8415652371706817,0.8679241489771775,0.4768479224277781,-0.3201373313195284
PRKAG2,37,darkgrey,darkgrey,1,-0.7409823242550818,0.8637616797660994,0.43774840999716125,-0.21756940916052125
CYTH1,37,darkgrey,darkgrey,1,-0.6500315493645019,0.8619749731059255,0.5390703955520144,-0.3606269908563348
ATXN1,37,darkgrey,darkgrey,1,-0.7591834675731607,0.8608450081646689,0.6811738624759645,-0.4713198395503858
NFAT5,37,darkgrey,darkgrey,1,-0.765791162302286,0.8599172528435736,0.6744224681445764,-0.5087911896175435
JARID2,37,darkgrey,darkgrey,1,-0.6989495505552732,0.8530011717222932,0.7663992251684396,-0.5719159165446943
TAOK3,37,darkgrey,darkgrey,1,-0.6861202653024785,0.8516485134991838,0.42777096787081037,-0.19396308262925221
MARK3,37,darkgrey,darkgrey,1,-0.8090896969306549,0.8484235662138865,0.6190028529851488,-0.45887170106489195
USP3,37,darkgrey,darkgrey,1,-0.7333195981213427,0.8483368736793833,0.6959959495066619,-0.521542959943351
TMEM131L,37,darkgrey,darkgrey,1,-0.7633189123845314,0.8462577686017504,0.6259340347568202,-0.41439271584141174
GPATCH8,37,darkgrey,darkgrey,1,-0.770201709636732,0.844496833495756,0.49796267806943734,-0.32181003011097736
ARID5B,37,darkgrey,darkgrey,1,-0.7848758155790531,0.8429194320667834,0.5162984574755939,-0.3295539712253431
DNAJB6,37,darkgrey,darkgrey,1,-0.6078344335554708,0.8404254056272773,0.39081756835770465,-0.138263217869641
PPP2R5C,37,darkgrey,darkgrey,1,-0.7089693363692335,0.8397217264347676,0.41897880762745326,-0.1922363559377027
PUM1,37,darkgrey,darkgrey,1,-0.7064821211703517,0.8377847830437245,0.7108027606830303,-0.5482909389969288
RASA2,37,darkgrey,darkgrey,1,-0.7465050165629561,0.8344671462384411,0.6346594138620152,-0.46137162151351163
CELF1,37,darkgrey,darkgrey,1,-0.6752451635390452,0.8343791446991945,0.4147590017778282,-0.2116791503849276
TCF25,37,darkgrey,darkgrey,1,-0.6480110542277433,0.8315099683929632,0.48321105656982816,-0.2984696365005814
NFATC3,37,darkgrey,darkgrey,1,-0.6485421613105768,0.8294086571337458,0.4128355233175774,-0.18720208231751798
SLTM,37,darkgrey,darkgrey,1,-0.6731021198854616,0.8290851303475597,0.6013330433658531,-0.4345700335985173
MAP3K5,37,darkgrey,darkgrey,1,-0.6827160722710242,0.8268793483175247,0.6847861175389893,-0.5214236485319389
CNOT6L,37,darkgrey,darkgrey,1,-0.7940078538718625,0.8259786593410425,0.3510291053426906,-0.1645152802792282
LINC01578,37,darkgrey,darkgrey,1,-0.7737962900725245,0.8250133732791123,0.5547591233869815,-0.39078732235605845
FYN,37,darkgrey,darkgrey,1,-0.7493544108901514,0.8194688462302063,0.416389489249056,-0.18830566785572792
CUX1,37,darkgrey,darkgrey,1,-0.7080422584480875,0.8191731369894732,0.6307911577671192,-0.477719768815708
GLG1,37,darkgrey,darkgrey,1,-0.60159684921364,0.81706349448846,0.5152104636704129,-0.3195942492409667
SSH2,37,darkgrey,darkgrey,1,-0.7962870786777814,0.8126451394905881,0.3197066241863335,-0.12698960027947184
TRA2A,37,darkgrey,darkgrey,1,-0.6683803442551832,0.8080842967616144,0.42534482623008274,-0.23693046557540487
MSI2,37,darkgrey,darkgrey,1,-0.6910991187609223,0.8047932628955344,0.6015887782880498,-0.42674131846947055
ARHGAP15,37,darkgrey,darkgrey,1,-0.7206297899216378,0.8039115649031437,0.2726037086826099,-0.06295195555484218
ELF1,37,darkgrey,darkgrey,1,-0.6595451596498553,0.803639882623674,0.6499068961740602,-0.4929247892488105
GPBP1,37,darkgrey,darkgrey,1,-0.6294721663218431,0.7966579952119426,0.558888013900463,-0.4167222499558841
WWOX,37,darkgrey,darkgrey,1,-0.8413129649802468,0.7959671210209692,0.6475577506379273,-0.5038949940745575
BPTF,37,darkgrey,darkgrey,1,-0.6235135847708545,0.7951113342920709,0.6168366841986377,-0.4462385799600839
RNF213,37,darkgrey,darkgrey,1,-0.7017483655161564,0.7947281432943416,0.4028614520583553,-0.20911659031875868
NKTR,37,darkgrey,darkgrey,1,-0.5624774681681519,0.7901426234262233,0.6968542229522179,-0.4893487262324288
BCAS3,37,darkgrey,darkgrey,1,-0.7960299309223402,0.789869788430765,0.6717755491747589,-0.5524522611792194
MBP,37,darkgrey,darkgrey,1,-0.5778146186796084,0.7892090949544652,0.43022592996440023,-0.2106797722889499
UBE2K,37,darkgrey,darkgrey,1,-0.7709447979496152,0.7891058744571615,0.4466324100797187,-0.30143592737904185
ASH1L,37,darkgrey,darkgrey,1,-0.8351291667243397,0.7818773166025134,0.4889133470142613,-0.3498575786954054
OSBPL8,37,darkgrey,darkgrey,1,-0.7879243966682236,0.7818487943382185,0.5884713757346554,-0.45553273899565494
GPCPD1,37,darkgrey,darkgrey,1,-0.7279578474360902,0.7774579071588663,0.5422293465081419,-0.38651109602177736
APOA1,37,darkgrey,darkgrey,1,-0.5032570865675097,0.7758804498948999,0.6088875255579035,-0.46741966661665246
STIM1,37,darkgrey,darkgrey,1,-0.6643671378700555,0.7714343303929171,0.5127610938259464,-0.40399193806777783
UBR2,37,darkgrey,darkgrey,1,-0.6838106047147218,0.7686156378874986,0.5859808823366216,-0.46983840139804334
TAOK1,37,darkgrey,darkgrey,1,-0.7347340335576424,0.7660028119388601,0.6030108724391252,-0.45291616980524724
PLCG2,36,darkgrey,darkgrey,1,-0.669996815031451,0.7606112213585251,0.3698018258390623,-0.17244967398534305
R3HDM2,37,darkgrey,darkgrey,1,-0.7484251190123209,0.7595788643068181,0.5322491849709309,-0.3917454252085102
ATF7IP,37,darkgrey,darkgrey,1,-0.8271733126349144,0.7563999131908815,0.6363684220913433,-0.5129394886680996
MED13,37,darkgrey,darkgrey,1,-0.7042175091192655,0.7541750372280936,0.6686384916404272,-0.5514127473525496
PTPRJ,37,darkgrey,darkgrey,1,-0.611474434882959,0.7537494358364628,0.14079812650244364,0.08738372068926532
ROCK1,37,darkgrey,darkgrey,1,-0.6466299192987309,0.7530567766296851,0.6806372393574978,-0.5251895883220957
AC016831-7,37,darkgrey,darkgrey,1,-0.6580350083485649,0.7528451002286722,0.6550917674041886,-0.5542016916032201
MALAT1,37,darkgrey,darkgrey,1,-0.9337979944949691,0.7522090791999455,0.48279861583982947,-0.41495174346335645
KIF1B,37,darkgrey,darkgrey,1,-0.6355348506095927,0.751711698268195,0.42849862945202205,-0.2272435878809596
CCDC91,37,darkgrey,darkgrey,1,-0.7193822618323522,0.7509274413637655,0.6085253904368095,-0.4575332428695512
RAB7A,37,darkgrey,darkgrey,1,-0.7213727133870821,0.7479569700402735,0.4444867838418429,-0.27569117400416976
SAMHD1,37,darkgrey,darkgrey,1,-0.7770929491186431,0.7454331270249029,0.39358277577240797,-0.23821141977749127
WNK1,37,darkgrey,darkgrey,1,-0.7116050866796788,0.7398643121257042,0.6760390652246597,-0.5313009044942357
LSM14A,37,darkgrey,darkgrey,1,-0.7086347850240831,0.739016987061037,0.5283017937753658,-0.3564281620064574
SIPA1L1,37,darkgrey,darkgrey,1,-0.667682130534754,0.7351797815895815,0.4458702277387073,-0.24147644485087918
PPP4R3A,37,darkgrey,darkgrey,1,-0.5449212030117966,0.733682803842853,0.4569051642373663,-0.2919890727719633
ATM,37,darkgrey,darkgrey,1,-0.5144413625545058,0.7322867562184983,0.5164441237753487,-0.3612455502162299
POGZ,37,darkgrey,darkgrey,1,-0.6472217648762528,0.7278079017269453,0.6496915251517168,-0.5151646870428324
PITPNC1,37,darkgrey,darkgrey,1,-0.6077750328418363,0.72700649493582,0.23742019300201447,-0.024327336895442992
