,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
AUTS2,37,dimgrey,dimgrey,2,-0.6486176073338,0.6846559622762819,0.9551786244301885,-0.8805688138900738
BTBD9,37,dimgrey,dimgrey,2,-0.6980457863252401,0.7111032091031938,0.9545858202645664,-0.8886420667961139
ZSWIM6,37,dimgrey,dimgrey,2,-0.6183341219894293,0.6694878605836714,0.9426986711633006,-0.8856399836914087
ASAP1,37,dimgrey,dimgrey,2,-0.5656842419405211,0.5027317157282697,0.9423295338438759,-0.9434044966357085
EXOC4,37,dimgrey,dimgrey,2,-0.5580901708096201,0.5086904787888771,0.9311041878271262,-0.9174413524680283
TCF12,37,dimgrey,dimgrey,2,-0.6934087349153835,0.6885086393736617,0.9302282579647572,-0.8802335661994689
ETV6,37,dimgrey,dimgrey,2,-0.687521199234876,0.7458925639254114,0.9299616816698134,-0.8264783442916344
TTC17,37,dimgrey,dimgrey,2,-0.6589952071754875,0.6509802971619575,0.9273375465479133,-0.8700514930780249
MAGI1,37,dimgrey,dimgrey,2,-0.5694668647959141,0.5835163831262434,0.9269959735168452,-0.8602023243091399
ARID1B,37,dimgrey,dimgrey,2,-0.7170348131569322,0.7426922554713843,0.9258230968362023,-0.843892042148021
FNDC3B,37,dimgrey,dimgrey,2,-0.5188840670172973,0.5902159150769923,0.9248344546465597,-0.8929912232985331
DOCK4,37,dimgrey,dimgrey,2,-0.4994701248878253,0.5722451940255396,0.9248099081267646,-0.8491690939028624
PPP6R3,37,dimgrey,dimgrey,2,-0.5384785839259334,0.6922058175635312,0.9222745966178575,-0.7917231793930918
XPR1,37,dimgrey,dimgrey,2,-0.5637919116867626,0.6390650277800363,0.9201896626861193,-0.8544186861593965
RERE,37,dimgrey,dimgrey,2,-0.6784628876697777,0.6614117169169759,0.9192985465180928,-0.8391487962191281
JMJD1C,37,dimgrey,dimgrey,2,-0.749203130561871,0.7578776003986101,0.919148801617773,-0.8569512154369516
PCCA,37,dimgrey,dimgrey,2,-0.5632002954999342,0.5329172139512511,0.9173211866457189,-0.8928941255797134
DYM,37,dimgrey,dimgrey,2,-0.5776208244348096,0.5971071715435489,0.9160243536280941,-0.8627105240002314
GMDS,37,dimgrey,dimgrey,2,-0.7703569135346199,0.7902058670182538,0.9153120325682803,-0.8017094624886478
PDE4D,37,dimgrey,dimgrey,2,-0.3918328590807592,0.36474871789412966,0.9128082492706409,-0.9472360947116867
GRB10,37,dimgrey,dimgrey,2,-0.4968861912481986,0.663863819441314,0.9114930944677635,-0.7920879187585872
THADA,37,dimgrey,dimgrey,2,-0.6252882460785457,0.6535085552090469,0.9101453317416003,-0.8427062704995818
PHF14,37,dimgrey,dimgrey,2,-0.5529607428530289,0.49102242166029525,0.9092438086406921,-0.910208992265572
COP1,37,dimgrey,dimgrey,2,-0.5354496410227707,0.524855105427943,0.9078628173402417,-0.8919928765348284
CDKAL1,37,dimgrey,dimgrey,2,-0.7129810120622753,0.6816697984306183,0.9076567440507215,-0.8643801808108741
MACF1,37,dimgrey,dimgrey,2,-0.8033054964030355,0.7175440063395805,0.9061234133116053,-0.8418448632196218
SCFD2,37,dimgrey,dimgrey,2,-0.6229775723806749,0.6579576764270054,0.9045459984769146,-0.8178458440493517
PKP4,37,dimgrey,dimgrey,2,-0.3948067512082089,0.40941376559676307,0.9043687371248611,-0.8998958801580341
ATP9B,37,dimgrey,dimgrey,2,-0.44245228712699225,0.5085639347737259,0.9043084175079884,-0.8640695788075462
SGMS1,37,dimgrey,dimgrey,2,-0.6958457072002386,0.6128219439423666,0.9037012296451074,-0.8749648147406326
ARGLU1,37,dimgrey,dimgrey,2,-0.4324009253952499,0.4138373864525444,0.9033251498621064,-0.9149908576368878
MAML2,37,dimgrey,dimgrey,2,-0.6896651880667506,0.6298781810400716,0.9030924406199203,-0.861612113121536
DENND1A,37,dimgrey,dimgrey,2,-0.4346187291516452,0.5720629385129419,0.9025325724775599,-0.8498978677285534
LPP,37,dimgrey,dimgrey,2,-0.6069173934387334,0.5593700528721046,0.9023719431007484,-0.8726253640830184
VPS13D,37,dimgrey,dimgrey,2,-0.7059715024109432,0.719976950431986,0.9008839857711033,-0.8333429455670961
ZFAND3,37,dimgrey,dimgrey,2,-0.838254191620257,0.8209453459944347,0.900431387160257,-0.8199311928612452
TCF7L2,37,dimgrey,dimgrey,2,-0.7105258334744168,0.704040287706269,0.8971762372304902,-0.8256325996597047
PDLIM5,37,dimgrey,dimgrey,2,-0.6197254720563876,0.5103617776185302,0.8963761315956811,-0.9169292262136763
ARHGAP26,37,dimgrey,dimgrey,2,-0.5771758689248923,0.7271215638803716,0.895352679880498,-0.8085162544658577
ARFGEF1,37,dimgrey,dimgrey,2,-0.5266834056052256,0.5808235067886734,0.8948928941596099,-0.8388462281426959
NUMB,37,dimgrey,dimgrey,2,-0.733493366971756,0.6889248825999603,0.8935515716528231,-0.8375398048093979
RAPGEF2,37,dimgrey,dimgrey,2,-0.6432384238642451,0.5685703708996354,0.8912425308118807,-0.8527995844578299
FAF1,37,dimgrey,dimgrey,2,-0.6529166078642439,0.6423294878875208,0.8903351823030141,-0.8209369857739359
VPS13B,37,dimgrey,dimgrey,2,-0.5428821419225335,0.5681456378505133,0.8900969756491901,-0.8532199536263427
EPS15,37,dimgrey,dimgrey,2,-0.8012731508478095,0.7741892759203045,0.8900140356636643,-0.8208300597620609
PICALM,37,dimgrey,dimgrey,2,-0.7999908493986958,0.8173628650768484,0.8898176741586037,-0.7948453474028847
PPP1R12B,37,dimgrey,dimgrey,2,-0.6131406158339359,0.6253619258596878,0.8885661581939782,-0.8729455295742399
STAG1,37,dimgrey,dimgrey,2,-0.7873383789423534,0.8104991233144545,0.888221867151062,-0.7789041515563485
DDX17,37,dimgrey,dimgrey,2,-0.5725978723591553,0.6900515893930389,0.886803642927385,-0.7767250205933222
MYCBP2,37,dimgrey,dimgrey,2,-0.622573747276337,0.7061794937084687,0.8854792771063549,-0.7902290344125515
CLASP1,37,dimgrey,dimgrey,2,-0.5888789745324438,0.5458756610208493,0.8850119619575687,-0.8450858398191049
FOXO1,37,dimgrey,dimgrey,2,-0.8255997866348554,0.8363666356387823,0.8843864651435603,-0.7835950397108986
ELMO1,37,dimgrey,dimgrey,2,-0.6221198890650302,0.594962898776432,0.8843210721616315,-0.8265416861829875
PDE8A,37,dimgrey,dimgrey,2,-0.6049190904232169,0.6791231070033302,0.8823893973798275,-0.7797035762723362
PHIP,37,dimgrey,dimgrey,2,-0.591233106037461,0.7229341654710781,0.8810464838511701,-0.7736805631651864
EVI5,37,dimgrey,dimgrey,2,-0.6757778159675939,0.5914613143102844,0.8810212076840652,-0.8659033876292641
VTI1A,37,dimgrey,dimgrey,2,-0.5190383648617095,0.4783617967066228,0.8808263326544344,-0.8964194881645096
DYRK1A,37,dimgrey,dimgrey,2,-0.5221925303933609,0.5650759967233011,0.8806011040801971,-0.8106060508233822
KAT6A,37,dimgrey,dimgrey,2,-0.3480694818490463,0.5271047626836949,0.8803540249637319,-0.8168392814900152
SPATS2L,37,dimgrey,dimgrey,2,-0.3664917606434172,0.444438372761758,0.8800665076171821,-0.8595472544218177
MED13L,37,dimgrey,dimgrey,2,-0.735690046928441,0.693815855603311,0.8782123134992198,-0.8390554613706624
SMYD3,37,dimgrey,dimgrey,2,-0.6997660953161094,0.6319464866472639,0.8774397544503323,-0.8374528477002822
GNAQ,37,dimgrey,dimgrey,2,-0.44055867444908686,0.46418999632745933,0.877276223680949,-0.8490350816450296
ANKRD17,37,dimgrey,dimgrey,2,-0.6398234074608203,0.6526398067793677,0.8765516366413504,-0.825130689729044
TRAPPC9,37,dimgrey,dimgrey,2,-0.6182338641453684,0.6611789099489653,0.8764931028058658,-0.7847455472127775
LARP4B,37,dimgrey,dimgrey,2,-0.4749219122436129,0.6296172012044633,0.874685059377448,-0.7688737133095512
SBF2,37,dimgrey,dimgrey,2,-0.4135562671332182,0.5294692515589957,0.8735722175377981,-0.8182598880218547
RNGTT,37,dimgrey,dimgrey,2,-0.6283286814794482,0.6346498998600577,0.8734668937612412,-0.8006814799679322
BRAF,37,dimgrey,dimgrey,2,-0.539215920754006,0.6328649410414311,0.8731234229305307,-0.7850475427894384
MLLT10,37,dimgrey,dimgrey,2,-0.7123594504117154,0.6992125188189282,0.8730601469687339,-0.7819618895228837
ZNF148,37,dimgrey,dimgrey,2,-0.6538263075649677,0.6436093928556168,0.8726251761666427,-0.788823820794611
ZNF644,37,dimgrey,dimgrey,2,-0.6443065886215072,0.5664339487912438,0.8724019695502659,-0.8532961002171734
PTK2,37,dimgrey,dimgrey,2,-0.669652416883615,0.5387937068197592,0.8716060567527671,-0.8566951385432572
HIVEP2,37,dimgrey,dimgrey,2,-0.4901488919440911,0.47514928782296517,0.8703959503711467,-0.8952184337490239
TBC1D5,37,dimgrey,dimgrey,2,-0.4186265910240181,0.3546957972518272,0.8700982424248767,-0.9004153119584277
BIRC6,37,dimgrey,dimgrey,2,-0.743197024352816,0.7711511014114436,0.8698721523055946,-0.7738551444563456
DLC1,37,dimgrey,dimgrey,2,-0.41144742228193715,0.3637865340141089,0.8696441692128493,-0.9064511943846427
LUC7L3,37,dimgrey,dimgrey,2,-0.5918056259122049,0.6908643084871298,0.8686871881054276,-0.7700879043027363
