,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
RPS23,37,gainsboro,gainsboro,3,0.5113057167795948,-0.46320530821036143,-0.9390206315865034,0.9802424971222797
RPS12,37,gainsboro,gainsboro,3,0.5661691528327376,-0.48798680199412137,-0.932188555068694,0.9761365841907717
RPLP1,37,gainsboro,gainsboro,3,0.5951626765355954,-0.5088168204632684,-0.9419428877334128,0.9743417211100907
RPL8,37,gainsboro,gainsboro,3,0.5024791118842112,-0.43608269884677947,-0.9058375240883466,0.9665315232743115
RPL30,37,gainsboro,gainsboro,3,0.5581438631606991,-0.47840106264430593,-0.9216566789624957,0.9662792250118742
RPS27A,37,gainsboro,gainsboro,3,0.502568963147549,-0.4028115154091864,-0.894304751599507,0.9621757540935396
RPS2,37,gainsboro,gainsboro,3,0.46097771704173235,-0.37680429693542694,-0.8675358387032212,0.9595521513926193
ACTB,37,gainsboro,gainsboro,3,0.543847336397565,-0.5784254122111843,-0.9516722389705016,0.9563660584418964
RPL23A,37,gainsboro,gainsboro,3,0.41561459652094657,-0.30766997642672206,-0.8598307401709763,0.9544548098900206
RPS13,37,gainsboro,gainsboro,3,0.6328686879610608,-0.5002468643008425,-0.9024642900410993,0.9533472783982391
UBB,37,gainsboro,gainsboro,3,0.6003674945171359,-0.5145637955341921,-0.9197590078469792,0.9518975112149343
RPS14,37,gainsboro,gainsboro,3,0.6043498506777292,-0.4606343733244145,-0.8925464063943768,0.9502262951947811
RPL23,37,gainsboro,gainsboro,3,0.5503722716468318,-0.3755398462983461,-0.8647964376153516,0.9482479942364084
RPL10,37,gainsboro,gainsboro,3,0.6964313390216886,-0.559084662002589,-0.8992693109372187,0.944046624087126
HSP90AB1,37,gainsboro,gainsboro,3,0.6024754749915592,-0.5037526314434883,-0.8944819708589857,0.9437736122229426
RPL37,37,gainsboro,gainsboro,3,0.3300252656572069,-0.27541938256068865,-0.8680072414172957,0.942946758397068
