,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
A1BG,1166,dimgrey,dimgrey,2,-0.033410666296893585,0.0633871020060007,0.2570887153837568,-0.3645407193823025
A1CF,1167,gainsboro,gainsboro,3,-0.3626230318569358,-0.3425729785907137,0.6453886673770065,-0.6924023387096853
A2M,1161,gainsboro,gainsboro,3,-0.4748493795809661,-0.5444384926876241,0.8051980445969694,-0.8607735220143833
AAK1,1166,dimgrey,dimgrey,2,-0.46072381138046015,-0.6555096000522511,0.6812815003150997,-0.5692383247461454
AASS,1167,black,black,0,0.19900797988388452,0.5931185172418437,-0.4776344103941227,0.46127072818472226
ABCA1,1167,dimgrey,dimgrey,2,-0.3085048610572006,-0.5856926687083508,0.8042941617823713,-0.8288277116820906
ABCA6,1167,dimgrey,dimgrey,2,-0.04002820062679504,0.035551253692714176,0.253875625784098,-0.28266443194518565
ABCB11,1166,black,black,0,0.6532610811040676,0.5919752129436362,-0.4976428171114268,0.4107084516059299
ABCC2,1167,black,black,0,0.8138750282141256,0.2370408296019491,-0.32859121298534266,0.25466568864029476
ABCC6,1167,gainsboro,gainsboro,3,-0.57476452260444,-0.3348622745166561,0.6211203411352981,-0.638266923763156
ABCD3,1167,dimgrey,dimgrey,2,-0.2889208177022152,-0.4521398044405316,0.7245878476873451,-0.7521156050445708
ABHD2,1167,gainsboro,gainsboro,3,-0.5977946104632623,-0.5889454019204797,0.8334383257767983,-0.8260111225939246
ABLIM1,1167,dimgrey,dimgrey,2,-0.1148276064967308,-0.1976711651510194,0.4502466007067902,-0.4177783642963327
ABLIM3,1166,dimgrey,dimgrey,2,-0.5507191983830968,-0.7320464806496203,0.890198187650582,-0.8310339996494843
AC008014-1,1167,gainsboro,gainsboro,3,-0.715099233820657,-0.6122783519489284,0.863265418268433,-0.7777107031169237
AC016831-7,1166,dimgrey,dimgrey,2,-0.4939860365609379,-0.6301716236975826,0.8324677829187903,-0.7799588579453336
AC105402-3,246,dimgrey,dimgrey,2,0.115672574757347,-0.27413656873599485,-0.04533007829060554,0.21416236887209006
AC118549-1,1167,dimgrey,dimgrey,2,-0.37836637139142265,-0.6561774060153375,0.7806473311188967,-0.7362470334761793
ACACA,1167,dimgrey,dimgrey,2,-0.6769155488502657,-0.4810304854872375,0.6843022454011566,-0.5642635397662213
ACADSB,1166,black,black,0,0.5811843075088652,0.5480137888735229,-0.3710966659763406,0.2130361459699367
ACADVL,1167,dimgrey,dimgrey,2,-0.15040301199600314,-0.2929470261366896,0.5448469009638952,-0.633447489357213
ACAP2,1166,dimgrey,dimgrey,2,-0.3445934253978514,-0.571892744685319,0.5458510823539758,-0.46310077990931187
ACBD6,1167,dimgrey,dimgrey,2,-0.46379317876460374,-0.39627206322881936,0.5390912097581548,-0.48019175320423607
ACO1,1167,dimgrey,dimgrey,2,-0.3384701579361258,-0.052012105319829825,0.35731285878917346,-0.41217069957106073
ACOX1,1167,black,black,0,0.6536066482838971,0.44842273902792446,-0.34915308326690386,0.1810982487015538
ACSL1,1167,dimgrey,dimgrey,2,-0.2352442216722153,-0.3580647047880377,0.609987432082827,-0.608295704812399
ACSM2A,1167,black,black,0,0.5730952761693618,-0.12477409807745438,0.1111396732223424,-0.12500496794768876
ACSM2B,1167,black,black,0,0.7205511023897246,0.06237530272988739,-0.13212361313724189,0.10048302342764263
ACTB,1167,gainsboro,gainsboro,3,0.23774585139055063,0.7463473261220358,-0.8696313860382487,0.9396435830114334
