,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
ADH4,929,black,black,0,0.9654025469151245,0.4620328552289865,-0.6207703310805899,0.5001884598635555
AOX1,937,black,black,0,0.9643450298498568,0.47096410521454657,-0.6471997382789656,0.5296673440845678
CYP2C9,1167,black,black,0,0.9567624135202869,0.4125211852196709,-0.5145791504069291,0.36315854131984054
ADH1B,1167,black,black,0,0.9521750119832909,0.6281633710034795,-0.7117457408105136,0.5609915207798847
CYP3A4,974,black,black,0,0.9510342928969974,0.5112656115222888,-0.6748478389867146,0.5675088861764948
MAT1A,1167,black,black,0,0.9496238401382004,0.44694649971245165,-0.5693278977535347,0.43371837346453235
BHMT2,1167,black,black,0,0.947524786865661,0.4615194021875492,-0.6069440322421912,0.5025724659785462
CYP8B1,971,black,black,0,0.945110014454777,0.5723762793162798,-0.677661224381269,0.5609328028134859
SERPINA3,965,black,black,0,0.9383225770311151,0.47289935843284187,-0.6268017991906496,0.506669667900575
HPD,987,black,black,0,0.9294849777812638,0.5311400702005101,-0.7125376223029898,0.6106601988124236
SLC1A2,1038,black,black,0,0.920602033408039,0.5729163398380046,-0.6929190224406827,0.5734893907809876
HRG,1165,black,black,0,0.9185150161201061,0.5716692268663209,-0.6307700512946289,0.5017737608753631
SLC2A2,1152,black,black,0,0.9161172688431615,0.5274525768271258,-0.6700277677164175,0.5578972355525237
CDK6,983,black,black,0,0.9135957767934881,0.4224522333843795,-0.6016856697917045,0.4974309785161548
HLF,1167,black,black,0,0.9072787114354892,0.6237352710302434,-0.6554122980629841,0.5186905789492293
ZC3H13,1167,black,black,0,0.907040651102658,0.40583581287559717,-0.5155275268813979,0.38866005694187783
CYP2E1,1146,black,black,0,0.8971109886352274,0.596542192857781,-0.7496309688093493,0.6577162151837889
ALDH3A2,1161,black,black,0,0.8948632753481967,0.5268123611120884,-0.6527288637091052,0.5406789023218308
TPRG1,1167,black,black,0,0.8921024843507197,0.38209823246963703,-0.5189419144557914,0.4690793801744877
