,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
SELENOP,1167,darkgrey,darkgrey,1,0.6020885496408628,0.9622016558183963,-0.8673318325044761,0.8076327642835918
APOE,1167,darkgrey,darkgrey,1,0.28606836026597837,0.9608922152084516,-0.7797127355819259,0.7399185554947478
FN1,1167,darkgrey,darkgrey,1,0.4949814816682725,0.951843515078268,-0.7467537590705707,0.623980847838733
TOR1AIP2,1167,darkgrey,darkgrey,1,0.4953263237094377,0.9510566148124884,-0.8731797843043475,0.8253179256010945
APOC2,1167,darkgrey,darkgrey,1,0.39544882120690633,0.9503766675485026,-0.8182692061801384,0.7876764843898288
EPHX1,1167,darkgrey,darkgrey,1,0.5132481004262205,0.9306663912397675,-0.9157435284824366,0.8904250701410457
RARRES2,1167,darkgrey,darkgrey,1,0.42703733402442073,0.9300817855162682,-0.8774051383369348,0.8773905274754733
RBP4,1167,darkgrey,darkgrey,1,0.21200007274301366,0.9200723426877127,-0.7087389772424497,0.704320909649579
APOC3,1167,darkgrey,darkgrey,1,0.6069269902232253,0.9178843530588854,-0.8851915617519607,0.8556853298115643
HP,1167,darkgrey,darkgrey,1,0.6890204337570691,0.9031649382795113,-0.7568168333538482,0.598729035883901
C4BPA,1166,darkgrey,darkgrey,1,0.5925973455982597,0.9028242886268376,-0.7015760931048465,0.5635858908366495
DSP,1166,darkgrey,darkgrey,1,0.5204618536319927,0.9017904801458171,-0.6872773560184954,0.5634887327273647
TMEM176B,1167,darkgrey,darkgrey,1,0.20365496751366738,0.8954590302640779,-0.6235568388108446,0.5523519554515389
TF,1167,darkgrey,darkgrey,1,0.4900860060225973,0.895325392970328,-0.6989759928350155,0.5941984176473726
APOH,1167,darkgrey,darkgrey,1,0.44593984368311584,0.8846380110889169,-0.8726518517780111,0.8804905316289309
PEBP1,1167,darkgrey,darkgrey,1,0.4928057775746149,0.880014695824336,-0.8891400900676801,0.8753874856839782
CPS1,1167,darkgrey,darkgrey,1,0.4364274037300896,0.8777398079532629,-0.7129114887343282,0.5862645569819244
APOC4,1167,darkgrey,darkgrey,1,0.4641479597887111,0.8740791374484012,-0.8650249947162869,0.8726069006055887
TAT,1167,darkgrey,darkgrey,1,0.6311808677665158,0.8735188100738833,-0.7810316415807877,0.6647144565236005
FGA,1167,darkgrey,darkgrey,1,0.5766060567228618,0.8710293114092608,-0.6400733805596509,0.4387294561775801
RHOB,1167,darkgrey,darkgrey,1,0.3253311418610942,0.8702828792669199,-0.7769709451671952,0.7657461428892203
FGB,1167,darkgrey,darkgrey,1,0.4667953598725961,0.8689683687351705,-0.5913425191208999,0.4022527360877269
