,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
MAGI1,1167,dimgrey,dimgrey,2,-0.5357800284706953,-0.7805653966210857,0.9511734031444393,-0.8963432014657403
LRMDA,1167,dimgrey,dimgrey,2,-0.5119240932281072,-0.7373897267902315,0.9317297529683412,-0.8716226725146441
RALGAPA2,1167,dimgrey,dimgrey,2,-0.5870138920201403,-0.777943112609088,0.9285738717136739,-0.8934043905261544
AOPEP,1167,dimgrey,dimgrey,2,-0.4623012326553181,-0.7489644093146965,0.9275397816011496,-0.875834428915102
PARD3,1167,dimgrey,dimgrey,2,-0.5470593006089479,-0.75732846152771,0.9267962571090277,-0.8656330756539428
EHBP1,1167,dimgrey,dimgrey,2,-0.558273843599243,-0.7676231543241131,0.925570688590979,-0.886199174142402
LPP,1167,dimgrey,dimgrey,2,-0.5884798953419512,-0.7898662799898919,0.9252846693360297,-0.8868722903796383
TTC28,1167,dimgrey,dimgrey,2,-0.5884977853440104,-0.76736536613207,0.9173109827276256,-0.8673565822023045
PSD3,1167,dimgrey,dimgrey,2,-0.5673642687448986,-0.7018176128520724,0.9129212857556781,-0.8614404819153412
ELMO1,1167,dimgrey,dimgrey,2,-0.6426951681963258,-0.7727483576660737,0.9049385248492534,-0.8342868672387767
TBC1D5,1167,dimgrey,dimgrey,2,-0.6415342375976921,-0.7645262095198593,0.9031726266280735,-0.8385482618593771
CDKAL1,1167,dimgrey,dimgrey,2,-0.6146002262719035,-0.795557909646174,0.9021021338545977,-0.8076519376550916
NSUN6,1165,dimgrey,dimgrey,2,-0.5621406786123946,-0.7573522441238617,0.9002560135952099,-0.8680873052459309
JMJD1C,1167,dimgrey,dimgrey,2,-0.5372624936688675,-0.839457120198329,0.8991680948704531,-0.8258194758512243
TCF12,1167,dimgrey,dimgrey,2,-0.4836795583160452,-0.8290071341400914,0.897851695465962,-0.8146826629136001
NFIA,1167,dimgrey,dimgrey,2,-0.5257647666857665,-0.7519825893396118,0.8976151353887792,-0.8387134653246511
RBFOX2,1167,dimgrey,dimgrey,2,-0.608822359766368,-0.7258880182768422,0.896518585139975,-0.8511733197804501
FAF1,1167,dimgrey,dimgrey,2,-0.49260701352812725,-0.8146395296033198,0.896481252848577,-0.8276020019462206
EXOC4,1167,dimgrey,dimgrey,2,-0.6361238262113772,-0.7549298894662149,0.8955000115127143,-0.8098704703895504
THRB,1167,dimgrey,dimgrey,2,-0.5758962352842291,-0.6726568882378638,0.8932760361702244,-0.8349368156180186
OSBPL9,1167,dimgrey,dimgrey,2,-0.661732200115425,-0.7369739270428899,0.8932643764275412,-0.8132922773731974
DENND4A,1167,dimgrey,dimgrey,2,-0.595461652617676,-0.7951316031954521,0.8923894044218464,-0.8092014007117544
CRADD,1167,dimgrey,dimgrey,2,-0.5825539907512692,-0.7291853416361544,0.8923854757101051,-0.8139715689708662
WWOX,1167,dimgrey,dimgrey,2,-0.4605825416122652,-0.7954486058509435,0.8920874304840656,-0.7991154142091975
RERE,1167,dimgrey,dimgrey,2,-0.5659744940797312,-0.7875430319983285,0.8904697872680701,-0.804309332411622
ABLIM3,1166,dimgrey,dimgrey,2,-0.5507191983830968,-0.7320464806496203,0.890198187650582,-0.8310339996494843
PLEKHA5,1167,dimgrey,dimgrey,2,-0.5930602993563682,-0.77359562838287,0.8893646571603722,-0.8135604686433606
LRBA,1167,dimgrey,dimgrey,2,-0.5248456436159502,-0.8317338560887204,0.8889327857207338,-0.833431950384989
SUCLG2,1167,dimgrey,dimgrey,2,-0.4900686689849433,-0.7798338742048899,0.8886550905440379,-0.8256957671080707
MEF2A,1167,dimgrey,dimgrey,2,-0.5720310114135332,-0.683054053262049,0.8873676340149468,-0.8560379251528414
SGMS1,1165,dimgrey,dimgrey,2,-0.6184679950422126,-0.7466557994957561,0.8873636300208403,-0.8304725785048718
DIAPH2,1167,dimgrey,dimgrey,2,-0.4616288123375675,-0.8131127020022739,0.8866026120325957,-0.8140547581635753
SBF2,1167,dimgrey,dimgrey,2,-0.6096728176382066,-0.7331923274758722,0.8858376837103218,-0.8167807586516307
MLLT10,1167,dimgrey,dimgrey,2,-0.5498842923747095,-0.7642322030249855,0.8841048632003666,-0.8171866361336296
GPC6,1162,dimgrey,dimgrey,2,-0.5023295853404351,-0.7910411162079,0.8839137980983846,-0.820113844094623
FGGY,1165,dimgrey,dimgrey,2,-0.5232067116139777,-0.7363523263717664,0.8821987622824727,-0.8119065662483461
ZFAND3,1167,dimgrey,dimgrey,2,-0.608449123478355,-0.8190155193466996,0.8818911999585536,-0.7828411994036839
GBE1,1167,dimgrey,dimgrey,2,-0.5474219742162523,-0.7826403766519096,0.8807923254540478,-0.7938814959123349
TCF7L2,1167,dimgrey,dimgrey,2,-0.5423080627324498,-0.6671798811014007,0.8775820931164251,-0.8095646039143585
STAG1,1167,dimgrey,dimgrey,2,-0.5634684561661164,-0.8231442867989861,0.8765162348202845,-0.7983385756060125
SORBS1,1167,dimgrey,dimgrey,2,-0.5771881296721789,-0.6649708766680444,0.8743947002673239,-0.8535794356306198
ARID1B,1167,dimgrey,dimgrey,2,-0.46463070250449756,-0.772772673138717,0.8737680528377542,-0.8241465988087427
SETBP1,1154,dimgrey,dimgrey,2,-0.5586094086299556,-0.7372199976919815,0.8731860591927343,-0.799172791732048
ZNF644,1167,dimgrey,dimgrey,2,-0.5029038554394035,-0.7233117471325173,0.8728112697185993,-0.8259812163264081
DIP2B,1166,dimgrey,dimgrey,2,-0.5073490787017533,-0.7788172272485105,0.870863726703836,-0.8007120301989523
BAZ2B,1167,dimgrey,dimgrey,2,-0.4916233438209296,-0.7341812557331107,0.8694382363262039,-0.8522699322693248
TNRC6B,1167,dimgrey,dimgrey,2,-0.5661571500558839,-0.8273016681167087,0.8689900802215653,-0.8116239007316494
VPS13A,1166,dimgrey,dimgrey,2,-0.6304807407955444,-0.697013507713628,0.867081165834724,-0.8064154701555853
WDPCP,1166,dimgrey,dimgrey,2,-0.5377014454637263,-0.784760467091383,0.864154778335925,-0.7494806131917584
SORBS2,1167,dimgrey,dimgrey,2,-0.4493372932851869,-0.6104426244652088,0.8640656636610038,-0.8328873394458595
RBM33,1167,dimgrey,dimgrey,2,-0.6335329102602635,-0.6554503218016183,0.8627910447447922,-0.8019341658439761
PATJ,1167,dimgrey,dimgrey,2,-0.541339425554923,-0.7756309054767507,0.8622885167743418,-0.7990957878799092
EML4,1167,dimgrey,dimgrey,2,-0.6355304731875085,-0.7719029935194218,0.8620211468770553,-0.8099148721735563
SCAPER,1167,dimgrey,dimgrey,2,-0.44277814012085936,-0.7561252698010315,0.8607126374076912,-0.8236661846361976
ATP9B,1167,dimgrey,dimgrey,2,-0.525891722726521,-0.7263994880085941,0.8595881507286569,-0.8059781099123833
NFIB,1167,dimgrey,dimgrey,2,-0.5795938118941432,-0.6175480651899299,0.8590754898402795,-0.8131558270376069
