,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
RPLP1,1167,gainsboro,gainsboro,3,0.35650167277442424,0.7115355790154285,-0.8975683687135543,0.9708458182965269
RPL30,1167,gainsboro,gainsboro,3,0.35721515825369293,0.6781335026696691,-0.8664089449609242,0.9571640082085218
RPS23,1167,gainsboro,gainsboro,3,0.3268214629015669,0.7128296283618117,-0.8730850522148894,0.9571623388724564
RPL19,1167,gainsboro,gainsboro,3,0.31708135910787266,0.7193124518457216,-0.8638910108962939,0.9440349358005448
RPS12,1167,gainsboro,gainsboro,3,0.3073094861610323,0.6978669836092145,-0.866631355772122,0.9408090024652667
ACTB,1167,gainsboro,gainsboro,3,0.23774585139055063,0.7463473261220358,-0.8696313860382487,0.9396435830114334
HSP90AA1,1167,gainsboro,gainsboro,3,0.4265436380883417,0.6165935605963335,-0.8537595865115565,0.9331736856813797
RPS14,1167,gainsboro,gainsboro,3,0.25186159625030674,0.6291803272485837,-0.8170456807864844,0.9292784698577229
DCXR,1167,gainsboro,gainsboro,3,0.6039250071485062,0.8415127964836094,-0.9351383222488727,0.928449500832544
SERF2,1167,gainsboro,gainsboro,3,0.3239575125109241,0.757211172592492,-0.8461884803696387,0.9248453765755822
RPS4X,1167,gainsboro,gainsboro,3,0.35095361554736204,0.7143023390592431,-0.8498932246030589,0.9240295901333634
EEF1A1,1167,gainsboro,gainsboro,3,0.35884925135305284,0.8455957115018276,-0.9258376621576755,0.9237181998370005
RPL27,1167,gainsboro,gainsboro,3,0.3631954868935989,0.6977225873349076,-0.8455995315467189,0.9207696977581836
FTL,1167,gainsboro,gainsboro,3,0.7088383776058261,0.8315824074587707,-0.9430407409380369,0.918626578480826
RPS27,1167,gainsboro,gainsboro,3,0.3575247487646674,0.5515006946790505,-0.8149604296681608,0.9173492599804335
RPS27A,1167,gainsboro,gainsboro,3,0.2739313340300204,0.613524268663211,-0.8161472731850992,0.917343673814328
RPL37,1167,gainsboro,gainsboro,3,0.37961591599236555,0.5826251221877536,-0.8077285765844758,0.9091773660167867
RPL7,1167,gainsboro,gainsboro,3,0.32508730503232774,0.6116298883771872,-0.800905326820328,0.9079786857852348
RPS20,1167,gainsboro,gainsboro,3,0.38573495686629306,0.5891839089784983,-0.8157142905715576,0.9069698841371145
MT-ND5,1167,gainsboro,gainsboro,3,0.3478852924368022,0.574127252463666,-0.8604658128210094,0.9065857515946036
HINT1,1167,gainsboro,gainsboro,3,0.40120894319801886,0.8720583418232145,-0.8949647359671917,0.9060255254831069
RPL23,1166,gainsboro,gainsboro,3,0.4021420828547102,0.6065472698783835,-0.8086529395084039,0.904666513742136
RPS13,1167,gainsboro,gainsboro,3,0.22878655342069212,0.6461803118795932,-0.789104766936999,0.9016880281769237
B2M,1167,gainsboro,gainsboro,3,0.2667646633864541,0.7054410887931314,-0.843293157987137,0.9001196636533556
PRDX1,1167,gainsboro,gainsboro,3,0.3148767811758673,0.7344089825476783,-0.8110314507718618,0.8954276295550359
RPS18,1167,gainsboro,gainsboro,3,0.28310859644820613,0.5172196998749807,-0.7612875266994724,0.8932260006314494
RPL10,1167,gainsboro,gainsboro,3,0.11577739654657962,0.7020719751754693,-0.7945803970674585,0.8920913187908319
TPT1,1167,gainsboro,gainsboro,3,0.7454649962878854,0.7647015847530755,-0.9185444787647664,0.8905227231583579
NME2,1166,gainsboro,gainsboro,3,0.2491602375622043,0.7767895829258286,-0.8212147777025298,0.889513960273768
RPL23A,1167,gainsboro,gainsboro,3,0.22212940750691088,0.5866918038027477,-0.7722553490869902,0.8887905779660619
PPIA,1167,gainsboro,gainsboro,3,0.179485285259127,0.8119763079160095,-0.826084009749252,0.8862493320142861
RPL38,1167,gainsboro,gainsboro,3,0.4774038591465893,0.5430005276588146,-0.8005941164260166,0.8801528481100138
