,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
A1BG,79,gainsboro,gainsboro,3,0.2416945464118326,-0.5441251690503859,0.28938045659097955,0.6773352445646025
A1CF,71,gainsboro,gainsboro,3,0.14137862482786456,-0.553441165269229,0.3764521380624243,0.824675153504618
A2M,85,gainsboro,gainsboro,3,0.21257394482233002,-0.548752241291779,0.38243472129600287,0.7881289285796096
AAK1,93,dimgrey,dimgrey,2,-0.4342555978183003,0.3700101539179727,0.37595717563525916,-0.14702883388980253
AASS,57,dimgrey,dimgrey,2,0.12534946717110018,-0.4909894785668864,0.18329168489688058,0.5252932679249107
ABCA1,92,dimgrey,dimgrey,2,-0.400975194204276,-0.0031445145388710612,0.6772889212528252,0.5459529545906884
ABCA6,54,dimgrey,dimgrey,2,-0.0050711029987725404,-0.4024874916609501,0.35914760349512287,0.6223549513908054
ABCB11,67,dimgrey,dimgrey,2,-0.11142730890295237,-0.3206317639434113,0.3867998828094499,0.5854722859208614
ABCC2,61,gainsboro,gainsboro,3,0.11457096913458799,-0.4748589940189812,0.24160373711495278,0.6321323727962754
ABCC6,64,dimgrey,dimgrey,2,-0.025244114713910474,-0.313211443391708,0.2194763161346476,0.4047678298331164
ABCD3,85,dimgrey,dimgrey,2,-0.22411198029875035,-0.087136288193818,0.4822301792054504,0.40351965162159575
ABHD2,93,dimgrey,dimgrey,2,-0.3354416933194148,0.009465357119816723,0.5980999394653888,0.3591854306365713
ABLIM1,75,dimgrey,dimgrey,2,0.02800121503975306,-0.25491639730954785,0.07173089490137398,0.16205354775418726
ABLIM3,71,dimgrey,dimgrey,2,-0.3148746445113224,-0.14947228929942005,0.6519433390364694,0.607150164800087
AC008014-1,88,dimgrey,dimgrey,2,-0.20170096817081476,-0.11275994806653537,0.4409733596150474,0.4745925952823594
AC016831-7,91,dimgrey,dimgrey,2,0.09497331376857664,-0.030191668700797578,0.15442799539676927,0.08858934943790185
AC105402-3,56,black,black,0,0.6422546468966853,-0.06655280654864787,-0.8955314701990151,-0.5312980492909402
AC118549-1,93,dimgrey,dimgrey,2,-0.45016720459803117,-0.006801718633960255,0.7665952032156161,0.5852877760382338
ACACA,90,dimgrey,dimgrey,2,-0.2968361193407854,0.09979601454133118,0.3772946070312734,0.267577513426034
ACADSB,77,gainsboro,gainsboro,3,0.0683963277412488,-0.44487650163831033,0.3807575368380217,0.7412989448508874
ACADVL,92,dimgrey,dimgrey,2,-0.2318445876396062,-0.12868594751556156,0.5163678712667765,0.4645407514964975
ACAP2,93,dimgrey,dimgrey,2,-0.5960355981720852,0.6670217309538411,0.38102704812900384,-0.2587721761263213
ACBD6,93,dimgrey,dimgrey,2,-0.4762562451308867,0.12000697091418426,0.6495874480776629,0.3485149249885991
ACO1,74,dimgrey,dimgrey,2,-0.012493149650985568,-0.3288000205495081,0.3637083588562834,0.5770168304631432
ACOX1,87,dimgrey,dimgrey,2,-0.27513725373875714,-0.07466616507288254,0.437774498188936,0.44482563443859113
ACSL1,93,dimgrey,dimgrey,2,-0.5127958159727947,0.5680919662739721,0.4009496483424648,0.012656924466401943
ACSM2A,68,gainsboro,gainsboro,3,0.12970449712918353,-0.5219503696821826,0.33219589082043166,0.7743290593517187
ACSM2B,63,gainsboro,gainsboro,3,0.1320093270561333,-0.5012568200110306,0.27244344618642813,0.7420757571786745
