,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
RPL13,93,black,black,0,0.9567655888580905,-0.6679947346763706,-0.773041146123084,-0.01510910680381442
RPS6,93,black,black,0,0.9372075203971221,-0.6416055288107927,-0.7639536720089934,0.027896150322535007
RPS19,93,black,black,0,0.9336857768234538,-0.6197742766138873,-0.7502657330441682,-0.02105395014415509
EEF1A1,93,black,black,0,0.9111625858154789,-0.8035511960056266,-0.5940296309840291,0.22914945083306454
RPS14,92,black,black,0,0.9027946311096832,-0.6935934727544063,-0.715952588428908,0.06967510834243784
ACTB,93,black,black,0,0.9012912620580552,-0.6344477259766804,-0.8564676924761986,-0.13333509945372257
RPL34,88,black,black,0,0.8939295808466237,-0.6618148793103722,-0.569118219871862,0.1566228553163593
RPL29,89,black,black,0,0.8921009959473425,-0.7242033910332294,-0.5709865244129458,0.2297934348928915
RPS27,89,black,black,0,0.8893881471870773,-0.686205582464125,-0.5855686562665002,0.14185608974823585
H3F3B,93,black,black,0,0.8893474306308624,-0.6502997214731562,-0.734171712754968,0.04750699085479243
RPL30,91,black,black,0,0.8879606848612529,-0.7246551647978089,-0.6343759252922869,0.16515233886310743
RPL41,86,black,black,0,0.8844944453494286,-0.5603456931408234,-0.7323523502933422,-0.03086759044495712
RPS15A,88,black,black,0,0.8830096353591711,-0.7508647084358057,-0.5384365044519002,0.22186618482336165
B2M,93,black,black,0,0.8799096855124021,-0.6243426756332282,-0.7956792792276421,-0.14509545324671164
RPS13,88,black,black,0,0.8788610314061235,-0.795873445237288,-0.4998514892348948,0.329323951801504
RPL18A,90,black,black,0,0.877941559351014,-0.677879598167061,-0.6205436730562346,0.12740003181873732
RPS27A,89,black,black,0,0.8768723125916433,-0.7681385584996402,-0.5127019540187389,0.2490184748640661
RPS17,88,black,black,0,0.8758779943456425,-0.6726020204313522,-0.5970286683652464,0.1571071145127847
RPL27A,89,black,black,0,0.8699243928288265,-0.6706549466795633,-0.5946833867306418,0.13971079760536215
RPL21,89,black,black,0,0.8684004043261075,-0.6636960492575257,-0.5656196004877618,0.17873222882513265
RPS18,89,black,black,0,0.8678076958051326,-0.7444473389801716,-0.5019591909108356,0.27356630115790104
RPS20,89,black,black,0,0.8658375399849795,-0.669075470303082,-0.6612416932793277,0.1033200064273311
RPL38,90,black,black,0,0.8639327361543567,-0.591398255260441,-0.6584940585034708,0.03741713749241041
RPS25,91,black,black,0,0.8631572064468407,-0.6790806034001527,-0.5896379461028577,0.15897650687967843
RPS15,90,black,black,0,0.8629609040543558,-0.7195614840938052,-0.5530651033618086,0.19563106282868595
RPS21,90,black,black,0,0.861728589015093,-0.6215426451270936,-0.6323695947497867,0.07738363466082394
COX7C,85,black,black,0,0.8616244561843968,-0.800540105509273,-0.5153841490238843,0.3093721112450813
RPL17,92,black,black,0,0.861247199800891,-0.6800638187659884,-0.6206298848934064,0.13661329308251322
ATP5F1E,92,black,black,0,0.861081946895039,-0.5816442251756221,-0.7309485064770741,-0.011197026225285076
RPL37A,91,black,black,0,0.8590348171940245,-0.5871672493421038,-0.6421103551145882,0.042413071620457654
RPS24,92,black,black,0,0.8579783590580613,-0.5644397020208491,-0.6143570810596504,0.07955180119631507
RPL39,92,black,black,0,0.8571778725569481,-0.5004860814048232,-0.8176845660683297,-0.1270258543990025
RPS2,89,black,black,0,0.8571646114092558,-0.7555306852821781,-0.5164722721594152,0.22390549423763648
RPL13A,92,black,black,0,0.8568294741059499,-0.5658372501565441,-0.6837862458125011,-0.0017687963301848517
FAU,90,black,black,0,0.855767489946248,-0.6923736668350358,-0.5848224391861654,0.15525902925751384
RPL19,89,black,black,0,0.8536629186963128,-0.7811594493505682,-0.4968595335169149,0.2949732320703646
RPL31,89,black,black,0,0.8532983260148523,-0.6999130769295948,-0.5138560514970735,0.2360976615706019
UBA52,90,black,black,0,0.8529234344902522,-0.6299530453194278,-0.6434412749057407,0.09344134473819965
RPS12,90,black,black,0,0.8496810457122028,-0.7213269679931359,-0.5643913023718227,0.20038715633926465
RPL26,90,black,black,0,0.8468436235073652,-0.6724228919489125,-0.5186933791102551,0.20395532422307805
RPL28,92,black,black,0,0.8463866385205456,-0.6101640176459119,-0.6856545520754649,0.023991430268964834
RPL8,89,black,black,0,0.8457673943109238,-0.7508835054634062,-0.4967222434330039,0.29257379344073414
FTL,93,black,black,0,0.8448475664868911,-0.8856506664129652,-0.3645249235257414,0.5612835866353232
RPL9,90,black,black,0,0.8446109461438788,-0.6228615521092828,-0.6018721627977032,0.11228028816650296
RPL36,91,black,black,0,0.8412360476041697,-0.5806235707294383,-0.6047189948633309,0.09058181477982818
RPL35,93,black,black,0,0.8397788838210638,-0.4351724203857533,-0.8993852161933905,-0.24449928084293798
RPS26,87,black,black,0,0.8384935699146704,-0.7787286248156844,-0.4726746017818815,0.3380985340122561
RPS11,90,black,black,0,0.8381735948144953,-0.5673091906673451,-0.6781935268252578,0.012508669136749216
RPL36A,90,black,black,0,0.8346669915023893,-0.5376283230349528,-0.6598963718660952,-0.002472349763830434
RPS16,88,black,black,0,0.8324203565218791,-0.752306293424025,-0.44906785174664116,0.28567661807506006
RPL12,90,black,black,0,0.8323162750128602,-0.6824195472396228,-0.45465725439323834,0.27282547428845544
HLA-E,93,black,black,0,0.8322487352899537,-0.568298459305691,-0.6746939891478839,-0.09578055823290174
RPL32,90,black,black,0,0.8314041325839479,-0.6385913223448149,-0.5933387831342286,0.13150883690980214
RPS9,93,black,black,0,0.830224688900682,-0.5306968908882551,-0.6690117609054258,0.01573220208512684
SERF2,92,black,black,0,0.8291917643302534,-0.727369569044306,-0.5271164409123454,0.26095225944758127
RPS29,91,black,black,0,0.8232848744191155,-0.4355222818468982,-0.8048732184511657,-0.20077277408739153
RPL35A,89,black,black,0,0.822743994091269,-0.5766492064671932,-0.6305211246232868,0.03716893550175378
RPL11,91,black,black,0,0.8214053553606082,-0.5974879001914188,-0.5413366877047527,0.11773683751717819
RPL15,89,black,black,0,0.8205662771125651,-0.7621152819790978,-0.44989519934627564,0.31736676270238723
RPS8,91,black,black,0,0.8198214318998792,-0.663292968576453,-0.5405051868603695,0.17067886080019903
