,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
UTRN,93,darkgrey,darkgrey,1,-0.6206122760967243,0.8505314055760659,0.1976023603119222,-0.6204389944068028
FGD4,93,darkgrey,darkgrey,1,-0.6817688535237946,0.8395381230487037,0.38167571051090765,-0.32723791018948434
CUX1,93,darkgrey,darkgrey,1,-0.5262131646583449,0.8293756337201459,0.19431338520244307,-0.567247180787393
ANKRD11,93,darkgrey,darkgrey,1,-0.45853782575798535,0.8230759469344852,0.023048349109300755,-0.7517638661123892
NUMB,93,darkgrey,darkgrey,1,-0.48902843129424517,0.8226942450912367,0.16281565020103375,-0.4739778698061192
NEAT1,93,darkgrey,darkgrey,1,-0.4658336190383366,0.8030996975227847,0.11859915734581096,-0.499247291725347
CYTH1,93,darkgrey,darkgrey,1,-0.4494540991262367,0.779068932424359,0.02086165551392504,-0.5864814957847857
PAFAH1B1,93,darkgrey,darkgrey,1,-0.5217752545161684,0.7761241997476934,0.12797672868886317,-0.6196986130792596
CMIP,93,darkgrey,darkgrey,1,-0.5631662540037361,0.7699985703799843,0.3990942840114329,-0.3362480780384681
TBC1D8,93,darkgrey,darkgrey,1,-0.40444025231607766,0.7697035784503037,0.027748347688327703,-0.5578949486499779
MRTFA,93,darkgrey,darkgrey,1,-0.49361831072520296,0.7635497407709304,0.260036952889921,-0.46900205644635967
TAOK3,93,darkgrey,darkgrey,1,-0.34453813861097554,0.7633379584517445,-0.1393859271794878,-0.647420444550236
ARHGAP26,93,darkgrey,darkgrey,1,-0.593516428954298,0.7539060182767545,0.4831498590324914,-0.19320202625339272
AKAP13,93,darkgrey,darkgrey,1,-0.36883837727219326,0.753826008400799,0.10099880293978368,-0.5467136629138962
WAC,93,darkgrey,darkgrey,1,-0.36879576822536636,0.7405200443930491,-0.05462153459266158,-0.6023416481114648
CAMK1D,93,darkgrey,darkgrey,1,-0.4170647386097079,0.7175127216484042,0.13183361409367692,-0.521511867743356
CDC42SE2,93,darkgrey,darkgrey,1,-0.22839874382784306,0.7008791234796469,-0.21613168034045743,-0.8255689639289511
BTBD9,93,darkgrey,darkgrey,1,-0.4716846891442667,0.6985949479691905,0.2729940347037058,-0.46027124784635637
STAG1,93,darkgrey,darkgrey,1,-0.5054131338810356,0.6832933731346524,0.23534545447607466,-0.48354592432639587
PRKCE,93,darkgrey,darkgrey,1,-0.3885264703198722,0.6812946779375296,0.027679531117944366,-0.433234741188825
FOXP1,93,darkgrey,darkgrey,1,-0.19982376935220664,0.6735883506814564,-0.09345766770367059,-0.658006877562039
GNB1,93,darkgrey,darkgrey,1,-0.46227185897473355,0.6684582678624987,0.032605317557133744,-0.645570734213436
KMT2E,93,darkgrey,darkgrey,1,-0.3316536184445214,0.6650852132577925,-0.03198163583139819,-0.5483788900554775
VMP1,93,darkgrey,darkgrey,1,-0.2659364322387619,0.664298482948155,-0.11236666945661393,-0.514377601226372
RAPGEF1,93,darkgrey,darkgrey,1,-0.2009053835303513,0.6473848235995198,-0.02144903213315656,-0.5403155736634768
RNF149,93,darkgrey,darkgrey,1,-0.07178358353526747,0.6454650847415107,-0.2715146043136487,-0.6595676681402906
MBNL1,93,darkgrey,darkgrey,1,-0.37976310870836333,0.6396265665590257,0.18549318729480813,-0.5008085040196851
PTPRC,93,darkgrey,darkgrey,1,-0.17095975785928877,0.6039916114760362,-0.195899325392367,-0.7719958503095026
RBM39,93,darkgrey,darkgrey,1,-0.10958819470909947,0.5804464222535016,-0.2476476799539317,-0.5674260163130527
SMCHD1,93,darkgrey,darkgrey,1,0.04345544297611455,0.5659922716550563,-0.45444188477888947,-0.7982226519803763
TUT7,93,darkgrey,darkgrey,1,-0.23666284911269025,0.5056032633295562,-0.1972018244394704,-0.4386468336687787
SAT1,93,darkgrey,darkgrey,1,-0.2035126331465953,0.4904833964162056,-0.12379756167425444,-0.34587292768633443
RABGAP1L,93,darkgrey,darkgrey,1,-0.0537259270280458,0.46523474597161096,-0.25900582977272607,-0.7242681077751083
FYN,92,darkgrey,darkgrey,1,0.0934671044325487,0.44881418042776633,-0.4576925005306091,-0.6722828015391233
TRA2A,93,darkgrey,darkgrey,1,0.005082311199497358,0.4009993832547449,-0.3017709150504766,-0.4518663630263421
CNOT6L,93,darkgrey,darkgrey,1,0.0919831569412416,0.3912690066313313,-0.4041290738593717,-0.7096666370170394
H3F3A,93,darkgrey,darkgrey,1,0.7266920562247055,-0.4696529629380019,-0.7011973684635905,-0.07365334145867145
NFKBIA,91,darkgrey,darkgrey,1,0.4959365110422915,-0.4743061425304667,-0.1944603357091301,0.2045352952077962
NUCKS1,92,darkgrey,darkgrey,1,0.37793668884670917,-0.47557108882571997,-0.17846288273919134,0.2680030719983408
ZFP36L1,92,darkgrey,darkgrey,1,0.48096609461369627,-0.47949298895191056,-0.14156425648877966,0.3051454246840172
UBB,88,darkgrey,darkgrey,1,0.7295308349198054,-0.5614868326040002,-0.6259625308355649,0.0491692395014688
COX6C,89,darkgrey,darkgrey,1,0.5720648201297414,-0.5724373311069636,-0.3676834581055251,0.28605583083873626
RPSA,90,darkgrey,darkgrey,1,0.6862899788248343,-0.5746847151714664,-0.46757062423050255,0.1278824224845933
SOD1,91,darkgrey,darkgrey,1,0.6377870267093931,-0.617602703108035,-0.42140266299292334,0.33203900065540154
CALR,90,darkgrey,darkgrey,1,0.5569429036946788,-0.622220920528479,-0.2718893352007056,0.24283421525871435
OAZ1,93,darkgrey,darkgrey,1,0.7795979159682864,-0.6268425025874558,-0.5869199460169078,0.09724797951440678
RPL4,90,darkgrey,darkgrey,1,0.6941687074961661,-0.6330265511431535,-0.45327506494002606,0.18798865183297708
NDUFA4,85,darkgrey,darkgrey,1,0.5581373246808464,-0.6447627388099674,-0.30910848109705646,0.38205206616525567
RPL24,89,darkgrey,darkgrey,1,0.864266614584173,-0.6474732721456756,-0.6008245065239667,0.14895363745718862
EEF1G,88,darkgrey,darkgrey,1,0.6508439431266307,-0.6518545047787,-0.3173779160537988,0.3165617432980956
UQCR11,90,darkgrey,darkgrey,1,0.6699522715547761,-0.6606190582944943,-0.38821866550612966,0.34433815212954594
RPLP2,90,darkgrey,darkgrey,1,0.796172939837787,-0.6674691854852868,-0.5140183402440454,0.15729192077904272
IFITM2,85,darkgrey,darkgrey,1,0.7277523138239844,-0.6836309610631711,-0.45524095336919157,0.18908153900355015
RPL27,87,darkgrey,darkgrey,1,0.7730868018591129,-0.688081226014008,-0.5434625975843159,0.20340914547622777
HINT1,89,darkgrey,darkgrey,1,0.5245542117846321,-0.7064363805506009,-0.1526172748794837,0.51148201714062
MIF,85,darkgrey,darkgrey,1,0.5399226177761958,-0.7097595475137659,-0.16021887415783423,0.38964556946389217
RHOB,93,darkgrey,darkgrey,1,0.6788710661615369,-0.722694770072394,-0.4703675676681681,0.31879918025009185
GPX4,87,darkgrey,darkgrey,1,0.6581400493150377,-0.7237614257175458,-0.3157820097517489,0.413251685117287
HLA-A,93,darkgrey,darkgrey,1,0.872861895774004,-0.7257603052734549,-0.5496310225851343,0.13258678176622954
PPIA,92,darkgrey,darkgrey,1,0.6735288198902216,-0.7285861916362338,-0.4421391321225621,0.299503070917116
RPLP1,90,darkgrey,darkgrey,1,0.8075994589937504,-0.741535157446201,-0.48177553543455176,0.24565144603065744
CHCHD2,84,darkgrey,darkgrey,1,0.6656109739871078,-0.7484623707960553,-0.2851425258754389,0.43704517895276296
RPS28,87,darkgrey,darkgrey,1,0.8753428778707079,-0.7847424152089436,-0.4553651457136466,0.2999517816799991
RPS5,86,darkgrey,darkgrey,1,0.87632286814901,-0.8135334698186818,-0.4953598537836145,0.3081142261383559
RPS4X,86,darkgrey,darkgrey,1,0.8611618395103142,-0.8236468137268774,-0.46008675924120856,0.330331708184406
IFITM3,88,darkgrey,darkgrey,1,0.7723034434389181,-0.834190660268221,-0.3020336263314364,0.4822996431260676
RPS23,84,darkgrey,darkgrey,1,0.9135011278265791,-0.868476258692771,-0.44583349327585253,0.40109701067348036
