,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
ELMO1,93,dimgrey,dimgrey,2,-0.6830904114297242,0.35430023426443114,0.8967740735623024,0.42550607507209626
ITPR2,93,dimgrey,dimgrey,2,-0.591400053544868,0.06926279542030725,0.8715258255838068,0.5866185705656237
GNAQ,93,dimgrey,dimgrey,2,-0.7417533106861838,0.48528597995075257,0.8609369190679705,0.29164872162424654
LRMDA,93,dimgrey,dimgrey,2,-0.641585179985919,0.22057654282307107,0.8580272459567415,0.5614386172731809
COMMD10,93,dimgrey,dimgrey,2,-0.521144163981083,0.058692103064464755,0.8421670775682953,0.5305944956554286
VPS13C,93,dimgrey,dimgrey,2,-0.6103491431988942,0.23519062848243913,0.8336044568987331,0.41226229175027873
TRIP12,93,dimgrey,dimgrey,2,-0.6173605138464331,0.26561434775507475,0.8160901886689957,0.3871948159983726
BAZ2B,93,dimgrey,dimgrey,2,-0.6719971855059965,0.4027178142613107,0.8131632126772831,0.27735301318180794
EXOC4,93,dimgrey,dimgrey,2,-0.5088960511165347,0.11538487483171331,0.8113901896150765,0.5115639821763368
DST,93,dimgrey,dimgrey,2,-0.3692147593388582,-0.15442547963369546,0.8097565409946407,0.6955768523192858
ETV6,93,dimgrey,dimgrey,2,-0.673731876034078,0.45043000467199573,0.8082889659489011,0.32852448335074036
FCHSD2,93,dimgrey,dimgrey,2,-0.6103938537980083,0.3002309140486667,0.795315970867335,0.3533513760191031
ZNF638,93,dimgrey,dimgrey,2,-0.7967894991866572,0.5253194123023092,0.7942883929094533,0.17490123258210163
RREB1,93,dimgrey,dimgrey,2,-0.5212795647920581,0.15395617693145383,0.7860297887479564,0.5047967028215045
MAN1A1,93,dimgrey,dimgrey,2,-0.3751253904249206,0.005984445935957223,0.7812743285511509,0.6295432773013743
SND1,93,dimgrey,dimgrey,2,-0.4931973185158456,0.03419641857665219,0.777235483199898,0.5405963288018103
EFR3A,93,dimgrey,dimgrey,2,-0.4159525884300673,-0.07004264404402098,0.7766563341746469,0.6857706943684491
TBC1D5,93,dimgrey,dimgrey,2,-0.5405701462611778,0.24838937827190113,0.7739532340618173,0.31763366627554523
ST6GAL1,93,dimgrey,dimgrey,2,-0.4783721529169179,0.12102378355626175,0.7703547612916946,0.4878606613752603
TRIM44,93,dimgrey,dimgrey,2,-0.42375234465664274,0.002230439301249513,0.7682626065761257,0.6080574382798685
MAPKAP1,93,dimgrey,dimgrey,2,-0.5742440896236738,0.21822083264280556,0.7678161213839217,0.3779447404702747
IGF2R,93,dimgrey,dimgrey,2,-0.6216100189103212,0.12538922764813856,0.7667333660645871,0.47746336809929063
AC118549-1,93,dimgrey,dimgrey,2,-0.45016720459803117,-0.006801718633960255,0.7665952032156161,0.5852877760382338
NSMCE2,93,dimgrey,dimgrey,2,-0.6020121764283225,0.22693775202082878,0.7647791989097724,0.37718377905246836
MARCH7,93,dimgrey,dimgrey,2,-0.49952799735889164,0.105043129124904,0.7621318196135819,0.4815441406286649
LARP4B,93,dimgrey,dimgrey,2,-0.6364939091122264,0.3166515425870678,0.7607300238548119,0.3087542375280572
TNS3,93,dimgrey,dimgrey,2,-0.4936478242932075,-0.008577224263307464,0.7593961649963986,0.6539116418301375
COP1,93,dimgrey,dimgrey,2,-0.7177459243235395,0.5108866522565614,0.7579509316797592,0.15855960390753535
PHF3,93,dimgrey,dimgrey,2,-0.5106810770172006,0.0754227224338922,0.7579085696577341,0.45738437594387854
PHF14,93,dimgrey,dimgrey,2,-0.5574529758001551,0.146987469585311,0.7573128406216846,0.45088322139724596
USP9X,93,dimgrey,dimgrey,2,-0.6579409767479474,0.2858202386087658,0.7572532285856912,0.32485322122456206
VTI1A,93,dimgrey,dimgrey,2,-0.5547587818073683,0.2302269863450948,0.7549163934968656,0.3501224376297354
ASAP1,93,dimgrey,dimgrey,2,-0.5688646835155949,0.17447691003587912,0.7544922564396206,0.4832431798124907
TMEM131,93,dimgrey,dimgrey,2,-0.5328288407608067,0.11271333982986774,0.7540279648199504,0.5113470817827955
CDKAL1,93,dimgrey,dimgrey,2,-0.5293837717949131,0.2598533686647014,0.7476534309901745,0.3100269542010336
MAPK8,93,dimgrey,dimgrey,2,-0.5404945617091019,0.17691508599865055,0.7425869416885733,0.48894900179792505
