,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
FGG,74,gainsboro,gainsboro,3,0.19177244529530796,-0.6043355853742872,0.4275109022984687,0.959929902439231
HP,76,gainsboro,gainsboro,3,0.16531069460121517,-0.5816637422734746,0.44577835532772203,0.9412388851508876
AZGP1,73,gainsboro,gainsboro,3,0.2877123362698448,-0.6737656710421579,0.2958572857318169,0.9379752828724559
CFB,74,gainsboro,gainsboro,3,0.08286081266172801,-0.4979715919832463,0.509697298276527,0.9353018386583651
ALDOB,74,gainsboro,gainsboro,3,0.22583019194637474,-0.6050168766137607,0.4182739898019057,0.9336208911673544
CPS1,76,gainsboro,gainsboro,3,0.09062163509612257,-0.5672313736467273,0.43595333242351264,0.9270547610569004
FGA,78,gainsboro,gainsboro,3,0.03409936257027929,-0.4938022008257404,0.5265880620318912,0.9184609745010762
HRG,71,gainsboro,gainsboro,3,0.2081835974878798,-0.5541563228807144,0.3793757518468203,0.9112527121004391
IGFBP2,73,gainsboro,gainsboro,3,0.3555542353933615,-0.6978935525939366,0.20653489284577548,0.9054564893433515
SERPINA1,93,gainsboro,gainsboro,3,0.024608919513591176,-0.5094759044117937,0.4650074844202384,0.9031094914774355
PCK1,74,gainsboro,gainsboro,3,0.23274191290223376,-0.5805760443683974,0.33732913019734095,0.9013981433126446
AGXT,69,gainsboro,gainsboro,3,0.19212439691820735,-0.6085329230947891,0.3629060103312391,0.898094939513979
TAT,76,gainsboro,gainsboro,3,0.3414253569433018,-0.7159559783288384,0.26125633741179627,0.89664220737169
SLC2A2,71,gainsboro,gainsboro,3,0.1805027767841464,-0.5830544004073313,0.36791524096724504,0.8965614297848796
GPX3,71,gainsboro,gainsboro,3,0.059621142958753585,-0.5283963306313451,0.4663910559168205,0.8953073703142546
CPB2,71,gainsboro,gainsboro,3,0.15835325327313715,-0.5896247877105014,0.3595447562108808,0.8933211213844701
HPX,75,gainsboro,gainsboro,3,0.2812894955496362,-0.6566409895496923,0.2877746263253386,0.8910854999249238
C4BPA,70,gainsboro,gainsboro,3,0.17769569586294856,-0.6147374262311235,0.3288545719618485,0.882639151469006
PGRMC1,74,gainsboro,gainsboro,3,0.21640553802918017,-0.6123331510079308,0.3200819626309268,0.8738850676899952
CP,77,gainsboro,gainsboro,3,-0.019448570314624127,-0.3754559222693705,0.5816278927327893,0.8669549231235315
FGB,81,gainsboro,gainsboro,3,0.23935533253979638,-0.6218805563415388,0.3371815354572182,0.8616548373865818
RARRES2,71,gainsboro,gainsboro,3,0.38432027586413364,-0.7092129503863565,0.1390518606762691,0.8607220304882564
GC,77,gainsboro,gainsboro,3,0.36731166606072857,-0.6587535485085503,0.2224215480175761,0.8598057905738737
ALB,93,gainsboro,gainsboro,3,0.40969277955165256,-0.659410529980195,0.2263717872796228,0.8537833009311594
AGT,74,gainsboro,gainsboro,3,0.11770900074354518,-0.5360773253801701,0.41966389109349644,0.8522793181338176
CLU,78,gainsboro,gainsboro,3,0.3619598607130969,-0.6698343192778076,0.20679447581530924,0.8506009534008332
MT1E,76,gainsboro,gainsboro,3,0.34075755212232506,-0.6079884253593187,0.2816039540433975,0.8496995717668541
ANGPTL3,74,gainsboro,gainsboro,3,0.25547639983590903,-0.6035835993445341,0.2959587190931419,0.8490585839628142
C3,81,gainsboro,gainsboro,3,-0.004024862853248427,-0.4062484641093252,0.5126832041566537,0.8489757949079622
APCS,67,gainsboro,gainsboro,3,0.19663515788576955,-0.5841582901540394,0.30969426860168475,0.8469412113775074
PLG,70,gainsboro,gainsboro,3,-0.04931792142906185,-0.43893302646635424,0.5692156711102911,0.8435901668003164
ITIH2,75,gainsboro,gainsboro,3,0.1374025399962461,-0.5294875071807345,0.38739114447503703,0.8404259955372501
TF,80,gainsboro,gainsboro,3,-0.009777965293213564,-0.3843636893651156,0.47126139933581146,0.8398432874729621
ADH1B,79,gainsboro,gainsboro,3,0.1664542253637227,-0.5020671451760785,0.35071240867131565,0.8390605142503142
F2,71,gainsboro,gainsboro,3,0.2106343990005651,-0.5819001866562582,0.3478105653314832,0.8382206636322775
