,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdimgrey,kMEsilver
AL135905-2,75,black,black,0,0.9468117032301612,0.0295293986942551,0.243758008893952
AKR1C2,78,black,black,0,0.9409348347268799,-0.0015309206157494925,0.2973288003921796
CLDN1,81,black,black,0,0.9377858257050959,-0.053232541399881136,0.43248599438507346
CYP4A11,76,black,black,0,0.9287720588201659,0.032901668492519645,0.2596374069049889
C1R,82,black,black,0,0.9220908992069723,-0.016088827509794238,0.36143266854013206
IGFBP4,91,black,black,0,0.916000499114482,-0.014926552839328396,0.4148399698875906
AASS,91,black,black,0,0.908513569537593,-0.1027643746611481,0.42057727682354085
GPX3,85,black,black,0,0.905866010028308,-0.08732245659066255,0.3384462736746268
KCTD3,89,black,black,0,0.9050438257268636,-0.09481438297146577,0.4384609985516614
TMEM176A,81,black,black,0,0.8965262774653698,0.057239064426232354,0.22472846169375185
ABCA6,84,black,black,0,0.8945690782967797,-0.029783047768089425,0.33033233696449127
SLC7A2,92,black,black,0,0.8939897730870494,-0.14253936662442898,0.5158898396330163
CYP3A5,84,black,black,0,0.8938437493208046,-0.016705173002540215,0.3327744254007939
TLCD4,86,black,black,0,0.891147313158159,-0.0712408489026758,0.4029085813840985
SDC1,81,black,black,0,0.8905238811808597,0.007045141586846837,0.262927322253156
COL18A1,94,black,black,0,0.8901512648737309,-0.05278767312150556,0.39138276746937295
HP,101,black,black,0,0.8898483654725438,-0.07201370128095066,0.4738923335451536
CFB,84,black,black,0,0.889598609141614,-0.029642718572731222,0.30080229238863093
ALDOB,88,black,black,0,0.8893630808904813,-0.009200491009143953,0.29907070625816173
ONECUT2,83,black,black,0,0.8887959130377151,0.03596367620762043,0.28209532945737587
RARRES2,84,black,black,0,0.8885892153169416,0.057996785612136816,0.239921422700012
FAT1,91,black,black,0,0.8878499590423481,-0.0781302859967833,0.3975931730195488
MTUS1,101,black,black,0,0.8841828420616994,-0.21589559135365285,0.5596296005942023
SLC38A4,77,black,black,0,0.8824421789516732,-0.024601709245614823,0.2736117626440594
FP236383-3,140,black,black,0,0.8783008205914006,-0.21262309983885613,0.44619280891380536
IGFBP1,80,black,black,0,0.878201535355353,-0.016235165816792036,0.21546477744092232
APCS,81,black,black,0,0.8775811095049101,0.07127466752124495,0.21004602297552033
AGXT,77,black,black,0,0.8773644065498624,0.06282751643067847,0.18996239421871663
FGG,96,black,black,0,0.8765509242935855,-0.021506781992904248,0.3828035749652409
CNN3,85,black,black,0,0.8751026719859738,0.04817083901621971,0.26930719310933543
IL1R1,101,black,black,0,0.8750487664134293,-0.11607184885272243,0.5321047389963937
MPDZ,102,black,black,0,0.8748653537025814,-0.11443515969461122,0.5404252911827625
SLC2A2,89,black,black,0,0.8748553643334557,-0.05276514932723292,0.35037942055723875
EGFR,99,black,black,0,0.8718550904666442,-0.10132026189066567,0.457573604419304
IRS1,90,black,black,0,0.8708415665792499,-0.02801004382791125,0.3810051003338343
TM4SF4,90,black,black,0,0.870206303096421,-0.02482714884317372,0.3729904157710067
PROX1,89,black,black,0,0.8694406070909846,-0.0218661214959551,0.34243953854223574
PROS1,91,black,black,0,0.8693289698949125,-0.07347466716169447,0.3996716755643845
ADH1B,95,black,black,0,0.8685045917357902,-0.10236800506236614,0.3764194872708581
GRB10,101,black,black,0,0.8684141503993656,-0.12584063022383526,0.517576652251993
NEAT1,141,black,black,0,0.8682168485663475,-0.16448845316140842,0.5347219272757341
FGL1,89,black,black,0,0.8678371570607142,-0.058064031767887506,0.31019204307985504
PLG,91,black,black,0,0.867255734363581,0.012681670007935148,0.32160230957382613
AZGP1,86,black,black,0,0.8672107948191505,-0.04036770687023127,0.28474292966446924
C1S,99,black,black,0,0.8646536909648871,-0.17747537109714953,0.45434464435601185
ERRFI1,98,black,black,0,0.8645433978019079,-0.023604482195621983,0.43012503139215413
TMEM176B,83,black,black,0,0.863911839824674,0.016930063102916244,0.22307308183889654
ASS1,85,black,black,0,0.8637712186478852,0.002607073157621824,0.28574332107436745
AFDN,103,black,black,0,0.8628905432975237,-0.27710254544567997,0.5238236709495702
FGB,104,black,black,0,0.8628645067138944,-0.05657767627506192,0.457227447940262
AGT,86,black,black,0,0.8608003071518562,0.021192845408322974,0.26720500595812857
A1CF,93,black,black,0,0.8602244604788659,-0.05357094269846467,0.39377119856554166
HPX,85,black,black,0,0.8599459710242557,0.08189735542466531,0.2121225210600308
PTPRF,90,black,black,0,0.8598170659228124,-0.07659805062163848,0.4000387315313727
CYP3A4,78,black,black,0,0.8566115676480185,0.07968988732903004,0.16093514581219273
G6PC,83,black,black,0,0.8561520690636057,-0.07779195597430959,0.2555189826212332
PGRMC1,83,black,black,0,0.8509191240878051,0.05122579877499691,0.22178463573549564
PON2,95,black,black,0,0.8506161711666018,-0.148565750639363,0.4418684571134807
TEAD1,107,black,black,0,0.8480952885015868,-0.08151423019225916,0.4547478224800045
APOB,111,black,black,0,0.8475005441546297,-0.17704107968363145,0.5237697461604197
MYO1B,102,black,black,0,0.8463903975188867,-0.16168663545773274,0.4691294597934381
FGA,108,black,black,0,0.8453594366421135,-0.10226488857286718,0.44450589536010016
GATM,95,black,black,0,0.8442633780375489,-0.03379145627879587,0.3392121562900387
PAH,103,black,black,0,0.8438088659755693,-0.09674816615361105,0.40813690882656617
ANGPTL3,81,black,black,0,0.8434126485291148,0.0969483723745782,0.18278618197558755
ITIH2,95,black,black,0,0.8420619193217651,-0.08916935561487856,0.41188999356458794
F5,88,black,black,0,0.8418651039283025,-0.01336899276848137,0.29668628540398734
SERPINA3,92,black,black,0,0.8394392837278615,-0.1121601803283993,0.4203691729235875
NID1,102,black,black,0,0.8385181073105379,-0.049699155360233366,0.3868989260348806
GC,102,black,black,0,0.837725808025738,-0.19794170334653033,0.45223478797764355
BAAT,90,black,black,0,0.8353007609438844,-0.06448371470649317,0.2772220343510849
CDC42BPA,109,black,black,0,0.8347783488920694,-0.23238008585778194,0.5586444288306175
MAT1A,83,black,black,0,0.8341277984385043,0.09469319649868839,0.15244414531405956
PROC,74,black,black,0,0.8340440099785197,0.07965340112602015,0.1443974782607183
ITIH3,86,black,black,0,0.8329644971476275,-0.1516688877587828,0.3602282594564215
CALD1,116,black,black,0,0.8311688478114172,-0.24704814329416522,0.6127651012845234
CFH,111,black,black,0,0.8300384105771561,-0.20045786565774842,0.5169491124600569
PCK1,84,black,black,0,0.827643604129641,0.04427042518944665,0.19713883944141503
NFIB,111,black,black,0,0.8250310397400448,-0.22977374707415882,0.573154459543393
ABLIM3,101,black,black,0,0.8237008111856512,-0.0796598561069524,0.45279795501625675
HRG,94,black,black,0,0.8225664141003248,0.07207199434655198,0.2657365196270548
F12,72,black,black,0,0.822465056452782,0.017786047026839107,0.1687971971861605
RBPMS,108,black,black,0,0.8216309469308588,-0.11215509030005284,0.4524269037307254
TFPI,102,black,black,0,0.8210578813903643,-0.014597309614376278,0.39544941172393544
HGD,88,black,black,0,0.8207556488971444,-0.045172905070823964,0.23801801424857427
CYP2C9,89,black,black,0,0.8207239495050878,0.04938847201739904,0.19962034779588073
TJP1,107,black,black,0,0.818771846665377,-0.20719583128240368,0.5383068837945936
ITIH1,81,black,black,0,0.8185875754458384,-0.057474092546793316,0.21987182349044934
ACO1,93,black,black,0,0.8167003427974335,-0.00043779015409734217,0.3427371506368385
ACSM2A,81,black,black,0,0.8151305325484295,0.10134151429463943,0.17720217519667736
STARD10,83,black,black,0,0.8122448824495958,0.13078510368923207,0.09931162200829602
C8A,77,black,black,0,0.8120924608481818,0.014638425311374359,0.19144504811112226
CYP27A1,93,black,black,0,0.8112557524239502,-0.002712954825991548,0.30869416498885593
DSP,93,black,black,0,0.8108764086611149,-0.07439216929433902,0.263305232578658
ORM1,96,black,black,0,0.8099756027290361,0.029534842226431407,0.3498532214048343
CPB2,93,black,black,0,0.8097403353034399,-0.07682038880949246,0.26405478130485205
HPN,85,black,black,0,0.8080881474962549,-0.03621369557406233,0.28458494017266894
PON1,82,black,black,0,0.8076859824229434,-0.037420517367977114,0.2341512917596444
PPARGC1A,100,black,black,0,0.8074903680408396,-0.09667343551848155,0.46046313485545337
APP,118,black,black,0,0.8072386195102652,-0.3578257625870995,0.6363482940739655
CYP8B1,75,black,black,0,0.8066717039849757,0.007023033816112101,0.14969698696884265
SERPING1,93,black,black,0,0.8061200003954472,0.13211674683738905,0.16944362677900315
SERPINC1,88,black,black,0,0.8051793540132718,-0.006052267957253184,0.20901261853325978
LRP1,105,black,black,0,0.8046085570036869,-0.08774404005879774,0.3996471253236286
KANK1,108,black,black,0,0.8039637272001188,-0.3510993332804958,0.5592167030639531
HLF,92,black,black,0,0.8012515829280921,-0.10985229057552877,0.26831650016906466
NADK2,92,black,black,0,0.8002819892877576,-0.04061765250799375,0.2588105205767539
CDO1,79,black,black,0,0.7997962344912676,0.059604780268614294,0.1422676876050524
EPHX1,99,black,black,0,0.7993043691917344,-0.006344761636587835,0.31709524383873633
MT1E,88,black,black,0,0.7983706289240278,0.13121401477944444,0.15849288202171016
F2,91,black,black,0,0.7951515474361782,0.020617401134278488,0.25944415838374024
MET,98,black,black,0,0.7946003569432739,-0.1432865341923418,0.41837209074413484
SERPINF2,91,black,black,0,0.7920231108859216,-0.06980954706890131,0.3128130230824365
CP,103,black,black,0,0.7903504048030748,-0.14684474094335886,0.4786530748542404
CYB5A,90,black,black,0,0.7894769521112435,0.12099738597479788,0.14231642303947173
MASP2,68,black,black,0,0.7883364212524946,0.02425499711915183,0.1190628981988995
ACSM2B,75,black,black,0,0.7880103557837408,-0.0127165440238651,0.15779542288097798
TAT,94,black,black,0,0.7856291441949841,-0.0381168620637683,0.24669586571998947
AR,90,black,black,0,0.7852615482376246,-0.017983177863180773,0.32319912891732644
A2M,112,black,black,0,0.7848573258959114,0.02932762848825008,0.4274711197466912
DHCR24,90,black,black,0,0.7846353694495777,0.11862173693919911,0.18617443445712598
ASGR1,77,black,black,0,0.784152275300473,-0.007758990078100594,0.13818491434148672
TF,102,black,black,0,0.7804584827041694,-0.27618943986844635,0.37222615166484596
ALDH1L1,84,black,black,0,0.7791938781682217,-0.06461394048961537,0.1854444698916824
C5,96,black,black,0,0.7788768810318998,-0.09754790402608232,0.2967631659780789
ADH4,87,black,black,0,0.7784524319118143,0.008815221241157533,0.22883841954486078
CLMN,109,black,black,0,0.77797932748452,-0.02013892787567886,0.3606906053332397
CLU,107,black,black,0,0.7776754678283488,0.1088759186883382,0.30361706509735853
