,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdimgrey,kMEsilver
RPLP2,133,dimgrey,dimgrey,1,-0.15503258580361687,0.9358041292049395,-0.5369225530976219
RPS16,134,dimgrey,dimgrey,1,-0.1683270094718509,0.9023059087238768,-0.5785957327917146
RPL37,134,dimgrey,dimgrey,1,-0.17325234522406469,0.9016252365229321,-0.5416711603634097
RPS27A,135,dimgrey,dimgrey,1,-0.26097268261918705,0.8948402749711242,-0.6140905345553473
RPL11,135,dimgrey,dimgrey,1,-0.18317727204471151,0.8683528439504785,-0.4801952199564884
FAU,131,dimgrey,dimgrey,1,-0.1903801212135737,0.86526991433051,-0.584659787687299
RPL10,135,dimgrey,dimgrey,1,-0.05248825284130985,0.8641985725900078,-0.5378774991537273
RPS13,129,dimgrey,dimgrey,1,-0.10264486033986371,0.848063437017815,-0.605129696830655
RPL27,126,dimgrey,dimgrey,1,-0.07676533394193216,0.8443946814088221,-0.5885612535015274
RPS24,136,dimgrey,dimgrey,1,-0.20068634831961,0.8426177307997194,-0.5112938859728261
RPL14,136,dimgrey,dimgrey,1,-0.18542721305468168,0.8244279527578396,-0.5236951438285642
RPL24,134,dimgrey,dimgrey,1,-0.2312799876296057,0.8221308315822247,-0.5935014134955915
RPS5,129,dimgrey,dimgrey,1,-0.11095878521782199,0.8217703514085668,-0.5798822454677016
RPS3,135,dimgrey,dimgrey,1,-0.1761929777358635,0.8081416742197821,-0.5559506692241895
RPS15A,131,dimgrey,dimgrey,1,-0.2052094527846774,0.7902224573851399,-0.6123114942460437
COX4I1,126,dimgrey,dimgrey,1,0.08129650771480673,0.7854314270885141,-0.48980106549604624
RPS4X,130,dimgrey,dimgrey,1,-0.10104179478639515,0.7551704255486112,-0.5435186977739411
RPL30,133,dimgrey,dimgrey,1,-0.21915929034988685,0.7470983649053631,-0.6065481257824523
TPT1,137,dimgrey,dimgrey,1,0.08409296933265023,0.7388740036207585,-0.4156453798065753
RPL5,131,dimgrey,dimgrey,1,0.04119255132847562,0.721669875218992,-0.40157913451658445
MYL6,132,dimgrey,dimgrey,1,-0.012176991640347709,0.7207437483001602,-0.4508134073094799
RPS3A,134,dimgrey,dimgrey,1,-0.023666288831427743,0.7037879206912357,-0.44073198968245714
RPS28,135,dimgrey,dimgrey,1,-0.2712543963067216,0.7035714532087595,-0.5924982094872615
RPSA,137,dimgrey,dimgrey,1,-0.3081098394488405,0.7034648175566938,-0.5095574459166
PFN1,135,dimgrey,dimgrey,1,-0.34568092023715163,0.6914160569354109,-0.6006154618679751
RPL35,137,dimgrey,dimgrey,1,-0.3931553385255987,0.685280291816442,-0.5739255579893351
RPLP0,131,dimgrey,dimgrey,1,0.19728688757325116,0.6821728493504017,-0.3354609892164074
PPIA,133,dimgrey,dimgrey,1,0.0337834144247044,0.663837826211319,-0.4548809865704879
NFKBIA,136,dimgrey,dimgrey,1,0.0009939341905292104,0.6586622274823608,-0.19570918216276462
COX7C,128,dimgrey,dimgrey,1,-0.015795309450171352,0.6561649437300736,-0.5522243698689274
EIF1,137,dimgrey,dimgrey,1,0.027511062576765433,0.6552270722072129,-0.5423400575456161
ATP5F1E,131,dimgrey,dimgrey,1,-0.3768904476282375,0.6320643259878581,-0.6131956243538573
CD74,137,dimgrey,dimgrey,1,-0.021198362999817404,0.6122135568071284,-0.46413874716240067
GAPDH,134,dimgrey,dimgrey,1,0.10323681184873446,0.6111414279088287,-0.39611481237421814
ENO1,132,dimgrey,dimgrey,1,0.050973269470586335,0.598489609155575,-0.3164580151694332
PNRC1,132,dimgrey,dimgrey,1,0.25075926988136016,0.5830710751439441,-0.25104764765633336
RPS26,129,dimgrey,dimgrey,1,-0.010588475211389212,0.5648506912258477,-0.25570011638763185
JUND,139,dimgrey,dimgrey,1,-0.1753591763824474,0.5575286387157368,-0.34740405983264466
H3F3B,138,dimgrey,dimgrey,1,-0.21541992879000932,0.5518871032572185,-0.5649916691420446
H3F3A,137,dimgrey,dimgrey,1,-0.26787676732088783,0.5462402857082433,-0.5371795286545201
UBC,140,dimgrey,dimgrey,1,-0.37400729627882306,0.5437185568246456,-0.6551732010942126
OAZ1,131,dimgrey,dimgrey,1,-0.11520482106578456,0.5401632312918558,-0.5017393739763746
EEF1D,136,dimgrey,dimgrey,1,-0.11264435408689843,0.5265758950576083,-0.38295392200708284
ZFP36L1,137,dimgrey,dimgrey,1,0.19653755271266063,0.4845761125194019,-0.08430394639928913
NACA,134,dimgrey,dimgrey,1,0.03987736916190655,0.4716992104731909,-0.3321159013561389
UBB,124,dimgrey,dimgrey,1,-0.20184925908607235,0.47042940168503966,-0.5319310894322934
CHCHD2,118,dimgrey,dimgrey,1,0.10426327874522526,0.4379022476067379,-0.3890492498967333
CD99,138,dimgrey,dimgrey,1,0.25259719127488073,0.43038498688316545,-0.1646290439385547
PDIA3,139,dimgrey,dimgrey,1,-0.09662085303955747,0.41786937668129925,-0.305009777752602
SERBP1,138,dimgrey,dimgrey,1,-0.009804233368899991,0.3774064461677162,-0.1816820591634344
ETFB,113,dimgrey,dimgrey,1,0.14861678587031832,0.34434919164818656,-0.33773673909959506
PPM1B,140,dimgrey,dimgrey,1,-0.19892705623133033,0.13801368334508798,0.02274884489812638
