,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdimgrey,kMEsilver
MAML2,141,silver,silver,2,0.25492421132565163,-0.47665235123517175,0.7718897945707919
TBC1D5,141,silver,silver,2,0.38129954058086435,-0.4691199459095477,0.7709591348749314
CDKAL1,141,silver,silver,2,0.2688836745559747,-0.4613171199953802,0.7264089279384182
ZFAND3,141,silver,silver,2,0.3100354235347928,-0.4185540647471793,0.7112268634087925
CAMK1D,141,silver,silver,2,0.20977357130096147,-0.4870193956801307,0.7045299218343716
RALGAPA1,141,silver,silver,2,0.29649761478244424,-0.3396378103161114,0.6933661449630145
WWOX,141,silver,silver,2,0.33592778777196824,-0.5062764460706835,0.6778693323445654
PAFAH1B1,141,silver,silver,2,0.08941812009449811,-0.5040209686869552,0.6677565710779682
MYCBP2,141,silver,silver,2,0.1944595905301464,-0.4350523743844822,0.663251444940745
KMT2C,141,silver,silver,2,0.1450755779624346,-0.5496454829587981,0.6499363958113861
MRTFA,141,silver,silver,2,0.16498331410105208,-0.527444848539128,0.6363594720305426
FRYL,141,silver,silver,2,0.38252240193198334,-0.22514285407483567,0.6318649914941207
USP34,141,silver,silver,2,0.14989773964861824,-0.4728380964903294,0.6281220744594371
NAMPT,140,silver,silver,2,0.2541511561762757,-0.31118278348993167,0.5848779218713017
DYRK1A,141,silver,silver,2,0.27367089889300955,-0.1913502269895116,0.581148182065073
CASK,139,silver,silver,2,0.28618849924954465,-0.38333112321085777,0.5758209363028401
DUSP16,136,silver,silver,2,0.268140957339444,-0.43314840335495136,0.5738359557923649
EIF4G3,141,silver,silver,2,0.09389420533940832,-0.5487842118902647,0.5700424850454494
ARID2,140,silver,silver,2,0.22704397891186795,-0.2942473670043241,0.5679785266157636
SMYD3,141,silver,silver,2,0.19268247734618849,-0.3758625362029543,0.5674254794985005
SPAG9,141,silver,silver,2,0.17089027273318189,-0.41046712046179695,0.5665606937582116
SUCLG2,140,silver,silver,2,0.32577672442693195,-0.33602426741311553,0.5609475919782063
CDK13,141,silver,silver,2,0.2739895184969752,-0.371003793838167,0.5603414971007719
TBL1XR1,141,silver,silver,2,0.22215152273857378,-0.18401814500316965,0.5580079542555445
MED13,141,silver,silver,2,0.15646254553678726,-0.47954702161175966,0.5435970675823817
JAK1,141,silver,silver,2,0.32044150601200916,-0.30142021261324176,0.5366908368343692
GMDS,140,silver,silver,2,0.30646892817754195,-0.4235545937025029,0.5127713996769748
ROCK1,140,silver,silver,2,0.28783418833443775,-0.3681100237885153,0.5118267997007717
PPP6R3,141,silver,silver,2,0.22655477117484651,-0.24724837087458743,0.5044306705514724
DIP2B,137,silver,silver,2,0.3228868039251929,-0.3469525304234929,0.4975736776166985
ATAD2B,134,silver,silver,2,0.3434225749482796,-0.3985484532595611,0.4891886596344887
NSD1,139,silver,silver,2,0.2956273619928707,-0.36765126266442105,0.4764231168664667
ADK,139,silver,silver,2,0.24300013078323773,-0.3562164255878876,0.4739269633049287
KANSL1,141,silver,silver,2,0.20831731804740708,-0.5360844465513214,0.47323307975510553
TLK1,139,silver,silver,2,0.24718451946839298,-0.41613680781589085,0.4729299585170068
PDSS2,139,silver,silver,2,0.1922920795432162,-0.3664617478193313,0.465273226497228
