,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMElightgrey
RPS23,95,black,black,0,0.9768505772011822,-0.25413239530216014,-0.7023161488259319,-0.18923216607446733
FAU,95,black,black,0,0.9722988998351323,-0.332719346710178,-0.6827384275287167,-0.16666409237830263
RPS15,95,black,black,0,0.9685869203825922,-0.2919360384472276,-0.6513871349997096,-0.17959793177315916
RPL17,95,black,black,0,0.9645241896190881,-0.24929632247578268,-0.6559127216860504,-0.1685470217436215
RPL19,96,black,black,0,0.9473681675716655,-0.24775533079328427,-0.70295621131,-0.20437862550729652
RPL32,96,black,black,0,0.944647339265396,-0.28647141520559155,-0.720994731361622,-0.2908367170721409
RPS13,96,black,black,0,0.9433052383880564,-0.2737945393972875,-0.7348921096994087,-0.26523550621843744
COX7C,95,black,black,0,0.9414940678655336,-0.1924122902957224,-0.7364319491576855,-0.2809470997212878
RPL18,96,black,black,0,0.9408826070261126,-0.2617860657771652,-0.6402512676300548,-0.142965750393684
RPL7A,95,black,black,0,0.9388441651340185,-0.16191821437863457,-0.6129584579347623,-0.11496808672129137
RPS18,96,black,black,0,0.9380462301452204,-0.25970298771168204,-0.6664693128886428,-0.22271543203387673
COX4I1,95,black,black,0,0.9321052377770972,-0.15310066498674368,-0.6719095303039812,-0.1529953708179078
RPS27A,96,black,black,0,0.931569153069759,-0.33557149772136613,-0.663727941597963,-0.174319874052778
EEF1A1,99,black,black,0,0.9291198927151174,-0.38594987841835643,-0.67885679869492,-0.07519828961117285
RPS11,96,black,black,0,0.924643222523075,-0.48908518528846895,-0.6933198918963664,-0.2465714122809768
RPL9,96,black,black,0,0.9244865595772779,-0.3523453311810801,-0.6814340457632377,-0.284263424016307
RPS21,94,black,black,0,0.9237282080217254,-0.453429516309178,-0.6675346135797944,-0.23068479623280047
RPL21,96,black,black,0,0.9189304776126401,-0.3840458134856975,-0.6839521705807626,-0.24606231354289768
RPL38,96,black,black,0,0.918014183000787,-0.4332442582495784,-0.6816734335974491,-0.22723976885376612
RPS8,99,black,black,0,0.917067648005283,-0.5570870738792593,-0.8029756836890903,-0.35244669620284313
ATP5F1E,96,black,black,0,0.9161750091823934,-0.40888138476454977,-0.6990155646180194,-0.25597286410693426
RPS19,99,black,black,0,0.9138357512144237,-0.6590332280184932,-0.7274376615829053,-0.26187363468711383
RPLP0,95,black,black,0,0.908839671690858,-0.0841309958373671,-0.5914484005313028,-0.0754322488923423
RPS17,96,black,black,0,0.9050392829228012,-0.4272903841115019,-0.7329623368530594,-0.3212275028955766
RPL13,99,black,black,0,0.9034152900734034,-0.6381171469670089,-0.7553762184263392,-0.23476524113321712
RPS2,97,black,black,0,0.8926269413281978,-0.3970648635254502,-0.645305212191007,-0.1737373654552888
RPL35A,97,black,black,0,0.8906655816678448,-0.4626720215951736,-0.6900889264901977,-0.24952146626514568
RPL6,96,black,black,0,0.8889323372514282,-0.22158293367525944,-0.607197827689499,-0.17959384882233584
RPL10,99,black,black,0,0.8877512788503527,-0.36384359841943187,-0.778533654594003,-0.2975561587630036
RPL41,97,black,black,0,0.8875284696733374,-0.5991097481870129,-0.6979075129507081,-0.30291549429310377
EIF1,97,black,black,0,0.8871202158199888,-0.2132345213229562,-0.6873976181490664,-0.2604402350326874
TMSB4X,97,black,black,0,0.8854868080157539,-0.3547240547549566,-0.5595934180909493,-0.11069140619800996
