,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMElightgrey
IGFBP1,26,darkgrey,darkgrey,1,-0.3562259797766033,0.8762688999091133,0.384503274598131,0.3487220934145446
AGXT,48,darkgrey,darkgrey,1,-0.0743340369633107,0.8541805345658804,-0.07747819566002405,-0.20484517522693563
CFB,53,darkgrey,darkgrey,1,-0.07583394294215176,0.8344211715321382,-0.02070335444196737,-0.2570116389251448
ZBTB20,99,darkgrey,darkgrey,1,-0.5319563685639143,0.8283620099740399,0.47838305619470317,0.11675766368652636
CYP4A11,35,darkgrey,darkgrey,1,-0.25486597219434015,0.824380099500267,0.2613326270602022,0.194462152607175
HP,59,darkgrey,darkgrey,1,-0.059060663993711224,0.8198072432432194,-0.022135755857138093,-0.21626674886442168
FGA,64,darkgrey,darkgrey,1,-0.05579387396768177,0.8147128311751801,0.0010787742515657873,-0.14409250743636842
NEK7,99,darkgrey,darkgrey,1,-0.43986664538927134,0.8116344906620336,0.4748662930790895,0.08576352333412054
FGB,60,darkgrey,darkgrey,1,-0.11527189300861854,0.8102416890725455,-0.019310621936921957,-0.21777917084198364
AGT,56,darkgrey,darkgrey,1,-0.03702594834616282,0.8064970181290023,-0.07884339500238337,-0.2511339167423419
ALDOB,59,darkgrey,darkgrey,1,-0.1145929839863733,0.8016108896439729,0.005205103508009682,-0.1855305026279618
AL135905-2,23,darkgrey,darkgrey,1,-0.3219272528740027,0.7985747139156648,0.33460334734985164,0.39462295741884157
FGL1,52,darkgrey,darkgrey,1,-0.22047350383753034,0.7963192317216592,0.15948702372883355,0.0840241469012143
PLG,56,darkgrey,darkgrey,1,-0.12225695744175762,0.7946627811779049,0.10881620769983545,0.0008663647191078194
SDC1,41,darkgrey,darkgrey,1,-0.18321187021782623,0.7882125876924377,0.16197659520672833,0.05097233466538696
HMGCS2,47,darkgrey,darkgrey,1,-0.08576876374054059,0.7879516885817383,-0.02001761601307408,-0.13188763454989172
SERPING1,56,darkgrey,darkgrey,1,-0.06750823516247381,0.7864431193037716,-0.00471424396018367,-0.11299891031142434
ITIH3,42,darkgrey,darkgrey,1,-0.29065866663296236,0.7844358013576801,0.17541034171815992,0.08415374252040782
CYP3A5,52,darkgrey,darkgrey,1,-0.08036508595460305,0.7777582357496307,0.02144010598647974,-0.04296986000361511
ALB,99,darkgrey,darkgrey,1,-0.01831522748096994,0.7741615963835151,-0.12031365540078055,-0.3114146674300488
