,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMElightgrey
PARP8,99,dimgrey,dimgrey,2,-0.6580045274311346,0.24066151012851716,0.8448130321349687,0.3632359050354216
CNOT6L,99,dimgrey,dimgrey,2,-0.5558605470692595,0.17698618917423556,0.812723877921898,0.388168887642258
PIP4K2A,99,dimgrey,dimgrey,2,-0.5206716365486628,0.07474927289988771,0.6974351298974953,0.11268092671087031
STAG1,99,dimgrey,dimgrey,2,-0.5410575062760972,-0.004576593390200744,0.6971357054036059,0.21109691082509144
ZCCHC7,99,dimgrey,dimgrey,2,-0.541896265017954,0.4507069989889817,0.693652529792019,0.17887793432877824
JAK1,99,dimgrey,dimgrey,2,-0.6010789929643524,0.6006776576878948,0.6666799207552049,0.295504734847063
ASAP1,99,dimgrey,dimgrey,2,-0.432593062315204,0.48079832919080295,0.6479905147533489,0.3806415557317892
LUC7L3,99,dimgrey,dimgrey,2,-0.6379680368264732,0.4888123889461939,0.6465982006044635,0.31298986464916917
ANKRD17,99,dimgrey,dimgrey,2,-0.573351523990239,0.47021783594720684,0.6369955698312545,0.40015689793902015
UTY,99,dimgrey,dimgrey,2,-0.4334950308331324,0.4211884010550552,0.5998599561881706,0.2883034858278166
SCAF8,99,dimgrey,dimgrey,2,-0.44158355126589915,0.4882391963776888,0.5995466825176036,0.33777740956208285
PPP2R5C,99,dimgrey,dimgrey,2,-0.37641433250943857,0.010069013168666879,0.597897654954177,-0.04276336595906432
USP34,99,dimgrey,dimgrey,2,-0.36475750703697474,0.2232961516218612,0.5950451877558899,0.2216907699106008
KMT2C,99,dimgrey,dimgrey,2,-0.5570267767389829,0.3278051157913309,0.5797966980157259,0.23989160354572767
SETX,99,dimgrey,dimgrey,2,-0.5407734338717916,0.36279244635180746,0.5733951891407928,0.265848507664983
MAPKAP1,99,dimgrey,dimgrey,2,-0.4049740527205247,0.33275425799631886,0.570353120450267,0.38609513463623535
MED13L,99,dimgrey,dimgrey,2,-0.3955536214322767,0.2735776963167472,0.5571398777941603,0.13158394559176909
MAP3K5,99,dimgrey,dimgrey,2,-0.45456254053583495,0.37049312710731924,0.5506180046356273,0.04381890159221631
TLK1,99,dimgrey,dimgrey,2,-0.46441889913354484,0.3352726685955041,0.5497550884675018,0.28744714931867316
UBE3C,99,dimgrey,dimgrey,2,-0.515677834692289,0.3770727392275778,0.5355436894483888,0.2981174612617418
THADA,99,dimgrey,dimgrey,2,-0.4154314125899497,0.3768603965140624,0.5341023146208033,0.2809386048800646
NSMCE2,99,dimgrey,dimgrey,2,-0.4368249448379902,0.38950522379240426,0.5170703000278514,0.35110517364387916
CELF2,99,dimgrey,dimgrey,2,-0.49550859829609206,-0.14965687383436543,0.5119600641679026,0.11273574420557449
TCF12,99,dimgrey,dimgrey,2,-0.24994224392146286,0.37556859231816797,0.5111581297801424,0.24102076823663993
SMG1,99,dimgrey,dimgrey,2,-0.588288688237941,0.31746570983095795,0.49959859127521594,0.10095933593423602
