,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMElightgrey
THRB,50,lightgrey,lightgrey,3,-0.12984716587128883,-0.03613229751824718,0.21669421735933772,0.5601407945896049
NEDD4L,66,lightgrey,lightgrey,3,-0.015871343292912128,0.08809427533360147,0.1450157288807292,0.5390508431103924
MAGI1,76,lightgrey,lightgrey,3,-0.13438970619819707,0.1575949180484896,0.2415766509003668,0.5229356154154452
SHANK2,58,lightgrey,lightgrey,3,-0.08082986426271005,-0.05272900316000768,0.2234476241198969,0.5041723299159432
RALGPS2,71,lightgrey,lightgrey,3,-0.016151327841910677,-0.008300635770760838,0.11224276598983472,0.49870749038996665
CD99,99,lightgrey,lightgrey,3,0.002513747869063737,-0.214946137971873,0.03577211405667586,0.4849515301151209
CPT1A,99,lightgrey,lightgrey,3,-0.05795914576948909,-0.09719847936590385,0.27614823352270956,0.4643687881677313
PTPRG,77,lightgrey,lightgrey,3,0.02410630606398055,-0.14258396374446466,0.0686744250145265,0.44966373683399746
LARP1,99,lightgrey,lightgrey,3,-0.24328076899209036,-0.010627999980989431,0.17278900965130325,0.4492629272339994
PRKAG2,99,lightgrey,lightgrey,3,-0.1446801913798556,0.16568181418675765,0.363846472649026,0.43544918054797477
LRMDA,95,lightgrey,lightgrey,3,-0.09753736607281165,0.009769521239733453,0.08951172626434624,0.4259967957150624
SERINC5,98,lightgrey,lightgrey,3,-0.11977600298324069,-0.056359436718874736,0.13924954472629783,0.4093661630318452
PTK2,71,lightgrey,lightgrey,3,-0.0222675183916528,0.02295737545261541,0.14201579487342075,0.40072983643834215
TTC28,70,lightgrey,lightgrey,3,0.009779418504917772,0.0251336497861184,0.20778821863533325,0.38635441645579593
WWC2,49,lightgrey,lightgrey,3,-0.32958486249468094,0.20643953683658273,0.30041316073199814,0.3712720706138843
TPR,99,lightgrey,lightgrey,3,-0.35916121259881295,0.19792947107342412,0.3350220514128799,0.350550715792643
SLC39A11,99,lightgrey,lightgrey,3,-0.16713095150425222,0.0025166839225892997,0.2009400572736442,0.3265022221176683
ABLIM1,99,lightgrey,lightgrey,3,-0.2657176387198493,0.24427275926949718,0.28829036741094527,0.27906778172164837
PSMD1,95,lightgrey,lightgrey,3,-0.23681194445049966,0.19680607012675608,0.23038062093480732,0.27411567096689426
STK3,90,lightgrey,lightgrey,3,-0.21043033495440497,0.10336179695409521,0.22275778300178886,0.2707979891572725
KIF13A,73,lightgrey,lightgrey,3,-0.10165577179829761,-0.06991260634242925,0.04597325453889303,0.25731522587622907
USP32,99,lightgrey,lightgrey,3,-0.2738718209953217,0.0923126827446618,0.2315960474796857,0.24384339404726998
EVI5,78,lightgrey,lightgrey,3,-0.19644656930548743,0.05457371825366128,0.15130254853486994,0.21716203933326542
POGZ,99,lightgrey,lightgrey,3,-0.23718913013363632,0.03353667049804484,0.2696055108658607,0.20213023657202311
ERGIC1,99,lightgrey,lightgrey,3,-0.24768431606797334,0.20398456184803676,0.23331534151765077,0.19467992664904848
TP53BP2,97,lightgrey,lightgrey,3,-0.20024692474447864,0.21013423715180674,0.15817484780257954,0.18962498631774433
HOOK3,99,lightgrey,lightgrey,3,-0.20500012434842793,-0.07213543737218356,0.16320072954209996,0.13909827919406684
LARP4,99,lightgrey,lightgrey,3,-0.31263028861817854,0.025979992082195726,0.07423523937239826,0.13672591084407018
SFPQ,99,lightgrey,lightgrey,3,-0.1574980808942442,0.013148093036577999,0.24511622789784254,0.13134275118754452
G3BP1,98,lightgrey,lightgrey,3,-0.0345773779078147,0.07422674885025998,0.030026577265173052,0.1175515397301685
AHR,98,lightgrey,lightgrey,3,-0.15480151367845968,0.05194906434449626,-0.021204690017937334,0.08429124631366038
RPTOR,99,lightgrey,lightgrey,3,-0.0509225119356891,0.0192097925692977,0.1791884428517762,0.011482982267783265
TACC1,99,lightgrey,lightgrey,3,-0.12992391310811965,-0.008696807369351243,0.05239424418147252,0.007494953303436162
PHLPP1,95,lightgrey,lightgrey,3,-0.060755546891593064,-0.016241350660192184,0.021273202120686455,0.00511457381987499
RRBP1,99,lightgrey,lightgrey,3,0.05694314469875853,0.00770264959663254,-0.008902346436044015,-0.011888332638319017
ACAP2,99,lightgrey,lightgrey,3,-0.013043341143767137,-0.0011851643823978949,0.1082711554938704,-0.056877825421124566
MTDH,99,lightgrey,lightgrey,3,-0.06153156286206204,-0.020479987570235447,-0.13965562827968295,-0.06457922833701628
SPPL2A,99,lightgrey,lightgrey,3,-0.11258964821148047,-0.012372380438229275,0.01879046651715561,-0.15658395114253362
DENND4C,99,lightgrey,lightgrey,3,-0.04975056707954276,-0.011914842757361157,-0.06975564689669257,-0.1664335740937242
SPATA13,99,lightgrey,lightgrey,3,-0.019784352110602733,0.17810513191361743,0.1720550203106282,-0.19206081879122436
CHD1,99,lightgrey,lightgrey,3,-0.3969178077305509,0.030531741365273264,0.20931932364730627,-0.22177424970880694
FNDC3B,99,lightgrey,lightgrey,3,-0.21033178190510018,0.01571033995870771,0.015052981630117764,-0.2297424181257464
SRSF4,99,lightgrey,lightgrey,3,-0.19955754841320808,-0.06801586115499829,0.13681736229961114,-0.2536934887386859
DAAM1,95,lightgrey,lightgrey,3,-0.011710748202982287,-0.0398904111033833,-0.11964523209028945,-0.30132560338566106
