,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEbrown,kMEdarkgrey,kMEdimgrey,kMEfirebrick,kMEgainsboro,kMElightcoral,kMElightgrey,kMEsilver,kMEsnow,kMEwhitesmoke
A1BG,15,dimgrey,dimgrey,3,-0.7797792087471159,0.17522775888344008,0.4492686700849946,0.7860140510863649,0.05680545655730725,0.5684581995568472,0.19685686255224752,0.3283964403186546,0.11784697591070026,0.6056873080431951,0.39101703845051994
A1CF,15,dimgrey,dimgrey,3,-0.7043059847720855,0.3057000517214575,0.5707427467822996,0.818002156484859,0.13984617020035425,0.42945160297528323,0.6110678895882105,0.4478060993228937,-0.06804251418829987,0.6442795761283104,0.4581151358220793
A2M,15,dimgrey,dimgrey,3,-0.664723247073138,0.6111646352218223,0.32404326340928125,0.8075964817403272,0.15530322951985812,0.6829391100125167,0.6340832719128784,0.3870362148691872,-0.2500724666303637,0.7025504309957101,0.5056256674519785
AAK1,25,black,black,0,0.7155531400557502,-0.2490811766995915,-0.16090982303952978,-0.5268448110783092,0.23044382572271002,-0.37096365004357656,-0.08409951045798779,-0.04644710308675795,-0.24144602168006832,-0.29704338636643235,-0.26414788674357287
AASS,14,dimgrey,dimgrey,3,-0.6080901070125062,0.34256002603294866,-0.005751560530229376,0.547123300125604,-0.018763920055442966,0.31144535657057415,0.40169953443803996,-0.03366068869802078,0.1687071659281404,0.359449759887275,-0.07859213999724085
ABCA1,15,dimgrey,dimgrey,3,-0.5019263677641722,0.27203741180005286,0.1770963634407336,0.6004500289095693,0.056879953322449314,0.554660755610145,0.2857111143879902,0.4741137299371213,-0.23830010915918826,0.3603674783406362,0.408761010306283
ABCA6,12,dimgrey,dimgrey,3,-0.9257404107796685,0.5430929443538328,0.526768076221553,0.9668072821773004,0.0038980868314832297,0.6579051360133041,0.587413191254644,0.41744204224852766,-0.007420261231180495,0.7010121421236792,0.43942619889233836
ABCB11,13,dimgrey,dimgrey,3,-0.8258959639960588,0.5045030181679498,0.45710530867344207,0.8360102893255441,-0.37957306967955085,0.5418356764614496,0.4377482400076242,0.344507625864254,0.04092992304822207,0.5274483455885651,0.3782240754316632
ABCC2,15,dimgrey,dimgrey,3,-0.6065240475493847,0.5631629153482883,0.5408323566778993,0.7231684459351224,0.1535165191181836,0.5898072113426307,0.32433679312469865,0.34732660823738853,-0.0793045910262171,0.6485465562476102,0.36235608031974365
ABCC6,12,dimgrey,dimgrey,3,-0.4026225176260024,-0.008270950576597913,0.1416380253949514,0.35171442389000385,0.09254204017872752,0.23543772253336812,0.31206765630286265,-0.14271090654267798,0.1823959368372032,-0.0038818610832448436,0.17917885254253302
ABCD3,14,dimgrey,dimgrey,3,-0.8227336393601642,0.5493587715160508,0.4660951005072016,0.8038113429765601,-0.013953670772463424,0.597626956977069,0.3986638257328063,0.35109421372441224,0.07363067200362478,0.6459814647691949,0.39984785321120686
ABHD2,20,gainsboro,gainsboro,5,-0.42673870673142594,0.37898326501312724,0.41549007415879036,0.595384005798086,0.006710617016980153,0.7449480673252851,0.6775060242686587,0.5976571224244401,-0.32764269266455454,0.3975470874317231,0.5022982125558202
ABLIM1,20,dimgrey,dimgrey,3,-0.35188437967412267,0.05872828117908467,-0.042057915345713445,0.3285512361765717,-0.40785688503001594,0.41736991393000944,-0.04951843163571209,0.08834351168459835,0.0026624054433368525,0.3188261200607657,0.39509840550163156
ABLIM3,14,dimgrey,dimgrey,3,-0.47374957508235704,0.4859398897616518,0.1558703323665856,0.482989110982384,0.13257912705123567,0.5111593190382636,0.4644973405933587,0.045657553718622984,-0.07552999612476359,0.5165439281337927,0.3723571978336903
AC008014-1,21,dimgrey,dimgrey,3,-0.5448560129160359,0.27079723102513287,0.6949141617897118,0.7175669711938488,0.22058053366976882,0.6979979673036013,0.529682934107891,0.3239381147487034,-0.32514038182932153,0.526802402673627,0.30794569305773545
AC016831-7,23,gainsboro,gainsboro,5,-0.2684749854538021,0.08821752367927792,0.29297355146581616,0.3905269176026014,0.1059878042840103,0.6481185753494891,0.08964182994585108,0.20935003724486603,-0.2773248738550168,0.3939122101184864,0.1664125949754927
AC105402-3,14,darkgrey,darkgrey,2,0.7396511277352957,-0.6199428148945104,-0.716306400041937,-0.9102136985311082,-0.23442892485392802,-0.7588339859554648,-0.6507188141703595,-0.5861630325013713,0.36778256505645324,-0.8493679779798231,-0.5326117733128329
AC118549-1,23,snow,snow,9,-0.3464565577478776,0.26526835499122325,0.2619314002093732,0.4647573648986308,0.49329779185985007,0.3234263738181643,0.33284429735568954,0.31843798258930944,-0.22751843034314628,0.776421043269118,0.1943522666375321
ACACA,15,dimgrey,dimgrey,3,-0.7564719519893027,0.5069855924981012,0.44636827878261337,0.7530584238110014,0.10580876682132938,0.5034778146172687,0.3554466453672423,0.3046953345816077,0.11949905814451986,0.6005288799449919,0.06899228916741851
ACADSB,15,dimgrey,dimgrey,3,-0.7888476150287637,0.32090420274468007,0.40862143719605265,0.752105506080625,-0.007248354449022398,0.5714611301418661,0.32731415343220677,0.2364012968022801,0.1176734989746277,0.5842421799403512,0.4255827182339963
ACADVL,23,dimgrey,dimgrey,3,-0.4934161411197788,0.29605758601199594,0.7211629693508934,0.6083359936352971,0.576470335693243,0.3673291853983133,0.44340183638584596,0.32580869801602913,-0.26217931045798554,0.5951659295446419,0.3596136125351924
ACAP2,25,lightgrey,lightgrey,7,-0.046127786242271755,0.13808586444506102,0.13448452388631882,0.1085200908700287,-0.010938083661892311,-0.07468220456499429,-0.028517444124313878,0.2574306083694282,0.13226749155578219,0.049141739625467626,-0.2159501568380401
ACBD6,23,silver,silver,8,-0.5065110581896787,0.16237261848027956,-0.06318403178883905,0.34808216748480064,-0.13412449903842924,0.26819231043912006,0.045157059326192114,-0.23926048010302717,0.4571041684958194,0.12173649660339314,0.5573266654182529
ACO1,16,dimgrey,dimgrey,3,-0.64033711092857,0.3233556263267192,0.28487382725462723,0.7087400248039426,0.12969851362787277,0.631321884020717,0.38512036036036135,0.42540892271752795,-0.03157974943034344,0.6232328437989308,0.3630894412440739
ACOX1,18,dimgrey,dimgrey,3,-0.5310897182910718,0.6084514412524493,0.10498332715246814,0.526156117929555,-0.3233316849649815,0.5183985383688333,0.27974236384181017,0.21105071654584706,-0.10922912919415184,0.4866023860105212,0.40882479788499054
ACSL1,21,black,black,0,-0.6047179208762902,0.0057142448956793955,-0.1275128629720484,0.39420509999117836,-0.33779962116236917,0.11319855689515904,0.09738871536930066,0.1573143694322917,0.49633847058968084,0.03080253929665971,-0.07371215831611778
ACSM2A,12,dimgrey,dimgrey,3,-0.9331633432606672,0.5358853304470422,0.5196152822677469,0.9624652365610343,-0.0061617173507450065,0.6521566513841788,0.58297678686632,0.4155389459416085,-0.012578323243563366,0.7007121799480248,0.4398670693871214
ACSM2B,12,dimgrey,dimgrey,3,-0.8784503657334748,0.48878054645700425,0.46479787901167513,0.909063661067702,-0.04649817118731998,0.5887091530577032,0.5262726045460028,0.37627683334521483,0.01637713518373179,0.6270425033303529,0.3918864940818575
ACTB,25,darkgrey,darkgrey,2,0.3958480072972006,-0.6167645304526752,-0.8068930599335438,-0.7496101668978759,-0.4761981412243945,-0.7914419632080221,-0.6407589271165796,-0.7081002039005346,0.7010147095483101,-0.8425490655586757,-0.5341750676418385
ACTG1,24,black,black,0,-0.1419142649188049,-0.2797879822688121,-0.4945942122257817,-0.19344146956104005,-0.4828401899637653,-0.39358842179706677,-0.2197288258550103,-0.4004881253174084,0.5898828959664485,-0.43245054363027463,-0.29356658088438636
ACTR2,25,firebrick,firebrick,4,0.123730144964174,-0.19999167038446675,-0.29958163884238037,-0.1841291231343608,-0.28147336598802447,-0.4237037190295881,-0.27289980231294314,-0.10122745231662746,0.19130834378310152,-0.22369811226299727,-0.11101474385185896
ACTR3,23,gainsboro,gainsboro,5,-0.23083066428920612,0.042821580158688324,0.16851222657127554,0.33396297954275067,0.04189324350181421,0.5946711593672442,0.030819332249827025,0.23790003540757207,-0.24865611658427575,0.29535786572025846,0.016533014240591292
ADAM10,25,firebrick,firebrick,4,-0.23488181946446576,-0.05917369981161268,0.1219299341984986,0.14242051669702263,0.6139594861406396,0.2399493862735908,-0.02938110672201543,-0.08026006448186046,0.09366220989926961,0.16439013084382112,0.07549898220391772
ADAR,21,dimgrey,dimgrey,3,-0.4340764195286407,0.19599383523139788,0.42496509223077955,0.6125515020452212,-0.05425695166535967,0.3731880933035679,0.48029925423061487,0.662812830660696,-0.3550199123442702,0.646142814109376,0.27468635165355854
ADD1,25,snow,snow,9,-0.3171591969684812,0.33865034301764657,0.38943721627127503,0.48796303769399085,0.029645078550057248,0.3624704691239018,0.029583798627040712,0.34792468548075617,-0.3400464368974756,0.7085390765844403,0.6065036748042637
ADH1B,15,dimgrey,dimgrey,3,-0.6543564828025265,0.6356894074737727,0.6911124748356905,0.8870124561758238,-0.0713977359085052,0.719223335134451,0.5765691379590171,0.6231914170686005,-0.4037976675182143,0.7482561532904397,0.5345113752443279
ADH4,13,dimgrey,dimgrey,3,-0.8628970499969435,0.2923768361024432,0.4883203449665323,0.897152790770574,0.004570541546562634,0.6080934202064932,0.5783952911714874,0.399604209389967,0.048717969604782675,0.6151325386832369,0.39223000701646643
ADI1,15,dimgrey,dimgrey,3,-0.7144380252356932,0.45883303654637775,0.1736964547799652,0.6926747702630455,0.01654511599576314,0.4533970871792896,0.314436842406988,0.3067778208623625,0.14957724921213783,0.5179861879673098,-0.04212519838790696
ADK,25,lightcoral,lightcoral,6,-0.3985202601725875,0.2481865689808905,0.5829587887564731,0.5490618704538468,0.24612368617952687,0.5409647320253012,0.6787580512620388,0.33109513952763636,-0.4466551538696541,0.5340548117239541,0.32876283659902356
AFDN,18,dimgrey,dimgrey,3,-0.5650151379934597,0.6999821104755176,0.46182978835815486,0.7657177614351195,0.30794790590263643,0.7764743121036946,0.5210227497847029,0.6163742414766942,-0.3560589364320662,0.6334021217127819,0.4988906316302255
AFF1,25,dimgrey,dimgrey,3,-0.5104242108582256,0.489243891123311,0.5906252400482584,0.7417559435364343,0.353691552612409,0.741316050998498,0.5583922323021293,0.4025547455325245,-0.2908566419638733,0.7501532668965409,0.3679576372391259
AFF4,25,snow,snow,9,-0.13983805438727298,-0.06268916184991137,0.346713088925343,0.3243490581798765,0.5627269311501606,0.2647306509631319,0.3207438321821002,0.4118678503768617,-0.39106927815388554,0.5801140714076377,0.006712292355085339
AGAP1,23,gainsboro,gainsboro,5,-0.18097983368100046,0.38743154262699236,0.049534436227003896,0.25951145049150565,-0.07692699664279255,0.11536884240261468,0.2764308099254852,0.1091305192026164,-0.1902174221487659,0.1691648611550345,0.17934189587851213
AGFG1,22,dimgrey,dimgrey,3,-0.382927796463654,0.1461396040659075,0.6289598939258476,0.5572387715793734,0.5866758704723134,0.34211525236400403,0.31160410847706677,0.28578340165376115,-0.26401535908779705,0.4722807579377646,0.2997685438661337
AGMO,15,dimgrey,dimgrey,3,-0.5241789511880939,0.5332153529496648,0.21217196595442192,0.6514564135105745,-0.23907270596862495,0.5724555820718821,0.4108934805620613,0.3710606246064459,-0.10722149151785175,0.49472540798565084,0.3594340369372443
AGPAT3,23,dimgrey,dimgrey,3,-0.29150058388355515,0.2260028456500598,0.7382323795728225,0.5030688770597368,0.20604346204550078,0.22479017998810566,0.23758860701001622,0.3368984553209585,-0.3151368689866949,0.38900502330252673,0.16551330274266116
AGT,15,dimgrey,dimgrey,3,-0.7468003924994469,0.5208283172625345,0.4139946492304333,0.7451565456410035,0.07122039897121205,0.3134049278115353,0.3778520859906154,0.32949972530787053,0.13933460316766538,0.3905380080312416,0.38492298276325465
AGXT,13,dimgrey,dimgrey,3,-0.8776576905642153,0.251272212346825,0.4934944598933538,0.8887186053261084,0.00368113290556499,0.6113130423793702,0.58502247188804,0.40763252838529396,0.041767333374322736,0.6209791796614372,0.3916243908436699
AHCTF1,20,dimgrey,dimgrey,3,-0.41730818841945005,0.1116361446005655,0.6329380461179229,0.6177117953207503,0.07623128663222666,0.5805251950410433,0.3651575107771473,0.348220984245125,-0.35722117429891465,0.6348595895035236,0.18077004922331363
AHNAK,25,black,black,0,0.8421252596959843,-0.3931838423346623,-0.4332629450281221,-0.8194879808147914,0.11191208177851,-0.4591398652964309,-0.6422932198383752,-0.3445005636141573,-0.039040156475455216,-0.4947575401948799,-0.5185122414279861
AHR,24,black,black,0,0.05311736164175194,-0.29142173500798413,-0.5886187188748924,-0.3600194497277535,-0.5475896933516861,-0.5138482373283542,-0.34982670069521044,-0.3835064981694092,0.4874491598789838,-0.46322691739487304,-0.3519683325080433
AHSG,14,dimgrey,dimgrey,3,-0.7367177630462172,0.3388770703490547,0.5786327828938702,0.8854490935449701,0.0894776875837784,0.6703113625366588,0.6338609470048994,0.5937855756393909,-0.24656796125675196,0.6960289965787309,0.4694485229360852
AIG1,17,dimgrey,dimgrey,3,-0.7350745355613357,0.5570487852217709,0.3475076334800172,0.6366992289631724,0.10813131492681069,0.5236683524298907,0.39421593894168044,-0.01634548613903239,0.20555451340755818,0.37921787671259555,0.3680369496731012
AKAP13,25,whitesmoke,whitesmoke,10,0.22515535008766818,0.3739505983958699,0.18860493785638613,-0.059870975471627876,0.11973536675608462,0.12128348423749612,0.056254860499540475,0.08145612225230121,-0.35719095072953727,0.2012208969908527,0.6729193602725719
AKAP9,25,snow,snow,9,-0.19924751433311988,0.7093719249524517,0.6342205412502966,0.5028447896137339,0.2259646120259931,0.524441799545626,0.4332360685991969,0.48438812259311115,-0.6091723043453084,0.5093863855854893,0.4418498491371231
AKR1C1,18,dimgrey,dimgrey,3,-0.22393897589536083,0.34574366725464883,0.28582165726061487,0.27869263993142485,-0.17757107928177301,-0.03972969054855176,0.1779488868986316,0.33403034337574933,-0.07891825267640755,0.005846263663463167,-0.07842018804066062
AKR1C2,11,dimgrey,dimgrey,3,-0.8478329832338263,0.4648501288582347,0.4426579595402028,0.868960607266735,-0.05887302616761834,0.5621603797076694,0.5005745151953919,0.3553440899971532,0.013625982542114959,0.5977393677512388,0.36324881571658946
AL135905-2,11,dimgrey,dimgrey,3,-0.8094806384244376,0.4635586238039439,0.3663723897760638,0.7549555662619759,-0.009154930442852566,0.5055087427774454,0.4799185288703505,0.0898621084060249,0.023356303472629843,0.5728401098652686,0.3682011130098609
AL391117-1,17,black,black,0,-0.675909416376828,-0.004203991687787739,0.055037986981407376,0.5112808755424818,0.014722664475076714,0.4386788239073565,0.33375022097638307,0.19691955336023514,0.22326833191844236,0.43469430224605643,-0.012517212339488827
ALAS1,15,dimgrey,dimgrey,3,-0.4287691687566079,0.48468005330315655,0.5966101895544812,0.6710704875374277,0.2294037270028576,0.30259728397022584,0.5768292042554906,0.5945746772019377,-0.41938961812719716,0.6521993367293123,0.17681267793003502
ALB,25,dimgrey,dimgrey,3,-0.8337241046261564,0.440788459826982,0.296867635339913,0.8186080018285449,0.02690104832942843,0.500858413161015,0.44257120870740396,0.2329960314318947,0.12113277249819385,0.517028065772625,0.2755875654491299
ALCAM,21,dimgrey,dimgrey,3,-0.533230486813964,0.5552092239663227,0.6164942263055632,0.6452880291180014,0.35245193154467813,0.40193232154889436,0.3458441227804612,0.2799469347158859,-0.2716789883340635,0.8128660365774658,0.3779129021818234
ALDH1A1,20,black,black,0,-0.5168356457365937,-0.10684337026910148,0.20612739496181112,0.3490715901682562,-0.35727870011365903,-0.0046058246740786025,-0.0787067140718332,0.09405120899898924,0.4464753223530324,0.021635742939116184,-0.10600502010379852
ALDH1L1,17,dimgrey,dimgrey,3,-0.5100289647545476,0.2063856834875628,-0.051830900535022796,0.43061024615429705,-0.0032345654854053214,0.37496370158254855,-0.07448308495698674,0.09233591261825343,0.28359997903007267,0.12719300967912425,0.21452268628586577
ALDH2,18,brown,brown,1,-0.5032534477575543,0.5607764207973575,0.3831277912296608,0.48453496517889266,0.20871034761836868,0.22563009528621983,0.3177554992941245,0.04746324240038484,0.09485329944260813,0.29203985755308287,0.40502540407824034
ALDH3A2,20,dimgrey,dimgrey,3,-0.36447456709781667,0.4428950127828096,0.14409560517571224,0.49375697063073176,0.3184182815008307,0.6134895721001694,0.14945387289125905,0.14693175228613264,-0.22287505395775137,0.39126632720088406,0.4730099050910668
ALDOB,15,dimgrey,dimgrey,3,-0.8044241024991431,0.3075369227903557,0.4818616451104569,0.8167728365970668,-0.18931681735119488,0.5849736505603262,0.5447552583530646,0.34367364834222414,0.10345497920480314,0.5367039341709127,0.38736829625235075
AMBP,19,dimgrey,dimgrey,3,-0.6694330564273038,0.09257778969740767,0.07090469200714464,0.557609364762113,-0.4313482737933335,0.2523522522987636,0.2683204154900008,0.1832218286686027,0.34007200552647693,0.32553454293568723,0.39809777696667187
ANG,13,dimgrey,dimgrey,3,-0.5523306569567163,0.34383157446967183,-0.004411698475019454,0.5191627155530568,-0.0714401112748423,0.14712937632839038,0.39719227774624694,0.2285331111792205,0.18010092054581886,0.13120964573521454,0.2608002255743179
ANGPTL3,13,dimgrey,dimgrey,3,-0.5684564179927888,0.4740016674978787,0.505173898876183,0.7341017432166023,0.11851696425886682,0.5952013663155745,0.5388871202606883,0.5711994632374402,-0.32544767274837716,0.43602601415760295,0.4182230223526125
ANKH,20,dimgrey,dimgrey,3,-0.5102844416028812,0.581161427410062,0.15607033549164845,0.4652126279294363,0.26057407652239184,0.2626759910098116,0.4294438646739996,0.27392058753507015,0.16476077799109073,0.31017062026034403,0.023488156751698266
