,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEbrown,kMEdarkgrey,kMEdimgrey,kMEfirebrick,kMEgainsboro,kMElightcoral,kMElightgrey,kMEsilver,kMEsnow,kMEwhitesmoke
MALAT1,25,black,black,0,0.9746371943245267,-0.3977761854286292,-0.39558329639055234,-0.8769444564714266,0.10164456204255838,-0.5184770435569003,-0.46401733016946883,-0.22867546927112042,-0.27326109411525773,-0.5571347225210892,-0.33131058811903724
MT-ND5,25,black,black,0,0.9406255757988546,-0.4453392084787897,-0.37837061924512405,-0.8600708010435064,-0.022040927358936948,-0.5368896878918332,-0.5061354933758,-0.24799840627459496,-0.2406803360174968,-0.5748052003764925,-0.35460688570716264
MT-ND1,25,black,black,0,0.9364855356130307,-0.530764783408347,-0.5472601705176771,-0.9445599529824387,-0.051943589305367105,-0.64213835212042,-0.5933321773951138,-0.39928924338666266,-0.02886138751545848,-0.7135918593521637,-0.4618419117553729
MT-ND4,25,black,black,0,0.9357840812721961,-0.5538837290465954,-0.5407168450642033,-0.952931468629563,-0.06943540400231074,-0.6811203446355091,-0.6080558933232021,-0.40072258286115536,-0.008095200016599514,-0.7256776858702997,-0.4611242902979498
CBLB,25,black,black,0,0.9325980482275446,-0.5142225647032803,-0.5550835388506697,-0.9062830731939729,-0.01192912384688176,-0.6883648101117659,-0.6286124837007201,-0.40045543978852366,0.025294896626933697,-0.663955379136194,-0.37492051235203694
MT-ATP6,25,black,black,0,0.930502925897774,-0.5678401955008797,-0.5678346614836489,-0.9625443748500084,-0.07278380941017479,-0.6894769313571785,-0.6120014116472547,-0.4360845940361786,0.0474416616024751,-0.7494087909786459,-0.4681540365527963
MT-ND2,25,black,black,0,0.9294174155513386,-0.5470911103257909,-0.5162318515190198,-0.943788551577542,-0.03591626247557601,-0.681455534307239,-0.596471383853434,-0.39071962555129275,-0.0163419348416367,-0.7172819457506587,-0.42525744246400105
MT-ND3,25,black,black,0,0.9293238833974711,-0.5490354298479743,-0.5569235242138908,-0.9524783475021706,-0.05045746739281689,-0.6800576063485007,-0.6023824635298535,-0.43838171162549827,0.05447032845416884,-0.7298917843611356,-0.4519619747454303
MT-CO1,25,black,black,0,0.9255864712924757,-0.5709682647901295,-0.5761502160459095,-0.9668469850472904,-0.11223621034930475,-0.6879676017029198,-0.6229748758455423,-0.4214812857282623,0.020708273291767543,-0.7488325398691944,-0.4654791811773955
MTRNR2L12,18,black,black,0,0.9250194321804056,-0.5224404332477912,-0.5061011618543855,-0.9149523520726028,-0.014074024952856479,-0.6348912600667695,-0.5734963863120807,-0.3949907237234143,0.004979136162370386,-0.6936215129480252,-0.423009985247757
MT-CO3,25,black,black,0,0.9191679687828194,-0.5710696039455005,-0.5815094874236889,-0.9599400307058623,-0.10005997782367972,-0.6963229397419403,-0.6195366680423858,-0.439667826043784,0.04532772858776449,-0.7569923103585237,-0.4699008806328886
CCND3,25,black,black,0,0.9170751058550592,-0.5473254920918605,-0.5005017434186176,-0.9299565015920876,-0.011786085704510006,-0.6275233188398478,-0.5994850277197734,-0.4559007657590131,0.07380699849917063,-0.6894588080666583,-0.3972740566043677
MT-CO2,25,black,black,0,0.9149452976523513,-0.5682450026068645,-0.5638637444075644,-0.9506741065721958,-0.09996493175542677,-0.6780828858612827,-0.6154552665267425,-0.42140952644116797,0.016418796669239902,-0.7344695905973345,-0.4599052657272922
MT-CYB,25,black,black,0,0.9099304995510542,-0.5376111028874496,-0.5542460175165196,-0.9409523014762735,-0.10107414075742345,-0.6915513475468644,-0.5985323038030411,-0.4030955122481731,0.014977375764704372,-0.7377830523764579,-0.47804102857197217
CELF2,25,black,black,0,0.9087886751039291,-0.34993996339679273,-0.36639903340350427,-0.7642568264083076,-0.0327513145424241,-0.44890715993897673,-0.46521509189193,-0.18681133311471773,-0.27251392824533316,-0.46877252475012166,-0.32219772438731076
PIP4K2A,25,black,black,0,0.9057120775726538,-0.4488258509673189,-0.5163647201458922,-0.9034169171617441,-0.015600745214594217,-0.6165386115081998,-0.6103286885823276,-0.4656508477502549,0.08875841421747205,-0.7005858899684534,-0.35258667597658766
PITPNC1,25,black,black,0,0.9016339430753338,-0.5558005439604577,-0.5078317262966806,-0.8701047281663711,0.16065023709439263,-0.569313345873909,-0.5365252574024373,-0.3060346273049599,-0.042743590257976534,-0.5913164350380571,-0.31713525549944777
FYN,25,black,black,0,0.8949134998420641,-0.5081513957460071,-0.523954644346951,-0.8882314988561171,-0.005961720894232148,-0.6573380326685558,-0.5374005480194987,-0.394438302577724,0.05415637255928982,-0.6803522908083516,-0.4075584898455453
HSP90AA1,25,black,black,0,0.8943391711870086,-0.49258790822953646,-0.5289888962568775,-0.8925991568573955,-0.08604306710843437,-0.67359935503882,-0.5655555412714041,-0.388498032103084,-0.0109850867244887,-0.7186765263861968,-0.45214006018131103
FOXP1,25,black,black,0,0.8726001060736012,-0.5846422924183066,-0.3640165547094311,-0.8013325850271886,0.09224861702858497,-0.4918172319711075,-0.42546973606546873,-0.1538372913347297,-0.12205501725111367,-0.5167560550469341,-0.3575025977047228
CDC42SE2,25,black,black,0,0.8510031676109913,-0.4755431569647838,-0.4750241844027918,-0.8726469003784446,-0.019037736962138282,-0.6438853992488943,-0.5662941873260197,-0.32360225978258983,0.07186422018664283,-0.6433897232261476,-0.3079413659470071
PTPRJ,25,black,black,0,0.8493187672488812,-0.3767030790347552,-0.5013194015135599,-0.7930002117288519,0.04330135514995607,-0.5235954808899954,-0.467112454535356,-0.23935601301124002,-0.04963782404050381,-0.6072855599065679,-0.24431842338305418
SMCHD1,25,black,black,0,0.8452573735144244,-0.3160803227408945,-0.26420410480026074,-0.7136846558623939,0.35832459266351985,-0.3347064122485163,-0.36784629524459667,-0.2666270528464225,-0.28475896544157814,-0.3203829579200038,-0.2636017657564527
