,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEbrown,kMEdarkgrey,kMEdimgrey,kMEfirebrick,kMEgainsboro,kMElightcoral,kMElightgrey,kMEsilver,kMEsnow,kMEwhitesmoke
SMC5,23,brown,brown,1,-0.3815056268956957,0.9336694786785092,0.2922171624415055,0.4608275836921508,0.038108795126450816,0.32135462128424525,0.4988890360607788,0.21116145956017537,-0.1340331658897856,0.39249203832168944,0.1128952111142807
UBE3A,23,brown,brown,1,-0.4304358931380746,0.929078625024362,0.31968527112861717,0.5191340561459595,0.04010758455614012,0.38962562982282767,0.6408113058361181,0.2998421825443151,-0.24990963546676237,0.46458589704770126,0.16698951632921202
ITCH,23,brown,brown,1,-0.2548205273740401,0.9224341886901195,0.3899394217837938,0.39621951980893905,0.09003205478933955,0.30204110373210985,0.5194808187428737,0.35361328596165,-0.33509212147395473,0.382477411910951,0.1169071793065393
FARS2,24,brown,brown,1,-0.43208967486128064,0.9006636713323,0.3290720118252755,0.507720096004442,0.04196116243141032,0.32117124887499626,0.2895461628088942,0.15131867031957147,-0.14376333074488223,0.49909646037494015,0.312500618768447
NEDD4L,22,brown,brown,1,-0.3368093655191255,0.8946054097424594,0.28761748895671435,0.4578436276625988,0.007507260711522667,0.4027897295867279,0.4325538591864239,0.26209463971810704,-0.26061164918344215,0.41848250337742,0.620999624473502
GTF2I,24,brown,brown,1,-0.33973724027562524,0.8382495295221644,0.2618236526850518,0.41810052612924054,0.015169615175437938,0.2935962262636048,0.22711211116791957,0.08313001464001857,-0.16351940452902844,0.41324161445719104,0.2518566330863286
KIAA0319L,24,brown,brown,1,-0.40977820964775874,0.8319863646504329,0.38560659657518703,0.5280173363493129,0.09280073565090836,0.3704715146110641,0.32208600432681916,0.29907869364967377,-0.2641690637789433,0.5257930082790547,0.2709048695443982
FAF1,25,brown,brown,1,-0.403254552516829,0.8177476368395904,0.48849756380340065,0.6169404844050878,0.15242158204854184,0.4766829176324888,0.373884969557701,0.43173159077196344,-0.4807625210286694,0.750853125401842,0.526903087270307
COPA,24,brown,brown,1,-0.42762071325747913,0.8106067509459522,0.25988438684056125,0.5110674293675367,0.16419045398380938,0.3546202230956755,0.21855952111396815,0.1786565118670949,-0.12631182840385047,0.45706709133756823,0.20601041224303127
EHBP1,22,brown,brown,1,-0.3967337121925906,0.8078904312809795,0.457451932970628,0.5569538189616879,0.021500910775972788,0.4218663323014795,0.5453712524433293,0.6631881866980694,-0.33553765925267365,0.4797299160499511,0.16934440077685728
