,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEbrown,kMEdarkgrey,kMEdimgrey,kMEfirebrick,kMEgainsboro,kMElightcoral,kMElightgrey,kMEsilver,kMEsnow,kMEwhitesmoke
RAB1A,24,darkgrey,darkgrey,2,-0.358080231614218,0.2601727799686869,0.9331939426838972,0.5330714818198345,0.19297188480100558,0.4142247434461916,0.3151117980532935,0.4027109895597726,-0.3773983149191162,0.5622534419426946,0.29513372537859545
WDR33,24,darkgrey,darkgrey,2,-0.2798950864969594,0.23649108667192856,0.9290377240394148,0.4931008964181684,0.2589582153029742,0.36337961980356415,0.2936693066327296,0.3521446134880683,-0.39251602375818345,0.4560034340691751,0.372069778514868
ATP2A2,24,darkgrey,darkgrey,2,-0.2994756496763313,0.27340485580498425,0.8849434838958765,0.4759464576209314,0.28783410267499965,0.2826230288904089,0.3128580071919849,0.2907684117033127,-0.2949826657459618,0.45971374899990125,0.29719018165280375
UBR5,24,darkgrey,darkgrey,2,-0.3207520358983214,0.14552956756822663,0.8710617419583195,0.4598754368993538,0.18972655987837905,0.3456182034976541,0.19299016709495634,0.21318391490514116,-0.2181547058186167,0.40111702291343554,0.22664719705896147
NCOA3,25,darkgrey,darkgrey,2,-0.211729394525569,0.3590182135728131,0.8478964104607217,0.4728875127108748,0.47441772612817407,0.48766072174703895,0.27625843574034953,0.29643528093614036,-0.5086144525947397,0.5488507914468556,0.4427983846526728
HIVEP2,24,darkgrey,darkgrey,2,-0.3587278692148746,0.26942947452814875,0.8387338504287523,0.46655814780125054,0.12788467302122775,0.3356163615883898,0.2290267902853913,0.19140575723810468,-0.19884627231618682,0.4644555249665983,0.24888624261421954
UBR2,24,darkgrey,darkgrey,2,-0.27185699330051993,0.18883168163968175,0.8367455816143305,0.397587678639897,0.18390710794103482,0.25861226251929387,0.16769667801878405,0.14226281283679373,-0.1659162483528177,0.36238892726565974,0.32292370824587163
ATE1,24,darkgrey,darkgrey,2,-0.36866568575015957,0.21195893128259483,0.8142196164712915,0.46048444304690306,0.11263735829993679,0.16200603301569572,0.38736502042004,0.25869520818187974,-0.14280475173496424,0.33666149676478063,0.2021385074097252
AP3B1,23,darkgrey,darkgrey,2,-0.4980959833807844,0.2729295520091518,0.8084657216298887,0.6250188399132719,0.03766604747205913,0.43788631801970335,0.22792463355598602,0.6161290767345797,-0.21918133625697026,0.5134505596331709,0.24140126855314895
SF3B1,24,darkgrey,darkgrey,2,-0.3443722124153521,0.14593785136803614,0.8059029651009529,0.4224238071822434,0.20566227149283364,0.24521632024969764,0.17714214745291743,0.11279919851291914,-0.16489707303886444,0.4012134061395719,0.23638209222596746
COG5,23,darkgrey,darkgrey,2,-0.34506324801673394,0.16399375446477146,0.8053047943853827,0.4915933591860779,0.08711674229555665,0.3260334215171371,0.2923200967253442,0.6710185739374555,-0.2888786406796022,0.39772533967436563,0.2464448408539092
MAN1A2,22,darkgrey,darkgrey,2,-0.47194026952912077,0.4592021683692921,0.776388100538367,0.6056002402656847,0.06707263501537503,0.41238323965814533,0.566682950151021,0.6530750424507439,-0.2619002496681356,0.4999210222967567,0.15987759950333552
TM9SF3,24,darkgrey,darkgrey,2,-0.5882478998675332,0.16346859282724605,0.7623471983955535,0.5929990244380245,0.022127482730683365,0.3282545618063053,0.287314613104476,0.1812353210085981,0.03166089514372333,0.3972092145567904,0.21038567468254127
HELZ,25,darkgrey,darkgrey,2,-0.05609974173946754,0.02413100791182517,0.7476516462147533,0.19228490341767654,0.1857941790233912,0.18418496038031662,0.08508373318176049,0.20922327421541861,-0.30923439764431654,0.25274550849296157,-0.0012048939798860467
FRYL,25,darkgrey,darkgrey,2,-0.4986860322201474,0.19689766848913495,0.7347796978571767,0.647783632045766,0.26377121576931556,0.6196716504019059,0.3797220516322497,0.5609957949032062,-0.22794823333800426,0.562452032062277,0.1908256206845577
CUL1,21,darkgrey,darkgrey,2,-0.3674169747570434,0.4058288262652169,0.7224529563935764,0.545383520085252,0.04701863217624318,0.4589738103177497,0.5240372565714667,0.6371786306123413,-0.33499128265782896,0.41036003909552826,0.5699964940411228
NDFIP1,24,darkgrey,darkgrey,2,-0.20199298478172112,-0.053849867264459436,0.7170787400017581,0.265801289292635,-0.03381077218861571,0.10491814529445648,-0.024597928541789226,0.20537570333685604,-0.16253113128147176,0.20408075668262596,0.18197376959414466
WAC,25,darkgrey,darkgrey,2,-0.08014686383787774,0.08888532024297378,0.7093437315774486,0.2883740752331041,0.3761577602376162,0.22190397222818614,0.06916681764060274,0.3060849875131739,-0.49139271360866177,0.5274131558607604,0.5007195189750301
ARF1,22,darkgrey,darkgrey,2,-0.4985109665382354,0.08500195964744733,0.7020390690752502,0.6114919846310822,0.0268600279791075,0.37369227076357986,0.5107027379232285,0.5905788065305823,-0.236695238113164,0.4151902087557728,0.21708960267956334
EIF4G3,25,darkgrey,darkgrey,2,0.09120823082996436,0.06275512377682323,0.7003680502744805,0.17477982738476555,0.09166691645506934,0.09935015453106139,0.13582905723530866,0.5118744213604209,-0.4141415471446242,0.2621273578773673,-0.031242420132823266
ARHGAP35,24,darkgrey,darkgrey,2,-0.05429846124345971,0.019342389014920428,0.6989105037283502,0.16092825264982655,0.22834068875439315,0.03244750937364837,0.0435222114153851,0.022444789805905613,-0.09924317101427474,0.13207531833965516,0.11719063750058822
MDM2,23,darkgrey,darkgrey,2,-0.27345355117683284,0.1981037067440248,0.6975348987149127,0.4286240004736,0.10767867500637693,0.23839085652405773,0.11020700256537831,0.2808935421169556,-0.3149042236197574,0.37018161175699577,0.19828967848912324
PRKDC,23,darkgrey,darkgrey,2,-0.2228510960273834,0.4004858193413246,0.6552014978699399,0.3312670434901879,0.13867298620149793,0.1433986432260878,0.5842408332441639,0.20817597557936027,-0.227826043789195,0.2377859245528058,0.0644017630942096
MAP4K4,24,darkgrey,darkgrey,2,0.03377345483580171,0.011819617951184002,0.6438010735911606,0.057756035848365736,0.19979633359968887,-0.10820296658552278,-0.07630315118630057,-0.02457259582156457,-0.10853046630936732,0.040916039218550214,-0.0257986083785807
PAFAH1B1,25,darkgrey,darkgrey,2,-0.14123872719733452,0.4184087646449993,0.6374116532039675,0.40090568545044,0.1515003199754078,0.21560333230229634,0.5316876734548341,0.5724621059931201,-0.5270330968374956,0.3995663221379623,0.19438612986632842
ATAD2B,23,darkgrey,darkgrey,2,-0.022819668886275322,0.01995384861798097,0.6348200680278652,0.16391260623222983,-0.052675819840888684,0.09770544026396008,-0.05260179465721277,0.508931617597422,-0.2614581642174797,0.1351182312641225,0.04639890073609361
BTBD9,25,darkgrey,darkgrey,2,-0.2253455589384274,0.6221979627123824,0.6277062879553522,0.387592327727265,0.2393212353035191,0.3857082564821015,0.3724005929334964,0.05509434819551669,-0.16209201661425904,0.4036956494980789,0.1370721283711782
JMJD1C,25,darkgrey,darkgrey,2,0.12229400237077269,-0.006401625903985142,0.6067767984331407,0.11908439448387662,0.34410189595038604,0.38802930863300233,0.0631360233764312,0.33843861472131903,-0.4651920424168903,0.21655065461817508,0.06055013699429034
PRRC2C,25,darkgrey,darkgrey,2,0.012126087335960557,0.07937550717636518,0.6009489178775257,0.2727062084892,0.5531034495528343,0.21093362806211,0.39545513988581577,0.5188287207998152,-0.7185603694159356,0.4327574923122154,0.2931239277942719
KDM2A,25,darkgrey,darkgrey,2,0.2966766774863187,0.021889066979992988,0.5772951534507127,0.005591361349533297,0.33569539036010226,0.3911133645513765,0.12022904662521967,0.26432631271752693,-0.6528651316897457,0.24348763147997038,0.129225581617501
NFATC3,25,darkgrey,darkgrey,2,0.1759985817126733,0.0814323018932552,0.5094612077299239,-0.0036617545822794687,0.38343545564173054,-0.0857593944716559,-0.00991695895848648,0.14542508949918603,-0.22658562449685743,0.019437387623792678,-0.08967028978882552
MAP4,25,darkgrey,darkgrey,2,0.08676142263023633,-0.005264403942890927,0.493734621215278,0.015997296286951745,0.26492147367695534,0.03165762946702626,-0.1026015420782796,0.37003641078590577,-0.28002473635533764,0.045882485682762084,0.1256163583639654
SP100,25,darkgrey,darkgrey,2,-0.12127326115598953,0.45880948012208567,0.43926351890960874,0.34763773832897277,0.09592504405072869,0.14590282297887155,0.35408945481435894,0.47244563346767077,-0.2713985705539078,0.231934097642468,0.15584449390059005
NUFIP2,25,darkgrey,darkgrey,2,0.25961052294546866,-0.02569429471192419,0.35969218853397444,-0.17330090366402898,-0.09588632589020953,-0.22367563183825445,-0.2745837413958197,0.2877504099805997,-0.21020301813897355,-0.20364735236629927,-0.1768871311962793
SAT1,25,darkgrey,darkgrey,2,0.1719617443860598,-0.07187289477307267,0.2848561982189934,-0.11667157546908574,-0.01310447134810219,-0.18152878268719488,-0.08106202384822189,-0.34800471962577234,0.027207429968217674,-0.14297418333482584,0.16075609885902165
HSPA1A,23,darkgrey,darkgrey,2,0.6846962610263531,-0.5767269310604155,-0.645956740386957,-0.8534065920159759,-0.189959511026438,-0.7147055483216395,-0.6042587821517365,-0.5603812140547,0.33718097741198505,-0.7860468274087787,-0.48560674731671394
RPL39,24,darkgrey,darkgrey,2,0.3102570231850729,-0.5503657270434437,-0.6528490847620454,-0.6120188041800478,-0.4222208439990402,-0.6564851121342941,-0.4871970394341256,-0.5292353860628698,0.5533558030551085,-0.7480900962097544,-0.43924138697976983
RPL17,25,darkgrey,darkgrey,2,0.3539688624795939,-0.6318188327971047,-0.7156309710976015,-0.7147623181540008,-0.34525877015035167,-0.7825389667542939,-0.63565727788324,-0.7247495539493849,0.7420825239537805,-0.8117735094111195,-0.501747054347699
AC105402-3,14,darkgrey,darkgrey,2,0.7396511277352957,-0.6199428148945104,-0.716306400041937,-0.9102136985311082,-0.23442892485392802,-0.7588339859554648,-0.6507188141703595,-0.5861630325013713,0.36778256505645324,-0.8493679779798231,-0.5326117733128329
