,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEbrown,kMEdarkgrey,kMEdimgrey,kMEfirebrick,kMEgainsboro,kMElightcoral,kMElightgrey,kMEsilver,kMEsnow,kMEwhitesmoke
FMO5,12,dimgrey,dimgrey,3,-0.9340955355492516,0.5496583285459571,0.5345141020603841,0.9741861032688206,0.007485122032500328,0.6656293284732223,0.5958666914529475,0.42226986980249503,-0.01278756954136271,0.7116633226747433,0.44602515145562804
NADK2,12,dimgrey,dimgrey,3,-0.9208588210494452,0.5565954349907541,0.538085007296029,0.9720608983918099,0.031594222261712095,0.6709450520762177,0.6011596925886248,0.42282822615500604,-0.013820724302107295,0.713563233132875,0.4510853751242316
C1R,12,dimgrey,dimgrey,3,-0.9211224375603067,0.5510761804991938,0.5311157086271563,0.9716485447357863,0.015785698220690998,0.666072443359498,0.5942939156974338,0.42124995821259825,-0.007295871880340109,0.706371229512913,0.44395086060631744
ABCA6,12,dimgrey,dimgrey,3,-0.9257404107796685,0.5430929443538328,0.526768076221553,0.9668072821773004,0.0038980868314832297,0.6579051360133041,0.587413191254644,0.41744204224852766,-0.007420261231180495,0.7010121421236792,0.43942619889233836
ACSM2A,12,dimgrey,dimgrey,3,-0.9331633432606672,0.5358853304470422,0.5196152822677469,0.9624652365610343,-0.0061617173507450065,0.6521566513841788,0.58297678686632,0.4155389459416085,-0.012578323243563366,0.7007121799480248,0.4398670693871214
GPX3,12,dimgrey,dimgrey,3,-0.934302813856965,0.5282339852113737,0.5124664318190111,0.9618279589083412,-0.03545660542719531,0.6451899669797911,0.5731536578747668,0.41398003993022797,-0.0008074155442728446,0.688334897016581,0.4240176445560336
CLDN1,12,dimgrey,dimgrey,3,-0.8993306107513923,0.553665086906562,0.5330470941874713,0.9615659651292167,0.034779263067644714,0.6691058978228683,0.5966531778865306,0.421882034019067,-0.007286167149966369,0.7044299999113732,0.4451398757647142
CYP3A5,12,dimgrey,dimgrey,3,-0.8958689291382206,0.550652596835301,0.535895639637524,0.9610357076280258,0.035968378059306326,0.6667114715579701,0.5958476639573592,0.4188109076459258,-0.009315384828506496,0.7048292146171516,0.4483224687498545
SERPINA3,12,dimgrey,dimgrey,3,-0.9177531232027483,0.5323315604322043,0.5115338020212479,0.960147452783284,-0.018453231068437503,0.6476795441111888,0.5750358790881569,0.41352366474674795,0.0039995682988495295,0.6853021677599553,0.4266489586250365
C8A,12,dimgrey,dimgrey,3,-0.908657102373515,0.5416467694964215,0.521739430737856,0.9580832446713626,0.012002982264262385,0.6518348338890867,0.582532681277736,0.41378091937171585,-0.006767255988689386,0.693924091819079,0.4381927898167444
