,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEbrown,kMEdarkgrey,kMEdimgrey,kMEfirebrick,kMEgainsboro,kMElightcoral,kMElightgrey,kMEsilver,kMEsnow,kMEwhitesmoke
SLC23A2,24,firebrick,firebrick,4,-0.1186501000735203,0.0793966011859724,0.2397502683442506,0.210968649962644,0.848915216553692,0.1371462586586725,0.3349330311771763,0.14744064303419233,-0.2563459655666846,0.3711178180418286,0.02891053706384154
PRKCA,24,firebrick,firebrick,4,0.07590024156452313,-0.06541012007422486,0.06344652562626,0.02906221307398176,0.8385152917397184,0.15658349745122294,0.14182980006810733,0.0935478661653145,-0.23709455086352577,0.1951552493656319,0.17039643837304266
RESF1,25,firebrick,firebrick,4,-0.004786550598859199,0.16151777125398797,0.12076013856268666,0.09257167851808072,0.8014602693340879,0.29940471798625595,0.10457422776473169,0.013419082977955762,-0.22113118546732669,0.20117763889934082,0.03935414773873308
TRA2A,24,firebrick,firebrick,4,-0.12941134457435038,-0.04786980125633158,0.054162230352586924,0.2042007300947019,0.7704451769694938,0.1946586610999602,0.3025147788464718,0.2834216223910487,-0.1805788331298903,0.2525357656927573,0.08844900979367012
ELF2,24,firebrick,firebrick,4,-0.288031092616266,0.17166773489807072,0.24999373145895698,0.35198739443028376,0.7676637355045648,0.283026960224544,0.26730195576666615,0.21833174322020532,-0.09834581073029115,0.3869603351138503,0.13367305453310022
NFAT5,25,firebrick,firebrick,4,0.27309690513814977,-0.18054200574333623,0.26312390523925944,-0.02174062784191327,0.7656873531644516,0.15746457655156215,0.11732836126689387,0.38377290773129835,-0.47170500670174703,0.12167325411487191,0.054947863421585086
SMARCC1,25,firebrick,firebrick,4,0.05171926301069859,-0.05420248006957713,0.5700929860901732,0.24567803578509903,0.7526311804654883,0.2973906334689312,0.2868292041460931,0.42403035682533013,-0.5539063095958826,0.3601468775064214,0.38000467979219305
SPTAN1,24,firebrick,firebrick,4,-0.006613880584068144,-0.10348819518456492,0.028942388436987345,0.058452708647512765,0.75000366858589,0.1436848876852167,0.2539692148238978,0.031025874971656937,-0.1842356889476351,0.2301351725886252,0.01958689281665907
CDK13,24,firebrick,firebrick,4,-0.36943838439485394,0.18596076489636681,0.1310663640814075,0.35581442811007885,0.7398044346724664,0.21662106088336994,0.4100959517386105,0.10132913039578677,-0.04593079357233107,0.39738398823722815,0.12804709952021182
ATP2B4,24,firebrick,firebrick,4,-0.09732635837486346,-0.1758525485754843,-0.08494476914052917,0.08199954140809555,0.7202716744693978,0.0478738098690751,0.24455406353816347,0.011411737226253285,0.0036855722500967517,0.11963376308709905,-0.0618772050625976
MTSS1,24,firebrick,firebrick,4,0.05778787653065351,-0.05639100376937489,0.11375809094937274,0.055465964948387354,0.7179439476246035,0.04683077422166646,0.13464795599869428,0.1382952004954709,-0.27734831313290664,0.1286981439442578,0.012857533575912733
EML4,25,firebrick,firebrick,4,0.10480550137087621,0.012969862286513877,0.46903119670173216,0.12116108283902399,0.6934710592308809,0.10909399755547661,0.2147660253182664,0.06766098251453792,-0.3020530382002078,0.2688257362167026,0.2454529393658242
