,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEbrown,kMEdarkgrey,kMEdimgrey,kMEfirebrick,kMEgainsboro,kMElightcoral,kMElightgrey,kMEsilver,kMEsnow,kMEwhitesmoke
TTC3,24,gainsboro,gainsboro,5,-0.4861104988918526,0.3801852284039522,0.5330076836433773,0.6477314275781325,0.1350274724542577,0.948003684559509,0.3562043649677509,0.42146616266990417,-0.369653207978493,0.5740113993969204,0.2798337174093524
CDK14,24,gainsboro,gainsboro,5,-0.6201661645954736,0.47581056038481667,0.4867014909820859,0.74399621802983,0.12693271665946287,0.9427783510713867,0.3889810080853612,0.4214814847872933,-0.2449767779575627,0.6471601015106218,0.27342960548362394
CPEB4,24,gainsboro,gainsboro,5,-0.53780157181224,0.5121366973067677,0.4379423089132795,0.6683986911975178,0.16714609849344725,0.9411191936686887,0.34616591168203403,0.3270425472413237,-0.26836212226994743,0.6134536937136129,0.33964638293818794
ASCC3,24,gainsboro,gainsboro,5,-0.4351529069961852,0.2785709420070332,0.38676784903992567,0.5611064661288327,0.16436746133679248,0.934622220524927,0.27769205606271646,0.3743637270953525,-0.33806422692524785,0.5378028549985656,0.2916866662171959
LUC7L3,24,gainsboro,gainsboro,5,-0.32297872323279325,0.28869363364976197,0.5014100954501822,0.5142929385161285,0.11059031129664222,0.8853383731778919,0.133025129566371,0.40836529180970094,-0.3933570058570016,0.47950059231985326,0.22412887455820865
PPP6R3,25,gainsboro,gainsboro,5,-0.42280732597430265,0.3670984334433047,0.6086286973244446,0.6854778322552874,0.27086430401846145,0.8830347537255875,0.38331336915830466,0.5147512503770975,-0.4378901567752568,0.6425764210097825,0.3431632821176262
SEL1L,24,gainsboro,gainsboro,5,-0.6014666507100926,0.32020572780850365,0.5435241856149534,0.6889766110963418,0.07394147314840199,0.8829451661532219,0.3695245776599224,0.3725206861971065,-0.17498789053056402,0.6343263833823471,0.2139723311278747
PPP2R2A,25,gainsboro,gainsboro,5,-0.32137676682554783,0.38731569217662254,0.4620601952402024,0.5573048101321556,0.2448688295873886,0.8747799514977468,0.4281999452609478,0.5764563952271934,-0.48785734558922356,0.5512406218656525,0.4629580089281415
KANSL1,25,gainsboro,gainsboro,5,-0.351766045209942,0.324849222450308,0.4696549114762035,0.6137234005072362,0.14031325047257673,0.8700054825173641,0.45433392124088606,0.7363416591313838,-0.5515002431563045,0.6368765992013231,0.37105791009073535
PHIP,24,gainsboro,gainsboro,5,-0.2785002841071397,0.16455914877458191,0.25263043155528947,0.4038706041304683,0.09254023110056832,0.8586452077701389,0.11265967046425683,0.22136905603910942,-0.2603284583856549,0.43600066124648235,0.22562186798575254
PCGF5,24,gainsboro,gainsboro,5,-0.4265340707928002,0.2803044830361064,0.27798982977179404,0.5129628066178399,0.057652832545720276,0.8462806003231104,0.28213824237383067,0.271502541466001,-0.2068404629475233,0.4968517575585573,0.10393409889506532
TRPM7,25,gainsboro,gainsboro,5,-0.40047261698724246,0.3936428023285011,0.6290926165684693,0.6792069393445301,0.35530059955516885,0.8425498504024526,0.28546061317547805,0.43823665750216173,-0.5221643643097954,0.7769730525049882,0.620451968928203
MARCH6,24,gainsboro,gainsboro,5,-0.33755292593167047,0.173119155759819,0.3573105348429656,0.47917827240179983,0.17626072928468323,0.8419530414949181,0.25721846264791176,0.2568505325072674,-0.30414744332155863,0.456908739371892,0.04738308873394971
NKTR,24,gainsboro,gainsboro,5,-0.32264432341933746,0.09655559207401189,0.3838316988712698,0.43022613345656946,0.05231488440714176,0.8221217447324316,0.18971896094368673,0.27309167159986897,-0.24268680247881366,0.32201870365374186,0.1298327974784551
LARP1,23,gainsboro,gainsboro,5,-0.35977839330538963,0.30953981232073785,0.29794312870474765,0.48624491417883803,-0.02576503897206898,0.8205868839607988,0.14940975271405715,0.2474324167324006,-0.2525521981779597,0.3566784781753657,0.6700415958150328
GIGYF2,25,gainsboro,gainsboro,5,-0.4899233173080501,0.5967742923017859,0.5692302759580279,0.7309833177636222,0.173113696141797,0.8189039969490107,0.6893230981351665,0.47054455152533825,-0.4572011413507685,0.6168089005357633,0.7255522579851117
NSD1,25,gainsboro,gainsboro,5,-0.29904243715981743,0.4163578985509955,0.4046245509139224,0.5047214370922012,0.032803692934730296,0.8167522003841253,0.5195612889429095,0.49993555856433886,-0.5333986841304829,0.4361950728610092,0.48749068565178577
TASOR2,23,gainsboro,gainsboro,5,-0.47009616309787805,0.24338756722489405,0.44791010682752147,0.6100800651209075,0.06071224701435928,0.809314553227944,0.3695176811765515,0.6524822022729317,-0.247665379206016,0.45685760939297504,0.16207561210671306
