,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEbrown,kMEdarkgrey,kMEdimgrey,kMEfirebrick,kMEgainsboro,kMElightcoral,kMElightgrey,kMEsilver,kMEsnow,kMEwhitesmoke
TMEM131,22,lightcoral,lightcoral,6,-0.4464439359720961,0.42475377280688886,0.4027771610334393,0.5876720501016365,0.4735412912587669,0.4329386378414509,0.9318903935391202,0.48108503085727705,-0.3246322572674134,0.5023563845460083,0.19612242243114678
EXOC6B,23,lightcoral,lightcoral,6,-0.3367252282100291,0.3823444655659415,0.24934583899161225,0.43158790534484587,0.10455004527829136,0.27233222332379725,0.9079326705388628,0.2703689868597217,-0.21336238623406353,0.26752751228444777,0.11687023934764207
TRAPPC9,25,lightcoral,lightcoral,6,-0.5073113389819266,0.6902672636459569,0.6320336687950895,0.7502852358638736,0.4561889773458077,0.58190554828596,0.9045371439261182,0.5909308431583239,-0.5110160857280512,0.7380643659489918,0.36134935268318724
CDK6,23,lightcoral,lightcoral,6,-0.44289309333533755,0.5314529991658409,0.27892076507034774,0.4916670600244641,-0.04843898686380236,0.349152036004604,0.8679690675324212,0.18674509627429614,-0.1305221101347065,0.29694926145478057,0.21952079435172825
AOPEP,21,lightcoral,lightcoral,6,-0.46025888104985757,0.3398980035813442,0.3299320907223296,0.5944482373726501,0.4752243220626837,0.38943603123409615,0.8338820411059904,0.33965985918522085,-0.22090333273819604,0.4607641154451553,0.1908635222256878
PAPOLA,24,lightcoral,lightcoral,6,-0.43238622395734,0.6009670605462002,0.3262499820803185,0.4949685406160037,0.13989463037234373,0.3275405983458956,0.831529282329442,0.4027501935725219,-0.1558540503779567,0.33738872580353363,0.10883245575278218
BTAF1,24,lightcoral,lightcoral,6,-0.3871082974979982,0.7581600484367438,0.408282057301568,0.5357998935320728,0.07977235616772264,0.42608991341578234,0.8231901462619006,0.5159558713463117,-0.3127794586386282,0.4486847037026391,0.21691344979040525
DUSP16,21,lightcoral,lightcoral,6,-0.33219320080286535,0.3155181682591497,0.6058906080975531,0.4825984619451974,0.5293781075454616,0.243079057708663,0.800935274131222,0.33756652010220034,-0.27393618081146476,0.34718267362359356,0.135107719026449
CHD9,25,lightcoral,lightcoral,6,-0.5940251071546394,0.32042287093956445,0.5820294628773703,0.7419641784589338,0.36940205703498064,0.6355113130078612,0.7914562931805088,0.4927732487990814,-0.36320549816755227,0.7559573690384739,0.3314742727474175
RCOR3,20,lightcoral,lightcoral,6,-0.47411644795006425,0.36613160099327563,0.3954569415613022,0.6115875306287601,0.2694830936405216,0.4106470895312805,0.7782139185639522,0.5947876672171941,-0.26674253460436,0.6606546337901331,0.1205671832453436
SIK2,21,lightcoral,lightcoral,6,-0.5003362528438308,0.28854357775795597,0.07580666736064376,0.43286257045912396,0.24617066114097438,0.15501856961995536,0.7743999422834875,0.15322553726748495,0.014239604303990523,0.22325510575424176,0.11805414834872335
SETD5,24,lightcoral,lightcoral,6,-0.42878163665000735,0.18993993298023254,0.3617354845566805,0.5510307003109588,0.11762087107708366,0.38376131508827355,0.7707932569563242,0.41182013933280087,-0.2542291623814634,0.47042625632686835,0.25416587490900805
CCDC91,24,lightcoral,lightcoral,6,-0.41383220211955835,0.2798383850170632,0.31060382726144303,0.5005991287961736,0.06530677953401813,0.31412644269354517,0.7706720368226062,0.3391105849677279,-0.18531312658743007,0.2645761150560771,0.2836065756529497
PCCA,24,lightcoral,lightcoral,6,-0.3464026441800905,0.7146258105648923,0.4550630149098606,0.5009219997518491,0.1375710549076703,0.2841850136870187,0.7692838311846191,0.35077985327092215,-0.28063988780135224,0.46240708021312715,0.21576019849141115
KIF13B,25,lightcoral,lightcoral,6,-0.03338068458055906,0.43981051506547786,0.09964705086597504,0.1738232909632451,0.28865556301919865,0.28742622361407977,0.7674293616266693,0.2720298881640117,-0.2517996858074721,0.15209806216612706,0.055546341008473554
TLK1,24,lightcoral,lightcoral,6,-0.3380634370319581,0.6466297767014009,0.3938893316328548,0.4882891624310777,0.08359067925266637,0.5265652155585265,0.7582738637070859,0.43669797352067935,-0.2750817128275041,0.3732098337525785,0.19631976970824855
DMXL1,23,lightcoral,lightcoral,6,-0.44199374340135367,0.2351558555808475,0.3403111854957174,0.5546751964907404,0.5577597073599344,0.4103319661280072,0.7149727451927472,0.342296767858372,-0.28326011716836813,0.4876158024050667,0.3128784051602731
PARP14,24,lightcoral,lightcoral,6,-0.28725264058216016,0.7040550786996509,0.44588280223698873,0.43420373403856155,0.08911707517077475,0.34388409946273724,0.7082324991485152,0.39035858800160483,-0.26680324691018525,0.3643398747339746,0.057191030159267096
FAM120A,24,lightcoral,lightcoral,6,-0.3713599323097321,0.7044028945538976,0.34659739783094534,0.48107345210080793,0.10794033933712609,0.4168123297542409,0.6999021203033229,0.3614437370289849,-0.2289564372326566,0.44882057786457097,0.23862777527632506
RSRC1,24,lightcoral,lightcoral,6,-0.51847886490466,0.17919763837749936,0.2908181476159119,0.5524881107017239,0.00159268341509319,0.3713306163993679,0.6996411591326999,0.23075709914112852,-0.04676102702058944,0.29846991037793036,0.33163212055067176
SIL1,23,lightcoral,lightcoral,6,-0.44158491395608523,0.1905963443996113,0.366210481682441,0.5777688790822042,0.5601923771331161,0.4305235060662319,0.6922269789475709,0.42162551967309925,-0.29191977903531313,0.4863921618168843,0.34684479117145794
ADK,25,lightcoral,lightcoral,6,-0.3985202601725875,0.2481865689808905,0.5829587887564731,0.5490618704538468,0.24612368617952687,0.5409647320253012,0.6787580512620388,0.33109513952763636,-0.4466551538696541,0.5340548117239541,0.32876283659902356
CAB39,24,lightcoral,lightcoral,6,-0.32957810479606275,0.6042886659022735,0.4178212330865137,0.44756426794141374,0.058505416321824495,0.3262059661815007,0.6770471534901628,0.4254608626468637,-0.2597967974388546,0.3722308038041787,0.1146420213660503
QKI,24,lightcoral,lightcoral,6,-0.355720199966054,0.5721526913142444,0.280403444328152,0.4069996430242742,0.014094202173029827,0.20922478047434828,0.668906031437738,0.2315637350502577,-0.023281286966190216,0.3430855657330542,0.09309924399115165
TPR,24,lightcoral,lightcoral,6,-0.2914505494011328,0.16167097204754866,0.2940346029747797,0.38506294064112,-0.08413718838781661,0.3141301485326815,0.6666355174757419,0.21934911654328024,-0.24477062928254908,0.18973097527514285,0.2620431372142599
STAG2,24,lightcoral,lightcoral,6,-0.22697232539306267,0.6757315266411639,0.3185530875753749,0.36114544587377917,0.11608170587309535,0.33929165932983346,0.6637255264896008,0.2750175045523718,-0.24500007716141964,0.376142436095278,0.2274864538244123
NAP1L4,25,lightcoral,lightcoral,6,-0.3862422359155839,0.5929804974706286,0.5143917204043118,0.5893860708382282,-0.06559544870138866,0.49416718547903354,0.6610306398116458,0.473083767220535,-0.4049836672120725,0.5362117952657122,0.31267100881082455
SETBP1,22,lightcoral,lightcoral,6,-0.43795970600267103,0.4223866187846377,0.3603592170100885,0.45469963793542256,0.5227323715371845,0.40919575749475456,0.6485430755460275,0.3356809297417682,-0.2127401486962848,0.48802577266767677,0.24396866329195788
ATP9B,24,lightcoral,lightcoral,6,-0.4847971220807713,0.254180708989296,0.382875223544197,0.5878709263534498,0.020795159218113243,0.4587067795473715,0.6427538670900933,0.28096527561388346,-0.16273089408277938,0.3647754462714787,0.3611495125073709
LRCH1,24,lightcoral,lightcoral,6,-0.4470985113576439,0.06970264621376439,0.1557308778489863,0.44575060189719945,-0.10733421939955455,0.34302497138112337,0.6416404413745513,0.19602538994654364,-0.030464554742650862,0.23463245719766004,0.17877770661488754
CHD6,24,lightcoral,lightcoral,6,-0.4205879007755943,0.08730785043830218,0.21263921693726512,0.4703752852950945,0.08122529531322494,0.2838954786041516,0.6295174504299881,0.2696501953199456,-0.13977635610435574,0.35909741168807635,0.32966822865942214
TFR2,18,lightcoral,lightcoral,6,-0.4119978973569245,0.11520390506567248,0.39907727294819356,0.3671401474479043,0.20970863758867192,0.14174104940145818,0.6257246075104179,0.44514985328922285,-0.1480647833924036,0.20962829691476415,0.04366894022845591
TLN1,24,lightcoral,lightcoral,6,-0.21619475914551098,0.6010823911915787,0.13935295166674658,0.24969419872196333,0.017725060164316467,0.15770327760999506,0.6223736737646864,0.17290033800516103,-0.14798726894591277,0.23565537674973433,0.20364678547759205
ASXL1,24,lightcoral,lightcoral,6,-0.19984824973124277,0.5550604093672483,0.3172241518994218,0.29517872224176245,-0.07945244501729701,0.18344204607921424,0.6163047475850578,0.2566608963190889,-0.14312036845500042,0.2586295354502809,0.15280499993171193
ARID1B,25,lightcoral,lightcoral,6,-0.3591403666753406,0.44904735384963856,0.49626447975665394,0.49810665650343866,0.37922008596113027,0.4576153001022465,0.6002271476752542,0.39556163870218547,-0.25375548843690615,0.5543819475022436,0.32009017015897184
CELF1,24,lightcoral,lightcoral,6,-0.13967635212886767,0.5085823221127999,0.26224803253782064,0.22403924565193778,0.016552377722094398,0.2967794322082082,0.599030141898285,0.2680348401642874,-0.20401359644131808,0.16887260611063654,0.11817070690867312
ARHGAP5,22,lightcoral,lightcoral,6,-0.34211606546701223,0.16626698670166173,0.3245849342544944,0.5317887306725908,0.6005959786256191,0.41257092979706483,0.5919044549427496,0.32840770097251304,-0.3217659115405118,0.47264434949609585,0.25509295778058405
ITSN1,22,lightcoral,lightcoral,6,-0.4247494680042531,0.0977718774541657,0.3539323101418063,0.524719481749811,0.4253124781657807,0.3944544717454988,0.5905367438223734,0.5969517175962948,-0.25810092280185676,0.4439395638038151,0.25068461143559756
ANKIB1,24,lightcoral,lightcoral,6,-0.3576141761875958,0.1754909503926947,0.22850926609260255,0.43122896089632573,-0.06687397728513006,0.2742144032838719,0.5768776145204103,0.25871129191906445,-0.1585857621652664,0.19696220629415204,0.3175266448819337
