,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEbrown,kMEdarkgrey,kMEdimgrey,kMEfirebrick,kMEgainsboro,kMElightcoral,kMElightgrey,kMEsilver,kMEsnow,kMEwhitesmoke
VPS13A,24,lightgrey,lightgrey,7,-0.34564843251171057,0.22934631758250432,0.39168050620295136,0.5009672293403259,0.07504990024120389,0.39531250534443524,0.3473339650907085,0.832359312875149,-0.2523909332239767,0.4331306477048344,0.17393029067648222
SMYD3,24,lightgrey,lightgrey,7,-0.2666033309535434,0.11808322267075189,0.34591297797710885,0.4086253784710824,-0.010599579651267626,0.3590059760104246,0.26246402971412097,0.8201208324822643,-0.2431561481144805,0.35113384871086706,0.11593478605302002
SFPQ,24,lightgrey,lightgrey,7,-0.28918534987659666,0.23186745849757875,0.2654373317473773,0.40846329360450606,-0.000571400443837661,0.28839575821840646,0.31694941101244567,0.8023032508227524,-0.253208011286407,0.3215404610626647,0.13662850219181716
WWOX,24,lightgrey,lightgrey,7,-0.2785329056067151,0.12644305129247016,0.4001227819941374,0.4304517489347867,0.009087128132000626,0.38018417206845667,0.22987351181046597,0.7966957219202112,-0.2428073981948331,0.32545588045908597,0.32064082486074214
TUT7,23,lightgrey,lightgrey,7,-0.24776648418008368,0.4359723949287607,0.4928461247440048,0.4565058987847766,0.11215068266819662,0.43439082457444494,0.5899591137306491,0.7884534046649682,-0.3953751553216701,0.37468268897488793,0.08649294931658098
GOLPH3,24,lightgrey,lightgrey,7,-0.35044551773425625,0.18470643449125226,0.4108667477851504,0.48342826946137757,-0.02482239242927572,0.3636503563226663,0.26297287481236625,0.7797920374329443,-0.2036146897218734,0.47869840129111313,0.2584243958678255
RRBP1,23,lightgrey,lightgrey,7,-0.4828365803519051,0.274429600365368,0.5338876154105852,0.6603858733129352,0.5326654588551802,0.5289054585337166,0.5456498358866191,0.7709408689809654,-0.35172121356711905,0.6095804006985566,0.21483553544719777
HTT,24,lightgrey,lightgrey,7,-0.11244897541466574,0.1909479563996333,0.30961224044794855,0.30106299837062417,-0.011740044763965424,0.33905668136150596,0.11458607454576608,0.7667911780147556,-0.2988649676867845,0.3313417178342056,0.1650477928228194
ECPAS,24,lightgrey,lightgrey,7,-0.4747644255012492,0.2515436588464022,0.5290333815477438,0.5985418707958472,0.019663392884249536,0.46984761697930316,0.394737978219229,0.7552364845125588,-0.17072239254413665,0.5181635463614541,0.22502972454099335
GPATCH8,24,lightgrey,lightgrey,7,-0.07911139928684176,0.12695691927481062,0.25640491533921994,0.21851401834425738,-0.013440863298412866,0.15768520301127145,0.06640705100858647,0.7548706730990038,-0.26464500683741865,0.16912351209218046,-0.01925285299058001
WDR70,25,lightgrey,lightgrey,7,-0.3945027308599011,0.2344361011747779,0.5258701135221355,0.60491531546133,0.11757685174625336,0.6501473623636388,0.23886446772701392,0.7492660228894603,-0.35464765546756766,0.5541128504021875,0.370862850749322
CNOT4,23,lightgrey,lightgrey,7,-0.3644361723203197,0.49751565084839205,0.40194858497768404,0.4767428490375196,-0.030101584239742067,0.4105715174468345,0.6008231426812823,0.694760701711489,-0.21582175217840455,0.3612163074067629,0.14193202521253304
SETX,24,lightgrey,lightgrey,7,-0.20688709672498568,0.0761491083443219,0.19864835580086385,0.27807061122224824,0.07446001256673232,0.20006801158337142,0.19513049390085055,0.6836607675177598,-0.16626025354891608,0.21447817406524872,0.03440583004076496
NRDC,23,lightgrey,lightgrey,7,-0.4522554516444518,0.3180951296000457,0.4303152905444206,0.6103612595515305,0.04428690844408518,0.5885683113138438,0.30619713734255416,0.6796723884843536,-0.24336016884900227,0.4563389657263417,0.7313691187782214
NFIA,22,lightgrey,lightgrey,7,-0.31244252527285515,0.4376728633740681,0.36710457918183687,0.46633077579706866,-0.05640691847283106,0.2868119063327028,0.4645214602356258,0.6779690575918903,-0.24552781693424147,0.3277460481295759,0.214346895032676
