,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEbrown,kMEdarkgrey,kMEdimgrey,kMEfirebrick,kMEgainsboro,kMElightcoral,kMElightgrey,kMEsilver,kMEsnow,kMEwhitesmoke
RPL10,24,silver,silver,8,-0.21851053511916055,-0.3043354347876863,-0.48735211636246123,-0.17975814382936595,-0.3529749290717271,-0.3968291331008602,-0.30116104640314495,-0.6781997967641414,0.975206546243551,-0.4689505347449687,-0.348447144294594
RPS19,24,silver,silver,8,-0.08689840995207197,-0.3857247924250047,-0.5605686133612124,-0.3166699204486508,-0.36370409560342065,-0.4777942897223392,-0.3831253728033308,-0.7372935871579396,0.9735447580165324,-0.5676227109813333,-0.42356896220760065
RPS16,23,silver,silver,8,-0.232087598093013,-0.3407195364642707,-0.5900836135588415,-0.20620412861512635,-0.46023643363935274,-0.4386020611037727,-0.30536112929124454,-0.6353612093313444,0.9590472969347863,-0.5321952936519312,-0.3706482200950332
RPL19,23,silver,silver,8,-0.23008956084931573,-0.3233689283516332,-0.5964951282832238,-0.2106632731059655,-0.4444986501351907,-0.45527607531658937,-0.2794577284127596,-0.6470726317809589,0.9582248075064881,-0.5123861070148475,-0.37226233515158363
RPL11,23,silver,silver,8,-0.24914849993835855,-0.3225891012814915,-0.555185837020352,-0.1821077149493134,-0.4053780412525716,-0.4175444157542269,-0.25246628641529906,-0.6290131041894617,0.9572890362770549,-0.4938839659298899,-0.3771664470149535
RPS28,24,silver,silver,8,-0.055853846556873275,-0.3745923030592014,-0.5721989997499441,-0.32350758916245825,-0.35207202309178837,-0.49342985422648716,-0.3861815531318732,-0.7302287444332978,0.9568135810895453,-0.57113719186529,-0.42551808095394533
RPL26,23,silver,silver,8,-0.1616306664039472,-0.3805706649732953,-0.6061531085975745,-0.2702101481211544,-0.4272564569831321,-0.4622500020483557,-0.3692335338196932,-0.6775794388286198,0.9542823093340779,-0.5631081504127288,-0.40698527367533255
RPS13,23,silver,silver,8,-0.20675444032197804,-0.36217413399115006,-0.5653795482766415,-0.23060726131677298,-0.4631138096339341,-0.4342642105119153,-0.3686230625554871,-0.6339173370807275,0.9535886769034968,-0.5352344026445123,-0.38656289872870075
RPL7,23,silver,silver,8,-0.2049431371472158,-0.3430444636627729,-0.5467372664730931,-0.22350814058247245,-0.4324888791472263,-0.4979761639090949,-0.30301330570276375,-0.6231949312183915,0.953571429247606,-0.5301954014835754,-0.4066701613857385
RPL21,23,silver,silver,8,-0.1521780897832213,-0.37324881986533626,-0.6072865540796322,-0.2866119801022726,-0.4389741626878257,-0.4931060544125203,-0.3559816088140792,-0.6764496514179987,0.9535183451373156,-0.5592925791697495,-0.42987575263601696
HLA-C,25,silver,silver,8,-0.10083718380991587,-0.42457505288104486,-0.5522930196508268,-0.32178275445086857,-0.4012657351973752,-0.4603389302404666,-0.4136881417655219,-0.6836026261484477,0.9504385922267823,-0.59998296197484,-0.4080094448064158
RPS12,24,silver,silver,8,-0.0361331181213037,-0.41416817536875833,-0.5574598950914813,-0.36232277304634913,-0.40850714549127287,-0.5238011810191519,-0.4207480556280595,-0.7508546619499119,0.9497106040056893,-0.6070419515159803,-0.466832364885137
