,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEbrown,kMEdarkgrey,kMEdimgrey,kMEfirebrick,kMEgainsboro,kMElightcoral,kMElightgrey,kMEsilver,kMEsnow,kMEwhitesmoke
ITPR2,25,snow,snow,9,-0.5204256635768709,0.5558823629241559,0.5299846095058008,0.7102477779647266,0.38944252530806417,0.7060652126698901,0.5424473148009626,0.4938343587174748,-0.43249754509034505,0.9131847032605437,0.4206917886588188
SEC63,24,snow,snow,9,-0.36747973283965835,0.3783567600744327,0.45801076376565575,0.5672035935663312,0.13361434881253018,0.4472156415246918,0.2764255485422193,0.36930112028542655,-0.3653817705644015,0.892047183895864,0.3105259713309493
CNOT1,25,snow,snow,9,-0.3879883607062667,0.6023675109376075,0.550605527935057,0.633180263199656,0.2161984184626522,0.7142604394148603,0.5241902015334302,0.4978351918853277,-0.5820999527027264,0.8686089293792808,0.3964194350803588
RAB2A,24,snow,snow,9,-0.4562932001914239,0.4562277014049163,0.35430096814168044,0.5753297196119674,-0.01108138186999447,0.31689453982476745,0.3619033962555406,0.46139129559792375,-0.25034187301059857,0.8370948233105693,0.33114823664868176
TRPC4AP,25,snow,snow,9,-0.3195700151004295,0.5148436001561753,0.6807104251084526,0.5744131452172921,0.6073503501912442,0.4704717132828928,0.43143180912789364,0.6122445509012091,-0.565503567794056,0.8366113741543543,0.40396497849731616
SEC31A,24,snow,snow,9,-0.4126826233363101,0.3640782212036629,0.3733422975780872,0.5615479817440889,-0.05062960188174095,0.35865690963862495,0.34811700955570646,0.36905051161597435,-0.27104388914926,0.8358886583074432,0.3409323445597073
PUM2,25,snow,snow,9,-0.4279390205016161,0.3646724693792448,0.30070438870677646,0.5472385869387671,0.31193857537272296,0.5533633098107155,0.38589830142583426,0.3721846950472331,-0.2737547417224624,0.8223953423394168,0.36766626703660493
P4HB,24,snow,snow,9,-0.5115368667816582,0.28777375869523547,0.39018501867880534,0.5959770720090737,-0.11850923343232092,0.3829101461348122,0.3420829721177053,0.3280264800773653,-0.18548510812640734,0.8026277276728044,0.27580759089751933
HERC2,24,snow,snow,9,-0.3343567589646108,0.25888125120130046,0.40131054519571474,0.48793685093636885,0.04002660436241318,0.4171303664771353,0.3035871244228469,0.32790706456230234,-0.29260640322716114,0.7953149114799174,0.12063497200819366
MYCBP2,25,snow,snow,9,-0.3862781835320501,0.2124457704141832,0.3941623474919327,0.5489363107268412,0.1100924783137073,0.5850787697224681,0.3864164366955695,0.31519289981056603,-0.26879221049372026,0.7923318060109795,0.28209919409315404
