,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEbrown,kMEdarkgrey,kMEdimgrey,kMEfirebrick,kMEgainsboro,kMElightcoral,kMElightgrey,kMEsilver,kMEsnow,kMEwhitesmoke
LCOR,24,whitesmoke,whitesmoke,10,-0.28797076886274386,0.44528040892886944,0.37156995057793923,0.4317559501811249,0.007044688507802071,0.4823430838498018,0.16732589204674297,0.23375824602435594,-0.2568823337059014,0.4583563903776823,0.957614205371593
ARFGEF2,24,whitesmoke,whitesmoke,10,-0.4035568772347923,0.5693002023464956,0.4245719566086543,0.5971363942900971,0.06705234216835275,0.5726233387039185,0.3870242266629282,0.44321898188228664,-0.37155239771782583,0.5662756171604151,0.9495386130458943
MAPK14,24,whitesmoke,whitesmoke,10,-0.2622844144824564,0.3177727619126621,0.25103781370367023,0.3992545561556614,0.019022183846695247,0.396828356912936,0.223513020006075,0.26224170234169375,-0.23504066881240823,0.39716170275705864,0.9467344641114706
DENND5B,24,whitesmoke,whitesmoke,10,-0.45590558918727225,0.4280582549943884,0.5846357797555012,0.668454235144065,0.21737630357038418,0.6575092622650155,0.44312019142657544,0.5300749945552465,-0.41421900370801673,0.601859036157524,0.9323925556351039
PARP4,24,whitesmoke,whitesmoke,10,-0.10228623529619184,0.20235979450417002,0.1613974007865674,0.23643931193305404,-0.018407511124501647,0.205122777220573,0.09241753841024052,0.15540631586211587,-0.22504289668039668,0.28311026193927924,0.9261429952235961
RALGPS2,24,whitesmoke,whitesmoke,10,-0.5169487735989099,0.5313555742792666,0.5699561706619506,0.6912288081484389,0.12360207888418782,0.597832688230741,0.48006374558824766,0.52405258235243,-0.3337964974903469,0.6123513953084757,0.9160860930010272
HIBCH,25,whitesmoke,whitesmoke,10,-0.23013643570628578,0.4414939886272209,0.29940493864981954,0.4505216422753648,0.026489429614528843,0.5524558404402843,0.13369983799595203,0.37855672257369394,-0.3654503413192343,0.5169738560423957,0.8301196853339596
USP32,24,whitesmoke,whitesmoke,10,0.10750618063284915,0.2690665839950631,0.1011312866079657,0.06941679351682255,-0.07156987640740727,0.22742344380493335,-0.047495248428238754,0.16479747463757433,-0.3564078898828655,0.07029042545874731,0.8216723983018445
PNISR,23,whitesmoke,whitesmoke,10,-0.2875764847331818,0.22539221838610832,0.3701708176070747,0.4752289210085571,0.05817662426014306,0.5083747595419065,0.48590836597022175,0.29359387802576037,-0.3609815258324707,0.3676534377700893,0.7929431207210281
LINC01578,25,whitesmoke,whitesmoke,10,-0.2587892749711354,0.4751088647880891,0.4773396127435851,0.4802815365234204,0.3414708542481786,0.36873654571297426,0.4161082578174621,0.2796143998641969,-0.43049238930418304,0.5037871806648762,0.780802311281441
