,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMElightgrey
MT-CO3,223,black,black,0,0.9810165179303055,-0.5880295715060994,0.06755380798136101,-0.8530878182221462,-0.16562782562494865
MT-ND4,223,black,black,0,0.9803943434389601,-0.5598251507397645,0.10393327715728516,-0.8791035018121492,-0.15099119678579986
MT-ATP6,223,black,black,0,0.979505841017477,-0.5189568552995548,0.16176166733355168,-0.8791214409946758,-0.27105690327747084
MT-ND2,223,black,black,0,0.9760219265053706,-0.5762391221884985,0.08822793203114855,-0.8756717562129018,-0.144547930251182
MT-CO1,223,black,black,0,0.9720797448687426,-0.5725918504633359,0.08085195494432967,-0.881628768651824,-0.07204190250200798
MT-CYB,223,black,black,0,0.9710026161889868,-0.632664614969959,-0.002027704046776713,-0.8130242198757723,-0.11791481672848357
MT-CO2,223,black,black,0,0.9689182186172419,-0.6071999839188243,0.015104068191575185,-0.8083846135974265,-0.12620376710262107
MT-ND1,223,black,black,0,0.9626994858430166,-0.6253287911928449,0.016033339722461386,-0.8443608620511853,-0.10153273970030353
MT-ND5,223,black,black,0,0.9302136161704315,-0.6209781726484452,-0.03130588757053001,-0.7961205029690589,0.050928124080385155
MTRNR2L12,159,black,black,0,0.908132011290379,-0.3812991026561156,0.27684405627464825,-0.8499034523513923,-0.372757135508872
MT-ND3,223,black,black,0,0.9056107588167945,-0.44679755113309394,0.2250949418281984,-0.8828300967462149,-0.32541365285603624
HSP90AA1,223,black,black,0,0.902240069962262,-0.5235959305023372,0.05768920006513815,-0.7025720646416993,-0.25751524156115624
AC105402-3,127,black,black,0,0.8495031968169926,-0.5950539466691843,0.006155603519893572,-0.7277155469036132,-0.39193202916860487
JUN,222,black,black,0,0.8433528474758732,-0.6266645727822051,-0.09183697563677283,-0.6151667326042354,-0.13632056040537113
HSPA1A,196,black,black,0,0.811912929996583,-0.6674782087712088,-0.19518710208191406,-0.5417031680105373,-0.20741257508185484
PLCG2,221,black,black,0,0.7986874512281169,-0.131262688067912,0.4755629945481814,-0.8104092733837451,-0.4020629788392091
KLF6,223,black,black,0,0.7933476073434957,-0.6495264006659728,-0.134245657758734,-0.555456889606629,-0.2280181554985223
DNAJA1,219,black,black,0,0.7929853361936102,-0.5279461988246447,-0.022792259579367757,-0.5734082467177806,-0.24140333033223396
NUFIP2,223,black,black,0,0.7771228541191808,-0.2630353033331024,0.3082626281709863,-0.7388388094243977,-0.3201542163597402
JUND,223,black,black,0,0.7633965466457902,-0.7030749971893284,-0.2801386417456385,-0.46168355834546415,-0.09033562835342655
PTMA,223,black,black,0,0.7572143680265896,-0.8431013212882912,-0.41810523372803154,-0.46584983858507456,0.02816353703811812
SAT1,223,black,black,0,0.7133142075998048,-0.4015835762051767,0.0974248690908829,-0.6006142438245676,-0.4751402670959105
DUSP1,222,black,black,0,0.7046325465206381,-0.7238234642405793,-0.28778424868580815,-0.46406147806898007,-0.07542006766896858
LITAF,222,black,black,0,0.6625542111394216,-0.5168683769091758,-0.09478648614888949,-0.5223852788090212,-0.10541215181220835
BTG1,223,black,black,0,0.6577339778773196,-0.36864853914422785,0.1850380125526219,-0.7501835172560608,-0.23710362018445447
UBC,223,black,black,0,0.6558911328340579,-0.8089267718046047,-0.49103440739488274,-0.30053827555223384,-0.04002660137860728
PABPC1,223,black,black,0,0.6446870598937869,-0.6386865075325296,-0.27620792301754277,-0.4075102480166094,-0.11715775076934634
HMGB1,223,black,black,0,0.625954490057856,-0.2349553741584909,0.27614651521268185,-0.685093398858129,-0.2522998061078825
HSPD1,223,black,black,0,0.6157524527990242,-0.46441111484382636,-0.134433107783598,-0.3127482443876775,-0.2362092814308798
MT-ATP8,223,black,black,0,0.6061478035640918,-0.5130015353868391,-0.1773883422127198,-0.5503435745838748,0.40487508968633534
TNFAIP3,223,black,black,0,0.601980133398375,-0.23681902928451953,0.24144774884560236,-0.5806962480965058,-0.4061614865024097
CEMIP2,223,black,black,0,0.583180835922269,-0.14871815755989604,0.35535360590448484,-0.6631857163934912,-0.4054844397775987
DDX5,223,black,black,0,0.5645756204537986,-0.1203098710020096,0.33313975948915736,-0.6093115132536647,-0.4447582132380585
