,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMElightgrey
PDE3B,223,darkgrey,darkgrey,1,-0.6087709281676793,0.8636833149518232,0.538963295098005,0.370114871882603,-0.24684122464105276
ARHGAP15,223,darkgrey,darkgrey,1,-0.45538248907137463,0.8231638015888011,0.6566900222861027,0.1260105576052549,-0.1833665757969565
CASK,223,darkgrey,darkgrey,1,-0.4462481223525138,0.8107861301863853,0.6328167947871934,0.1511114621223506,-0.16660311647126902
EML4,223,darkgrey,darkgrey,1,-0.2007430442925747,0.8079721834556093,0.8115961826832134,-0.09166184733606597,-0.39427846451337273
VPS13B,223,darkgrey,darkgrey,1,-0.5946663335945479,0.8022362930389118,0.4956076394891311,0.3259853583146359,-0.08487630691344931
LDLRAD4,223,darkgrey,darkgrey,1,-0.46054349275764905,0.7916371230356006,0.601486804218403,0.2457356774088103,-0.32677964800094994
LRBA,223,darkgrey,darkgrey,1,-0.40512219899216806,0.791075416498237,0.6516538482163056,0.12844865186112756,-0.24777715772637987
KIAA1109,223,darkgrey,darkgrey,1,-0.5547743686996776,0.7910449000088798,0.5070267212955567,0.2933288520315673,-0.1769865442820199
PCNX1,223,darkgrey,darkgrey,1,-0.47444690764773034,0.7847444064340222,0.6280272236610643,0.10655423121487062,-0.21807516048150252
PNISR,223,darkgrey,darkgrey,1,-0.3232635364085448,0.7843144134144375,0.6962241677266949,0.06698259375542466,-0.4120474506666364
LPP,223,darkgrey,darkgrey,1,-0.464629788354842,0.7789647301078536,0.5336812751150278,0.26102493036058627,-0.12647544295787583
KANSL1,223,darkgrey,darkgrey,1,-0.35535202221861767,0.7776402190291916,0.7049472323605095,-0.014414067646521459,-0.23005884820903763
DDX17,223,darkgrey,darkgrey,1,-0.533071482323422,0.7736788405942908,0.5228042585394739,0.24167365521114734,-0.16500747272922373
HERC4,223,darkgrey,darkgrey,1,-0.46696924398315354,0.7724176541001723,0.5735250178063541,0.1828160731848754,-0.20962341251567337
PHC3,223,darkgrey,darkgrey,1,-0.6144026241026199,0.7713944496770885,0.45553704683500906,0.3452627801474255,-0.14162259652575898
RUNX1,223,darkgrey,darkgrey,1,-0.5833357120201262,0.7712685671400544,0.4919295627047498,0.2896076143520296,-0.09854450093537037
RAPGEF6,223,darkgrey,darkgrey,1,-0.5085083377884208,0.7709073884572192,0.5485724695454338,0.20576336318150495,-0.11421640764664513
RESF1,223,darkgrey,darkgrey,1,-0.5825488777559149,0.7680858272644919,0.47531162751448386,0.23797411072527816,-0.03711064590911522
NKTR,223,darkgrey,darkgrey,1,-0.4583049946563391,0.7675975836834121,0.5684796912823162,0.2240366528297505,-0.3800121215026522
NR3C1,223,darkgrey,darkgrey,1,-0.6378167461240566,0.7666377132685401,0.42213442124133316,0.4183044336577678,-0.15323031549243962
SLC38A1,223,darkgrey,darkgrey,1,-0.5417697509766864,0.7634505225562774,0.5098665479526316,0.2675093229334471,-0.25506032568292514
ELMO1,223,darkgrey,darkgrey,1,-0.6854625193120558,0.7573260919289903,0.3843540160663685,0.4466323347347173,-0.05927491518689625
