,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMElightgrey
FYN,223,dimgrey,dimgrey,2,0.24978400871113907,0.4904915529479375,0.8627513753458282,-0.5750416178504997,-0.5390924134567386
FOXO1,223,dimgrey,dimgrey,2,-0.17855060862016311,0.8175035888803952,0.8562542783786808,-0.12860498930872621,-0.3796643343431022
SMCHD1,223,dimgrey,dimgrey,2,0.36955386394690837,0.4097948891825202,0.8475189430113891,-0.6520420883674295,-0.5117296837003751
CYTH1,223,dimgrey,dimgrey,2,0.2733430136479657,0.48351154519611306,0.8368132599041906,-0.5435200882086946,-0.48436417457346503
ANKRD11,223,dimgrey,dimgrey,2,0.15963890584854842,0.5467755830863393,0.8290224707286747,-0.4957712338728386,-0.3574580219714183
KMT2E,223,dimgrey,dimgrey,2,-0.04909628686039644,0.7020461654225534,0.8241959007240791,-0.20948747571990736,-0.4267230841404251
CBLB,223,dimgrey,dimgrey,2,0.1816144815789665,0.5181715494628549,0.8164368568447771,-0.43129813069116985,-0.5472986120143992
ANKRD12,223,dimgrey,dimgrey,2,-0.1606323672027386,0.7675247016208533,0.8155519099780023,-0.13391513649672043,-0.44825918866441566
ATF7IP,223,dimgrey,dimgrey,2,-0.0828055605978868,0.6838711729120345,0.8017530786224771,-0.24473213387524442,-0.33508703641657256
HERC1,223,dimgrey,dimgrey,2,-0.19143718746598898,0.7582216055506797,0.7942426143464321,-0.12642746764668983,-0.3899036714278145
CDC42SE2,223,dimgrey,dimgrey,2,0.4660630353608412,0.307437748241118,0.7919853690950602,-0.7279449575492907,-0.4841009662456518
TNRC6B,223,dimgrey,dimgrey,2,0.2268441307468774,0.43349036771838095,0.7791167926725729,-0.5729192578332679,-0.3533986274612968
JMJD1C,223,dimgrey,dimgrey,2,0.2513981284348906,0.4270830066642116,0.774295559884459,-0.5362880869680636,-0.36813268153876827
RBM6,223,dimgrey,dimgrey,2,0.3575173898383032,0.34950154822518054,0.7715317714966964,-0.6488157703188233,-0.4006423338084964
ARID4B,223,dimgrey,dimgrey,2,0.38743842965482894,0.34869017064274016,0.7707527813637278,-0.6159156869231269,-0.5073079202138481
PRKCH,223,dimgrey,dimgrey,2,0.17873770141546375,0.4553396735364306,0.7672288440615297,-0.4797353481790992,-0.5000420008920418
RBM25,223,dimgrey,dimgrey,2,0.02947706345628013,0.5865907761147238,0.763372277729218,-0.3088575904679571,-0.3048804695585111
CMIP,223,dimgrey,dimgrey,2,0.14539111103774888,0.506255386061592,0.7621784685297683,-0.4425774167839294,-0.2975647328247415
PIP4K2A,223,dimgrey,dimgrey,2,0.27326289077805777,0.3716429713596611,0.752885531378419,-0.6155484258808621,-0.3946960995644061
PACS1,223,dimgrey,dimgrey,2,0.026037437842133363,0.5408871709431224,0.7508284017246231,-0.3643386764943637,-0.42475887484237124
STIM1,223,dimgrey,dimgrey,2,0.21208483344934956,0.43961541819914207,0.7421223174224164,-0.4947205457779814,-0.37219954326064675
SRPK2,223,dimgrey,dimgrey,2,0.3656183165553227,0.33318868802057994,0.7377706369020113,-0.6177238801954632,-0.3849282599969057
TAOK3,223,dimgrey,dimgrey,2,0.46626346915786837,0.2460893445288557,0.7307935951753106,-0.704015337467026,-0.4003195606513234
AKAP13,223,dimgrey,dimgrey,2,0.2506860129390525,0.37342192826035997,0.7251855823373996,-0.5327650142085136,-0.36986364851815057
PITPNC1,223,dimgrey,dimgrey,2,0.5647820600335717,0.16891697752836474,0.7158844050115011,-0.8442535618681197,-0.3466373923746602
EPB41,223,dimgrey,dimgrey,2,0.08094346757708008,0.48845111079378556,0.7107858773450704,-0.39053807917979555,-0.35758840351174936
ZNF609,223,dimgrey,dimgrey,2,0.22013566582975921,0.3807255193651557,0.7061167678280872,-0.5477597360450529,-0.19760202361997856
GATAD2B,223,dimgrey,dimgrey,2,0.2592136953672664,0.3859729407223515,0.7059797200710156,-0.5052392575653812,-0.30924651937112113
PUM1,223,dimgrey,dimgrey,2,-0.056900130313298325,0.6144097316191276,0.7047745916574807,-0.15328670063939476,-0.3613503824905885
ASH1L,223,dimgrey,dimgrey,2,-0.05796701680761172,0.6080183043802921,0.7030653316377442,-0.21040796028693012,-0.35453065787545135
HNRNPC,223,dimgrey,dimgrey,2,-0.03353038549513564,0.5802488052852234,0.7024504164003016,-0.20356826888540705,-0.4491572944890921
MARK3,223,dimgrey,dimgrey,2,0.019650476729318005,0.5439304078199936,0.6996962233384156,-0.26230341240731514,-0.3687779081722329
WAC,223,dimgrey,dimgrey,2,-0.09316043735403445,0.6286351566959645,0.6995365560201978,-0.10974358165101566,-0.402470268824989
AKAP9,223,dimgrey,dimgrey,2,0.06533281324294253,0.5086935980655446,0.6978283565623865,-0.29509838163257684,-0.46108080303399707
USP34,223,dimgrey,dimgrey,2,-0.18378802914486686,0.6673833106838479,0.6941944917169722,-0.09478199665418605,-0.2729597119070496
CAMK1D,223,dimgrey,dimgrey,2,-0.014302398680900719,0.5287951224129279,0.6939594009202772,-0.3152546064792661,-0.20797713082003638
BPTF,223,dimgrey,dimgrey,2,0.38399094951615004,0.289469730683734,0.6906288130852242,-0.6360713218066183,-0.31574153236802305
RAPGEF1,223,dimgrey,dimgrey,2,0.2767659485579395,0.3459462426492355,0.6895677610754166,-0.49933199863039107,-0.3959239012371588
OGA,223,dimgrey,dimgrey,2,-0.18272914036877932,0.6654510309562844,0.6786817362689866,-0.06589569648017374,-0.35055590077606097
FKBP5,223,dimgrey,dimgrey,2,0.3318503819335636,0.2725247567343084,0.6766353514256729,-0.6504449930130923,-0.2197891325750241
PTPRC,223,dimgrey,dimgrey,2,0.289376102163835,0.30392455483523745,0.6746761032108738,-0.562868986416995,-0.4337336868318423
UBE2K,223,dimgrey,dimgrey,2,0.34263974020799465,0.32056754574992763,0.6713326269836604,-0.4872884243266156,-0.45153707781091196
GPCPD1,223,dimgrey,dimgrey,2,0.13461793108396441,0.44280312142883765,0.6709226494035643,-0.316456822756954,-0.4680682160768299
SLTM,223,dimgrey,dimgrey,2,0.315344856474943,0.3362492051782046,0.6708565321236956,-0.4742370911537565,-0.3402012171268208
MRTFA,223,dimgrey,dimgrey,2,0.38303033740083575,0.2716887624220821,0.6704413587584417,-0.5802539105287269,-0.2785725646329167
SIPA1L1,223,dimgrey,dimgrey,2,-0.06345686764416876,0.5928762883564075,0.6652415462495376,-0.12064418599247509,-0.31804983881551
CELF1,223,dimgrey,dimgrey,2,0.17497919145700747,0.4247360626141501,0.6639055595308662,-0.35928389712397873,-0.3165320080715084
NFAT5,223,dimgrey,dimgrey,2,0.3003041382756669,0.34417809778439906,0.6603158457791242,-0.39045382909324805,-0.5588875213836374
RORA,223,dimgrey,dimgrey,2,-0.1523355641649062,0.6314927562310756,0.6514941832257677,-0.06382244878920704,-0.2827042753533299
RABGAP1L,223,dimgrey,dimgrey,2,0.3759022385112548,0.2160691696905213,0.6413381132796981,-0.649195794906947,-0.34115189166895216
AC016831-7,223,dimgrey,dimgrey,2,-0.0372956944434993,0.5215016130849424,0.640496335372869,-0.1770355063856693,-0.3998136059842841
SMARCC1,223,dimgrey,dimgrey,2,0.05114759639793258,0.48159575111791253,0.6400577843784133,-0.27443835165332436,-0.1877928013714433
RNF115,223,dimgrey,dimgrey,2,0.31861555706547645,0.2740064975686219,0.6386584217964714,-0.5449398839528542,-0.35294704923994547
FAM49B,223,dimgrey,dimgrey,2,-0.1439519576858377,0.6109864464271132,0.6373036116501245,-0.11666348352511209,-0.23809034861831105
PICALM,223,dimgrey,dimgrey,2,-0.017504513807816913,0.4721933170467728,0.6344744283190386,-0.2424991901981414,-0.4120589703616637
RNF149,223,dimgrey,dimgrey,2,0.37767434487582674,0.22113087952982996,0.6313476573469005,-0.5645228344735086,-0.49690841765942084
PAFAH1B1,223,dimgrey,dimgrey,2,-0.13056767937969121,0.5915318012790959,0.6253848172177574,-0.0964624148610019,-0.22014529563073565
