,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMElightgrey
AZGP1,137,gainsboro,gainsboro,3,-0.799054218518954,0.2104530676053169,-0.4151105840979681,0.9394547866942637,0.08955056340566851
CFB,137,gainsboro,gainsboro,3,-0.8431978306845341,0.27709130707275026,-0.3629718019494416,0.9343300566175524,0.1508003421384239
PCK1,137,gainsboro,gainsboro,3,-0.8219586679626308,0.2661325363672417,-0.36294305184242864,0.9291174042585753,0.056210738188664774
AGT,135,gainsboro,gainsboro,3,-0.8306077078794291,0.25285564795300286,-0.39346379657788916,0.9257538828861869,0.24474985313920178
F2,136,gainsboro,gainsboro,3,-0.7764585002426025,0.2304435735633924,-0.38311874415624597,0.9243980832712771,0.17341424490170748
FGL1,134,gainsboro,gainsboro,3,-0.8483343414376616,0.25039912627723093,-0.40144750291807296,0.9229311122559885,0.29517908470493925
ORM1,142,gainsboro,gainsboro,3,-0.7839046537676377,0.2148557173956267,-0.3885218798236298,0.9176311316330446,0.08677003734332976
ALDOB,146,gainsboro,gainsboro,3,-0.8211389247326816,0.24357222993966907,-0.3751941148845515,0.9100064395019707,0.08270442937837537
IGFBP2,134,gainsboro,gainsboro,3,-0.7117288296819687,0.11615184829805772,-0.4683421681141025,0.907028617024562,0.09666593102735117
PLG,139,gainsboro,gainsboro,3,-0.8556322914306635,0.3276972254388606,-0.31575548828929945,0.9064182539734728,0.20229174962020857
HP,149,gainsboro,gainsboro,3,-0.8313072488420548,0.2846108992344099,-0.3339118275522175,0.9044371680276864,0.13677569216866392
FGB,153,gainsboro,gainsboro,3,-0.8167670669030477,0.3035835152278542,-0.3086795226444293,0.9019188693641704,0.13840164727094378
HMGCS2,116,gainsboro,gainsboro,3,-0.8268002315506076,0.2527643175309044,-0.3968989932202501,0.9014947018405107,0.2939236560420713
TMEM176A,132,gainsboro,gainsboro,3,-0.7242111136422863,0.11823678767424385,-0.4666295740235608,0.9008997917793857,0.16283233280383763
HPX,146,gainsboro,gainsboro,3,-0.769972822032245,0.17907793128136815,-0.4191576621116392,0.8989637607960723,0.17329395811034579
CLDN1,124,gainsboro,gainsboro,3,-0.8342843846729052,0.27403496576993,-0.36785293096771965,0.8984934564277083,0.2823565637319937
TAT,146,gainsboro,gainsboro,3,-0.7653056375119687,0.22002974793345206,-0.3773957728741355,0.8950715959721608,0.07565670176955608
PROX1,127,gainsboro,gainsboro,3,-0.8177811956789509,0.2550998427573847,-0.37890711476178274,0.8901313292585936,0.2685102366701889
FGA,158,gainsboro,gainsboro,3,-0.8333391693929092,0.37368081782934875,-0.23154508489746656,0.8817317847482969,0.09768669511514332
GC,150,gainsboro,gainsboro,3,-0.7204302798425328,0.17028532934813753,-0.40562084727306935,0.8790122702679933,0.12031579607741
TM4SF4,134,gainsboro,gainsboro,3,-0.7475146041649527,0.1778544217881396,-0.4001078706231709,0.8769726993715429,0.11310339433246214
SERPING1,140,gainsboro,gainsboro,3,-0.8300674939514973,0.29672109862422524,-0.336963726008066,0.8763996178656855,0.27982514651793083
CPB2,133,gainsboro,gainsboro,3,-0.754871853830176,0.15731021538645468,-0.42831272621188277,0.8757951960579423,0.18387821831927134
VTN,154,gainsboro,gainsboro,3,-0.7414609912821795,0.19344391595242208,-0.3826411628667767,0.8735183672322075,0.12591501054919632
A1CF,138,gainsboro,gainsboro,3,-0.7358642388516752,0.19584937365730143,-0.38912619757418154,0.8734924060612331,0.15171804864640726
C1R,135,gainsboro,gainsboro,3,-0.7976776359619662,0.23552032320698993,-0.3827955754011923,0.8721671215007154,0.2524289664295881
SDC1,127,gainsboro,gainsboro,3,-0.8076596163074357,0.23822091254154135,-0.3811429509422894,0.8710219859913203,0.23527475305106083
RARRES2,143,gainsboro,gainsboro,3,-0.6722933260079565,0.07092645254407107,-0.48175670189831843,0.868815612898502,0.07284232496575299
