,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMElightgrey
CADPS2,138,lightgrey,lightgrey,4,-0.12037936948380037,-0.1926898449828941,-0.3677402114757221,0.23673591797957189,0.6258581905891896
DLC1,163,lightgrey,lightgrey,4,-0.21633404704861894,0.00019468024720992793,-0.21616005366280924,0.2356147342827383,0.5821291340199289
GPC6,179,lightgrey,lightgrey,4,-0.2083505445429461,-0.07728697374868702,-0.2399622792439819,0.1883966780748323,0.5426828712227141
PARD3B,172,lightgrey,lightgrey,4,-0.12169326956809327,-0.08915030487089175,-0.2115918105889694,0.11909573183938418,0.5321267082504899
LRMDA,201,lightgrey,lightgrey,4,-0.16961037354523034,-0.12433955617766287,-0.3115472204859614,0.24428394692528882,0.49519799330153036
AL391117-1,170,lightgrey,lightgrey,4,-0.17078583445469386,-0.11233962396470605,-0.2997582371027028,0.2056111513942878,0.4892340663607468
ZFHX3,206,lightgrey,lightgrey,4,-0.005097970991270915,-0.07921339497344429,-0.1389144000430397,0.07118100280386368,0.4718302022189893
SOX5,177,lightgrey,lightgrey,4,-0.10534534762933814,-0.1127022307370238,-0.1747491097478144,0.02107429203128377,0.4334172077108
INSR,196,lightgrey,lightgrey,4,-0.1218853663601265,-0.009279205656976637,-0.13572130477384897,0.1936614304386998,0.43273067280141386
TLE1,214,lightgrey,lightgrey,4,-0.13535924438854643,-0.06628225338994051,-0.20002719497060634,0.11814137258909137,0.4176060889956973
PTPRG,166,lightgrey,lightgrey,4,-0.21956298827938056,-0.011081056303923396,-0.19628522867108522,0.22879463821874668,0.4121112155261488
MTSS1,213,lightgrey,lightgrey,4,0.12537897918841692,-0.29659900759320507,-0.3031922239641391,0.03727660153884601,0.36636881593922277
NBEAL1,216,lightgrey,lightgrey,4,-0.15237377512808997,0.10899609691883454,-0.0011663650881415049,0.12881207886590534,0.3213764566354053
MAML3,202,lightgrey,lightgrey,4,-0.2266367180540162,0.13937002273212057,-0.0312788142164253,0.19403192336872896,0.31373486291201474
RAC1,221,lightgrey,lightgrey,4,0.08497275363077603,-0.25754735733831563,-0.2818782072599771,0.07098232847097345,0.26392751558924565
PRKN,211,lightgrey,lightgrey,4,-0.2788266776014848,0.22765593530858588,0.057226533808475415,0.149252427042153,0.2330701285285435
NUCKS1,222,lightgrey,lightgrey,4,0.047210959986049995,-0.23349406568999367,-0.26730055688436555,0.05515962278905803,0.19744564101511353
ZBTB38,222,lightgrey,lightgrey,4,-0.24360798979440668,0.15245838014145177,0.018159671399111992,0.16069878084548755,0.1401326960961715
DOCK5,199,lightgrey,lightgrey,4,-0.2172045819089359,0.3074854704789619,0.2010443040526269,0.09902302149531253,0.11437230848761148
NF1,223,lightgrey,lightgrey,4,-0.20015167610975493,0.17667099236579464,0.03650150889765371,0.20120407219045933,0.10357649450162441
MTDH,223,lightgrey,lightgrey,4,-0.0005936843147080627,0.09310661495118168,0.07024669767940189,-0.006351696987234119,0.08404982217908767
HNRNPU,222,lightgrey,lightgrey,4,-0.2995005439779273,0.21394605971146527,-0.010766352092449251,0.2489159694492836,0.05893296672976935
SPPL2A,217,lightgrey,lightgrey,4,-0.15782665386042452,0.094200648787349,-0.03352295034190473,0.2230513270854581,0.017809056112702625
ITGB1,223,lightgrey,lightgrey,4,-0.08058232413809484,-0.0635655584743842,-0.13351871720096958,0.1974666603896437,-0.0203662914930003
RAB6A,221,lightgrey,lightgrey,4,-0.04454142346869217,0.07957370525247985,0.0402223271898711,0.04402652822519019,-0.02821469309223856
ILRUN,220,lightgrey,lightgrey,4,-0.11107143829071832,0.16643906901386069,0.08273193849757778,0.10543759649793961,-0.05038560923372991
HTT,222,lightgrey,lightgrey,4,-0.1961281437606301,0.22942953260299306,0.1116904225314869,0.12338800230419249,-0.06017863752335984
TBC1D8,199,lightgrey,lightgrey,4,0.013530270053841525,0.13411084745720875,0.1369709170749828,0.04169967944353739,-0.10208281520771671
PCBP2,219,lightgrey,lightgrey,4,-0.019477598077369047,0.08234632079808867,0.06812740194608974,0.06963105936788479,-0.13812496499441893
EIF5,215,lightgrey,lightgrey,4,-0.1259771585273296,0.05632973346469067,-0.03314377114377588,0.19199946099783996,-0.16232447939471942
NDFIP1,220,lightgrey,lightgrey,4,-0.1302263961379297,0.1067428284197854,0.031787600306716436,0.1485268572049295,-0.16377727139725232
ACTR2,222,lightgrey,lightgrey,4,0.12158199876050646,-0.12205085758942277,-0.039199565099232364,-0.11296849977606553,-0.17281001916114258
PHLPP1,213,lightgrey,lightgrey,4,-0.10163292325098745,0.20152203319712966,0.10968370418491016,0.1679622630052716,-0.1853804300476226
AFF4,223,lightgrey,lightgrey,4,0.08033823395679454,0.20579088443906807,0.29596303562913384,-0.1099220456991953,-0.20335569414786914
MBNL2,219,lightgrey,lightgrey,4,-0.23581864877664674,0.15493509526861787,0.03801271900610193,0.19773667450737742,-0.21378078529672637
GNAS,223,lightgrey,lightgrey,4,-0.0212498143635989,-0.019346234997391992,-0.07396931588132417,0.1900615675930268,-0.21447934999423315
NFE2L2,219,lightgrey,lightgrey,4,-0.09184981278996325,0.11096246633972283,0.07816615188651556,0.10408241824939951,-0.22916993369052302
QKI,221,lightgrey,lightgrey,4,-0.10858817609005414,0.0541354885620422,-0.007875479615990185,0.14932672101730735,-0.2315943264484245
RANBP2,222,lightgrey,lightgrey,4,0.04653601546080691,0.16151462711892678,0.2271659983730246,-0.0824887174143297,-0.2577160551481852
RAB7A,222,lightgrey,lightgrey,4,0.012612922105804062,0.18404871854017366,0.25193049898598835,-0.04422841504536867,-0.2592348627478099
ASXL1,221,lightgrey,lightgrey,4,-0.020315388018998265,0.21058470019888756,0.2350012187132812,-0.01948722088488181,-0.3124751404417917
TBL1X,222,lightgrey,lightgrey,4,-0.1272124325335025,0.24527461300217437,0.18636140570488913,0.0576834265212557,-0.31964060327170113
