Gene,NP_Score,is_Seed,Rank,P_value
TMEM176B,0.035087506091365,Yes,1,6.172458490216653e-05
TMEM176A,0.0315791605753016,No,2,0.00012344916980433306
MT-CO1,0.009570210644785,Yes,3,0.0001851737547064996
MT-CO2,0.0095483466987981,Yes,4,0.0002468983396086661
MT-CO3,0.0095375917467924,Yes,5,0.0003086229245108327
MT-ND4,0.0094182178506569,Yes,6,0.0003703475094129992
MT-ND3,0.0094172612788508,Yes,7,0.00043207209431516574
MT-ND2,0.0094056845546726,Yes,8,0.0004937966792173322
MT-ND5,0.0093093168701883,Yes,9,0.0005555212641194987
MT-CYB,0.0091242304584664,Yes,10,0.0006172458490216654
MT-ATP6,0.0084834707336338,Yes,11,0.0006789704339238319
MT-ATP8,0.0078970840691114,Yes,12,0.0007406950188259984
HSP90AA1,0.0074467277591854,Yes,13,0.000802419603728165
HSP90AB1,0.0074080306299958,Yes,14,0.0008641441886303315
MTRNR2L12,0.0072860642023276,Yes,15,0.000925868773532498
INSIG1,0.0070432663599231,Yes,16,0.0009875933584346645
NDUFS3,0.0031652607349097,No,17,0.001049317943336831
NDUFS8,0.0031420299490624,No,18,0.0011110425282389975
UQCRFS1,0.0030502794352575,No,19,0.001172767113141164
NDUFV1,0.0029575483293732,No,20,0.0012344916980433307
NDUFV2,0.0029333579047162,No,21,0.001296216282945497
CYC1,0.002915108196511,No,22,0.0013579408678476637
NDUFS2,0.0029049693628559,No,23,0.0014196654527498303
UQCR10,0.0028769786559399,No,24,0.0014813900376519967
COX5A,0.0028636703868543,No,25,0.0015431146225541633
NDUFA12,0.0028311780989822,No,26,0.00160483920745633
NDUFS1,0.0028246778174538,No,27,0.0016665637923584963
UQCRQ,0.0028237975216792,No,28,0.001728288377260663
NDUFA5,0.0028200814292797,No,29,0.0017900129621628296
MT-ND1,0.0028155760187697,No,30,0.001851737547064996
NDUFB8,0.0028127230022999,No,31,0.0019134621319671626
UQCRB,0.002802787533077,No,32,0.001975186716869329
NDUFS4,0.0027819313304934,No,33,0.0020369113017714956
COX5B,0.002775749097637,No,34,0.002098635886673662
NDUFB9,0.0027684046487667,No,35,0.002160360471575829
NDUFA13,0.0027641053402759,No,36,0.002222085056477995
NDUFA8,0.0027528839541489,No,37,0.0022838096413801616
NDUFB7,0.0027447691110544,No,38,0.002345534226282328
NDUFS6,0.0027049515319817,No,39,0.002407258811184495
NDUFA6,0.0026806372562058,No,40,0.0024689833960866614
NDUFS7,0.0026787562590444,No,41,0.002530707980988828
NDUFA2,0.0026369945764206,No,42,0.002592432565890994
NDUFAB1,0.0026331524939273,No,43,0.002654157150793161
COX4I1,0.0026120570369361,No,44,0.0027158817356953274
NDUFB10,0.0025848951274859,No,45,0.002777606320597494
UQCRC2,0.0025802780101756,No,46,0.0028393309054996606
COX7C,0.0025492616250647,No,47,0.0029010554904018273
NDUFB5,0.0025204896806413,No,48,0.0029627800753039934
UQCRC1,0.0024383930442275,No,49,0.00302450466020616
MT-ND4L,0.0024289049443889,No,50,0.0030862292451083267
COX6B1,0.0024281834158823,No,51,0.0031479538300104933
NDUFA9,0.0024252376404236,No,52,0.00320967841491266
NDUFB3,0.0024164065534261,No,53,0.003271402999814826
UQCR11,0.0023987793721891,No,54,0.0033331275847169927
NDUFB6,0.0023627182290288,No,55,0.0033948521696191593
UQCRH,0.0023602301174468,No,56,0.003456576754521326
MT-ND6,0.0023432836564463,No,57,0.0035183013394234925
NDUFS5,0.002330767146173,No,58,0.003580025924325659
NDUFB4,0.0023043088771133,No,59,0.0036417505092278253
NDUFB11,0.002301516955665,No,60,0.003703475094129992
NDUFA4,0.0023006871236771,No,61,0.0037651996790321585
COX6A2,0.0022657494787207,No,62,0.003826924263934325
NDUFA1,0.0022311660346857,No,63,0.0038886488488364917
MTRNR2L8,0.0022023594295062,No,64,0.003950373433738658
NDUFA3,0.0021937576437881,No,65,0.0040120980186408245
NDUFA10,0.00219254838616,No,66,0.004073822603542991
NDUFC2,0.0021440881161858,No,67,0.004135547188445158
NDUFA7,0.0021319745634931,No,68,0.004197271773347324
COX7B,0.0021035839877007,No,69,0.004258996358249491
SDHB,0.0020828153904026,No,70,0.004320720943151658
NDUFA11,0.0020790539211006,No,71,0.004382445528053824
COX7A1,0.0020764445994798,No,72,0.00444417011295599
NDUFV3,0.0020457915039071,No,73,0.0045058946978581566
NDUFB1,0.0019936652396468,No,74,0.004567619282760323
ATP5F1C,0.0019915698779174,No,75,0.00462934386766249
NDUFC1,0.0019797867227346,No,76,0.004691068452564656
COX6C,0.0019576384488971,No,77,0.004752793037466823
SDHA,0.0019458310956258,No,78,0.00481451762236899
ATP5PD,0.0019142009317833,No,79,0.004876242207271156
NDUFB2,0.0019101887686588,No,80,0.004937966792173323
GNB1,0.0018938723673768,No,81,0.0049996913770754894
ATP5F1A,0.0018742092082101,No,82,0.005061415961977656
MTRNR2L1,0.0018575905623702,No,83,0.005123140546879823
GNG2,0.0018002518968418,No,84,0.005184865131781988
ATP5F1D,0.001773589125531,No,85,0.005246589716684155
UQCRHL,0.0017295724416113,No,86,0.005308314301586322
COX6A1,0.001707089950245,No,87,0.005370038886488488
PMPCB,0.0016910271404401,No,88,0.005431763471390655
COX4I2,0.0016570292824614,No,89,0.0054934880562928215
GNAI2,0.0016427991912805,No,90,0.005555212641194988
ENSP00000497305,0.001616508474773,No,91,0.005616937226097155
PALB2,0.0016009003571124,No,92,0.005678661810999321
ATP5PO,0.00157248482901,No,93,0.005740386395901488
SDHC,0.0015147466515348,No,94,0.0058021109808036545
