Gene,NP_Score,is_Seed,Rank,P_value
APOA1,0.0118189412861834,Yes,1,6.172458490216653e-05
APOE,0.0115483651919635,Yes,2,0.00012344916980433306
APOA2,0.0109680166598501,Yes,3,0.0001851737547064996
ALB,0.010913851450774,Yes,4,0.0002468983396086661
APOC3,0.0108656101172925,Yes,5,0.0003086229245108327
APOC2,0.0103492834282885,Yes,6,0.0003703475094129992
SERPINA1,0.0101964976253779,Yes,7,0.00043207209431516574
APOC1,0.0100748124766275,Yes,8,0.0004937966792173322
FGA,0.0098242472091121,Yes,9,0.0005555212641194987
TTR,0.0096359860907557,Yes,10,0.0006172458490216654
FTL,0.0083434660698646,Yes,11,0.0006789704339238319
GATM,0.0081253582489721,Yes,12,0.0007406950188259984
PRAP1,0.0078520841741741,Yes,13,0.000802419603728165
CD48,0.0074562357091101,No,14,0.0008641441886303315
APOB,0.0038177494479889,No,15,0.000925868773532498
APOH,0.0032923851178922,No,16,0.0009875933584346645
APP,0.0031923554670731,No,17,0.001049317943336831
CLU,0.0030904555989551,No,18,0.0011110425282389975
APOA4,0.002780995281378,No,19,0.001172767113141164
APOA5,0.0026426151073563,No,20,0.0012344916980433307
LPA,0.0025091838376163,No,21,0.001296216282945497
CETP,0.0023376147448917,No,22,0.0013579408678476637
PON1,0.0022977734502274,No,23,0.0014196654527498303
APOM,0.0022817721705346,No,24,0.0014813900376519967
LCAT,0.0022813585135828,No,25,0.0015431146225541633
PLTP,0.0022507561117201,No,26,0.00160483920745633
APOL1,0.0021944457818963,No,27,0.0016665637923584963
AHSG,0.0021552208614263,No,28,0.001728288377260663
F2,0.0021448765970224,No,29,0.0017900129621628296
LPL,0.0021345346643287,No,30,0.001851737547064996
SELENOS,0.0021154676086778,No,31,0.0019134621319671626
HPR,0.0020979259490543,No,32,0.001975186716869329
SAA1,0.0020898901412008,No,33,0.0020369113017714956
PLA2G7,0.0020247220712773,No,34,0.002098635886673662
APOC4,0.0020101582718931,No,35,0.002160360471575829
APOF,0.0019751037181994,No,36,0.002222085056477995
PEX3,0.0019723480797522,No,37,0.0022838096413801616
LIPC,0.0019356095932845,No,38,0.002345534226282328
HP,0.0019060907081518,No,39,0.002407258811184495
PCYOX1,0.0019036031508724,No,40,0.0024689833960866614
DBI,0.0018572007871492,No,41,0.002530707980988828
FN1,0.0018478796150491,No,42,0.002592432565890994
SAA4,0.001772780547384,No,43,0.002654157150793161
A2M,0.0017535658689255,No,44,0.0027158817356953274
SAA2,0.0017221216046296,No,45,0.002777606320597494
CRP,0.0017057906755603,No,46,0.0028393309054996606
FGG,0.0015914733731595,No,47,0.0029010554904018273
AMBP,0.0015215301196697,No,48,0.0029627800753039934
FGB,0.0014931321758597,No,49,0.00302450466020616
APOD,0.0014886129475104,No,50,0.0030862292451083267
ORM1,0.0014672681151097,No,51,0.0031479538300104933
C3,0.0014451096394073,No,52,0.00320967841491266
VTN,0.0014251693454462,No,53,0.003271402999814826
SERPINC1,0.0014007957826265,No,54,0.0033331275847169927
INS,0.0013981251206791,No,55,0.0033948521696191593
IL6,0.0013884561169051,No,56,0.003456576754521326
GC,0.0013699594842425,No,57,0.0035183013394234925
HPX,0.0013410309483984,No,58,0.003580025924325659
PLG,0.0013029599943212,No,59,0.0036417505092278253
TNF,0.0012874729572536,No,60,0.003703475094129992
SCARB1,0.0012529076361318,No,61,0.0037651996790321585
VLDLR,0.0012476856820026,No,62,0.003826924263934325
LTF,0.0012317587068954,No,63,0.0038886488488364917
CD4,0.0012305654503887,No,64,0.003950373433738658
ORM2,0.0011894041163151,No,65,0.0040120980186408245
AFP,0.0011469367950657,No,66,0.004073822603542991
EGFR,0.0011319556681282,No,67,0.004135547188445158
HRG,0.0011279381970658,No,68,0.004197271773347324
TFRC,0.0010881496259194,No,69,0.004258996358249491
TP53,0.0010775752344219,No,70,0.004320720943151658
IL1B,0.0010630912949539,No,71,0.004382445528053824
TF,0.0010597066535949,No,72,0.00444417011295599
CD8A,0.0010364795649038,No,73,0.0045058946978581566
B2M,0.0010133633717714,No,74,0.004567619282760323
PPARA,0.0010074027343063,No,75,0.00462934386766249
LRP2,0.0009948012343398,No,76,0.004691068452564656
FTH1,0.0009937996671586,No,77,0.004752793037466823
KNG1,0.0009729559502702,No,78,0.00481451762236899
ABCA1,0.0009661425529644,No,79,0.004876242207271156
HAMP,0.0009508502920789,No,80,0.004937966792173323
HDLBP,0.0009445122832125,No,81,0.0049996913770754894
IFNG,0.0009171886331546,No,82,0.005061415961977656
TLR4,0.0009014998537051,No,83,0.005123140546879823
IL10,0.000889164294773,No,84,0.005184865131781988
CP,0.0008883266914479,No,85,0.005246589716684155
APCS,0.0008690915705667,No,86,0.005308314301586322
CD44,0.0008656408744353,No,87,0.005370038886488488
SLC11A2,0.0008654405191805,No,88,0.005431763471390655
PTPRC,0.0008630521137003,No,89,0.0054934880562928215
SRC,0.0008533029237935,No,90,0.005555212641194988
AKT1,0.000842163806085,No,91,0.005616937226097155
MMP9,0.0008225404800831,No,92,0.005678661810999321
SLC40A1,0.0008200877861669,No,93,0.005740386395901488
PCSK9,0.0008179713322074,No,94,0.0058021109808036545
PLA2G6,0.0008177511736285,No,95,0.00586383556570582
GPX4,0.0008138810123531,No,96,0.005925560150607987
FABP1,0.0008047614595824,No,97,0.0059872847355101535
SERPINF2,0.0007942522424302,No,98,0.00604900932041232
ACO1,0.0007894876640944,No,99,0.006110733905314487
HFE,0.0007853025936778,No,100,0.006172458490216653
MPO,0.0007733630953707,No,101,0.00623418307511882
IREB2,0.000770966215807,No,102,0.0062959076600209865
CTNNB1,0.0007611850826423,No,103,0.006357632244923153
CXCL8,0.000760179365123,No,104,0.00641935682982532
PROC,0.0007573658120189,No,105,0.006481081414727486
MTTP,0.000754744206249,No,106,0.006542805999629652
HMOX1,0.0007546657508177,No,107,0.006604530584531819
GPIHBP1,0.0007543801378988,No,108,0.006666255169433985
VWF,0.0007522339368219,No,109,0.006727979754336152
SERPINA7,0.0007510549400123,No,110,0.0067897043392383186
ACTB,0.0007227229715768,No,111,0.006851428924140485
PANK2,0.0007095955869081,No,112,0.006913153509042652
SERPIND1,0.0007066695029312,No,113,0.006974878093944818
TOMM40,0.0007045690404358,No,114,0.007036602678846985
CD36,0.0006989765002115,No,115,0.007098327263749152
STAT3,0.0006950491338135,No,116,0.007160051848651318
THBS1,0.0006948187157912,No,117,0.007221776433553484
TLR2,0.000672166268761,No,118,0.007283501018455651
PANK1,0.0006699760795567,No,119,0.007345225603357817
HMGCR,0.0006544915059634,No,120,0.007406950188259984
ITIH2,0.0006482044961831,No,121,0.00746867477316215
EGF,0.0006406761756732,No,122,0.007530399358064317
CST3,0.0006366446401704,No,123,0.007592123942966484
GAPDH,0.0006349233211692,No,124,0.00765384852786865
CD2,0.000631208428732,No,125,0.007715573112770817
SCARB2,0.0006272059019788,No,126,0.0077772976976729835
TGFB1,0.0006135900078296,No,127,0.00783902228257515
CCL2,0.0006103569551874,No,128,0.007900746867477316
SNCA,0.0006056857543473,No,129,0.007962471452379483
BCL2,0.0006027875675697,No,130,0.008024196037281649
GSN,0.0006025568884334,No,131,0.008085920622183817
EP300,0.0005908305726498,No,132,0.008147645207085982
ITGAM,0.0005857727449002,No,133,0.008209369791988148
ICAM1,0.0005837142923582,No,134,0.008271094376890315
NCOA4,0.0005834083993837,No,135,0.008332818961792481
IL2,0.0005805630725487,No,136,0.008394543546694649
KIT,0.0005795902601366,No,137,0.008456268131596814
SERPINA3,0.0005745291953384,No,138,0.008517992716498982
LEP,0.0005689821993552,No,139,0.008579717301401148
ITGA2B,0.0005678692077667,No,140,0.008641441886303315
CYP7A1,0.000565635644164,No,141,0.008703166471205481
HSP90AA1,0.0005634014535687,No,142,0.008764891056107648
GRB2,0.0005609510664699,No,143,0.008826615641009814
CD86,0.0005592273405087,No,144,0.00888834022591198
RBP4,0.0005541687616744,No,145,0.008950064810814147
F3,0.0005490914653319,No,146,0.009011789395716313
ITGB3,0.0005461433583446,No,147,0.00907351398061848
STAT1,0.0005452189050733,No,148,0.009135238565520646
AGT,0.0005423019957543,No,149,0.009196963150422814
PPARG,0.0005394714228155,No,150,0.00925868773532498
ITGB1,0.0005391927859985,No,151,0.009320412320227147
C4A,0.0005377827059483,No,152,0.009382136905129313
SCARA5,0.0005363847552408,No,153,0.00944386149003148
ABCG1,0.0005354146438676,No,154,0.009505586074933646
F10,0.0005341680891591,No,155,0.009567310659835813
SREBF1,0.0005302500940408,No,156,0.00962903524473798
MAPK3,0.0005263798148083,No,157,0.009690759829640145
SAA2-SAA4,0.0005261628943873,No,158,0.009752484414542312
MYC,0.000525133271092,No,159,0.009814208999444478
MIS12,0.0005248816965617,No,160,0.009875933584346646
FCGR3A,0.000523467406532,No,161,0.009937658169248811
ELANE,0.0005219244965058,No,162,0.009999382754150979
LYZ,0.0005182061493796,No,163,0.010061107339053145
AGXT,0.0005178931780232,No,164,0.010122831923955312
ANGPTL3,0.0005155218651001,No,165,0.010184556508857478
GPT,0.0005130709713111,No,166,0.010246281093759645
CNDP2,0.0005067268121463,No,167,0.010308005678661811
CALM3,0.0005005008403788,No,168,0.010369730263563977
CD28,0.0005003857405107,No,169,0.010431454848466144
LCK,0.0005003042510947,No,170,0.01049317943336831
GAD2,0.0004992109761176,No,171,0.010554904018270478
