Gene,NP_Score,is_Seed,Rank,P_value
ALB,0.0537865404718801,Yes,1,6.172458490216653e-05
APOA1,0.0537542763567173,Yes,2,0.00012344916980433306
APOB,0.0030272383613393,No,3,0.0001851737547064996
APOE,0.0029739976815894,No,4,0.0002468983396086661
APOH,0.0026250108018819,No,5,0.0003086229245108327
APOA2,0.0025485852732889,No,6,0.0003703475094129992
APP,0.0023943953016865,No,7,0.00043207209431516574
APOC3,0.0023612487972746,No,8,0.0004937966792173322
CLU,0.0023520652841844,No,9,0.0005555212641194987
FN1,0.0022939285693406,No,10,0.0006172458490216654
AHSG,0.0021107916633732,No,11,0.0006789704339238319
INS,0.0020506672189174,No,12,0.0007406950188259984
CRP,0.0020385393066557,No,13,0.000802419603728165
APOA4,0.0020083762592063,No,14,0.0008641441886303315
F2,0.0019921390599161,No,15,0.000925868773532498
LPA,0.0019384681653613,No,16,0.0009875933584346645
HP,0.0019031745041382,No,17,0.001049317943336831
SERPINA1,0.0018977403497309,No,18,0.0011110425282389975
FGA,0.0018664449549013,No,19,0.001172767113141164
TTR,0.0018440238524425,No,20,0.0012344916980433307
PON1,0.0018047813010759,No,21,0.001296216282945497
LCAT,0.0017884041477036,No,22,0.0013579408678476637
APOA5,0.001780738738562,No,23,0.0014196654527498303
LPL,0.0017673372819614,No,24,0.0014813900376519967
C3,0.0017513721985392,No,25,0.0015431146225541633
CETP,0.0017390126827297,No,26,0.00160483920745633
APOC2,0.0017379651763065,No,27,0.0016665637923584963
IL6,0.0017322320523696,No,28,0.001728288377260663
A2M,0.0017192692337718,No,29,0.0017900129621628296
SAA1,0.0016677200060129,No,30,0.001851737547064996
AMBP,0.0016622587926594,No,31,0.0019134621319671626
PLTP,0.0016425897264636,No,32,0.001975186716869329
APOC1,0.0016414436292097,No,33,0.0020369113017714956
LTF,0.00163379158756,No,34,0.002098635886673662
VTN,0.0016060921848669,No,35,0.002160360471575829
APOM,0.0016051230667563,No,36,0.002222085056477995
EGFR,0.001573702456001,No,37,0.0022838096413801616
TNF,0.0015453745224119,No,38,0.002345534226282328
SCARB1,0.001541179091077,No,39,0.002407258811184495
APOL1,0.0015410924014026,No,40,0.0024689833960866614
HPX,0.0015268207748598,No,41,0.002530707980988828
FGG,0.0014978147304059,No,42,0.002592432565890994
ORM1,0.0014801296171747,No,43,0.002654157150793161
SERPINC1,0.0014774501429311,No,44,0.0027158817356953274
SELENOS,0.0014598544772107,No,45,0.002777606320597494
HPR,0.0014101390967551,No,46,0.0028393309054996606
PLA2G7,0.0014040735333271,No,47,0.0029010554904018273
LRP2,0.0013986564274668,No,48,0.0029627800753039934
APOC4,0.0013808959971393,No,49,0.00302450466020616
B2M,0.0013797091269406,No,50,0.0030862292451083267
APOF,0.0013761370593697,No,51,0.0031479538300104933
LIPC,0.0013686228292884,No,52,0.00320967841491266
PEX3,0.0013641460540043,No,53,0.003271402999814826
IL1B,0.0013463423225181,No,54,0.0033331275847169927
TP53,0.0013434460696697,No,55,0.0033948521696191593
HRG,0.0013364032831344,No,56,0.003456576754521326
PPARA,0.0013172319315092,No,57,0.0035183013394234925
PCYOX1,0.0013094476140792,No,58,0.003580025924325659
AFP,0.0012930658082807,No,59,0.0036417505092278253
CD4,0.0012839177395515,No,60,0.003703475094129992
DBI,0.0012800005168687,No,61,0.0037651996790321585
PLG,0.0012526660125715,No,62,0.003826924263934325
MPO,0.0012480915172311,No,63,0.0038886488488364917
SAA2,0.0012457814250901,No,64,0.003950373433738658
ORM2,0.0012283389814967,No,65,0.0040120980186408245
PCSK9,0.0012050182017946,No,66,0.004073822603542991
HMGCR,0.0011888542459545,No,67,0.004135547188445158
TLR4,0.0011878431817654,No,68,0.004197271773347324
SAA4,0.0011733584367912,No,69,0.004258996358249491
TF,0.0011729494601215,No,70,0.004320720943151658
CD44,0.0011678758794011,No,71,0.004382445528053824
GC,0.0011139358504863,No,72,0.00444417011295599
IFNG,0.0011086730266162,No,73,0.0045058946978581566
IL10,0.0011063678864989,No,74,0.004567619282760323
FABP1,0.0011011743385371,No,75,0.00462934386766249
CD36,0.0010990519083422,No,76,0.004691068452564656
ITIH2,0.0010951975690659,No,77,0.004752793037466823
GPT,0.0010902401340987,No,78,0.00481451762236899
AKT1,0.0010732018172193,No,79,0.004876242207271156
FGB,0.0010663722070459,No,80,0.004937966792173323
MMP9,0.0010594124130326,No,81,0.0049996913770754894
CXCL8,0.0010557342243465,No,82,0.005061415961977656
CTNNB1,0.0010468348390684,No,83,0.005123140546879823
APOD,0.0010444947774042,No,84,0.005184865131781988
CST3,0.0010360214034226,No,85,0.005246589716684155
ABCA1,0.0010187026001349,No,86,0.005308314301586322
SCARB2,0.0010155426021795,No,87,0.005370038886488488
ACTB,0.0010130751800446,No,88,0.005431763471390655
CD8A,0.0010061390575596,No,89,0.0054934880562928215
SRC,0.0009962698712335,No,90,0.005555212641194988
EGF,0.0009928974777075,No,91,0.005616937226097155
VLDLR,0.0009899266694709,No,92,0.005678661810999321
CUBN,0.0009571045224202,No,93,0.005740386395901488
CYP7A1,0.0009510941722661,No,94,0.0058021109808036545
RBP4,0.0009446910950708,No,95,0.00586383556570582
KNG1,0.0009390026623414,No,96,0.005925560150607987
C4A,0.0009345581904582,No,97,0.0059872847355101535
TGFB1,0.0009282462853788,No,98,0.00604900932041232
APCS,0.0009018619609798,No,99,0.006110733905314487
