Gene,NP_Score,is_Seed,Rank,P_value
ALB,0.0162673466908702,Yes,1,6.172458490216653e-05
APOE,0.0153832190699352,Yes,2,0.00012344916980433306
TTR,0.0146871865062246,Yes,3,0.0001851737547064996
APOC1,0.0138099399335651,Yes,4,0.0002468983396086661
AMBP,0.0137567409061561,Yes,5,0.0003086229245108327
FTL,0.013537552863412,Yes,6,0.0003703475094129992
TXN,0.0134687865294493,Yes,7,0.00043207209431516574
RBP4,0.0134433574129692,Yes,8,0.0004937966792173322
APOA1,0.0038957363105548,No,9,0.0005555212641194987
AHSG,0.0026737837436488,No,10,0.0006172458490216654
HP,0.0026665841128595,No,11,0.0006789704339238319
APOB,0.002643728541045,No,12,0.0007406950188259984
APOA2,0.0025906235351276,No,13,0.000802419603728165
APOH,0.0025887865552154,No,14,0.0008641441886303315
APP,0.0024188443699089,No,15,0.000925868773532498
APOC3,0.0024155408069313,No,16,0.0009875933584346645
CRP,0.0022902120603967,No,17,0.001049317943336831
CLU,0.0022737318272088,No,18,0.0011110425282389975
SERPINA1,0.0021829402532624,No,19,0.001172767113141164
GC,0.0020433341593947,No,20,0.0012344916980433307
APOA4,0.0018942712985244,No,21,0.001296216282945497
LPA,0.0018631409172866,No,22,0.0013579408678476637
F2,0.0017731489327754,No,23,0.0014196654527498303
FGA,0.0017648597559315,No,24,0.0014813900376519967
INS,0.0017437856730688,No,25,0.0015431146225541633
A2M,0.0016666371291935,No,26,0.00160483920745633
APOC2,0.0016634205518526,No,27,0.0016665637923584963
SAA1,0.0016030215822504,No,28,0.001728288377260663
FTH1,0.0015870777236981,No,29,0.0017900129621628296
TFRC,0.0015708229503794,No,30,0.001851737547064996
PON1,0.0015486100782579,No,31,0.0019134621319671626
APOA5,0.0015233249921757,No,32,0.001975186716869329
GPX4,0.0015189661838266,No,33,0.0020369113017714956
ORM1,0.0015049121160179,No,34,0.002098635886673662
IL6,0.0014787531462184,No,35,0.002160360471575829
LCAT,0.0014762591881458,No,36,0.002222085056477995
FN1,0.0014674664750744,No,37,0.0022838096413801616
APOM,0.0014609591056547,No,38,0.002345534226282328
HAMP,0.0014539010600404,No,39,0.002407258811184495
HPX,0.0014515150757857,No,40,0.0024689833960866614
SELENOS,0.0014485483370699,No,41,0.002530707980988828
CETP,0.0014483057939316,No,42,0.002592432565890994
B2M,0.0014408282605062,No,43,0.002654157150793161
PLTP,0.0014242673693,No,44,0.0027158817356953274
TP53,0.0013967134778535,No,45,0.002777606320597494
APOL1,0.0013872514394697,No,46,0.0028393309054996606
LPL,0.0013794066485136,No,47,0.0029010554904018273
TNF,0.0013712283126855,No,48,0.0029627800753039934
LEP,0.001353145391669,No,49,0.00302450466020616
C3,0.0013524803859509,No,50,0.0030862292451083267
SLC11A2,0.0013498992354524,No,51,0.0031479538300104933
EGFR,0.0013425839817838,No,52,0.00320967841491266
APCS,0.0013381908657092,No,53,0.003271402999814826
HMOX1,0.0013150478353235,No,54,0.0033331275847169927
PLA2G7,0.0013054554667971,No,55,0.0033948521696191593
SLC40A1,0.0012802029018635,No,56,0.003456576754521326
SAA4,0.0012787999202912,No,57,0.0035183013394234925
HPR,0.0012716297545092,No,58,0.003580025924325659
APOC4,0.001253384664582,No,59,0.0036417505092278253
PLG,0.0012483457861193,No,60,0.003703475094129992
APOF,0.0012398811115659,No,61,0.0037651996790321585
PEX3,0.0012303726528834,No,62,0.003826924263934325
VTN,0.0012244399567833,No,63,0.0038886488488364917
ACO1,0.0012202470166413,No,64,0.003950373433738658
ORM2,0.0012200738670389,No,65,0.0040120980186408245
LTF,0.0012188318927038,No,66,0.004073822603542991
AFP,0.001210169039639,No,67,0.004135547188445158
IREB2,0.0012021416014473,No,68,0.004197271773347324
HFE,0.0011951989173305,No,69,0.004258996358249491
IL1B,0.0011929699183617,No,70,0.004320720943151658
PLA2G6,0.0011865467328052,No,71,0.004382445528053824
PCYOX1,0.0011808313202964,No,72,0.00444417011295599
LIPC,0.0011789851119564,No,73,0.0045058946978581566
ADIPOQ,0.001163424281707,No,74,0.004567619282760323
FGG,0.0011606543507564,No,75,0.00462934386766249
DBI,0.0011563392889446,No,76,0.004691068452564656
SAA2,0.0011555423855857,No,77,0.004752793037466823
PANK2,0.0011367941677021,No,78,0.00481451762236899
FGB,0.00113618043903,No,79,0.004876242207271156
SERPINC1,0.0010966791048534,No,80,0.004937966792173323
AZGP1,0.0010856929067539,No,81,0.0049996913770754894
PANK1,0.0010767499379668,No,82,0.005061415961977656
AKT1,0.001054112821126,No,83,0.005123140546879823
APOD,0.0010202882656678,No,84,0.005184865131781988
RBP1,0.001014956828819,No,85,0.005246589716684155
CST3,0.0010092035363027,No,86,0.005308314301586322
STRA6,0.001005470728308,No,87,0.005370038886488488
CD4,0.000993923704201,No,88,0.005431763471390655
TLR4,0.0009713874141126,No,89,0.0054934880562928215
CP,0.0009679795341354,No,90,0.005555212641194988
LCN1,0.0009601541235203,No,91,0.005616937226097155
NCOA4,0.0009401976584627,No,92,0.005678661810999321
TF,0.0009340945694524,No,93,0.005740386395901488
GAPDH,0.0009258381317343,No,94,0.0058021109808036545
LRP2,0.0009121780519656,No,95,0.00586383556570582
IL10,0.0008917279698132,No,96,0.005925560150607987
IFNG,0.0008845649015728,No,97,0.0059872847355101535
SCARA5,0.0008693879726812,No,98,0.00604900932041232
SCARB1,0.0008633434364352,No,99,0.006110733905314487
CD44,0.0008574510244246,No,100,0.006172458490216653
PTPRC,0.0008499662929391,No,101,0.00623418307511882
VLDLR,0.0008459657628357,No,102,0.0062959076600209865
MMP9,0.000844276237222,No,103,0.006357632244923153
SRC,0.0008435838319294,No,104,0.00641935682982532
CTNNB1,0.0008406173207514,No,105,0.006481081414727486
RETN,0.0008340913536958,No,106,0.006542805999629652
ITIH2,0.0008315653590844,No,107,0.006604530584531819
ACTB,0.000807029302726,No,108,0.006666255169433985
CYP2C18,0.0008055569789974,No,109,0.006727979754336152
RETNLB,0.0008037292078889,No,110,0.0067897043392383186
EP300,0.0008009081350533,No,111,0.006851428924140485
SLC2A4,0.000797488948483,No,112,0.006913153509042652
GPX3,0.0007884948301881,No,113,0.006974878093944818
CXCL8,0.000783902861642,No,114,0.007036602678846985
HSP90AA1,0.0007758055131273,No,115,0.007098327263749152
BCO1,0.0007655409766494,No,116,0.007160051848651318
HRG,0.0007601534256903,No,117,0.007221776433553484
CD36,0.0007423801444059,No,118,0.007283501018455651
SERPINA3,0.0007158752669582,No,119,0.007345225603357817
STAT3,0.0007110312380846,No,120,0.007406950188259984
CD8A,0.0007037362522522,No,121,0.00746867477316215
GPX2,0.0007026314993267,No,122,0.007530399358064317
GPX7,0.0007022409293857,No,123,0.007592123942966484
CCL2,0.0006991730517422,No,124,0.00765384852786865
CASP3,0.0006915247263201,No,125,0.007715573112770817
KNG1,0.0006837960195679,No,126,0.0077772976976729835
GSN,0.0006814719614651,No,127,0.00783902228257515
