Gene,NP_Score,is_Seed,Rank,P_value
ACTB,0.0052643473004853,Yes,1,6.172458490216653e-05
CD74,0.0052278168039957,Yes,2,0.00012344916980433306
FAU,0.0052171309120384,Yes,3,0.0001851737547064996
HLA-A,0.0050883231346523,Yes,4,0.0002468983396086661
RPS11,0.0050756235901013,Yes,5,0.0003086229245108327
B2M,0.0050711542551314,Yes,6,0.0003703475094129992
HLA-C,0.0050440055983123,Yes,7,0.00043207209431516574
RPS2,0.0049709291573998,Yes,8,0.0004937966792173322
HLA-E,0.0048796255442875,Yes,9,0.0005555212641194987
RPS28,0.0048635015800308,Yes,10,0.0006172458490216654
HLA-B,0.0048353084413683,Yes,11,0.0006789704339238319
ACTG1,0.0047638444685646,Yes,12,0.0007406950188259984
RPS29,0.0047161434448297,Yes,13,0.000802419603728165
RPS27,0.004704841976831,Yes,14,0.0008641441886303315
RPLP1,0.0044784455674295,Yes,15,0.000925868773532498
RPLP2,0.0044516793249539,Yes,16,0.0009875933584346645
MT-CO2,0.0043047386025246,Yes,17,0.001049317943336831
MTRNR2L12,0.0042071073594685,Yes,18,0.0011110425282389975
PITPNC1,0.0041701388223469,Yes,19,0.001172767113141164
CST3,0.0041605348811437,Yes,20,0.0012344916980433307
TMSB10,0.0040758929665677,Yes,21,0.001296216282945497
HSPA1A,0.0040676533310634,Yes,22,0.0013579408678476637
MT-ATP8,0.0040524584582967,Yes,23,0.0014196654527498303
CCND3,0.0040002367696491,Yes,24,0.0014813900376519967
TMSB4X,0.0039936924911499,Yes,25,0.0015431146225541633
TXNIP,0.0039571722347564,Yes,26,0.00160483920745633
TP53,0.0015697204477931,No,27,0.0016665637923584963
PITPNM3,0.0014254308598073,No,28,0.001728288377260663
RPS27A,0.0013795289904872,No,29,0.0017900129621628296
RAB1B,0.0013659110914851,No,30,0.001851737547064996
AGTRAP,0.0013198872205464,No,31,0.0019134621319671626
CD4,0.0012948137920649,No,32,0.001975186716869329
GNB1,0.0012809273123842,No,33,0.0020369113017714956
MTRNR2L8,0.0012755517611635,No,34,0.002098635886673662
RPS18,0.0012706534833191,No,35,0.002160360471575829
RPL5,0.0012234753607668,No,36,0.002222085056477995
RPS3,0.0011922542266511,No,37,0.0022838096413801616
RPS9,0.001189071686442,No,38,0.002345534226282328
GNG2,0.0011731044173387,No,39,0.002407258811184495
UBA52,0.0011544847495439,No,40,0.0024689833960866614
RPS23,0.0011449105523814,No,41,0.002530707980988828
CD8A,0.001137501357534,No,42,0.002592432565890994
RPS16,0.0011332871100023,No,43,0.002654157150793161
RPS6,0.0011254228105025,No,44,0.0027158817356953274
RPL11,0.0011145558244366,No,45,0.002777606320597494
RPL23,0.0011117730192107,No,46,0.0028393309054996606
RPL23A,0.0010922178760101,No,47,0.0029010554904018273
RPS15,0.0010898388444236,No,48,0.0029627800753039934
RPL4,0.0010892874308535,No,49,0.00302450466020616
MTRNR2L1,0.0010736285749477,No,50,0.0030862292451083267
RPS5,0.0010598773690136,No,51,0.0031479538300104933
GNAI2,0.0010558113401043,No,52,0.00320967841491266
PMEL,0.0010515946631942,No,53,0.003271402999814826
RPS3A,0.001050145523427,No,54,0.0033331275847169927
RPS19,0.0010468378751337,No,55,0.0033948521696191593
RPS7,0.0010273901568253,No,56,0.003456576754521326
RPS14,0.0010264393056751,No,57,0.0035183013394234925
RPS8,0.0010261668432293,No,58,0.003580025924325659
RPL35,0.0010225781026331,No,59,0.0036417505092278253
RPS24,0.0010182528088375,No,60,0.003703475094129992
RPLP0,0.0010173158938385,No,61,0.0037651996790321585
RPS13,0.0010152477759211,No,62,0.003826924263934325
S100A6,0.0010120860374782,No,63,0.0038886488488364917
RPL8,0.0009995961884902,No,64,0.003950373433738658
RPS20,0.000992272084205,No,65,0.0040120980186408245
RPS17,0.0009757316918139,No,66,0.004073822603542991
RPL13A,0.0009705561019188,No,67,0.004135547188445158
BAMBI,0.0009645215555018,No,68,0.004197271773347324
EGFR,0.000964279929437,No,69,0.004258996358249491
MRTO4,0.0009579407625224,No,70,0.004320720943151658
RPL9,0.0009572632881099,No,71,0.004382445528053824
GPNMB,0.0009481399821463,No,72,0.00444417011295599
MRPS12,0.0009405205658439,No,73,0.0045058946978581566
TNF,0.0009306201437878,No,74,0.004567619282760323
RPL3,0.000930027464776,No,75,0.00462934386766249
RPL19,0.0009298405564396,No,76,0.004691068452564656
MED1,0.0009291499833478,No,77,0.004752793037466823
IMP3,0.0009226573862475,No,78,0.00481451762236899
RPL31,0.0008984873341138,No,79,0.004876242207271156
RPL18,0.0008984612974281,No,80,0.004937966792173323
RPL30,0.0008966762854486,No,81,0.0049996913770754894
RPL18A,0.0008927830560221,No,82,0.005061415961977656
RPS25,0.0008892153883297,No,83,0.005123140546879823
RPS21,0.0008886205792884,No,84,0.005184865131781988
HSP90AB1,0.0008864655804813,No,85,0.005246589716684155
RPL6,0.0008851435007465,No,86,0.005308314301586322
RACK1,0.0008850298751393,No,87,0.005370038886488488
