Gene,NP_Score,is_Seed,Rank,P_value
MPC2,0.0309595200704775,Yes,1,6.172458490216653e-05
MPC1L,0.0139320046706435,No,2,0.00012344916980433306
MPC1,0.0139320046706435,No,3,0.0001851737547064996
C4BPA,0.0071004947848194,Yes,4,0.0002468983396086661
CD46,0.0067925250657791,Yes,5,0.0003086229245108327
MACF1,0.0067147564217096,Yes,6,0.0003703475094129992
SLC1A2,0.0064316035819116,Yes,7,0.00043207209431516574
CFHR2,0.0064064303842986,Yes,8,0.0004937966792173322
ATOX1,0.0063583303998734,Yes,9,0.0005555212641194987
CADM1,0.006351140882199,Yes,10,0.0006172458490216654
TOR1AIP2,0.0063500119137485,Yes,11,0.0006789704339238319
CTH,0.0063332364309321,Yes,12,0.0007406950188259984
ABCB11,0.0063151089266211,Yes,13,0.000802419603728165
TAT,0.0062650181808896,Yes,14,0.0008641441886303315
CPS1,0.006229793520249,Yes,15,0.000925868773532498
ONECUT2,0.0061996684437437,Yes,16,0.0009875933584346645
HPR,0.0061679970957414,Yes,17,0.001049317943336831
EIF4EBP2,0.0060049409135662,Yes,18,0.0011110425282389975
PAGE4,0.0059028967377427,Yes,19,0.001172767113141164
JUN,0.0058207423603344,No,20,0.0012344916980433307
TOR1A,0.0036388699795338,No,21,0.001296216282945497
C3,0.0031406945038746,No,22,0.0013579408678476637
TOR1B,0.003078784947434,No,23,0.0014196654527498303
FOXA2,0.003030879710991,No,24,0.0014813900376519967
SYTL4,0.0028668409125933,No,25,0.0015431146225541633
CFHR1,0.0019400170051453,No,26,0.00160483920745633
CFHR5,0.001898490665627,No,27,0.0016665637923584963
C4BPB,0.0018497885954129,No,28,0.001728288377260663
MYBPH,0.001837601026719,No,29,0.0017900129621628296
C4A,0.0014738441907787,No,30,0.001851737547064996
C4B,0.0013940713671895,No,31,0.0019134621319671626
CFI,0.0013223232968572,No,32,0.001975186716869329
MTOR,0.001189388532403,No,33,0.0020369113017714956
TP53,0.001155327692908,No,34,0.002098635886673662
EIF4E,0.0011346198738535,No,35,0.002160360471575829
INS,0.0011228884666279,No,36,0.002222085056477995
EIF4G1,0.0010973661871101,No,37,0.0022838096413801616
RPTOR,0.0010569125891868,No,38,0.002345534226282328
RPS6KB1,0.0010511185988247,No,39,0.002407258811184495
CFHR3,0.0010333445715176,No,40,0.0024689833960866614
CRP,0.0010316673274073,No,41,0.002530707980988828
IL6,0.0009723890696275,No,42,0.002592432565890994
CD4,0.0009524970905454,No,43,0.002654157150793161
