Gene,NP_Score,is_Seed,Rank,P_value
APOA1,0.0093178178414415,Yes,1,6.172458490216653e-05
APP,0.0091650296470607,Yes,2,0.00012344916980433306
APOB,0.0090552243829402,Yes,3,0.0001851737547064996
COMMD10,0.0088237338079422,Yes,4,0.0002468983396086661
MKLN1,0.0087924797970556,Yes,5,0.0003086229245108327
TRAPPC9,0.0086863145484776,Yes,6,0.0003703475094129992
HP,0.0085924892353923,Yes,7,0.00043207209431516574
A2M,0.0085650990378469,Yes,8,0.0004937966792173322
GALNT2,0.0082011621457156,Yes,9,0.0005555212641194987
UBAC2,0.0081100134371617,Yes,10,0.0006172458490216654
SMARCA2,0.0079873997129738,Yes,11,0.0006789704339238319
PRKCH,0.0078610381507664,Yes,12,0.0007406950188259984
LRBA,0.0077335018538159,Yes,13,0.000802419603728165
TRPV4,0.0037713694183616,No,14,0.0008641441886303315
RBCK1,0.0037119834197652,No,15,0.000925868773532498
C1GALT1,0.0023679308408285,No,16,0.0009875933584346645
PRKACA,0.0023489807143761,No,17,0.001049317943336831
PRKACB,0.002343884943604,No,18,0.0011110425282389975
GCNT1,0.0023363132846769,No,19,0.001172767113141164
PRKACG,0.0023074844243735,No,20,0.0012344916980433307
ST6GALNAC1,0.0022756251976934,No,21,0.001296216282945497
C1GALT1C1,0.0022674691738894,No,22,0.0013579408678476637
B3GNT6,0.0021839729845652,No,23,0.0014196654527498303
CTLA4,0.0019750768066268,No,24,0.0014813900376519967
VPS29,0.0017190706132432,No,25,0.0015431146225541633
ALB,0.0016279764126241,No,26,0.00160483920745633
COMMD1,0.0016007667499191,No,27,0.0016665637923584963
DENND10,0.0015821070626291,No,28,0.001728288377260663
COMMD5,0.001566084912775,No,29,0.0017900129621628296
COMMD2,0.0015410756377101,No,30,0.001851737547064996
CCDC93,0.0015317993271545,No,31,0.0019134621319671626
COMMD6,0.0015131232172546,No,32,0.001975186716869329
CCDC22,0.0015045376889217,No,33,0.0020369113017714956
COMMD9,0.0014981024501499,No,34,0.002098635886673662
APOE,0.0014969025398453,No,35,0.002160360471575829
TRAPPC3,0.0014811988038447,No,36,0.002222085056477995
TRAPPC5,0.0014747761423108,No,37,0.0022838096413801616
