Gene,NP_Score,is_Seed,Rank,P_value
MIA3,0.0158484994484149,Yes,1,6.172458490216653e-05
NFIC,0.0154870250023878,Yes,2,0.00012344916980433306
PTPRF,0.0152914774698987,Yes,3,0.0001851737547064996
XBP1,0.0152190402469134,Yes,4,0.0002468983396086661
C1R,0.0151640895894518,Yes,5,0.0003086229245108327
MTDH,0.015012830498362,Yes,6,0.0003703475094129992
OTULIN,0.0148734820091024,Yes,7,0.00043207209431516574
NFIB,0.0084205688920577,No,8,0.0004937966792173322
NF1,0.0072518198165641,No,9,0.0005555212641194987
AKT1,0.0023899201693986,No,10,0.0006172458490216654
RPS27A,0.0020614070202398,No,11,0.0006789704339238319
SEC13,0.0019965310731909,No,12,0.0007406950188259984
SEC24B,0.0019870994947522,No,13,0.000802419603728165
UBA52,0.0019134582295406,No,14,0.0008641441886303315
RPL4,0.0018983195240206,No,15,0.000925868773532498
SEC23A,0.0018824647490555,No,16,0.0009875933584346645
SEC24C,0.0018461422709167,No,17,0.001049317943336831
TYMS,0.0018125195117977,No,18,0.0011110425282389975
UBC,0.0018033787939602,No,19,0.001172767113141164
TNF,0.0017642199000361,No,20,0.0012344916980433307
SEC24A,0.0017286586553469,No,21,0.001296216282945497
SEC16A,0.0017183051366217,No,22,0.0013579408678476637
C3,0.0017153810866137,No,23,0.0014196654527498303
CTAGE6,0.0017123229027206,No,24,0.0014813900376519967
DPYD,0.0017108828782446,No,25,0.0015431146225541633
PREB,0.0017035430505068,No,26,0.00160483920745633
CTNNB1,0.0016852071209234,No,27,0.0016665637923584963
TFCP2,0.001678635867462,No,28,0.001728288377260663
AGO2,0.0016782006183616,No,29,0.0017900129621628296
FMR1,0.0016765017518551,No,30,0.001851737547064996
C4A,0.0015723255096303,No,31,0.0019134621319671626
UBB,0.0015602580658917,No,32,0.001975186716869329
C4B,0.0014513789053095,No,33,0.0020369113017714956
SCFD1,0.0014483199997909,No,34,0.002098635886673662
SLC1A3,0.0014310917351097,No,35,0.002160360471575829
PTPN11,0.001429247658122,No,36,0.002222085056477995
SND1,0.0014213798789483,No,37,0.0022838096413801616
MBL2,0.0014207105187815,No,38,0.002345534226282328
BCCIP,0.0014152890837734,No,39,0.002407258811184495
TP53,0.0014124438266201,No,40,0.0024689833960866614
CRISP3,0.0014105860504051,No,41,0.002530707980988828
C1S,0.0013997435696293,No,42,0.002592432565890994
SOX2,0.0013991034346306,No,43,0.002654157150793161
CFH,0.001397124459528,No,44,0.0027158817356953274
MON2,0.0013752792751104,No,45,0.002777606320597494
TRAPPC2,0.0013561641813201,No,46,0.0028393309054996606
MIA2,0.0013194781841229,No,47,0.0029010554904018273
PPFIA3,0.0012439234225342,No,48,0.0029627800753039934
PPFIA1,0.0012434330157041,No,49,0.00302450466020616
MASP1,0.001220725581722,No,50,0.0030862292451083267
FCN1,0.0012118354098589,No,51,0.0031479538300104933
PPFIA2,0.0012035451398268,No,52,0.00320967841491266
NFIA,0.0012012508312504,No,53,0.003271402999814826
HMGA2,0.0011935326619702,No,54,0.0033331275847169927
COL7A1,0.0011916564044928,No,55,0.0033948521696191593
PPFIBP1,0.0011891571383585,No,56,0.003456576754521326
MPDZ,0.0011828270643976,No,57,0.0035183013394234925
SERPINH1,0.0011795118948138,No,58,0.003580025924325659
C1QA,0.0011745208664313,No,59,0.0036417505092278253
EGFR,0.0011678072361063,No,60,0.003703475094129992
IRS1,0.0011653539837753,No,61,0.0037651996790321585
CRP,0.0011641281851642,No,62,0.003826924263934325
CYLD,0.0011549657824001,No,63,0.0038886488488364917
