Gene,NP_Score,is_Seed,Rank,P_value
RPS11,0.0055765156787177,Yes,1,6.172458490216653e-05
FAU,0.005560723591244,Yes,2,0.00012344916980433306
RPL23A,0.0054458449481469,Yes,3,0.0001851737547064996
RPL11,0.0054361784708642,Yes,4,0.0002468983396086661
RPL23,0.0054016404481414,Yes,5,0.0003086229245108327
RPS2,0.0053593056856326,Yes,6,0.0003703475094129992
RPS19,0.0052668950116061,Yes,7,0.00043207209431516574
RPS28,0.0052287447616877,Yes,8,0.0004937966792173322
RPL19,0.0051530891082932,Yes,9,0.0005555212641194987
RPL13A,0.0051373245255525,Yes,10,0.0006172458490216654
RPL13,0.0050013598989512,Yes,11,0.0006789704339238319
RPL34,0.0049881430057531,Yes,12,0.0007406950188259984
RPS29,0.0049618059156903,Yes,13,0.000802419603728165
RPS27,0.0049486878440084,Yes,14,0.0008641441886303315
RPL37A,0.0049154038818682,Yes,15,0.000925868773532498
RPL7A,0.0049067532203527,Yes,16,0.0009875933584346645
RPL28,0.0048001883493549,Yes,17,0.001049317943336831
RPLP1,0.0045885457160659,Yes,18,0.0011110425282389975
ACTB,0.0045249641364171,Yes,19,0.001172767113141164
PABPC1,0.004202157234592,Yes,20,0.0012344916980433307
HLA-A,0.0041119304406245,Yes,21,0.001296216282945497
B2M,0.0040268396943485,Yes,22,0.0013579408678476637
RPL41,0.0039590042515516,Yes,23,0.0014196654527498303
HLA-B,0.0039273192554714,Yes,24,0.0014813900376519967
TMSB10,0.0036530488972389,Yes,25,0.0015431146225541633
FKBP5,0.0035829978622016,Yes,26,0.00160483920745633
HIPK2,0.0035645229419356,Yes,27,0.0016665637923584963
TMSB4X,0.003551669192604,Yes,28,0.001728288377260663
BTG1,0.0035222881894803,Yes,29,0.0017900129621628296
RPS18,0.0021621223146331,No,30,0.001851737547064996
RPL5,0.0020730085220887,No,31,0.0019134621319671626
RPS3,0.0019925421457693,No,32,0.001975186716869329
RPS9,0.0019587382348325,No,33,0.0020369113017714956
RPS23,0.0019521465624997,No,34,0.002098635886673662
RPS27A,0.0019449586144071,No,35,0.002160360471575829
RPL4,0.0019312617285994,No,36,0.002222085056477995
RPS15,0.0018794091987744,No,37,0.0022838096413801616
RPS16,0.0018732116272017,No,38,0.002345534226282328
RPS6,0.0018726816103076,No,39,0.002407258811184495
RPL35,0.0018508895060537,No,40,0.0024689833960866614
RPS3A,0.0018203696638281,No,41,0.002530707980988828
RPL8,0.0017899667659147,No,42,0.002592432565890994
RPS24,0.0017750628297987,No,43,0.002654157150793161
RPS14,0.0017710773987263,No,44,0.0027158817356953274
RPS8,0.0017656927678361,No,45,0.002777606320597494
UBA52,0.001756767980827,No,46,0.0028393309054996606
RPS5,0.0017512003780161,No,47,0.0029010554904018273
RPLP0,0.0017355234272654,No,48,0.0029627800753039934
RPS13,0.0017337155532271,No,49,0.00302450466020616
RPS7,0.0017226959637029,No,50,0.0030862292451083267
RPL9,0.0017078044155082,No,51,0.0031479538300104933
RPS20,0.0017041446703742,No,52,0.00320967841491266
RPS17,0.001675496569989,No,53,0.003271402999814826
RPL3,0.0016697042205912,No,54,0.0033331275847169927
RPL18A,0.0016545390818641,No,55,0.0033948521696191593
RPL18,0.0016469020899838,No,56,0.003456576754521326
RPL6,0.0016432291580177,No,57,0.0035183013394234925
RPL31,0.0016387416672958,No,58,0.003580025924325659
RPL30,0.0016323619586677,No,59,0.0036417505092278253
MRTO4,0.0016253149892703,No,60,0.003703475094129992
RPL21,0.0016224148779547,No,61,0.0037651996790321585
CD74,0.0015904015116654,No,62,0.003826924263934325
RPL38,0.0015660396910975,No,63,0.0038886488488364917
RPL15,0.0015638267116805,No,64,0.003950373433738658
RPL36,0.0015608179010202,No,65,0.0040120980186408245
RPS21,0.0015593599726803,No,66,0.004073822603542991
RPL35A,0.0015513908935379,No,67,0.004135547188445158
RPS25,0.0015497356429238,No,68,0.004197271773347324
RPS26,0.0015399631186639,No,69,0.004258996358249491
MRPS12,0.0015335264896056,No,70,0.004320720943151658
IMP3,0.0015264243923419,No,71,0.004382445528053824
RACK1,0.0015112659809702,No,72,0.00444417011295599
RPL7,0.0015082075992381,No,73,0.0045058946978581566
RPL26,0.0015008326100135,No,74,0.004567619282760323
RPL17,0.0014940627591095,No,75,0.00462934386766249
RPL24,0.0014794778294403,No,76,0.004691068452564656
MED1,0.0014624452238706,No,77,0.004752793037466823
RPS4X,0.001458858962675,No,78,0.00481451762236899
RPSA,0.0014333829461123,No,79,0.004876242207271156
RPL29,0.0014280945821508,No,80,0.004937966792173323
MRPS10,0.00142670190381,No,81,0.0049996913770754894
MRPS5,0.0014236774811103,No,82,0.005061415961977656
RPS12,0.001412243319787,No,83,0.005123140546879823
RPL27,0.0014052711867016,No,84,0.005184865131781988
MRPL3,0.0013999105515341,No,85,0.005246589716684155
RPL14,0.0013877953407524,No,86,0.005308314301586322
MRPS7,0.0013869766369693,No,87,0.005370038886488488
RPL27A,0.0013739920541341,No,88,0.005431763471390655
MRPL13,0.0013701383287306,No,89,0.0054934880562928215
RPS15A,0.0013693357154913,No,90,0.005555212641194988
TP53,0.0013620308813617,No,91,0.005616937226097155
MRPL4,0.0013617864835675,No,92,0.005678661810999321
RPS10,0.0013541708336313,No,93,0.005740386395901488
RPL10A,0.0013503620285057,No,94,0.0058021109808036545
MRPL22,0.0013412335864752,No,95,0.00586383556570582
EEF2,0.0013360915694802,No,96,0.005925560150607987
MRPS11,0.0013246476259851,No,97,0.0059872847355101535
MRPS15,0.001321233160926,No,98,0.00604900932041232
RPL17-C18orf32,0.0013069200780768,No,99,0.006110733905314487
RPL10,0.0012928258095231,No,100,0.006172458490216653
RPL26L1,0.0012882822572128,No,101,0.00623418307511882
RPL12,0.0012840351931829,No,102,0.0062959076600209865
RPL3L,0.0012772916164208,No,103,0.006357632244923153
MRPL24,0.0012762600573071,No,104,0.00641935682982532
FLT3LG,0.0012588295945678,No,105,0.006481081414727486
MRPL2,0.0012523335773299,No,106,0.006542805999629652
MRNIP,0.0012438323181388,No,107,0.006604530584531819
MRPS14,0.0012397898805291,No,108,0.006666255169433985
RPL32,0.0012341293144318,No,109,0.006727979754336152
RPL22,0.0012314198255138,No,110,0.0067897043392383186
RPL39,0.0012197680985636,No,111,0.006851428924140485
RPL36A,0.0012138070812227,No,112,0.006913153509042652
RPL37,0.001189463075369,No,113,0.006974878093944818
CUL7,0.0011751620675541,No,114,0.007036602678846985
RPL7L1,0.0011734238135159,No,115,0.007098327263749152
MRPL1,0.0011663214601862,No,116,0.007160051848651318
PDCD11,0.0011625651646762,No,117,0.007221776433553484
RPL36AL,0.0011610941150633,No,118,0.007283501018455651
RPS27L,0.00114937502624,No,119,0.007345225603357817
EIF5B,0.0011328660772136,No,120,0.007406950188259984
RPL10L,0.0011301921487713,No,121,0.00746867477316215
MRPL17,0.001120767114889,No,122,0.007530399358064317
CCDC105,0.0011103517847606,No,123,0.007592123942966484
CNOT7,0.0011030983011897,No,124,0.00765384852786865
MRPL11,0.0011025322677428,No,125,0.007715573112770817
RPS4Y1,0.0011020894143491,No,126,0.0077772976976729835
SEC61A1,0.001099546323314,No,127,0.00783902228257515
MRPL16,0.0010833428590874,No,128,0.007900746867477316
RPS10-NUDT3,0.0010809622240825,No,129,0.007962471452379483
RSAD1,0.0010702659848695,No,130,0.008024196037281649
RPLP2,0.0010689863039298,No,131,0.008085920622183817
FANCE,0.001063626262777,No,132,0.008147645207085982
MRPS2,0.0010625660207881,No,133,0.008209369791988148
NPSR1,0.0010614394976774,No,134,0.008271094376890315
MRPS16,0.0010598957537468,No,135,0.008332818961792481
MRPS6,0.0010527244954571,No,136,0.008394543546694649
EPRS1,0.0010523817626395,No,137,0.008456268131596814
MRPL36,0.0010497430268106,No,138,0.008517992716498982
EFTUD2,0.0010496333056859,No,139,0.008579717301401148
EIF2S1,0.0010430203401629,No,140,0.008641441886303315
RPS4Y2,0.0010405003590574,No,141,0.008703166471205481
SNU13,0.0010347468288265,No,142,0.008764891056107648
MRPS9,0.0010299282552067,No,143,0.008826615641009814
RSL24D1,0.0010239723593788,No,144,0.00888834022591198
PA2G4,0.0010234450197475,No,145,0.008950064810814147
CNOT8,0.0010146974713117,No,146,0.009011789395716313
CXorf66,0.0010053483767637,No,147,0.00907351398061848
GFM1,0.0010022272455593,No,148,0.009135238565520646
NSA2,0.0009975655118934,No,149,0.009196963150422814
H3BNC9_HUMAN,0.0009969577050515,No,150,0.00925868773532498
MTIF2,0.0009881782597539,No,151,0.009320412320227147
IFI35,0.0009854789204671,No,152,0.009382136905129313
TUFM,0.0009834887782976,No,153,0.00944386149003148
MRPL9,0.0009742107629402,No,154,0.009505586074933646
FOXO3,0.0009715661492366,No,155,0.009567310659835813
WDR31,0.0009705543212197,No,156,0.00962903524473798
EEF1A1,0.0009640922469163,No,157,0.009690759829640145
GTPBP4,0.0009639961298685,No,158,0.009752484414542312
RPL22L1,0.0009631970695189,No,159,0.009814208999444478
BYSL,0.000951556351695,No,160,0.009875933584346646
MRPL19,0.0009512051772218,No,161,0.009937658169248811
MRPL21,0.0009426376323692,No,162,0.009999382754150979
MRPL12,0.0009382246682741,No,163,0.010061107339053145
MRPL27,0.0009378473738678,No,164,0.010122831923955312
NHP2,0.0009365649084959,No,165,0.010184556508857478
RPL39L,0.0009338828589286,No,166,0.010246281093759645
PRMT1,0.0009333271555526,No,167,0.010308005678661811
PMEL,0.0009323876677173,No,168,0.010369730263563977
PES1,0.0009245870233374,No,169,0.010431454848466144
TEX48,0.0009227131702877,No,170,0.01049317943336831
ABCE1,0.0009170924004853,No,171,0.010554904018270478
HMGN1,0.0009151897632865,No,172,0.010616628603172643
MRPL32,0.0009133945035137,No,173,0.01067835318807481
MRPL20,0.0009086845159078,No,174,0.010740077772976976
EIF5A,0.0009086705468198,No,175,0.010801802357879144
MRPL33,0.0009077052700976,No,176,0.01086352694278131
EIF1AX,0.0009042589962063,No,177,0.010925251527683477
DOCK4,0.0009028841944769,No,178,0.010986976112585643
S100A6,0.0009024530847426,No,179,0.011048700697487809
RSL1D1,0.0008993568043424,No,180,0.011110425282389976
BOP1,0.0008902548643905,No,181,0.011172149867292142
HMGN2,0.000888928311889,No,182,0.01123387445219431
ARL6IP1,0.0008871628813567,No,183,0.011295599037096475
EIF6,0.0008821148256156,No,184,0.011357323621998643
HMGN4,0.00087880979484,No,185,0.011419048206900808
RSRC1,0.0008780755172767,No,186,0.011480772791802976
H3BN98_HUMAN,0.0008631705943656,No,187,0.011542497376705142
RPL36A-HNRNPH2,0.0008631006770938,No,188,0.011604221961607309
BAMBI,0.00086176128926,No,189,0.011665946546509475
SRP54,0.0008508644471911,No,190,0.01172767113141164
EEF1B2,0.0008507331494674,No,191,0.011789395716313808
POLR2C,0.0008507006060359,No,192,0.011851120301215974
GPNMB,0.0008469680603372,No,193,0.011912844886118141
PPP1R26,0.0008410525750453,No,194,0.011974569471020307
