Gene,NP_Score,is_Seed,Rank,P_value
MPDZ,0.0119809113355388,Yes,1,6.172458490216653e-05
SMAD2,0.0117814053071706,Yes,2,0.00012344916980433306
MAPK8,0.0116732712685543,Yes,3,0.0001851737547064996
PARP14,0.0116563725189775,Yes,4,0.0002468983396086661
HNRNPDL,0.0116229952575498,Yes,5,0.0003086229245108327
AUH,0.0115777328695778,Yes,6,0.0003703475094129992
SRSF4,0.0115661168585276,Yes,7,0.00043207209431516574
FAM120B,0.011375890525063,Yes,8,0.0004937966792173322
RBMS1,0.0112560192474818,Yes,9,0.0005555212641194987
MYC,0.0062839495618294,No,10,0.0006172458490216654
CR2,0.0052892132945015,No,11,0.0006789704339238319
PPARG,0.0025873515661121,No,12,0.0007406950188259984
ERCC5,0.0023073706633152,No,13,0.000802419603728165
RXRA,0.0022431160351164,No,14,0.0008641441886303315
UBR1,0.0021996726548322,No,15,0.000925868773532498
BIVM-ERCC5,0.0021444751096381,No,16,0.0009875933584346645
TP53,0.0016666644911007,No,17,0.001049317943336831
STAT1,0.0014243899458647,No,18,0.0011110425282389975
SRSF1,0.0012949273685844,No,19,0.001172767113141164
CTNNB1,0.0012018729657335,No,20,0.0012344916980433307
TJP1,0.0011614667036061,No,21,0.001296216282945497
ACAA1,0.0011537572192938,No,22,0.0013579408678476637
HSDL2,0.0011241744639009,No,23,0.0014196654527498303
U2AF2,0.0011218593274781,No,24,0.0014813900376519967
HNRNPA1,0.0010807428642913,No,25,0.0015431146225541633
EGFR,0.0010719795918722,No,26,0.00160483920745633
HADHB,0.0010717103410736,No,27,0.0016665637923584963
ACAA2,0.0010695594437873,No,28,0.001728288377260663
DDX58,0.0010684737059323,No,29,0.0017900129621628296
IFIH1,0.001060619789361,No,30,0.001851737547064996
EP300,0.0010522960038602,No,31,0.0019134621319671626
YAP1,0.0010414394397228,No,32,0.001975186716869329
OCLN,0.0010366517757976,No,33,0.0020369113017714956
SRSF3,0.0010356554793183,No,34,0.002098635886673662
SNRNP70,0.0010200195687742,No,35,0.002160360471575829
AKT1,0.0010137595018313,No,36,0.002222085056477995
ACAT1,0.0010136441825557,No,37,0.0022838096413801616
ISG15,0.001010380479812,No,38,0.002345534226282328
HNRNPC,0.0009985655030859,No,39,0.002407258811184495
IFI35,0.0009800471147671,No,40,0.0024689833960866614
HMGCL,0.0009689742108892,No,41,0.002530707980988828
EIF4A3,0.0009649903211518,No,42,0.002592432565890994
SRSF2,0.0009634643767716,No,43,0.002654157150793161
IFIT3,0.0009579435348586,No,44,0.0027158817356953274
ALYREF,0.0009495687154376,No,45,0.002777606320597494
HNRNPH1,0.0009483104246055,No,46,0.0028393309054996606
HADH,0.0009480733173001,No,47,0.0029010554904018273
SCP2,0.0009412504909501,No,48,0.0029627800753039934
SRSF6,0.0009358589850307,No,49,0.00302450466020616
RPS27A,0.0009296262029951,No,50,0.0030862292451083267
HMGCS1,0.0009237419569513,No,51,0.0031479538300104933
TJP2,0.0009130083742677,No,52,0.00320967841491266
IFIT2,0.0009070991352672,No,53,0.003271402999814826
PARP1,0.0009036689546814,No,54,0.0033331275847169927
HMGCS2,0.0009024445554299,No,55,0.0033948521696191593
RBMX,0.0008959780834998,No,56,0.003456576754521326
TRA2B,0.0008869372051749,No,57,0.0035183013394234925
IFI44,0.0008856056221235,No,58,0.003580025924325659
HMGCLL1,0.0008825043196258,No,59,0.0036417505092278253
PARP9,0.0008760829933821,No,60,0.003703475094129992
IFI44L,0.0008756425572487,No,61,0.0037651996790321585
RSAD2,0.000868646978247,No,62,0.003826924263934325
MCCC2,0.0008672312618187,No,63,0.0038886488488364917
TJP3,0.0008632043269812,No,64,0.003950373433738658
OAS2,0.0008582709386472,No,65,0.0040120980186408245
SRSF5,0.0008578538086412,No,66,0.004073822603542991
TNF,0.0008575987185055,No,67,0.004135547188445158
NCBP1,0.0008572348142037,No,68,0.004197271773347324
HNRNPA2B1,0.0008544883327584,No,69,0.004258996358249491
STAT2,0.0008544763760266,No,70,0.004320720943151658
XAF1,0.0008499419331696,No,71,0.004382445528053824
HDAC1,0.0008435513107566,No,72,0.00444417011295599
HNRNPK,0.0008434789520862,No,73,0.0045058946978581566
PATJ,0.0008425355121761,No,74,0.004567619282760323
IRF9,0.0008391024199772,No,75,0.00462934386766249
CDC5L,0.0008317076744233,No,76,0.004691068452564656
SMAD3,0.000831304607722,No,77,0.004752793037466823
DNAJC19,0.0008290936726278,No,78,0.00481451762236899
NCBP2,0.0008247747256159,No,79,0.004876242207271156
BRCA1,0.0008126547840905,No,80,0.004937966792173323
ACTB,0.0008101847796062,No,81,0.0049996913770754894
IL6,0.000808752889212,No,82,0.005061415961977656
SRC,0.0008077618742597,No,83,0.005123140546879823
IVD,0.0008012810605749,No,84,0.005184865131781988
DHX9,0.0008011434131394,No,85,0.005246589716684155
MCCC1,0.0007962257564856,No,86,0.005308314301586322
TAZ,0.000785262576046,No,87,0.005370038886488488
STAT3,0.0007786907356971,No,88,0.005431763471390655
PTBP1,0.0007764766034147,No,89,0.0054934880562928215
MPP5,0.000769152126507,No,90,0.005555212641194988
JUN,0.0007682408874084,No,91,0.005616937226097155
SRSF11,0.0007654574473189,No,92,0.005678661810999321
MARVELD2,0.000762242705989,No,93,0.005740386395901488
AMOT,0.0007593924931373,No,94,0.0058021109808036545
EPSTI1,0.0007574676855167,No,95,0.00586383556570582
UBC,0.000753474851486,No,96,0.005925560150607987
SRRM1,0.0007531814577197,No,97,0.0059872847355101535
HNRNPD,0.0007518588802612,No,98,0.00604900932041232
NXF1,0.0007512594543276,No,99,0.006110733905314487
SF3A2,0.0007503429288908,No,100,0.006172458490216653
F11R,0.000743593668888,No,101,0.00623418307511882
DDX5,0.0007429127144374,No,102,0.0062959076600209865
CD4,0.0007401315962249,No,103,0.006357632244923153
ELAVL1,0.0007359056465779,No,104,0.00641935682982532
MAPK1,0.0007333099992473,No,105,0.006481081414727486
SNRPE,0.0007323929206547,No,106,0.006542805999629652
MAPK3,0.0007314798692896,No,107,0.006604530584531819
SNRPD2,0.0007265565051754,No,108,0.006666255169433985
OPA3,0.0007250732122225,No,109,0.006727979754336152
HNRNPM,0.0007221710570304,No,110,0.0067897043392383186
AMOTL1,0.00072094921038,No,111,0.006851428924140485
UBA52,0.0007198719803207,No,112,0.006913153509042652
H3C13,0.0007193792435678,No,113,0.006974878093944818
SNRPF,0.0007072849701124,No,114,0.007036602678846985
U2AF1,0.0007067821186481,No,115,0.007098327263749152
CDC40,0.0007064673830677,No,116,0.007160051848651318
CGN,0.0007008480800095,No,117,0.007221776433553484
H4C6,0.0006996089823091,No,118,0.007283501018455651
AMOTL2,0.0006890993261539,No,119,0.007345225603357817
MAGOH,0.0006878515990893,No,120,0.007406950188259984
H3C12,0.0006808856808237,No,121,0.00746867477316215
HSP90AA1,0.0006782651489957,No,122,0.007530399358064317
NFIB,0.00067615440976,No,123,0.007592123942966484
SRSF7,0.0006750087262571,No,124,0.00765384852786865
SNRPG,0.0006750051678122,No,125,0.007715573112770817
ESR1,0.0006748820925532,No,126,0.0077772976976729835
SAMD9L,0.0006733153980046,No,127,0.00783902228257515
EFTUD2,0.0006668936412282,No,128,0.007900746867477316
RHOA,0.0006654059047967,No,129,0.007962471452379483
TARDBP,0.0006646603975567,No,130,0.008024196037281649
CREBBP,0.000664216248163,No,131,0.008085920622183817
DHX15,0.0006619493366744,No,132,0.008147645207085982
SRSF9,0.000660632695156,No,133,0.008209369791988148
HNRNPU,0.000653103066292,No,134,0.008271094376890315
SRRM2,0.0006526061842948,No,135,0.008332818961792481
IL1B,0.0006513530674429,No,136,0.008394543546694649
STAT6,0.0006489049704403,No,137,0.008456268131596814
HNRNPL,0.000643529975278,No,138,0.008517992716498982
CD8A,0.0006414235884497,No,139,0.008579717301401148
SNRPD3,0.0006390515002258,No,140,0.008641441886303315
PCBP2,0.0006369446952272,No,141,0.008703166471205481
IFNG,0.000636420665351,No,142,0.008764891056107648
FUS,0.0006324669373177,No,143,0.008826615641009814
SMAD4,0.000628084468233,No,144,0.00888834022591198
CDC42,0.0006136712567742,No,145,0.008950064810814147
MED1,0.0006120582887551,No,146,0.009011789395716313
NFKB1,0.0006096696965129,No,147,0.00907351398061848
FN1,0.0006089242338572,No,148,0.009135238565520646
SNRPD1,0.0006041386064077,No,149,0.009196963150422814
ATM,0.000603041467737,No,150,0.00925868773532498
PARP12,0.0006001668388341,No,151,0.009320412320227147
GAPDH,0.0005993706295171,No,152,0.009382136905129313
BCL2,0.0005965664347394,No,153,0.00944386149003148
DDX39B,0.0005946248009579,No,154,0.009505586074933646
HNRNPF,0.0005915536707034,No,155,0.009567310659835813
GABBR1,0.0005883955585137,No,156,0.00962903524473798
HELZ2,0.0005877556645357,No,157,0.009690759829640145
H3-3B,0.0005877275601242,No,158,0.009752484414542312
DHX38,0.0005862958745441,No,159,0.009814208999444478
FAU,0.000584886919101,No,160,0.009875933584346646
INS,0.0005728382379053,No,161,0.009937658169248811
CDH1,0.0005711387978825,No,162,0.009999382754150979
TRAF6,0.0005701320024264,No,163,0.010061107339053145
HDAC2,0.0005677670210288,No,164,0.010122831923955312
GJD2,0.0005672836625158,No,165,0.010184556508857478
CD44,0.0005656263873131,No,166,0.010246281093759645
KHDRBS1,0.0005654527915488,No,167,0.010308005678661811
MATR3-2,0.0005605129394058,No,168,0.010369730263563977
PARP16,0.0005555770264565,No,169,0.010431454848466144
RBM39,0.0005555052068843,No,170,0.01049317943336831
SOX2,0.0005541763345717,No,171,0.010554904018270478
PARP10,0.0005521690454533,No,172,0.010616628603172643
SSTR3,0.0005506726990542,No,173,0.01067835318807481
RBM25,0.0005498338367684,No,174,0.010740077772976976
SNRPB,0.0005482568246094,No,175,0.010801802357879144
SF3B1,0.0005476856847378,No,176,0.01086352694278131
HTR2C,0.0005468531136433,No,177,0.010925251527683477
SLU7,0.0005463199234644,No,178,0.010986976112585643
HSP90AB1,0.0005459747292673,No,179,0.011048700697487809
CSPG4,0.000540205455005,No,180,0.011110425282389976
SNW1,0.0005364216751748,No,181,0.011172149867292142
PRPF38A,0.0005361662251433,No,182,0.01123387445219431
