Gene,NP_Score,is_Seed,Rank,P_value
TBCK,0.0025705771153424,Yes,1,6.172458490216653e-05
C12orf4,0.0024917816465302,No,2,0.00012344916980433306
APOA1,0.0022989527726243,Yes,3,0.0001851737547064996
MT1E,0.0022652807614599,Yes,4,0.0002468983396086661
ACSM2A,0.002143357674134,Yes,5,0.0003086229245108327
ACSM2B,0.002143357674134,Yes,6,0.0003703475094129992
A2M,0.0019460188812091,Yes,7,0.00043207209431516574
PPARGC1A,0.0018886351210402,Yes,8,0.0004937966792173322
ITIH2,0.0018672962785575,Yes,9,0.0005555212641194987
CP,0.0018536705903417,Yes,10,0.0006172458490216654
MDM2,0.0018389107589296,Yes,11,0.0006789704339238319
RBM25,0.0018347503200438,Yes,12,0.0007406950188259984
SLC39A14,0.0018131266882688,Yes,13,0.000802419603728165
AR,0.0017703552190121,Yes,14,0.0008641441886303315
CYP2C9,0.001762819601679,Yes,15,0.000925868773532498
HSDL2,0.0017616168501705,No,16,0.0009875933584346645
SEC24B,0.0017479697347937,Yes,17,0.001049317943336831
PTPRK,0.0017466054812183,Yes,18,0.0011110425282389975
ASS1,0.0017405634833322,Yes,19,0.001172767113141164
CYP3A5,0.0017227915290121,Yes,20,0.0012344916980433307
PICALM,0.0017193355667283,Yes,21,0.001296216282945497
ITIH3,0.0017156645856697,Yes,22,0.0013579408678476637
LPIN2,0.0017099376101295,Yes,23,0.0014196654527498303
PCCA,0.0017065663768346,Yes,24,0.0014813900376519967
SPA17,0.0016991071180539,No,25,0.0015431146225541633
LRP6,0.0016956344643481,Yes,26,0.00160483920745633
ACADS,0.0016927405847054,No,27,0.0016665637923584963
BCKDHB,0.0016896662448131,Yes,28,0.001728288377260663
EXT1,0.0016828353363619,Yes,29,0.0017900129621628296
SEC31A,0.0016821420884137,Yes,30,0.001851737547064996
SERPINA3,0.0016766792437627,Yes,31,0.0019134621319671626
AGPAT3,0.0016759894481199,Yes,32,0.001975186716869329
GPHN,0.0016730810756799,Yes,33,0.0020369113017714956
