Gene,NP_Score,is_Seed,Rank,P_value
C3,0.005554813721812,Yes,1,6.172458490216653e-05
CFH,0.0047570954237559,Yes,2,0.00012344916980433306
NFIB,0.0046508310441375,Yes,3,0.0001851737547064996
AHSG,0.0045943853174726,Yes,4,0.0002468983396086661
PLG,0.0045100054899419,Yes,5,0.0003086229245108327
CFHR1,0.0042654828829686,Yes,6,0.0003703475094129992
GC,0.0042585293138855,Yes,7,0.00043207209431516574
ATRN,0.0042044974767071,Yes,8,0.0004937966792173322
ORM1,0.0041880350778394,Yes,9,0.0005555212641194987
ACSL1,0.0041029449814281,Yes,10,0.0006172458490216654
ALDOB,0.0040782097964021,Yes,11,0.0006789704339238319
LDLRAD4,0.0040576175558538,Yes,12,0.0007406950188259984
CYP4A11,0.0039607453738361,Yes,13,0.000802419603728165
PROS1,0.0039601029548247,Yes,14,0.0008641441886303315
PCK1,0.0039406011940256,Yes,15,0.000925868773532498
GPAM,0.0039247377811171,Yes,16,0.0009875933584346645
BAAT,0.0039183413518452,Yes,17,0.001049317943336831
SLCO1B1,0.003914424323186,Yes,18,0.0011110425282389975
GATM,0.0038814416914685,Yes,19,0.001172767113141164
HPN,0.0038768134299803,Yes,20,0.0012344916980433307
TEAD1,0.0038672609186786,Yes,21,0.001296216282945497
CAT,0.0038365635670913,Yes,22,0.0013579408678476637
SLC25A13,0.0037825249801539,Yes,23,0.0014196654527498303
IRS2,0.0037431630605309,Yes,24,0.0014813900376519967
PCSK6,0.0037304856067049,Yes,25,0.0015431146225541633
SORBS2,0.0037282977303903,Yes,26,0.00160483920745633
ECHDC2,0.0037191799828849,Yes,27,0.0016665637923584963
MTUS1,0.0036591503930032,Yes,28,0.001728288377260663
SMAD2,0.0022509629432142,No,29,0.0017900129621628296
TSC22D1,0.0020960640106232,No,30,0.001851737547064996
ALB,0.0014774806080804,No,31,0.0019134621319671626
EGFR,0.0014108704074788,No,32,0.001975186716869329
NODAL,0.0013022807000417,No,33,0.0020369113017714956
C4A,0.0012807202669687,No,34,0.002098635886673662
SCP2,0.0012748967092441,No,35,0.002160360471575829
MBTPS1,0.0012497937167815,No,36,0.002222085056477995
ESRRB,0.0012198131589002,No,37,0.0022838096413801616
C4B,0.0011564372044416,No,38,0.002345534226282328
TP53,0.0011543717391727,No,39,0.002407258811184495
F2,0.0011466647648725,No,40,0.0024689833960866614
HSDL2,0.00111935730895,No,41,0.002530707980988828
CRP,0.0011088644324092,No,42,0.002592432565890994
FN1,0.001101952920875,No,43,0.002654157150793161
HGF,0.0010965255280316,No,44,0.0027158817356953274
ACAA1,0.0010402361670116,No,45,0.002777606320597494
CD4,0.0010128472829272,No,46,0.0028393309054996606
ACOX1,0.0009971222900492,No,47,0.0029010554904018273
SOX2,0.0009865981649073,No,48,0.0029627800753039934
FGA,0.000962655097111,No,49,0.00302450466020616
TSC22D3,0.0009453155052255,No,50,0.0030862292451083267
INS,0.0009451707782253,No,51,0.0031479538300104933
IGLL5,0.0009271369610774,No,52,0.00320967841491266
APOA1,0.0009204856456903,No,53,0.003271402999814826
IL6,0.000916770315108,No,54,0.0033331275847169927
AKT1,0.0009135209935609,No,55,0.0033948521696191593
SRC,0.0009083847770694,No,56,0.003456576754521326
AMACR,0.0009050451642556,No,57,0.0035183013394234925
TSC22D4,0.0009010127632022,No,58,0.003580025924325659
SPINT1,0.0008986697420542,No,59,0.0036417505092278253
CFI,0.0008952198109349,No,60,0.003703475094129992
MST1,0.0008951388079846,No,61,0.0037651996790321585
CTNNB1,0.0008939576242275,No,62,0.003826924263934325
ALDH2,0.000885298300394,No,63,0.0038886488488364917
TNF,0.0008666145053731,No,64,0.003950373433738658
SERPINC1,0.0008548286993415,No,65,0.0040120980186408245
CYP3A4,0.0008524502279593,No,66,0.004073822603542991
CFB,0.0008430765035362,No,67,0.004135547188445158
APOH,0.0008404575672657,No,68,0.004197271773347324
SERPINA1,0.0008396781668197,No,69,0.004258996358249491
HP,0.0008395687881142,No,70,0.004320720943151658
