Gene,NP_Score,is_Seed,Rank,P_value
RPS3,0.0054052143438168,Yes,1,6.172458490216653e-05
RPL5,0.0053637750876344,Yes,2,0.00012344916980433306
HSPA1A,0.0051148819298516,Yes,3,0.0001851737547064996
PTGES3,0.0050419285409019,Yes,4,0.0002468983396086661
UBE2D2,0.0050289108992787,Yes,5,0.0003086229245108327
PROC,0.0049904673300234,Yes,6,0.0003703475094129992
RAC1,0.0049851386562422,Yes,7,0.00043207209431516574
MTRNR2L12,0.0049722276827372,Yes,8,0.0004937966792173322
DNAJA1,0.0049013505302818,Yes,9,0.0005555212641194987
EEF1G,0.004889061021723,Yes,10,0.0006172458490216654
RHEB,0.0048702308140659,Yes,11,0.0006789704339238319
TNFAIP3,0.0048688298512833,Yes,12,0.0007406950188259984
HNRNPU,0.004868391374998,Yes,13,0.000802419603728165
PLCB1,0.0048339915512906,Yes,14,0.0008641441886303315
ATG10,0.0048015663339087,Yes,15,0.000925868773532498
ONECUT2,0.0047905942761946,Yes,16,0.0009875933584346645
EIF3H,0.0047854014457344,Yes,17,0.001049317943336831
AHCTF1,0.0047826253337976,Yes,18,0.0011110425282389975
EDEM3,0.0047415766554888,Yes,19,0.001172767113141164
MORF4L2,0.0047386650810505,Yes,20,0.0012344916980433307
JUND,0.0047263560258621,Yes,21,0.001296216282945497
ZBTB38,0.0046790888975743,Yes,22,0.0013579408678476637
RBBP6,0.0044544783544212,No,23,0.0014196654527498303
FOXA2,0.0023412364964665,No,24,0.0014813900376519967
SYTL4,0.00221481029258,No,25,0.0015431146225541633
TP53,0.0019139217550456,No,26,0.00160483920745633
GNB1,0.0015565671889174,No,27,0.0016665637923584963
MTRNR2L8,0.0015075696638629,No,28,0.001728288377260663
RPS27A,0.0014356634123369,No,29,0.0017900129621628296
GNG2,0.0014252613664667,No,30,0.001851737547064996
HSP90AA1,0.0013383625442618,No,31,0.0019134621319671626
GNAI2,0.0013153970563699,No,32,0.001975186716869329
HSP90AB1,0.0012715337012894,No,33,0.0020369113017714956
MTRNR2L1,0.0012688146175719,No,34,0.002098635886673662
UBA52,0.0011911990354333,No,35,0.002160360471575829
HSPA4,0.001172299901014,No,36,0.002222085056477995
HSPA8,0.0010719380000594,No,37,0.0022838096413801616
AKT1,0.0010403404824597,No,38,0.002345534226282328
HSPA5,0.000987662315032,No,39,0.002407258811184495
FPR2,0.0009860303124106,No,40,0.0024689833960866614
ACTB,0.0009669791586924,No,41,0.002530707980988828
