Gene,NP_Score,is_Seed,Rank,P_value
UBE2D2,0.0043335392788993,Yes,1,6.172458490216653e-05
GNB1,0.0030687970457575,Yes,2,0.00012344916980433306
JUN,0.003014935145395,Yes,3,0.0001851737547064996
CDC42,0.0028842273455382,No,4,0.0002468983396086661
STAT1,0.0028223791566446,Yes,5,0.0003086229245108327
HLA-A,0.0027690458550784,Yes,6,0.0003703475094129992
HLA-C,0.0027391236122965,Yes,7,0.00043207209431516574
MYH9,0.0027370659781457,Yes,8,0.0004937966792173322
HLA-E,0.002638774084643,Yes,9,0.0005555212641194987
HLA-B,0.0026334946175935,Yes,10,0.0006172458490216654
RPS3,0.0024757585496607,Yes,11,0.0006789704339238319
NFKBIA,0.002440172263196,Yes,12,0.0007406950188259984
RPL11,0.0024309275988113,Yes,13,0.000802419603728165
WDR26,0.0023661841671153,Yes,14,0.0008641441886303315
SARAF,0.0023593419745413,Yes,15,0.000925868773532498
RPL3,0.0023453204753136,Yes,16,0.0009875933584346645
TAPBP,0.0023330745694953,Yes,17,0.001049317943336831
DYNC1H1,0.0023176578954348,Yes,18,0.0011110425282389975
RAB7A,0.0023023928513136,Yes,19,0.001172767113141164
RAP1B,0.0022918329925708,Yes,20,0.0012344916980433307
ACTR3,0.0022889762392694,Yes,21,0.001296216282945497
HSPA1A,0.0022803189894067,Yes,22,0.0013579408678476637
SPTAN1,0.0022424770247508,Yes,23,0.0014196654527498303
TNFAIP3,0.0022407882067818,Yes,24,0.0014813900376519967
CASK,0.002213618553665,Yes,25,0.0015431146225541633
UTRN,0.0022076722982449,Yes,26,0.00160483920745633
MTRNR2L12,0.0022025665225221,Yes,27,0.0016665637923584963
WNK1,0.0022011148930307,Yes,28,0.001728288377260663
ARID4B,0.0021903455267871,Yes,29,0.0017900129621628296
PTP4A1,0.0021818656721702,No,30,0.001851737547064996
ARL15,0.0021785162832361,Yes,31,0.0019134621319671626
NEK7,0.0021738113824873,Yes,32,0.001975186716869329
DNAJB6,0.0021737089970906,Yes,33,0.0020369113017714956
HUWE1,0.0021731724160114,Yes,34,0.002098635886673662
PITPNC1,0.0021715934792639,Yes,35,0.002160360471575829
KDM5A,0.0021636437187065,Yes,36,0.002222085056477995
JUND,0.0021623303635737,Yes,37,0.0022838096413801616
ELOVL5,0.0021353726101574,Yes,38,0.002345534226282328
AUTS2,0.002127733991174,Yes,39,0.002407258811184495
ARIH1,0.0021274736012316,Yes,40,0.0024689833960866614
TMSB10,0.002122644920747,Yes,41,0.002530707980988828
STAG2,0.0021173767179314,Yes,42,0.002592432565890994
AKAP13,0.0021152786319627,Yes,43,0.002654157150793161
SRPK2,0.0021101571419264,Yes,44,0.0027158817356953274
RNF213,0.0020981845096867,Yes,45,0.002777606320597494
IQGAP2,0.002088602801028,Yes,46,0.0028393309054996606
PRRC2C,0.002072268308607,Yes,47,0.0029010554904018273
KLF6,0.0020447816557645,Yes,48,0.0029627800753039934
BTG1,0.0020445566326334,Yes,49,0.00302450466020616
SMAP2,0.0020405613323367,Yes,50,0.0030862292451083267
RNF115,0.0020375017827802,Yes,51,0.0031479538300104933
CDC42SE2,0.0020089510521663,Yes,52,0.00320967841491266
TP53,0.0019840953207912,No,53,0.003271402999814826
RPS27A,0.0012818271291554,No,54,0.0033331275847169927
UBA52,0.0011422971005451,No,55,0.0033948521696191593
ACTB,0.001114458299544,No,56,0.003456576754521326
EGFR,0.0010905221051432,No,57,0.0035183013394234925
UBC,0.0010870163444878,No,58,0.003580025924325659
PICALM,0.0010710816619021,No,59,0.0036417505092278253
STX2,0.0010199696640451,No,60,0.003703475094129992
TNF,0.0010008034126398,No,61,0.0037651996790321585
HSP90AA1,0.0009795553330199,No,62,0.003826924263934325
CTNNB1,0.0009631659665315,No,63,0.0038886488488364917
SRC,0.0009550767319438,No,64,0.003950373433738658
AKT1,0.0009537860397586,No,65,0.0040120980186408245
CD4,0.0009358202404974,No,66,0.004073822603542991
GNG2,0.0009196086567631,No,67,0.004135547188445158
SCD,0.000906282238069,No,68,0.004197271773347324
CALM3,0.0009007559510834,No,69,0.004258996358249491
RHOA,0.0008877721613237,No,70,0.004320720943151658
UBB,0.0008794119172118,No,71,0.004382445528053824
HSP90AB1,0.0008597058592447,No,72,0.00444417011295599
EP300,0.0008576310278528,No,73,0.0045058946978581566
H3C12,0.0008177843665637,No,74,0.004567619282760323
MYC,0.000816887352359,No,75,0.00462934386766249
CD8A,0.0007980701090077,No,76,0.004691068452564656
H3C13,0.0007879694335255,No,77,0.004752793037466823
IL6,0.0007787452760673,No,78,0.00481451762236899
RAB1B,0.0007766875105613,No,79,0.004876242207271156
HDAC1,0.0007762708149924,No,80,0.004937966792173323
GNAI2,0.0007700894264247,No,81,0.0049996913770754894
H4C6,0.000766650689263,No,82,0.005061415961977656
FADS1,0.0007594650454633,No,83,0.005123140546879823
PITPNM3,0.0007544571222618,No,84,0.005184865131781988
PRKACA,0.0007495714881364,No,85,0.005246589716684155
CALML5,0.0007459506770051,No,86,0.005308314301586322
CALML3,0.0007437565809935,No,87,0.005370038886488488
PRKACB,0.0007391948653538,No,88,0.005431763471390655
HSPA4,0.0007382544852601,No,89,0.0054934880562928215
FOXO3,0.000723124954732,No,90,0.005555212641194988
ORAI1,0.0007198841625592,No,91,0.005616937226097155
CALML4,0.0007168528523491,No,92,0.005678661810999321
CALML6,0.0007062847850924,No,93,0.005740386395901488
FADS2,0.0007041547078665,No,94,0.0058021109808036545
AGTRAP,0.000692187172298,No,95,0.00586383556570582
STAT3,0.000689817611372,No,96,0.005925560150607987
MTRNR2L8,0.0006829878850636,No,97,0.0059872847355101535
IFNG,0.0006798452224338,No,98,0.00604900932041232
H3-3B,0.0006732137289791,No,99,0.006110733905314487
HSPA8,0.0006641846212032,No,100,0.006172458490216653
IL1B,0.0006599430996457,No,101,0.00623418307511882
CCND1,0.000656605346376,No,102,0.0062959076600209865
B2M,0.0006530832559811,No,103,0.006357632244923153
HSPA5,0.0006462902794213,No,104,0.00641935682982532
NFKB1,0.0006435546662809,No,105,0.006481081414727486
CNOT7,0.0006359109695879,No,106,0.006542805999629652
STIM1,0.000616811725582,No,107,0.006604530584531819
BRCA1,0.0006167161280318,No,108,0.006666255169433985
PRMT1,0.0006101327080248,No,109,0.006727979754336152
MAPK3,0.0006076272168852,No,110,0.0067897043392383186
PRKACG,0.0006024603831242,No,111,0.006851428924140485
INS,0.0005968248189421,No,112,0.006913153509042652
RBX1,0.0005851595010051,No,113,0.006974878093944818
HDAC2,0.0005822520644302,No,114,0.007036602678846985
CNOT8,0.0005797281223464,No,115,0.007098327263749152
PLK1,0.0005790554885776,No,116,0.007160051848651318
UBE2L6,0.0005755501359212,No,117,0.007221776433553484
UBE2D1,0.0005717820357851,No,118,0.007283501018455651
CD74,0.0005696308981088,No,119,0.007345225603357817
GRB2,0.00056852709208,No,120,0.007406950188259984
H3-4,0.000565896427221,No,121,0.00746867477316215
MTRNR2L1,0.0005657283115722,No,122,0.007530399358064317
TRAF6,0.000562337197804,No,123,0.007592123942966484
PMEL,0.0005594110452981,No,124,0.00765384852786865
BCL2,0.0005526528918244,No,125,0.007715573112770817
S100A6,0.0005501555126376,No,126,0.0077772976976729835
GAPDH,0.0005497988044861,No,127,0.00783902228257515
FAU,0.0005453977737451,No,128,0.007900746867477316
MAPK8,0.0005453534713317,No,129,0.007962471452379483
HLA-F,0.0005423649969924,No,130,0.008024196037281649
SKP1,0.0005371524763947,No,131,0.008085920622183817
CASP3,0.0005364577772891,No,132,0.008147645207085982
CD44,0.0005346853007388,No,133,0.008209369791988148
ACTG1,0.0005330892356573,No,134,0.008271094376890315
MAPK1,0.0005303296399549,No,135,0.008332818961792481
VCP,0.0005277799554649,No,136,0.008394543546694649
FOS,0.000525982814465,No,137,0.008456268131596814
FN1,0.0005217265662004,No,138,0.008517992716498982
CDK1,0.0005214644298237,No,139,0.008579717301401148
BAMBI,0.0005213089647076,No,140,0.008641441886303315
IL10,0.0005207873009024,No,141,0.008703166471205481
CREBBP,0.0005191938531732,No,142,0.008764891056107648
TLR4,0.0005161120386723,No,143,0.008826615641009814
CUL1,0.000513249945622,No,144,0.00888834022591198
ATF3,0.0005127475678222,No,145,0.008950064810814147
STIMATE,0.0005123695523767,No,146,0.009011789395716313
ESR1,0.0005121731957899,No,147,0.00907351398061848
HLA-G,0.0005054621271223,No,148,0.009135238565520646
GPNMB,0.0005010113162702,No,149,0.009196963150422814
TRPC1,0.0004963123137847,No,150,0.00925868773532498
MDM2,0.0004916619547657,No,151,0.009320412320227147
ERBB2,0.0004892135815964,No,152,0.009382136905129313
RELA,0.0004879094618143,No,153,0.00944386149003148
UBE2L5,0.0004877674096168,No,154,0.009505586074933646
MED1,0.0004866867481039,No,155,0.009567310659835813
CALR,0.0004831295922739,No,156,0.00962903524473798
GSK3B,0.0004820764165151,No,157,0.009690759829640145
RPS18,0.0004820131629894,No,158,0.009752484414542312
SP1,0.0004779414545782,No,159,0.009814208999444478
RPL5,0.0004774519669476,No,160,0.009875933584346646
PTEN,0.0004766064862934,No,161,0.009937658169248811
GNAQ,0.0004743825290643,No,162,0.009999382754150979
DLG4,0.0004723549353473,No,163,0.010061107339053145
GNAI1,0.0004714296330806,No,164,0.010122831923955312
APP,0.0004699029954359,No,165,0.010184556508857478
CREB1,0.00046896207151,No,166,0.010246281093759645
PIK3R1,0.000468153143896,No,167,0.010308005678661811
FPR2,0.0004674035628625,No,168,0.010369730263563977
CRACR2A,0.000464856742387,No,169,0.010431454848466144
RTP4,0.0004640781616313,No,170,0.01049317943336831
RBM25,0.0004624737633486,No,171,0.010554904018270478
RAC2,0.0004622640185602,No,172,0.010616628603172643
HSPA9,0.0004597716050991,No,173,0.01067835318807481
PARP14,0.0004596187342168,No,174,0.010740077772976976
CXCL8,0.0004584830904324,No,175,0.010801802357879144
SMAD3,0.0004584625608551,No,176,0.01086352694278131
H3-5,0.0004553937229073,No,177,0.010925251527683477
RPS11,0.0004533971016396,No,178,0.010986976112585643
UBE2N,0.0004522014676575,No,179,0.011048700697487809
EZH2,0.0004511567554102,No,180,0.011110425282389976
H3-2,0.0004511462658117,No,181,0.011172149867292142
RPS6,0.0004508928826387,No,182,0.01123387445219431
IL2,0.0004490603386078,No,183,0.011295599037096475
PIK3CA,0.0004435467613722,No,184,0.011357323621998643
KRAS,0.000443222561934,No,185,0.011419048206900808
MAPK14,0.0004426876472577,No,186,0.011480772791802976
RAC1,0.000439695171352,No,187,0.011542497376705142
CALM1,0.0004392727532252,No,188,0.011604221961607309
ARMC8,0.0004388488117509,No,189,0.011665946546509475
RBBP4,0.0004380973139292,No,190,0.01172767113141164
CUL3,0.0004358925326586,No,191,0.011789395716313808
RPS9,0.000431736446771,No,192,0.011851120301215974
IQGAP1,0.0004311275637933,No,193,0.011912844886118141
KLRD1,0.0004301633327098,No,194,0.011974569471020307
TYROBP,0.0004290152397608,No,195,0.012036294055922474
LOC102723407,0.0004264597468182,No,196,0.01209801864082464
GID8,0.0004247343816813,No,197,0.012159743225726808
EGF,0.0004237517434902,No,198,0.012221467810628973
MAPK9,0.0004235007715771,No,199,0.012283192395531141
RAC3,0.0004230736702574,No,200,0.012344916980433307
CASP1,0.0004224102235523,No,201,0.012406641565335472
CDH1,0.0004216245013998,No,202,0.01246836615023764
STUB1,0.0004214741006332,No,203,0.012530090735139806
ITGB1,0.0004193215330644,No,204,0.012591815320041973
RPL23,0.0004176750814799,No,205,0.012653539904944139
RPS2,0.0004172320782631,No,206,0.012715264489846306
RNF2,0.0004169641350309,No,207,0.012776989074748472
RPL23A,0.0004168291571888,No,208,0.01283871365965064
SRSF11,0.0004142675084318,No,209,0.012900438244552805
RMND5A,0.0004116350180215,No,210,0.012962162829454973
SYK,0.0004104181091081,No,211,0.013023887414357138
NEDD8,0.0004083153272428,No,212,0.013085611999259304
