Gene,NP_Score,is_Seed,Rank,P_value
SLC38A4,0.0017702598135839,Yes,1,6.172458490216653e-05
ALDH3A2,0.0016286032616484,Yes,2,0.00012344916980433306
RPL4,0.0015626280654685,Yes,3,0.0001851737547064996
HSPA5,0.0015380285275591,Yes,4,0.0002468983396086661
RPS23,0.0015106741696745,Yes,5,0.0003086229245108327
RPS5,0.0014851832327257,Yes,6,0.0003703475094129992
UBB,0.0014338442271629,Yes,7,0.00043207209431516574
JUN,0.0013960899257606,No,8,0.0004937966792173322
RPS4X,0.0013918459853018,Yes,9,0.0005555212641194987
ABCA6,0.0013834178287212,Yes,10,0.0006172458490216654
ACOX1,0.0013829945729561,Yes,11,0.0006789704339238319
CALR,0.0013791042342093,Yes,12,0.0007406950188259984
RPL24,0.0013648851877838,Yes,13,0.000802419603728165
TP53,0.0013624013060224,No,14,0.0008641441886303315
RPL27,0.0013594756837007,Yes,15,0.000925868773532498
ARF1,0.0013588070870235,Yes,16,0.0009875933584346645
FH,0.0013499902845281,Yes,17,0.001049317943336831
AR,0.0013256700917058,Yes,18,0.0011110425282389975
PROC,0.0013219955862612,Yes,19,0.001172767113141164
MET,0.0013119719942788,Yes,20,0.0012344916980433307
SDHC,0.0013116659428398,Yes,21,0.001296216282945497
TSC22D1,0.0013020953244118,Yes,22,0.0013579408678476637
CERS2,0.0012979790091971,Yes,23,0.0014196654527498303
ENO1,0.0012833134619296,Yes,24,0.0014813900376519967
IRS1,0.0012828584188695,Yes,25,0.0015431146225541633
ATP5F1B,0.0012737651246049,Yes,26,0.00160483920745633
RPLP1,0.0012672846745428,Yes,27,0.0016665637923584963
P4HB,0.0012667487936408,Yes,28,0.001728288377260663
TCF7L2,0.0012649138468759,Yes,29,0.0017900129621628296
CYP8B1,0.0012637032273826,Yes,30,0.001851737547064996
NCL,0.0012600102787452,Yes,31,0.0019134621319671626
F12,0.001248443913474,Yes,32,0.001975186716869329
TLE1,0.0012403204711442,Yes,33,0.0020369113017714956
EEF1G,0.0012390036915995,Yes,34,0.002098635886673662
IFITM3,0.0012348533290905,Yes,35,0.002160360471575829
PLPP1,0.001228776728945,Yes,36,0.002222085056477995
ABCB11,0.0012224951732519,Yes,37,0.0022838096413801616
KRTCAP2,0.0012179201853522,Yes,38,0.002345534226282328
G6PC,0.0012106561557666,Yes,39,0.002407258811184495
MLEC,0.0012104500762417,Yes,40,0.0024689833960866614
F5,0.0012083727456359,Yes,41,0.002530707980988828
LRP6,0.0011992738419686,Yes,42,0.002592432565890994
ATP1B1,0.0011961826568924,Yes,43,0.002654157150793161
INSR,0.0011954160698189,Yes,44,0.0027158817356953274
CTNNB1,0.0011880952762908,No,45,0.002777606320597494
XPO1,0.0011854429443731,Yes,46,0.0028393309054996606
NR5A2,0.0011853200355454,Yes,47,0.0029010554904018273
INSIG1,0.0011836726361425,Yes,48,0.0029627800753039934
IL6R,0.0011828163775286,Yes,49,0.00302450466020616
CTH,0.0011795084375201,Yes,50,0.0030862292451083267
HGD,0.0011765417651552,Yes,51,0.0031479538300104933
PDIA6,0.0011719635960467,Yes,52,0.00320967841491266
WDR90,0.0011697135917094,No,53,0.003271402999814826
MLXIPL,0.0011694910193204,Yes,54,0.0033331275847169927
ASL,0.0011682795254594,Yes,55,0.0033948521696191593
ABCC2,0.0011675786725017,Yes,56,0.003456576754521326
POR,0.0011623160230571,Yes,57,0.0035183013394234925
