Gene,NP_Score,is_Seed,Rank,P_value
FTH1,0.0168604813827144,Yes,1,6.172458490216653e-05
FTL,0.0164327280285294,Yes,2,0.00012344916980433306
RAB7A,0.0154753757623389,Yes,3,0.0001851737547064996
RPL5,0.0153431362497282,Yes,4,0.0002468983396086661
NAMPT,0.0151202431957276,Yes,5,0.0003086229245108327
TACC1,0.0150806884625431,Yes,6,0.0003703475094129992
TPT1,0.0146783292190714,Yes,7,0.00043207209431516574
TFRC,0.0023496855189249,No,8,0.0004937966792173322
SLC11A2,0.0022763075156817,No,9,0.0005555212641194987
SLC40A1,0.0021322990997319,No,10,0.0006172458490216654
IREB2,0.0020622730449191,No,11,0.0006789704339238319
CKAP5,0.0019346355328896,No,12,0.0007406950188259984
GPX4,0.0018824788944798,No,13,0.000802419603728165
CEP120,0.0017203633359296,No,14,0.0008641441886303315
HAMP,0.0017074664118259,No,15,0.000925868773532498
NCOA4,0.0016993185930417,No,16,0.0009875933584346645
TDRD7,0.0016779363153985,No,17,0.001049317943336831
AURKA,0.0016297472569011,No,18,0.0011110425282389975
FGFR1,0.0016001911137787,No,19,0.001172767113141164
SCARA5,0.0015929410111131,No,20,0.0012344916980433307
FGFR3,0.001532283222229,No,21,0.001296216282945497
ACO1,0.0015243956877794,No,22,0.0013579408678476637
SPICE1,0.0015236737234047,No,23,0.0014196654527498303
LSM7,0.0014964013833127,No,24,0.0014813900376519967
YEATS4,0.0014591109358518,No,25,0.0015431146225541633
HFE,0.0014384144324533,No,26,0.00160483920745633
TACC2,0.0014165652273081,No,27,0.0016665637923584963
PANK2,0.0013865564844542,No,28,0.001728288377260663
TP53,0.0013794646891285,No,29,0.0017900129621628296
PLA2G6,0.0013239560575774,No,30,0.001851737547064996
PANK1,0.0013145501458671,No,31,0.0019134621319671626
HMOX1,0.0012010538648505,No,32,0.001975186716869329
RPS27A,0.0011570984011006,No,33,0.0020369113017714956
PLCB3,0.0011265339586504,No,34,0.002098635886673662
RPS18,0.0011240179255198,No,35,0.002160360471575829
ALB,0.0011206876820403,No,36,0.002222085056477995
PYGM,0.0011099010066959,No,37,0.0022838096413801616
SF1,0.0011052335747546,No,38,0.002345534226282328
ENPP1,0.0010914804379481,No,39,0.002407258811184495
RPS11,0.0010901957499469,No,40,0.0024689833960866614
FAU,0.0010819145567593,No,41,0.002530707980988828
UBA52,0.0010760546657323,No,42,0.002592432565890994
ENPP3,0.0010740866073156,No,43,0.002654157150793161
SCGB1A1,0.0010658069192612,No,44,0.0027158817356953274
RPS3,0.0010590697307891,No,45,0.002777606320597494
RPL11,0.0010542620568829,No,46,0.0028393309054996606
COX8A,0.0010464868385543,No,47,0.0029010554904018273
RPL23,0.0010457172461732,No,48,0.0029627800753039934
CAPN1,0.0010457037027724,No,49,0.00302450466020616
CHRM1,0.0010417231595949,No,50,0.0030862292451083267
ROM1,0.0010403184351373,No,51,0.0031479538300104933
RPL23A,0.0010382955979276,No,52,0.00320967841491266
FOSL1,0.001034447473586,No,53,0.003271402999814826
RPS9,0.0010249771151625,No,54,0.0033331275847169927
MARK2,0.00102490538076,No,55,0.0033948521696191593
AHNAK,0.0010216061983991,No,56,0.003456576754521326
MAP3K11,0.0009952181568964,No,57,0.0035183013394234925
RPL4,0.0009897643754171,No,58,0.003580025924325659
FKBP2,0.0009851466789095,No,59,0.0036417505092278253
RPS15,0.0009827892279755,No,60,0.003703475094129992
RPS23,0.0009794588910208,No,61,0.0037651996790321585
RPL8,0.0009783941979469,No,62,0.003826924263934325
RPS6,0.0009781148406547,No,63,0.0038886488488364917
RPS2,0.000978088424752,No,64,0.003950373433738658
RPS16,0.0009746892652937,No,65,0.0040120980186408245
RPL35,0.0009685800950401,No,66,0.004073822603542991
LOC114841035,0.0009523818237607,No,67,0.004135547188445158
RPS5,0.0009229079645599,No,68,0.004197271773347324
RPS3A,0.0009108017175802,No,69,0.004258996358249491
RPS19,0.000904157978848,No,70,0.004320720943151658
RPS14,0.0009026221734687,No,71,0.004382445528053824
RPLP0,0.0008960634555303,No,72,0.00444417011295599
RPL9,0.000895670875137,No,73,0.0045058946978581566
RPS13,0.0008885283287592,No,74,0.004567619282760323
RPS7,0.0008855455859555,No,75,0.00462934386766249
RPS8,0.0008840765864129,No,76,0.004691068452564656
RPS20,0.0008833163114906,No,77,0.004752793037466823
RPL19,0.0008814187317579,No,78,0.00481451762236899
RPS28,0.000879139633762,No,79,0.004876242207271156
RPS24,0.0008769409723369,No,80,0.004937966792173323
MRTO4,0.0008741836354237,No,81,0.0049996913770754894
MED1,0.0008740089906179,No,82,0.005061415961977656
RPL13A,0.0008718143370625,No,83,0.005123140546879823
IL6,0.0008707570482135,No,84,0.005184865131781988
RPL3,0.000870032119594,No,85,0.005246589716684155
INS,0.0008423337042307,No,86,0.005308314301586322
RAB5A,0.0008377836442486,No,87,0.005370038886488488
RPL18,0.0008365802253495,No,88,0.005431763471390655
RPS17,0.0008365118952938,No,89,0.0054934880562928215
RPL31,0.0008306266887199,No,90,0.005555212641194988
MRPS16,0.0008303201278026,No,91,0.005616937226097155
RPL30,0.0008282497271819,No,92,0.005678661810999321
RPL18A,0.000827567597879,No,93,0.005740386395901488
RPL6,0.0008270827310342,No,94,0.0058021109808036545
EGFR,0.0008245309918571,No,95,0.00586383556570582
MRPS6,0.0008224051261346,No,96,0.005925560150607987
RPL15,0.0008214087446434,No,97,0.0059872847355101535
RPL7,0.0008194323367386,No,98,0.00604900932041232
RACK1,0.0008181055389999,No,99,0.006110733905314487
RPL21,0.0008157243433899,No,100,0.006172458490216653
RPL26,0.0008151933793759,No,101,0.00623418307511882
RPL13,0.0008091719860983,No,102,0.0062959076600209865
MRPS9,0.0008088277550545,No,103,0.006357632244923153
RPL17,0.0008076530469096,No,104,0.00641935682982532
RPL38,0.0007904584230931,No,105,0.006481081414727486
RPL35A,0.0007901043075779,No,106,0.006542805999629652
RPL34,0.0007896955917349,No,107,0.006604530584531819
RPL36,0.0007867587983833,No,108,0.006666255169433985
RPS29,0.0007825491515575,No,109,0.006727979754336152
RPSA,0.0007825427214601,No,110,0.0067897043392383186
RPS25,0.0007804907454076,No,111,0.006851428924140485
RPS21,0.0007804569798166,No,112,0.006913153509042652
RPS26,0.0007731489488159,No,113,0.006974878093944818
RPS4X,0.0007683208268842,No,114,0.007036602678846985
ACTB,0.0007673997487907,No,115,0.007098327263749152
RPS27,0.0007605701901383,No,116,0.007160051848651318
CD74,0.0007570355170648,No,117,0.007221776433553484
MRPL27,0.0007530571673149,No,118,0.007283501018455651
RPL24,0.0007528440030563,No,119,0.007345225603357817
RPL7A,0.0007512966688507,No,120,0.007406950188259984
RPS12,0.0007415948653507,No,121,0.00746867477316215
RPL14,0.0007389794904302,No,122,0.007530399358064317
EEF2,0.0007317310065287,No,123,0.007592123942966484
FLT3LG,0.0007309264812472,No,124,0.00765384852786865
MRPS12,0.0007301841899779,No,125,0.007715573112770817
RPL27,0.0007298346092061,No,126,0.0077772976976729835
RPL29,0.0007290445042929,No,127,0.00783902228257515
RPS15A,0.0007244754567123,No,128,0.007900746867477316
RPL28,0.000721361700361,No,129,0.007962471452379483
RPL27A,0.000717494769724,No,130,0.008024196037281649
IMP3,0.0007132696831442,No,131,0.008085920622183817
RPL17-C18orf32,0.0007120806086661,No,132,0.008147645207085982
RAB11A,0.0007109616257664,No,133,0.008209369791988148
RPL10,0.0007098360992473,No,134,0.008271094376890315
RPL10A,0.0007054051701039,No,135,0.008332818961792481
RPL26L1,0.0007028821482209,No,136,0.008394543546694649
PCBP1,0.000701703621336,No,137,0.008456268131596814
SIRT1,0.0006947780997767,No,138,0.008517992716498982
TG,0.0006888702033123,No,139,0.008579717301401148
RPL12,0.0006867867101056,No,140,0.008641441886303315
AKT1,0.0006838022519422,No,141,0.008703166471205481
MRPS5,0.0006824409550125,No,142,0.008764891056107648
RPS10,0.0006815609407735,No,143,0.008826615641009814
MRPL3,0.0006813625387598,No,144,0.00888834022591198
MRPS10,0.0006778377902919,No,145,0.008950064810814147
TUBB,0.000676226063617,No,146,0.009011789395716313
MRNIP,0.000674130731811,No,147,0.00907351398061848
MRPL13,0.0006700978070612,No,148,0.009135238565520646
HSP90AA1,0.000665321034645,No,149,0.009196963150422814
MRPS7,0.000662928070064,No,150,0.00925868773532498
NT5E,0.0006628238512511,No,151,0.009320412320227147
RPL22,0.0006588092137887,No,152,0.009382136905129313
MRPL4,0.0006563614386042,No,153,0.00944386149003148
DYNC1H1,0.0006489434516907,No,154,0.009505586074933646
RPL7L1,0.0006480780718064,No,155,0.009567310659835813
RPL37A,0.000647457513692,No,156,0.00962903524473798
MRPL22,0.0006446920355338,No,157,0.009690759829640145
RPL37,0.0006425495695394,No,158,0.009752484414542312
RAB7B,0.0006383989666896,No,159,0.009814208999444478
MRPS11,0.0006379249521661,No,160,0.009875933584346646
RPL32,0.0006372692459135,No,161,0.009937658169248811
EFTUD2,0.0006355976745971,No,162,0.009999382754150979
VPS35,0.0006317891407793,No,163,0.010061107339053145
LEP,0.0006276688950528,No,164,0.010122831923955312
MRPS15,0.0006266579598924,No,165,0.010184556508857478
NUDT12,0.0006266473200789,No,166,0.010246281093759645
RPL10L,0.0006247936744437,No,167,0.010308005678661811
CTNNB1,0.0006236905829676,No,168,0.010369730263563977
DYNC1I2,0.0006203568853694,No,169,0.010431454848466144
RPS27L,0.0006175405353455,No,170,0.01049317943336831
MRPL17,0.0006155247753151,No,171,0.010554904018270478
FANCE,0.000614891769791,No,172,0.010616628603172643
PNP,0.0006134296110843,No,173,0.01067835318807481
MRPL24,0.0006116754350501,No,174,0.010740077772976976
PLK1,0.0006057439299655,No,175,0.010801802357879144
GAPDH,0.0006041781534504,No,176,0.01086352694278131
RPLP1,0.0006033565707172,No,177,0.010925251527683477
RSAD1,0.0006025932457902,No,178,0.010986976112585643
MRPL2,0.0006013166807074,No,179,0.011048700697487809
TNF,0.0005994974432456,No,180,0.011110425282389976
TUBA1A,0.0005985245400195,No,181,0.011172149867292142
MRPS14,0.0005958771484074,No,182,0.01123387445219431
DYNC1I1,0.000595235705626,No,183,0.011295599037096475
MRPL19,0.0005932744679528,No,184,0.011357323621998643
RPL3L,0.0005913334580731,No,185,0.011419048206900808
RPS4Y1,0.0005906498237036,No,186,0.011480772791802976
CD38,0.0005899451414715,No,187,0.011542497376705142
CUL7,0.0005889094080819,No,188,0.011604221961607309
SRC,0.0005877260480653,No,189,0.011665946546509475
PDCD11,0.0005868067210504,No,190,0.01172767113141164
RPS10-NUDT3,0.0005838537155832,No,191,0.011789395716313808
DYNC2H1,0.0005834029138331,No,192,0.011851120301215974
RPLP2,0.0005782946044472,No,193,0.011912844886118141
VCP,0.0005741000549961,No,194,0.011974569471020307
MRPL36,0.0005725231707925,No,195,0.012036294055922474
NMNAT2,0.0005704474840789,No,196,0.01209801864082464
CYBRD1,0.0005697819502768,No,197,0.012159743225726808
NMNAT1,0.0005696793213777,No,198,0.012221467810628973
