Gene,NP_Score,is_Seed,Rank,P_value
ACTB,0.0032138026121362,Yes,1,6.172458490216653e-05
RPS3,0.0030825035053805,Yes,2,0.00012344916980433306
MT-CO1,0.0029860874145714,Yes,3,0.0001851737547064996
MT-CO2,0.0029629087842306,Yes,4,0.0002468983396086661
MT-CO3,0.0029622605574169,Yes,5,0.0003086229245108327
MT-ND1,0.0029527135951565,Yes,6,0.0003703475094129992
MT-ND4,0.0029475561667642,Yes,7,0.00043207209431516574
MT-ND3,0.0029443452645009,Yes,8,0.0004937966792173322
MT-ND2,0.0029384766275594,Yes,9,0.0005555212641194987
MT-ND5,0.0029013002141424,Yes,10,0.0006172458490216654
RPL23A,0.002876020232905,Yes,11,0.0006789704339238319
RPS11,0.0028551352425422,Yes,12,0.0007406950188259984
MT-CYB,0.0028190218561913,Yes,13,0.000802419603728165
RPL11,0.0027950647203643,Yes,14,0.0008641441886303315
MT-ND4L,0.0027932151982693,Yes,15,0.000925868773532498
RPS2,0.0027824827839617,Yes,16,0.0009875933584346645
RPS16,0.0027751932177782,Yes,17,0.001049317943336831
MT-ND6,0.0027616984762168,Yes,18,0.0011110425282389975
RPS19,0.0027614904328018,Yes,19,0.001172767113141164
MT-ATP6,0.002649903468521,Yes,20,0.0012344916980433307
RPL3,0.0026361034059064,Yes,21,0.001296216282945497
RPS29,0.0025720942157928,Yes,22,0.0013579408678476637
RPS27,0.0025281341003458,Yes,23,0.0014196654527498303
EEF2,0.0025014710830651,Yes,24,0.0014813900376519967
SYNE1,0.0024903661636114,Yes,25,0.0015431146225541633
HLA-C,0.0024857272658132,Yes,26,0.00160483920745633
PFN1,0.0024723716603139,Yes,27,0.0016665637923584963
SYNE2,0.0024589020903784,Yes,28,0.001728288377260663
RPL28,0.0024575431782865,Yes,29,0.0017900129621628296
B2M,0.0024348147549074,Yes,30,0.001851737547064996
HLA-E,0.0023982290137775,Yes,31,0.0019134621319671626
CFL1,0.0023863328347663,Yes,32,0.001975186716869329
HLA-B,0.0023851706736644,Yes,33,0.0020369113017714956
MT-ATP8,0.0023281991811494,Yes,34,0.002098635886673662
SEPTIN9,0.0021579289331745,Yes,35,0.002160360471575829
UBE2D2,0.0021486604371859,Yes,36,0.002222085056477995
EEF1D,0.0021460535692006,Yes,37,0.0022838096413801616
TAPBP,0.0021427502236665,Yes,38,0.002345534226282328
MYH9,0.0020969981603801,Yes,39,0.002407258811184495
PTMA,0.0020792326010193,Yes,40,0.0024689833960866614
DIAPH1,0.0020321615543733,Yes,41,0.002530707980988828
EPB41,0.0020321376120693,Yes,42,0.002592432565890994
MTRNR2L12,0.0020282579766855,Yes,43,0.002654157150793161
AHNAK,0.0020112672218915,Yes,44,0.0027158817356953274
PITPNC1,0.002009236233746,Yes,45,0.002777606320597494
INTS6,0.0019980356891982,Yes,46,0.0028393309054996606
TMSB4X,0.0019840092377364,Yes,47,0.0029010554904018273
ZFP36L2,0.0019722705147197,Yes,48,0.0029627800753039934
RORA,0.001970471804179,Yes,49,0.00302450466020616
CBLB,0.0019631204863402,Yes,50,0.0030862292451083267
JUND,0.001959495013289,Yes,51,0.0031479538300104933
YWHAZ,0.0019495901523294,No,52,0.00320967841491266
NFATC3,0.0019285743323227,Yes,53,0.003271402999814826
BTG1,0.0019008845970765,Yes,54,0.0033331275847169927
SIK3,0.0018668486981713,Yes,55,0.0033948521696191593
NDUFS3,0.0012773140672584,No,56,0.003456576754521326
NDUFS8,0.00126911597262,No,57,0.0035183013394234925
UQCRFS1,0.001223586417618,No,58,0.003580025924325659
NDUFV1,0.0011915264857668,No,59,0.0036417505092278253
NDUFV2,0.0011792695098774,No,60,0.003703475094129992
NDUFS2,0.0011791947310485,No,61,0.0037651996790321585
CYC1,0.0011759024362049,No,62,0.003826924263934325
NDUFAB1,0.0011705546797478,No,63,0.0038886488488364917
RPS27A,0.0011704188750517,No,64,0.003950373433738658
UQCR10,0.0011522845664593,No,65,0.0040120980186408245
NDUFA5,0.001140600353001,No,66,0.004073822603542991
COX5A,0.0011393972337208,No,67,0.004135547188445158
NDUFS1,0.001135673884533,No,68,0.004197271773347324
NDUFB8,0.0011338741040541,No,69,0.004258996358249491
NDUFA12,0.0011336586699539,No,70,0.004320720943151658
UQCRQ,0.0011305621705799,No,71,0.004382445528053824
TP53,0.001128578177971,No,72,0.00444417011295599
NDUFS4,0.0011200066601934,No,73,0.0045058946978581566
UQCRB,0.0011174535225847,No,74,0.004567619282760323
NDUFA13,0.0011167527592123,No,75,0.00462934386766249
NDUFB9,0.0011111249655995,No,76,0.004691068452564656
COX5B,0.0011060524307425,No,77,0.004752793037466823
NDUFA8,0.0011060325083452,No,78,0.00481451762236899
NDUFB7,0.0011029472876736,No,79,0.004876242207271156
UBA52,0.0010890965296468,No,80,0.004937966792173323
NDUFS6,0.0010877953438242,No,81,0.0049996913770754894
NDUFA6,0.0010796741208094,No,82,0.005061415961977656
NDUFS7,0.0010710277809716,No,83,0.005123140546879823
RPS18,0.0010700383981363,No,84,0.005184865131781988
COX4I1,0.0010598905774404,No,85,0.005246589716684155
NDUFA2,0.0010574834247878,No,86,0.005308314301586322
UQCRC2,0.0010406258429526,No,87,0.005370038886488488
NDUFB10,0.0010394216233672,No,88,0.005431763471390655
COX7C,0.0010317046691418,No,89,0.0054934880562928215
NDUFB5,0.0010147611455055,No,90,0.005555212641194988
RPL5,0.0009964925112135,No,91,0.005616937226097155
UQCRC1,0.0009851872426257,No,92,0.005678661810999321
NDUFA9,0.0009831888017885,No,93,0.005740386395901488
NDUFB3,0.0009723225707258,No,94,0.0058021109808036545
FAU,0.0009673532846196,No,95,0.00586383556570582
ATP5F1C,0.0009663450336162,No,96,0.005925560150607987
RPS9,0.0009632395659659,No,97,0.0059872847355101535
COX6B1,0.0009631291427262,No,98,0.00604900932041232
UQCR11,0.0009567154736167,No,99,0.006110733905314487
RPL23,0.0009528415151062,No,100,0.006172458490216653
NDUFB6,0.000950030079699,No,101,0.00623418307511882
UQCRH,0.0009399302967287,No,102,0.0062959076600209865
NDUFS5,0.0009351145696028,No,103,0.006357632244923153
RPS23,0.0009337584782396,No,104,0.00641935682982532
CNOT7,0.0009297044046704,No,105,0.006481081414727486
NDUFB4,0.0009272236643824,No,106,0.006542805999629652
NDUFA4,0.0009266128458859,No,107,0.006604530584531819
NDUFB11,0.0009254968790674,No,108,0.006666255169433985
RPL4,0.0009133300665828,No,109,0.006727979754336152
ATP5F1A,0.0009079911729677,No,110,0.0067897043392383186
NDUFA1,0.0008999028375907,No,111,0.006851428924140485
COX6A2,0.0008993421337119,No,112,0.006913153509042652
RPS15,0.0008976956542742,No,113,0.006974878093944818
RPS6,0.0008968531797066,No,114,0.007036602678846985
NDUFA10,0.0008887258938995,No,115,0.007098327263749152
NDUFA3,0.0008838573539156,No,116,0.007160051848651318
RPS14,0.0008734918475356,No,117,0.007221776433553484
CD74,0.0008686993185492,No,118,0.007283501018455651
NDUFC2,0.0008665161759358,No,119,0.007345225603357817
NDUFA7,0.0008637063183194,No,120,0.007406950188259984
RPS5,0.0008555043036704,No,121,0.00746867477316215
RPL35,0.000851187828671,No,122,0.007530399358064317
RPL8,0.0008447236983726,No,123,0.007592123942966484
NDUFA11,0.0008426225310666,No,124,0.00765384852786865
COX7B,0.0008377981495075,No,125,0.007715573112770817
EGFR,0.000837070430038,No,126,0.0077772976976729835
NDUFV3,0.0008313842382929,No,127,0.00783902228257515
COX7A1,0.000829248833424,No,128,0.007900746867477316
RPS3A,0.000825837408989,No,129,0.007962471452379483
SDHB,0.0008208039624582,No,130,0.008024196037281649
RPLP0,0.0008199905282176,No,131,0.008085920622183817
RPS28,0.000811482189538,No,132,0.008147645207085982
RPL9,0.0008112657063997,No,133,0.008209369791988148
RPS13,0.000808863035747,No,134,0.008271094376890315
RPS20,0.0008084702852631,No,135,0.008332818961792481
RPS8,0.000805220280154,No,136,0.008394543546694649
RPS7,0.0008041053668598,No,137,0.008456268131596814
NDUFC1,0.0008032738567402,No,138,0.008517992716498982
MED1,0.0008023552165042,No,139,0.008579717301401148
NDUFB1,0.0008010217052954,No,140,0.008641441886303315
RPL13A,0.0007993177936482,No,141,0.008703166471205481
RPS24,0.0007979619199994,No,142,0.008764891056107648
