Gene,NP_Score,is_Seed,Rank,P_value
DUSP1,0.0514637053335407,Yes,1,6.172458490216653e-05
CD74,0.0512971879396189,Yes,2,0.00012344916980433306
FOS,0.0032523919934625,No,3,0.0001851737547064996
JUN,0.0031881324966437,No,4,0.0002468983396086661
ATF3,0.0028331957153382,No,5,0.0003086229245108327
MAPK3,0.0027660042268649,No,6,0.0003703475094129992
MAPK8,0.0027321825812254,No,7,0.00043207209431516574
MAPK1,0.0027307732244884,No,8,0.0004937966792173322
EGR1,0.002647698286511,No,9,0.0005555212641194987
FOSB,0.0026007257366542,No,10,0.0006172458490216654
MAPK9,0.002568311446158,No,11,0.0006789704339238319
MAPK14,0.0025489633641959,No,12,0.0007406950188259984
HDAC1,0.0025453544147366,No,13,0.000802419603728165
MAPK12,0.0024938485198619,No,14,0.0008641441886303315
IL6,0.0024887098212465,No,15,0.000925868773532498
MAPK11,0.0024777278789063,No,16,0.0009875933584346645
MAPK13,0.0024593076105876,No,17,0.001049317943336831
TSC22D3,0.0023711293672419,No,18,0.0011110425282389975
ZFP36,0.0023059587086303,No,19,0.001172767113141164
ATF2,0.0022931159055584,No,20,0.0012344916980433307
NR4A1,0.0022862997686186,No,21,0.001296216282945497
CALM3,0.0021997160556748,No,22,0.0013579408678476637
TP53,0.0020481261404751,No,23,0.0014196654527498303
IER2,0.0020334535549788,No,24,0.0014813900376519967
SKP2,0.0019850973542017,No,25,0.0015431146225541633
PPP1R15A,0.0019491017462261,No,26,0.00160483920745633
BTG2,0.0019300633090385,No,27,0.0016665637923584963
CKS1B,0.0019066346901543,No,28,0.001728288377260663
KLF6,0.0018568711656486,No,29,0.0017900129621628296
RPS27A,0.0015516302152665,No,30,0.001851737547064996
RPS18,0.0014994048924406,No,31,0.0019134621319671626
RPS11,0.0014770224302478,No,32,0.001975186716869329
RPS9,0.0014418508255049,No,33,0.0020369113017714956
RPS23,0.0013864553673087,No,34,0.002098635886673662
MED1,0.001386052660361,No,35,0.002160360471575829
UBA52,0.0013677462323785,No,36,0.002222085056477995
RPS16,0.0013669545398687,No,37,0.0022838096413801616
RPS6,0.0013471278662787,No,38,0.002345534226282328
RPL11,0.0013389880061137,No,39,0.002407258811184495
RPS3,0.0013389428802582,No,40,0.0024689833960866614
RPL23,0.0013344799641011,No,41,0.002530707980988828
FAU,0.0013322519838942,No,42,0.002592432565890994
RPL5,0.0013271476620832,No,43,0.002654157150793161
RPS2,0.0013230351238791,No,44,0.0027158817356953274
RPS5,0.0013131116004346,No,45,0.002777606320597494
RPL4,0.001306001261016,No,46,0.0028393309054996606
RPL23A,0.0012942956877063,No,47,0.0029010554904018273
RPS13,0.0012573004537868,No,48,0.0029627800753039934
RPS15,0.001256403271428,No,49,0.00302450466020616
MRPS12,0.0012551158934298,No,50,0.0030862292451083267
MRTO4,0.0012470077304704,No,51,0.0031479538300104933
RPS3A,0.0012456832623597,No,52,0.00320967841491266
RPS19,0.0012341849102478,No,53,0.003271402999814826
RPS7,0.0012234281863904,No,54,0.0033331275847169927
RPS28,0.0012203968709745,No,55,0.0033948521696191593
RPL35,0.0012194213104565,No,56,0.003456576754521326
RPS8,0.0012178959258372,No,57,0.0035183013394234925
RPS24,0.0012091857621237,No,58,0.003580025924325659
IMP3,0.0012033477297189,No,59,0.0036417505092278253
RPL8,0.0011883058227515,No,60,0.003703475094129992
RPS20,0.0011883056983214,No,61,0.0037651996790321585
RPL9,0.0011808841886701,No,62,0.003826924263934325
RPS17,0.0011602381693463,No,63,0.0038886488488364917
RPL3,0.001157412068308,No,64,0.003950373433738658
RPLP0,0.001154520007969,No,65,0.0040120980186408245
MRPS10,0.0011443404188864,No,66,0.004073822603542991
MRPS5,0.0011442941835729,No,67,0.004135547188445158
RPL13A,0.0011432752510972,No,68,0.004197271773347324
RPS14,0.0011359210847813,No,69,0.004258996358249491
MRPL3,0.0011284463849544,No,70,0.004320720943151658
MRPL4,0.0011066732863301,No,71,0.004382445528053824
MRPS7,0.0011052335791575,No,72,0.00444417011295599
MRPL13,0.0011029090953098,No,73,0.0045058946978581566
RPL19,0.0010910520606623,No,74,0.004567619282760323
MRPL22,0.0010849570403673,No,75,0.00462934386766249
RPL17,0.0010794373095497,No,76,0.004691068452564656
MRPS15,0.0010786003433219,No,77,0.004752793037466823
RPS29,0.00107809775191,No,78,0.00481451762236899
