Gene,NP_Score,is_Seed,Rank,P_value
TP53,0.0018326448608172,No,1,6.172458490216653e-05
CTNNB1,0.0016264750268088,Yes,2,0.00012344916980433306
ZNF407,0.0013223479452975,Yes,3,0.0001851737547064996
USP32,0.0013223479452975,Yes,4,0.0002468983396086661
FAM172A,0.0013223479452975,Yes,5,0.0003086229245108327
ARHGAP15,0.0013223479452975,Yes,6,0.0003703475094129992
EGFR,0.0012493277901223,No,7,0.00043207209431516574
ZNF236,0.0011902148687728,No,8,0.0004937966792173322
GTDC1,0.0011902148687728,No,9,0.0005555212641194987
PLAC8L1,0.0011902148687728,No,10,0.0006172458490216654
CDC42,0.0011222920511803,No,11,0.0006789704339238319
H3C13,0.0010419804055327,No,12,0.0007406950188259984
AKT1,0.0010152386060219,No,13,0.000802419603728165
H3C12,0.0010109245672723,No,14,0.0008641441886303315
EP300,0.0010076668963693,No,15,0.000925868773532498
ACTB,0.0009955254057232,No,16,0.0009875933584346645
SRC,0.0009791837125929,No,17,0.001049317943336831
RPS27A,0.0009777813845587,No,18,0.0011110425282389975
UBC,0.0009407051545856,No,19,0.001172767113141164
TNF,0.0009335584264024,No,20,0.0012344916980433307
STAT3,0.0009305324197507,Yes,21,0.001296216282945497
MYC,0.0008988705986232,No,22,0.0013579408678476637
H4C6,0.0008975113388067,No,23,0.0014196654527498303
FN1,0.0008933614315354,Yes,24,0.0014813900376519967
UBA52,0.0008786976376053,No,25,0.0015431146225541633
HDAC1,0.0008771736993034,No,26,0.00160483920745633
RHOA,0.000871027039643,No,27,0.0016665637923584963
PTEN,0.0008616511890967,Yes,28,0.001728288377260663
H3-3B,0.0008539414553533,No,29,0.0017900129621628296
ALB,0.0008047571235232,Yes,30,0.001851737547064996
CALM3,0.0008013609602364,No,31,0.0019134621319671626
APP,0.0007976531607357,Yes,32,0.001975186716869329
HSP90AA1,0.0007852736271659,No,33,0.0020369113017714956
BRCA1,0.0007535838208241,No,34,0.002098635886673662
NFKB1,0.0007368589196564,Yes,35,0.002160360471575829
H3-4,0.000728807481893,No,36,0.002222085056477995
GNB1,0.0007268793782376,Yes,37,0.0022838096413801616
GSK3B,0.0007202160340706,Yes,38,0.002345534226282328
MDM2,0.0007102388525959,Yes,39,0.002407258811184495
RAB6A,0.0007076970744786,Yes,40,0.0024689833960866614
IL6,0.0006726632852525,No,41,0.002530707980988828
UBB,0.0006716264883702,No,42,0.002592432565890994
TJP1,0.0006679512711983,Yes,43,0.002654157150793161
NCOR1,0.0006639261468438,Yes,44,0.0027158817356953274
GNAQ,0.0006621321069152,Yes,45,0.002777606320597494
PRKACA,0.0006613703645347,No,46,0.0028393309054996606
ESR1,0.0006531731519656,No,47,0.0029010554904018273
CALML5,0.0006530884409982,No,48,0.0029627800753039934
CALML3,0.0006511386805844,No,49,0.00302450466020616
PTK2,0.0006507588152467,Yes,50,0.0030862292451083267
ZNF644,0.0006461740680309,Yes,51,0.0031479538300104933
PRKACB,0.0006448889720475,No,52,0.00320967841491266
PLK1,0.0006429409062523,No,53,0.003271402999814826
GRB2,0.0006318247909481,No,54,0.0033331275847169927
HSP90AB1,0.0006281979363468,No,55,0.0033948521696191593
BCL2,0.0006201583380494,No,56,0.003456576754521326
CALML4,0.0006176454117215,No,57,0.0035183013394234925
INS,0.0006164827453624,No,58,0.003580025924325659
HDAC2,0.0006162708744844,No,59,0.0036417505092278253
PRKACG,0.0006151009856532,No,60,0.003703475094129992
CALML6,0.0006102728988212,No,61,0.0037651996790321585
PRKCA,0.0006023893260741,Yes,62,0.003826924263934325
JUN,0.0005964417347722,No,63,0.0038886488488364917
MAPK3,0.0005963358126471,No,64,0.003950373433738658
TBC1D3,0.0005951074343864,No,65,0.0040120980186408245
TBC1D3B,0.0005951074343864,No,66,0.004073822603542991
RBX1,0.0005907113427702,No,67,0.004135547188445158
FOXO1,0.0005894488180205,Yes,68,0.004197271773347324
CREBBP,0.0005820774267363,No,69,0.004258996358249491
PRKN,0.0005792854718782,Yes,70,0.004320720943151658
H3-5,0.0005752480861028,No,71,0.004382445528053824
CUL3,0.000568600773744,Yes,72,0.00444417011295599
CDK1,0.0005668755066585,No,73,0.0045058946978581566
H3-2,0.0005651854485025,No,74,0.004567619282760323
RALGAPB,0.0005601529658002,No,75,0.00462934386766249
RAD51,0.0005519165385575,No,76,0.004691068452564656
RUNX1,0.0005505254741102,No,77,0.004752793037466823
MAPK1,0.0005491695009293,No,78,0.00481451762236899
HNRNPC,0.0005484582294823,Yes,79,0.004876242207271156
MED1,0.0005449596432138,No,80,0.004937966792173323
CD4,0.0005438895089722,No,81,0.0049996913770754894
APOB,0.0005434130882385,Yes,82,0.005061415961977656
YWHAZ,0.000542034587432,Yes,83,0.005123140546879823
RAB1A,0.0005388572548077,Yes,84,0.005184865131781988
APOA1,0.0005354727298261,Yes,85,0.005246589716684155
CASP3,0.0005301881011544,No,86,0.005308314301586322
CCNY,0.0005252838542849,Yes,87,0.005370038886488488
PPP1CB,0.0005244106701715,Yes,88,0.005431763471390655
KRAS,0.0005192962410536,No,89,0.0054934880562928215
IL1B,0.0005192633275973,No,90,0.005555212641194988
CTNND1,0.0005180660561299,Yes,91,0.005616937226097155
CDC73,0.0005171862159907,Yes,92,0.005678661810999321
CD44,0.0005152486211773,No,93,0.005740386395901488
C3,0.0005125643944671,Yes,94,0.0058021109808036545
NIPBL,0.0005118446543866,Yes,95,0.00586383556570582
VTI1A,0.0005080919962013,Yes,96,0.005925560150607987
DENND1A,0.0005074875043713,Yes,97,0.0059872847355101535
RANBP2,0.0005035409780354,Yes,98,0.00604900932041232
SKP1,0.0005018692331765,No,99,0.006110733905314487
ERBB2,0.000501436730987,No,100,0.006172458490216653
JAK1,0.0005011173172433,Yes,101,0.00623418307511882
EZH2,0.0004990753499425,No,102,0.0062959076600209865
GAPDH,0.0004967939628893,No,103,0.006357632244923153
BRAF,0.0004908870957152,Yes,104,0.00641935682982532
PLCB1,0.0004890773052357,Yes,105,0.006481081414727486
SMAD2,0.000489000385917,No,106,0.006542805999629652
SMAD3,0.0004888578660065,No,107,0.006604530584531819
PRKDC,0.0004871428696207,Yes,108,0.006666255169433985
SETD2,0.0004848489206156,Yes,109,0.006727979754336152
POLR2A,0.0004847277715775,No,110,0.0067897043392383186
DLG4,0.0004842467409772,No,111,0.006851428924140485
ITGB1,0.0004818477780078,No,112,0.006913153509042652
CCNA2,0.0004817979439954,No,113,0.006974878093944818
IFNG,0.0004795132971663,No,114,0.007036602678846985
PIK3R1,0.0004790650392816,No,115,0.007098327263749152
PIK3CA,0.0004779946656972,No,116,0.007160051848651318
ITSN1,0.0004761628004706,Yes,117,0.007221776433553484
NR3C1,0.0004748986077335,Yes,118,0.007283501018455651
H2BC21,0.0004730849869896,No,119,0.007345225603357817
CCNH,0.0004728566150083,Yes,120,0.007406950188259984
ARF1,0.0004717722873935,No,121,0.00746867477316215
CUL1,0.0004717595988174,No,122,0.007530399358064317
KDM6A,0.000470458536672,Yes,123,0.007592123942966484
CDH1,0.0004698226119962,No,124,0.00765384852786865
PUM1,0.0004696938771724,Yes,125,0.007715573112770817
SERPINA1,0.0004689991696783,Yes,126,0.0077772976976729835
A2M,0.0004685372503171,Yes,127,0.00783902228257515
RAB11A,0.0004656273913544,No,128,0.007900746867477316
HSPA4,0.0004639459755827,No,129,0.007962471452379483
NEDD4,0.0004632077225397,Yes,130,0.008024196037281649
CLINT1,0.000462049276327,Yes,131,0.008085920622183817
LEO1,0.0004612219468907,No,132,0.008147645207085982
FGA,0.0004584764004902,Yes,133,0.008209369791988148
GPD2,0.0004578617773673,No,134,0.008271094376890315
H3C14,0.0004576705185185,No,135,0.008332818961792481
CREB1,0.00045723991199,No,136,0.008394543546694649
STAT1,0.000456184610865,No,137,0.008456268131596814
ATM,0.0004539206789311,No,138,0.008517992716498982
NCOA3,0.0004533558731801,Yes,139,0.008579717301401148
H2AZ1,0.0004499942812786,No,140,0.008641441886303315
H3C15,0.0004489948650811,No,141,0.008703166471205481
TBCK,0.0004462971148869,Yes,142,0.008764891056107648
FAU,0.0004431371634404,No,143,0.008826615641009814
HP,0.0004420670334242,Yes,144,0.00888834022591198
NFIB,0.0004409972207404,Yes,145,0.008950064810814147
PPP2R2A,0.0004401037605733,Yes,146,0.009011789395716313
NUP98,0.0004398401491968,Yes,147,0.00907351398061848
CDK2,0.0004390438823247,No,148,0.009135238565520646
ATG7,0.0004387786489788,Yes,149,0.009196963150422814
MAPK8,0.0004382386776503,No,150,0.00925868773532498
FBXW7,0.000438013607043,Yes,151,0.009320412320227147
SOX2,0.0004376720684091,No,152,0.009382136905129313
SMARCA4,0.0004374963988922,No,153,0.00944386149003148
WDR5,0.0004365271648151,No,154,0.009505586074933646
EGF,0.0004362467733736,No,155,0.009567310659835813
ENPP1,0.000436045037372,No,156,0.00962903524473798
PATJ,0.0004358269428258,Yes,157,0.009690759829640145
HIF1A,0.0004358143386464,No,158,0.009752484414542312
CD8A,0.0004347496433763,No,159,0.009814208999444478
ACTG1,0.0004346481060373,No,160,0.009875933584346646
C12orf4,0.0004334240743763,No,161,0.009937658169248811
PARD3,0.0004331643343584,Yes,162,0.009999382754150979
RELA,0.0004327714468823,No,163,0.010061107339053145
MTOR,0.0004300154770356,No,164,0.010122831923955312
DDB1,0.0004279908787435,No,165,0.010184556508857478
HRAS,0.0004270274790561,No,166,0.010246281093759645
DLG1,0.0004268833470188,Yes,167,0.010308005678661811
RAB10,0.0004250713695389,No,168,0.010369730263563977
PRKCE,0.0004241306203654,Yes,169,0.010431454848466144
PRKAG2,0.0004205732403617,Yes,170,0.01049317943336831
AKT2,0.0004204903929491,No,171,0.010554904018270478
INSR,0.0004204056148696,Yes,172,0.010616628603172643
IL10,0.0004193777639556,No,173,0.01067835318807481
ITGA1,0.0004188921790673,Yes,174,0.010740077772976976
EHMT2,0.0004182437833061,No,175,0.010801802357879144
PPP2CA,0.0004182280876217,No,176,0.01086352694278131
H4C2,0.0004181342145509,No,177,0.010925251527683477
H4C13,0.0004166733760493,No,178,0.010986976112585643
H4C5,0.000416575661744,No,179,0.011048700697487809
H4C4,0.000416575661744,No,180,0.011110425282389976
H4C11,0.000416575661744,No,181,0.011172149867292142
H4C3,0.0004148992421905,No,182,0.01123387445219431
H4C8,0.0004147922280961,No,183,0.011295599037096475
H4-16,0.0004146983733209,No,184,0.011357323621998643
H4C1,0.0004137478231864,No,185,0.011419048206900808
H4C9,0.0004137478231864,No,186,0.011480772791802976
H4C15,0.0004133313838122,No,187,0.011542497376705142
EXOC4,0.0004132735103021,Yes,188,0.011604221961607309
CAMKMT,0.0004130171737355,Yes,189,0.011665946546509475
KMT2C,0.0004129617628567,Yes,190,0.01172767113141164
NFE2L2,0.000412593082123,Yes,191,0.011789395716313808
RAB7A,0.000412568781691,Yes,192,0.011851120301215974
CASK,0.0004124634332932,Yes,193,0.011912844886118141
PPP3CA,0.000412207262516,Yes,194,0.011974569471020307
H2AC20,0.0004121570750399,No,195,0.012036294055922474
H4C14,0.0004119736864903,No,196,0.01209801864082464
H4C12,0.0004119736864903,No,197,0.012159743225726808
HDAC8,0.0004110693927034,Yes,198,0.012221467810628973
H3C1,0.0004078123848154,No,199,0.012283192395531141
CDC20,0.0004077677004973,No,200,0.012344916980433307
RAC2,0.0004076648230248,No,201,0.012406641565335472
POLR2C,0.0004067873886094,No,202,0.01246836615023764
TLR4,0.000406157949277,No,203,0.012530090735139806
SMURF1,0.0004057295108079,Yes,204,0.012591815320041973
SUCLG2,0.0004055842867072,Yes,205,0.012653539904944139
TGFB1,0.000405380354102,No,206,0.012715264489846306
NF1,0.0004044939842154,Yes,207,0.012776989074748472
AFF1,0.0004041147158086,Yes,208,0.01283871365965064
FGB,0.0004028458715544,Yes,209,0.012900438244552805
POLR2B,0.0004022110950423,No,210,0.012962162829454973
FGG,0.0004018236537781,Yes,211,0.013023887414357138
NCOA2,0.0004013565994524,Yes,212,0.013085611999259304
ROCK1,0.0004000927954093,Yes,213,0.013147336584161472
SIN3A,0.0003999455068628,No,214,0.013209061169063637
CTNNA1,0.000399876675074,Yes,215,0.013270785753965805
NEDD4L,0.0003997952789643,Yes,216,0.01333251033886797
DOCK4,0.0003997548963869,Yes,217,0.013394234923770138
CHD1,0.0003981685831248,Yes,218,0.013455959508672304
SIRT1,0.0003978460378784,No,219,0.013517684093574471
CDK6,0.0003974154874989,Yes,220,0.013579408678476637
UBR5,0.0003971715459166,Yes,221,0.013641133263378805
DDX3X,0.0003971420336815,Yes,222,0.01370285784828097
H2AC18,0.0003966728368122,No,223,0.013764582433183136
