Gene,NP_Score,is_Seed,Rank,P_value
RPS19,0.0029750667881153,Yes,1,6.172458490216653e-05
RPS18,0.0029225191002882,Yes,2,0.00012344916980433306
RPS11,0.0028676730526729,Yes,3,0.0001851737547064996
RPL23A,0.0028107523943286,Yes,4,0.0002468983396086661
RPS9,0.0027898392921418,Yes,5,0.0003086229245108327
RPL23,0.0027572336531195,Yes,6,0.0003703475094129992
RPS23,0.0027423077986116,Yes,7,0.00043207209431516574
RPL4,0.002734322456611,Yes,8,0.0004937966792173322
RPS2,0.0027001140872263,Yes,9,0.0005555212641194987
UBA52,0.0026900712072637,Yes,10,0.0006172458490216654
RPS6,0.0026899939383261,Yes,11,0.0006789704339238319
RPS15,0.0026773355483772,Yes,12,0.0007406950188259984
RPL8,0.0026090201163551,Yes,13,0.000802419603728165
RPS8,0.0025801738638768,Yes,14,0.0008641441886303315
RPS14,0.0025734128128114,Yes,15,0.000925868773532498
RPS7,0.0025681594048002,Yes,16,0.0009875933584346645
RPL9,0.0025549838477528,Yes,17,0.001049317943336831
RPS20,0.0025237744189108,Yes,18,0.0011110425282389975
RPL19,0.0025231087347653,Yes,19,0.001172767113141164
RPL3,0.002504954093156,Yes,20,0.0012344916980433307
RPL13A,0.0025001868023759,Yes,21,0.001296216282945497
RPS17,0.0024976854760952,Yes,22,0.0013579408678476637
RPL15,0.0024867571681863,Yes,23,0.0014196654527498303
RPL18,0.0024861922281519,Yes,24,0.0014813900376519967
RPL31,0.0024807753058966,Yes,25,0.0015431146225541633
RPL18A,0.0024754249086709,Yes,26,0.00160483920745633
RPL6,0.0024702779848661,Yes,27,0.0016665637923584963
RPL21,0.0024451391680273,Yes,28,0.001728288377260663
RPL7,0.0024308185258533,Yes,29,0.0017900129621628296
RPL13,0.0024225090715825,Yes,30,0.001851737547064996
RACK1,0.0024199759752953,Yes,31,0.0019134621319671626
RPL35A,0.0024057751600777,Yes,32,0.001975186716869329
RPL38,0.0024050265160867,Yes,33,0.0020369113017714956
RPL36,0.0024007409515443,Yes,34,0.002098635886673662
RPL26,0.0023950998764094,Yes,35,0.002160360471575829
RPL34,0.002394783801139,Yes,36,0.002222085056477995
RPL17,0.0023902420415364,Yes,37,0.0022838096413801616
RPS21,0.0023833504366467,Yes,38,0.002345534226282328
RPS25,0.0023833392134085,Yes,39,0.002407258811184495
RPS29,0.0023609782401866,Yes,40,0.0024689833960866614
RPS27,0.0023374832859904,Yes,41,0.002530707980988828
RPL37A,0.0023265352385643,Yes,42,0.002592432565890994
RPL7A,0.0023145264288025,Yes,43,0.002654157150793161
RPS12,0.0022960478255427,Yes,44,0.0027158817356953274
RPL29,0.0022877226451885,Yes,45,0.002777606320597494
RPL28,0.0022571196376647,Yes,46,0.0028393309054996606
RPL27A,0.0022497206831209,Yes,47,0.0029010554904018273
EEF2,0.0022027567183757,Yes,48,0.0029627800753039934
RPL10A,0.002198034823784,Yes,49,0.00302450466020616
RPL12,0.0021737803676321,Yes,50,0.0030862292451083267
RPL32,0.0021206401819972,Yes,51,0.0031479538300104933
RPL39,0.0021089480816681,Yes,52,0.00320967841491266
RPL36A,0.0020912876163063,Yes,53,0.003271402999814826
RPLP1,0.0020752890643439,Yes,54,0.0033331275847169927
ACTB,0.001867030298426,Yes,55,0.0033948521696191593
EEF1A1,0.0018549971389553,Yes,56,0.003456576754521326
RPS27A,0.0018297126985514,No,57,0.0035183013394234925
RPS3,0.0018210239451236,No,58,0.003580025924325659
RPL5,0.0018006175454435,No,59,0.0036417505092278253
EEF1G,0.0017642268831429,Yes,60,0.003703475094129992
RPL11,0.0017627368254521,No,61,0.0037651996790321585
FAU,0.0017183291013432,No,62,0.003826924263934325
RPS16,0.0017028064502282,No,63,0.0038886488488364917
RPL35,0.0016406185865286,No,64,0.003950373433738658
RPS3A,0.0016055283931802,No,65,0.0040120980186408245
RPS5,0.0015975676650378,No,66,0.004073822603542991
CST3,0.0015947402722966,Yes,67,0.004135547188445158
RPS28,0.0015622768557203,No,68,0.004197271773347324
RPS24,0.001560032918709,No,69,0.004258996358249491
RPS13,0.0015506380679404,No,70,0.004320720943151658
RPLP0,0.0015480748513677,No,71,0.004382445528053824
B2M,0.0015310484594008,Yes,72,0.00444417011295599
HSPA8,0.0015308055294983,Yes,73,0.0045058946978581566
HLA-A,0.0014845593976139,Yes,74,0.004567619282760323
MRTO4,0.0014833245214892,No,75,0.00462934386766249
RPL41,0.0014669842539178,Yes,76,0.004691068452564656
RPL30,0.0014623899023458,No,77,0.004752793037466823
HLA-C,0.001451336845972,Yes,78,0.00481451762236899
CALR,0.0014223350734843,Yes,79,0.004876242207271156
ACTG1,0.001422228350814,Yes,80,0.004937966792173323
CD74,0.0014190188036666,No,81,0.0049996913770754894
HLA-E,0.0014095185779374,Yes,82,0.005061415961977656
HLA-B,0.0014022356748409,Yes,83,0.005123140546879823
TSC22D3,0.001392170888005,Yes,84,0.005184865131781988
MRPS12,0.0013791380773037,No,85,0.005246589716684155
IMP3,0.001378532989061,No,86,0.005308314301586322
RPS26,0.0013639679355676,No,87,0.005370038886488488
MED1,0.0013391203183947,No,88,0.005431763471390655
RPS4X,0.0013319931659501,No,89,0.0054934880562928215
RPL24,0.0013221172268909,No,90,0.005555212641194988
RPSA,0.0013182027842429,No,91,0.005616937226097155
SAT1,0.0013135882223914,Yes,92,0.005678661810999321
