Gene,NP_Score,is_Seed,Rank,P_value
TP53,0.0017276652130867,No,1,6.172458490216653e-05
EGFR,0.0017225533668209,Yes,2,0.00012344916980433306
ZNF407,0.0014824667496693,Yes,3,0.0001851737547064996
USP32,0.0014824667496693,Yes,4,0.0002468983396086661
CTNNB1,0.0014653340343418,No,5,0.0003086229245108327
ZNF236,0.0013344346587813,No,6,0.0003703475094129992
CDC42,0.0011804028377811,No,7,0.00043207209431516574
SRC,0.0010062145421858,No,8,0.0004937966792173322
RPS27A,0.0009851907472041,No,9,0.0005555212641194987
EP300,0.0009760836864896,No,10,0.0006172458490216654
HDAC1,0.0009606206589051,No,11,0.0006789704339238319
AKT1,0.0009598207091408,No,12,0.0007406950188259984
RHOA,0.0009273648785789,No,13,0.000802419603728165
ACTB,0.0008979029565917,No,14,0.0008641441886303315
MYC,0.0008897253644337,No,15,0.000925868773532498
UBC,0.0008889039245895,No,16,0.0009875933584346645
PTEN,0.0008835511832242,Yes,17,0.001049317943336831
UBA52,0.0008680242322022,No,18,0.0011110425282389975
H3C13,0.0008082299123849,No,19,0.001172767113141164
MAPK1,0.0008006489196042,Yes,20,0.0012344916980433307
GSK3B,0.0007925494431349,Yes,21,0.001296216282945497
APP,0.0007888519598025,Yes,22,0.0013579408678476637
SMAD2,0.0007825829179531,Yes,23,0.0014196654527498303
ALB,0.0007717208711135,Yes,24,0.0014813900376519967
H4C6,0.0007705584409191,No,25,0.0015431146225541633
NFKB1,0.0007672704686004,Yes,26,0.00160483920745633
HSP90AA1,0.0007635677978093,No,27,0.0016665637923584963
TJP1,0.0007625367501468,Yes,28,0.001728288377260663
H3C12,0.0007587053680736,No,29,0.0017900129621628296
STAT1,0.0007573996713172,Yes,30,0.001851737547064996
ITGB1,0.0007545114194532,Yes,31,0.0019134621319671626
BRCA1,0.0007402735553335,No,32,0.001975186716869329
GRB2,0.0007206954226352,No,33,0.0020369113017714956
CALM3,0.0007193119954486,No,34,0.002098635886673662
PTK2,0.000692025917994,Yes,35,0.002160360471575829
NCOR1,0.0006863817223223,Yes,36,0.002222085056477995
TNF,0.0006844548564485,No,37,0.0022838096413801616
VAPA,0.0006832851252947,Yes,38,0.002345534226282328
GNAQ,0.0006825696115856,Yes,39,0.002407258811184495
TBC1D3,0.0006672173293906,No,40,0.0024689833960866614
TBC1D3B,0.0006672173293906,No,41,0.002530707980988828
MAPK8,0.0006521540538443,Yes,42,0.002592432565890994
H3-3B,0.0006513379516808,No,43,0.002654157150793161
SMAD4,0.0006489207428822,Yes,44,0.0027158817356953274
UBB,0.0006488608826354,No,45,0.002777606320597494
HDAC2,0.000645660055892,No,46,0.0028393309054996606
IL6,0.0006446612134544,No,47,0.0029010554904018273
CTNND1,0.0006412188642248,Yes,48,0.0029627800753039934
ESR1,0.000637396298806,No,49,0.00302450466020616
CALML5,0.0006326561718091,No,50,0.0030862292451083267
CALML3,0.0006306534467862,No,51,0.0031479538300104933
FN1,0.0006267104184289,No,52,0.00320967841491266
STAT3,0.0006179845486275,No,53,0.003271402999814826
PLK1,0.0006179725014575,No,54,0.0033331275847169927
PPARGC1A,0.0006162016620169,Yes,55,0.0033948521696191593
BCL2,0.0006078682282451,No,56,0.003456576754521326
INS,0.0006063424283318,No,57,0.0035183013394234925
PRKN,0.000605439038661,Yes,58,0.003580025924325659
CUL3,0.0006051522744669,Yes,59,0.0036417505092278253
CALML4,0.0006018020191456,No,60,0.003703475094129992
HSP90AB1,0.0006007351592852,No,61,0.0037651996790321585
PRKACA,0.000598806415295,No,62,0.003826924263934325
CALML6,0.000592924025977,No,63,0.0038886488488364917
ERBB2,0.0005916354210339,No,64,0.003950373433738658
PPP1CB,0.0005899780890783,Yes,65,0.0040120980186408245
PRKACB,0.0005822953736533,No,66,0.004073822603542991
H3-4,0.0005776064251687,No,67,0.004135547188445158
MAPK3,0.000560464957947,No,68,0.004197271773347324
CDK1,0.0005601076337913,No,69,0.004258996358249491
MED1,0.0005561735112206,No,70,0.004320720943151658
FOXO3,0.0005551083839098,Yes,71,0.004382445528053824
XBP1,0.0005528722892373,Yes,72,0.00444417011295599
RBX1,0.000550589334332,No,73,0.0045058946978581566
CD4,0.0005475252216284,No,74,0.004567619282760323
POLR2A,0.0005461131956208,No,75,0.00462934386766249
RAD51,0.0005449852703664,No,76,0.004691068452564656
AFDN,0.0005408361302158,Yes,77,0.004752793037466823
DYRK1A,0.0005407539741076,Yes,78,0.00481451762236899
KMT2A,0.0005383499154778,Yes,79,0.004876242207271156
JUN,0.0005339505029135,No,80,0.004937966792173323
FBXW11,0.0005335547296583,Yes,81,0.0049996913770754894
CREBBP,0.0005308695004751,No,82,0.005061415961977656
XRCC5,0.0005269542692757,Yes,83,0.005123140546879823
CDH1,0.0005231487216739,No,84,0.005184865131781988
UBE2D3,0.0005197135841801,Yes,85,0.005246589716684155
UBE3A,0.000518483346063,Yes,86,0.005308314301586322
FUS,0.0005166366130358,Yes,87,0.005370038886488488
PRKACG,0.000514763807372,No,88,0.005431763471390655
NEDD4L,0.0005106583737671,Yes,89,0.0054934880562928215
BRAF,0.0005093334309087,Yes,90,0.005555212641194988
CDC73,0.000507563590382,Yes,91,0.005616937226097155
IL1B,0.0005071043692514,No,92,0.005678661810999321
QKI,0.000505578775129,Yes,93,0.005740386395901488
KRAS,0.0005012967592573,No,94,0.0058021109808036545
TBCK,0.0005005088945103,Yes,95,0.00586383556570582
APOA1,0.0004999914447283,Yes,96,0.005925560150607987
CD44,0.0004998173621401,No,97,0.0059872847355101535
PATJ,0.0004988060573216,Yes,98,0.00604900932041232
LRP6,0.0004941755421446,Yes,99,0.006110733905314487
NFIB,0.0004933860825409,Yes,100,0.006172458490216653
CCNH,0.0004917170940406,Yes,101,0.00623418307511882
SNX13,0.000490841160417,Yes,102,0.0062959076600209865
FAU,0.0004907194356949,No,103,0.006357632244923153
PARD3,0.0004881014131896,Yes,104,0.00641935682982532
GAPDH,0.0004862985031949,No,105,0.006481081414727486
C12orf4,0.0004862638969804,No,106,0.006542805999629652
HRAS,0.0004846313019617,No,107,0.006604530584531819
CCDC50,0.0004836998296166,Yes,108,0.006666255169433985
UBR5,0.0004833927284596,Yes,109,0.006727979754336152
ITSN1,0.0004829317388031,Yes,110,0.0067897043392383186
DICER1,0.0004817147773872,Yes,111,0.006851428924140485
PPP2R2A,0.0004809116789523,Yes,112,0.006913153509042652
EZH2,0.0004802108044612,No,113,0.006974878093944818
SMAD3,0.0004772344941905,No,114,0.007036602678846985
MCL1,0.0004771056923779,Yes,115,0.007098327263749152
IFNG,0.0004741592537365,No,116,0.007160051848651318
SKP1,0.0004736544141391,No,117,0.007221776433553484
CLINT1,0.0004732514705441,Yes,118,0.007283501018455651
HSPA4,0.0004729348289779,No,119,0.007345225603357817
CASP3,0.0004651406328738,No,120,0.007406950188259984
NF1,0.0004638859496503,Yes,121,0.00746867477316215
H3-5,0.0004624375123401,No,122,0.007530399358064317
PPP1CC,0.0004622529742898,No,123,0.007592123942966484
ZMYM2,0.0004591777043089,Yes,124,0.00765384852786865
BBOX1,0.0004582408847612,No,125,0.007715573112770817
ITGA1,0.0004579154593601,Yes,126,0.0077772976976729835
TCF7L2,0.0004574063104203,Yes,127,0.00783902228257515
MT1E,0.0004556958159816,Yes,128,0.007900746867477316
AUTS2,0.0004556818536005,Yes,129,0.007962471452379483
PAPOLA,0.0004548944464638,Yes,130,0.008024196037281649
CREB1,0.0004542567394886,No,131,0.008085920622183817
DLG1,0.0004541375283823,Yes,132,0.008147645207085982
H3-2,0.0004535454096828,No,133,0.008209369791988148
SRSF5,0.0004533591381735,Yes,134,0.008271094376890315
CTNNA1,0.0004531492709569,Yes,135,0.008332818961792481
XRN1,0.0004527630312479,Yes,136,0.008394543546694649
EGF,0.0004498520603156,No,137,0.008456268131596814
