Gene,NP_Score,is_Seed,Rank,P_value
RPS27A,0.004858011306702,Yes,1,6.172458490216653e-05
FAU,0.0048180704538887,Yes,2,0.00012344916980433306
RPS3,0.004747811397209,Yes,3,0.0001851737547064996
RPS16,0.0046686455320929,Yes,4,0.0002468983396086661
RPS5,0.0045575404467487,Yes,5,0.0003086229245108327
RPS3A,0.0045397519408252,Yes,6,0.0003703475094129992
RPL35,0.0044988789765096,Yes,7,0.00043207209431516574
RPS13,0.0044862644398483,Yes,8,0.0004937966792173322
RPS28,0.0044779605588214,Yes,9,0.0005555212641194987
RPL27,0.0044762972336457,Yes,10,0.0006172458490216654
RPLP0,0.0044586346365025,Yes,11,0.0006789704339238319
RPL30,0.0042987024188304,Yes,12,0.0007406950188259984
RPS4X,0.0042588067825607,Yes,13,0.000802419603728165
RPSA,0.0042422404685563,Yes,14,0.0008641441886303315
RPS26,0.0042282484658047,Yes,15,0.000925868773532498
RPL24,0.0041431564942524,Yes,16,0.0009875933584346645
RPS15A,0.0041396947286425,Yes,17,0.001049317943336831
RPL14,0.0041148905908604,Yes,18,0.0011110425282389975
RPL10,0.0040367209983937,Yes,19,0.001172767113141164
RPL37,0.0039159133961186,Yes,20,0.0012344916980433307
RPLP2,0.0037633721556649,Yes,21,0.001296216282945497
UBB,0.0037044443469378,Yes,22,0.0013579408678476637
UBC,0.003545755116102,Yes,23,0.0014196654527498303
TPT1,0.0034954040858527,Yes,24,0.0014813900376519967
COX4I1,0.0034445684697932,Yes,25,0.0015431146225541633
GAPDH,0.0034166794375571,Yes,26,0.00160483920745633
NACA,0.0033013830398643,Yes,27,0.0016665637923584963
COX7C,0.0032482416990416,Yes,28,0.001728288377260663
EIF1,0.003222009478159,Yes,29,0.0017900129621628296
ENO1,0.0030776550901001,Yes,30,0.001851737547064996
PFN1,0.0030456551189862,Yes,31,0.0019134621319671626
ATP5F1E,0.0029762980609162,Yes,32,0.001975186716869329
ETFB,0.0029454171909061,Yes,33,0.0020369113017714956
PPIA,0.0029389183011171,Yes,34,0.002098635886673662
PDIA3,0.0029007691305072,Yes,35,0.002160360471575829
CHCHD2,0.0028989307244868,Yes,36,0.002222085056477995
OAZ1,0.0028338154515978,Yes,37,0.0022838096413801616
RPS18,0.0022147139429734,No,38,0.002345534226282328
RPS11,0.0021443456261193,No,39,0.002407258811184495
RPS9,0.002083312366112,No,40,0.0024689833960866614
RPL19,0.0020399740851688,No,41,0.002530707980988828
RPL4,0.0019973268527209,No,42,0.002592432565890994
RPL23A,0.0019898634355816,No,43,0.002654157150793161
RPS23,0.0019860463247727,No,44,0.0027158817356953274
UBA52,0.0019719910355586,No,45,0.002777606320597494
RPL5,0.0019458885549665,No,46,0.0028393309054996606
RPL11,0.0019420018845455,No,47,0.0029010554904018273
