Gene,NP_Score,is_Seed,Rank,P_value
MT-ND1,0.0039834467058806,Yes,1,6.172458490216653e-05
MT-CO3,0.0039832134070396,Yes,2,0.00012344916980433306
GNB1,0.0039807734249494,Yes,3,0.0001851737547064996
MT-CO2,0.0039803998077735,Yes,4,0.0002468983396086661
MT-ND4,0.0039746115624507,Yes,5,0.0003086229245108327
MT-ND3,0.0039717098374215,Yes,6,0.0003703475094129992
MT-ND2,0.0039681607042609,Yes,7,0.00043207209431516574
MT-ND5,0.0039189210970053,Yes,8,0.0004937966792173322
MT-CYB,0.0038143202309823,Yes,9,0.0005555212641194987
MT-ND4L,0.0037835621224346,Yes,10,0.0006172458490216654
MT-ND6,0.0037560079360529,Yes,11,0.0006789704339238319
FHIT,0.0032666625203302,Yes,12,0.0007406950188259984
ST3GAL1,0.0032145852318398,Yes,13,0.000802419603728165
SMAD3,0.0031902270193726,Yes,14,0.0008641441886303315
EXT1,0.003159877889262,Yes,15,0.000925868773532498
GPC6,0.003083182308163,Yes,16,0.0009875933584346645
UBE2D2,0.0030318808696178,Yes,17,0.001049317943336831
PLCG2,0.0030172205464337,Yes,18,0.0011110425282389975
ACACA,0.0029992878549316,Yes,19,0.001172767113141164
TLE1,0.0029854985492614,Yes,20,0.0012344916980433307
MTRNR2L12,0.0029734743766181,Yes,21,0.001296216282945497
H6PD,0.0029628281054499,Yes,22,0.0013579408678476637
CPT1A,0.0029538317721072,Yes,23,0.0014196654527498303
AGPAT3,0.0029310393548045,Yes,24,0.0014813900376519967
SHANK2,0.0029184393018144,Yes,25,0.0015431146225541633
RALGPS2,0.0029070948872946,Yes,26,0.00160483920745633
INSR,0.0028983129614926,Yes,27,0.0016665637923584963
MAP4,0.0028677189703419,Yes,28,0.001728288377260663
MAML3,0.0028667842363793,Yes,29,0.0017900129621628296
AUTS2,0.0028621639642105,Yes,30,0.001851737547064996
SAMHD1,0.002857967543487,Yes,31,0.0019134621319671626
CCND3,0.0028469013684192,Yes,32,0.001975186716869329
EHMT1,0.0028317191504933,Yes,33,0.0020369113017714956
ZFHX3,0.0028004174160653,Yes,34,0.002098635886673662
TXNIP,0.0027960118791229,Yes,35,0.002160360471575829
RERE,0.002767520193896,Yes,36,0.002222085056477995
BTG1,0.0027596710264528,Yes,37,0.0022838096413801616
TP53,0.0016899587544137,No,38,0.002345534226282328
NDUFS3,0.001540662114873,No,39,0.002407258811184495
NDUFS8,0.0015335223606564,No,40,0.0024689833960866614
NDUFS2,0.0014578539912917,No,41,0.002530707980988828
UQCRFS1,0.0014556640083959,No,42,0.002592432565890994
NDUFV1,0.0014468041942602,No,43,0.002654157150793161
NDUFV2,0.0014441650743782,No,44,0.0027158817356953274
CYC1,0.001424083764581,No,45,0.002777606320597494
