Gene,NP_Score,is_Seed,Rank,P_value
MT2A,0.0257577359187224,Yes,1,6.172458490216653e-05
RNF19A,0.022326681323991,Yes,2,0.00012344916980433306
MORF4L2,0.0206627974083024,Yes,3,0.0001851737547064996
EIF5,0.0205190695857879,Yes,4,0.0002468983396086661
TPT1,0.0204512675224552,Yes,5,0.0003086229245108327
MT1E,0.00744679028117,No,6,0.0003703475094129992
MT1H,0.0059278615329007,No,7,0.00043207209431516574
MT1X,0.0059278615329007,No,8,0.0004937966792173322
MT1F,0.0059278615329007,No,9,0.0005555212641194987
MT1G,0.0053452221135957,No,10,0.0006172458490216654
UBE2L3,0.0043662923784118,No,11,0.0006789704339238319
SOD1,0.0043197069118455,No,12,0.0007406950188259984
UBE2L6,0.0042839184672724,No,13,0.000802419603728165
SNCAIP,0.0042625276858687,No,14,0.0008641441886303315
NLRP11,0.0040577289276605,No,15,0.000925868773532498
MT1M,0.0034233506906169,No,16,0.0009875933584346645
CXorf40A,0.003194741438414,No,17,0.001049317943336831
MT1HL1,0.003016719293125,No,18,0.0011110425282389975
APOD,0.0025112082460456,No,19,0.001172767113141164
CRYZL1,0.0025106978138597,No,20,0.0012344916980433307
C1QB,0.0024684283302965,No,21,0.001296216282945497
CSTB,0.0024369847790366,No,22,0.0013579408678476637
CXorf40B,0.0024161901525022,No,23,0.0014196654527498303
MTF2,0.0022300747458264,No,24,0.0014813900376519967
MEFV,0.0021193202886516,No,25,0.0015431146225541633
RPS27A,0.0020400296957898,No,26,0.00160483920745633
UBA52,0.0016629147304218,No,27,0.0016665637923584963
RPS18,0.0015471841212708,No,28,0.001728288377260663
RPS11,0.0015145386236344,No,29,0.0017900129621628296
FAU,0.0014837688293805,No,30,0.001851737547064996
RPS3,0.0014790566476029,No,31,0.0019134621319671626
RPS9,0.0014723336720475,No,32,0.001975186716869329
RPS6,0.001463518387141,No,33,0.0020369113017714956
RPS23,0.0014343574788066,No,34,0.002098635886673662
RPS16,0.0014301524547759,No,35,0.002160360471575829
ACTB,0.0014224193347421,No,36,0.002222085056477995
RPS2,0.001420461756908,No,37,0.0022838096413801616
TP53,0.00139777094901,No,38,0.002345534226282328
RPS15,0.0013842671942124,No,39,0.002407258811184495
RPS5,0.0013758861338728,No,40,0.0024689833960866614
RPS3A,0.0013684595242637,No,41,0.002530707980988828
RPL4,0.0013672248840158,No,42,0.002592432565890994
RPS19,0.0013627205360784,No,43,0.002654157150793161
RPS8,0.0013465901610182,No,44,0.0027158817356953274
RPS7,0.0013405512222909,No,45,0.002777606320597494
RPS28,0.0013361866585352,No,46,0.0028393309054996606
RPS14,0.001335161162406,No,47,0.0029010554904018273
RPS13,0.0013342216452747,No,48,0.0029627800753039934
RPS24,0.0013336820159535,No,49,0.00302450466020616
RPS20,0.0013217860287479,No,50,0.0030862292451083267
RPS17,0.0012853143123591,No,51,0.0031479538300104933
RUVBL1,0.0012490416430792,No,52,0.00320967841491266
MORF4L1,0.0012374481473684,No,53,0.003271402999814826
RACK1,0.0012325345680689,No,54,0.0033331275847169927
RPS25,0.001229718369334,No,55,0.0033948521696191593
RPS21,0.0012127408178905,No,56,0.003456576754521326
WDR5,0.0012126303954994,No,57,0.0035183013394234925
RPSA,0.001207279638577,No,58,0.003580025924325659
RPL5,0.0012024357695534,No,59,0.0036417505092278253
RPS26,0.0012021876968665,No,60,0.003703475094129992
RPS27,0.001201944775849,No,61,0.0037651996790321585
RPS4X,0.0011990681508649,No,62,0.003826924263934325
RUVBL2,0.0011950939259032,No,63,0.0038886488488364917
RPS29,0.0011928320346237,No,64,0.003950373433738658
RPL11,0.0011876662338471,No,65,0.0040120980186408245
RPS12,0.0011814013112372,No,66,0.004073822603542991
TRRAP,0.0011743195849047,No,67,0.004135547188445158
RPL23,0.0011709651917739,No,68,0.004197271773347324
RPL23A,0.0011541810243333,No,69,0.004258996358249491
KAT5,0.0011450350879533,No,70,0.004320720943151658
RPS15A,0.0011346288040306,No,71,0.004382445528053824
CD74,0.0011279975268547,No,72,0.00444417011295599
HDAC1,0.0011193833362764,No,73,0.0045058946978581566
ACTL6A,0.0011152217279581,No,74,0.004567619282760323
RPS10,0.0011006784812232,No,75,0.00462934386766249
EEF2,0.0010926604181672,No,76,0.004691068452564656
HSFX4,0.0010872898918685,No,77,0.004752793037466823
RPL35,0.0010844405245556,No,78,0.00481451762236899
RPL8,0.0010821011874819,No,79,0.004876242207271156
RPL13A,0.001065396721286,No,80,0.004937966792173323
RPL9,0.0010576832550809,No,81,0.0049996913770754894
RPLP0,0.0010526287752777,No,82,0.005061415961977656
MED1,0.0010476263465813,No,83,0.005123140546879823
H2AZ1,0.0010458692026929,No,84,0.005184865131781988
EP400,0.0010340311059275,No,85,0.005246589716684155
MRPS12,0.001030002372142,No,86,0.005308314301586322
MRTO4,0.0010254723671384,No,87,0.005370038886488488
RPL3,0.0010250916511227,No,88,0.005431763471390655
H4C6,0.001024764209074,No,89,0.0054934880562928215
