Gene,NP_Score,is_Seed,Rank,P_value
RPS27A,0.0026566615276589,Yes,1,6.172458490216653e-05
RPS18,0.0026139569688794,Yes,2,0.00012344916980433306
RPS3,0.0025777955447892,Yes,3,0.0001851737547064996
RPS11,0.0025435531567984,Yes,4,0.0002468983396086661
FAU,0.0025124759239684,Yes,5,0.0003086229245108327
RPL23A,0.0024928226345344,Yes,6,0.0003703475094129992
UBA52,0.0024881685835779,Yes,7,0.00043207209431516574
RPS23,0.0024345287796763,Yes,8,0.0004937966792173322
RPL4,0.0024299229621428,Yes,9,0.0005555212641194987
RPL23,0.0024270222208009,Yes,10,0.0006172458490216654
RPS16,0.0024242976557842,Yes,11,0.0006789704339238319
RPS2,0.0024080395955596,Yes,12,0.0007406950188259984
RPL19,0.0023389403518593,Yes,13,0.000802419603728165
RPS5,0.002338684867788,Yes,14,0.0008641441886303315
RPL35,0.0023113967521374,Yes,15,0.000925868773532498
RPS14,0.0023049917001619,Yes,16,0.0009875933584346645
RPS8,0.0022930630406308,Yes,17,0.001049317943336831
RPL8,0.0022855268224389,Yes,18,0.0011110425282389975
RPS13,0.0022814145479373,Yes,19,0.001172767113141164
RPS28,0.0022755477526315,Yes,20,0.0012344916980433307
RPLP0,0.0022611827840474,Yes,21,0.001296216282945497
RPS20,0.0022531397096804,Yes,22,0.0013579408678476637
RPL15,0.0021903130242866,Yes,23,0.0014196654527498303
RPL18A,0.0021549033695085,Yes,24,0.0014813900376519967
RPL30,0.0021511985389072,Yes,25,0.0015431146225541633
RPL27,0.0021455072270073,Yes,26,0.00160483920745633
RACK1,0.0021391735297025,Yes,27,0.0016665637923584963
RPL13,0.0021239900317902,Yes,28,0.001728288377260663
RPS4X,0.0021131187294064,Yes,29,0.0017900129621628296
RPL17,0.002111915704499,Yes,30,0.001851737547064996
RPS27,0.0021021173250912,Yes,31,0.0019134621319671626
RPS12,0.0020769006128733,Yes,32,0.001975186716869329
RPL7A,0.0020481476628255,Yes,33,0.0020369113017714956
RPS15A,0.0020388801977642,Yes,34,0.002098635886673662
EEF2,0.0020095277316089,Yes,35,0.002160360471575829
ACTB,0.0019987933633102,Yes,36,0.002222085056477995
RPL10,0.0019659272476891,Yes,37,0.0022838096413801616
HSP90AA1,0.0019269559654239,Yes,38,0.002345534226282328
HSPA5,0.0018774553622195,Yes,39,0.002407258811184495
RPL37,0.0018690870079428,Yes,40,0.0024689833960866614
RPL39,0.0018670348273225,Yes,41,0.002530707980988828
RPLP1,0.0018592609165233,Yes,42,0.002592432565890994
RPL36A,0.0018482427446981,Yes,43,0.002654157150793161
EEF1G,0.0017810142679282,Yes,44,0.0027158817356953274
UBC,0.0017649211722481,Yes,45,0.002777606320597494
RPS19,0.0016727176189522,No,46,0.0028393309054996606
TP53,0.0015757407333129,No,47,0.0029010554904018273
MYL6,0.0015366116444072,Yes,48,0.0029627800753039934
CALR,0.0015225771012014,Yes,49,0.00302450466020616
COX4I1,0.0015074572210965,Yes,50,0.0030862292451083267
MT-ATP6,0.0014824289000605,Yes,51,0.0031479538300104933
ATP5F1B,0.0014718922972058,Yes,52,0.00320967841491266
RPS9,0.0014651840554388,No,53,0.003271402999814826
P4HB,0.0014591289268308,Yes,54,0.0033331275847169927
PDIA3,0.0014339836715019,Yes,55,0.0033948521696191593
ACTG1,0.0014329702135423,Yes,56,0.003456576754521326
RPL5,0.0014271887010094,No,57,0.0035183013394234925
MT-CO1,0.0014220726030053,Yes,58,0.003580025924325659
RPL11,0.0014124068652189,No,59,0.0036417505092278253
RPS6,0.0013978013140261,No,60,0.003703475094129992
EIF1,0.0013961698618944,Yes,61,0.0037651996790321585
RPS15,0.0013601571689737,No,62,0.003826924263934325
PDIA4,0.0013567968830645,Yes,63,0.0038886488488364917
NCL,0.0013527743034168,Yes,64,0.003950373433738658
UQCR11,0.0013392678793114,Yes,65,0.0040120980186408245
PDIA6,0.0013311737533258,Yes,66,0.004073822603542991
SQSTM1,0.0013174524834921,Yes,67,0.004135547188445158
PPIB,0.0013031992008062,Yes,68,0.004197271773347324
RAC1,0.0012979042584349,Yes,69,0.004258996358249491
ATP5MC2,0.0012963075249163,Yes,70,0.004320720943151658
CFL1,0.0012955005573808,Yes,71,0.004382445528053824
RPS3A,0.0012933004673975,No,72,0.00444417011295599
PTGES3,0.001286324198582,Yes,73,0.0045058946978581566
NFKBIA,0.0012821250692924,Yes,74,0.004567619282760323
PFN1,0.0012771944142107,Yes,75,0.00462934386766249
HSPA1A,0.0012750067009043,Yes,76,0.004691068452564656
RPS7,0.0012599347757855,No,77,0.004752793037466823
PRKCA,0.0012559833408138,Yes,78,0.00481451762236899
RPS24,0.0012483429499964,No,79,0.004876242207271156
PPIA,0.0012301697633877,Yes,80,0.004937966792173323
MT-ATP8,0.0012251982556052,Yes,81,0.0049996913770754894
ARF1,0.0012236962979102,Yes,82,0.005061415961977656
PTMA,0.0012188145163718,Yes,83,0.005123140546879823
RPL9,0.0012184580435916,No,84,0.005184865131781988
CYP51A1,0.0012054958226197,Yes,85,0.005246589716684155
RPS17,0.0011944171286246,No,86,0.005308314301586322
DNAJA1,0.0011920990704254,Yes,87,0.005370038886488488
RPL13A,0.001188260037248,No,88,0.005431763471390655
MRTO4,0.0011837408042833,No,89,0.0054934880562928215
RPL3,0.001182484473344,No,90,0.005555212641194988
CEBPD,0.0011748798509299,Yes,91,0.005616937226097155
INSIG1,0.0011704910542416,Yes,92,0.005678661810999321
IL6R,0.0011693851996036,Yes,93,0.005740386395901488
HDGF,0.0011527128192135,Yes,94,0.0058021109808036545
ROBO1,0.0011513336525423,Yes,95,0.00586383556570582
CTH,0.0011464912870029,Yes,96,0.005925560150607987
RPL18,0.0011422038986968,No,97,0.0059872847355101535
RPL7,0.0011421882427345,No,98,0.00604900932041232
RPL31,0.001131369361444,No,99,0.006110733905314487
MED1,0.0011309942690307,No,100,0.006172458490216653
ASL,0.0011288164577103,Yes,101,0.00623418307511882
MRPS12,0.0011258364788299,No,102,0.0062959076600209865
CHCHD2,0.0011241125735798,Yes,103,0.006357632244923153
RPL6,0.0011239920806121,No,104,0.00641935682982532
SLC25A3,0.0011212751278365,Yes,105,0.006481081414727486
CST3,0.0011208222133782,Yes,106,0.006542805999629652
NFIC,0.0011196374248072,Yes,107,0.006604530584531819
JUND,0.0011151760505114,Yes,108,0.006666255169433985
IMP3,0.0011130253466997,No,109,0.006727979754336152
SERF2,0.0011124764668248,Yes,110,0.0067897043392383186
ASPSCR1,0.0011019164722737,Yes,111,0.006851428924140485
RPL26,0.0011012369433542,No,112,0.006913153509042652
RPL21,0.0011010300136898,No,113,0.006974878093944818
OAZ1,0.0010987774286667,Yes,114,0.007036602678846985
RPS25,0.0010964659759556,No,115,0.007098327263749152
ZBTB16,0.0010951104567801,Yes,116,0.007160051848651318
CADPS2,0.001091361676958,Yes,117,0.007221776433553484
HIPK2,0.0010896130001796,Yes,118,0.007283501018455651
RPS29,0.0010892927512158,No,119,0.007345225603357817
RPS21,0.0010859879508382,No,120,0.007406950188259984
MIF,0.0010823572254185,Yes,121,0.00746867477316215
RPS26,0.0010782348998793,No,122,0.007530399358064317
RPSA,0.001077177184256,No,123,0.007592123942966484
RPL35A,0.0010728231430889,No,124,0.00765384852786865
EIF4EBP2,0.0010638315013424,Yes,125,0.007715573112770817
RPL38,0.0010638217331534,No,126,0.0077772976976729835
RPL36,0.0010611346247956,No,127,0.00783902228257515
RPL34,0.0010592739886958,No,128,0.007900746867477316
IFITM2,0.0010590771775612,Yes,129,0.007962471452379483
CD74,0.0010564915127155,No,130,0.008024196037281649
MRPS5,0.0010547651380822,No,131,0.008085920622183817
KLF6,0.0010527116864614,Yes,132,0.008147645207085982
MRPS10,0.0010516683759476,No,133,0.008209369791988148
MRPL3,0.0010335826078534,No,134,0.008271094376890315
MRPS7,0.0010199859698899,No,135,0.008332818961792481
RPL24,0.0010092136944486,No,136,0.008394543546694649
RPL37A,0.0010045842051869,No,137,0.008456268131596814
MRPL13,0.0010012242899806,No,138,0.008517992716498982
MRPL4,0.0009975859107681,No,139,0.008579717301401148
RPL14,0.0009921679858174,No,140,0.008641441886303315
RPL29,0.0009763978117016,No,141,0.008703166471205481
MRPL22,0.0009696044518845,No,142,0.008764891056107648
RPL28,0.0009645471755232,No,143,0.008826615641009814
MRPS11,0.0009636007139555,No,144,0.00888834022591198
RPL27A,0.0009513792051229,No,145,0.008950064810814147
MRPS15,0.0009467332446069,No,146,0.009011789395716313
RPS10,0.0009462191292812,No,147,0.00907351398061848
SEC61A1,0.0009424989797125,No,148,0.009135238565520646
RPL17-C18orf32,0.000939830963954,No,149,0.009196963150422814
RPL3L,0.0009390625589084,No,150,0.00925868773532498
FLT3LG,0.0009390207194328,No,151,0.009320412320227147
RPL26L1,0.0009344798091566,No,152,0.009382136905129313
RPL10A,0.0009295213659596,No,153,0.00944386149003148
MRPL24,0.0009225677450212,No,154,0.009505586074933646
MRPS14,0.0009155727866833,No,155,0.009567310659835813
MRPL2,0.0009101116426982,No,156,0.00962903524473798
MRNIP,0.0009059301038796,No,157,0.009690759829640145
RPL12,0.0009051954026138,No,158,0.009752484414542312
CUL7,0.0008897203415222,No,159,0.009814208999444478
PDCD11,0.0008736577751831,No,160,0.009875933584346646
RPL36AL,0.0008707941403865,No,161,0.009937658169248811
RPL22,0.0008695244148602,No,162,0.009999382754150979
ATP5F1A,0.0008636388191537,No,163,0.010061107339053145
HSP90AB1,0.0008560574286603,No,164,0.010122831923955312
EIF5B,0.0008527426495295,No,165,0.010184556508857478
RPL7L1,0.0008475313804171,No,166,0.010246281093759645
RPL32,0.0008442940769729,No,167,0.010308005678661811
MRPL1,0.0008394620355269,No,168,0.010369730263563977
MRPL17,0.0008391351939739,No,169,0.010431454848466144
RPS27L,0.0008361390381343,No,170,0.01049317943336831
XBP1,0.000835230474421,No,171,0.010554904018270478
TUFM,0.0008304793450491,No,172,0.010616628603172643
RPL10L,0.0008167167419244,No,173,0.01067835318807481
MRPS16,0.0008076399002542,No,174,0.010740077772976976
EGFR,0.0008050835980894,No,175,0.010801802357879144
CCDC105,0.0008006730829549,No,176,0.01086352694278131
EFTUD2,0.0007968659997175,No,177,0.010925251527683477
RSAD1,0.0007940497576985,No,178,0.010986976112585643
EIF2S1,0.0007914347814993,No,179,0.011048700697487809
MRPL36,0.0007906011519436,No,180,0.011110425282389976
RPS10-NUDT3,0.0007883943462304,No,181,0.011172149867292142
EPRS1,0.0007871684048445,No,182,0.01123387445219431
MRPL11,0.0007839128681315,No,183,0.011295599037096475
MRPS6,0.000779928925625,No,184,0.011357323621998643
FANCE,0.0007788554251162,No,185,0.011419048206900808
ATP5F1C,0.0007763063003246,No,186,0.011480772791802976
RPS4Y1,0.0007762851293411,No,187,0.011542497376705142
MRPS2,0.0007671926090744,No,188,0.011604221961607309
NPSR1,0.0007654869639099,No,189,0.011665946546509475
MRPL16,0.0007639920620498,No,190,0.01172767113141164
EP300,0.0007588847979344,No,191,0.011789395716313808
MRPS9,0.0007579601267437,No,192,0.011851120301215974
SNU13,0.0007576124860113,No,193,0.011912844886118141
PA2G4,0.0007562847513361,No,194,0.011974569471020307
RPLP2,0.0007526965871644,No,195,0.012036294055922474
RPS4Y2,0.0007459562797393,No,196,0.01209801864082464
IFI35,0.0007401717002333,No,197,0.012159743225726808
GFM1,0.0007366025089585,No,198,0.012221467810628973
EEF1A1,0.0007355824951631,No,199,0.012283192395531141
RSL24D1,0.0007316381778624,No,200,0.012344916980433307
CXorf66,0.0007314880335791,No,201,0.012406641565335472
MRPL19,0.0007280463318048,No,202,0.01246836615023764
H3BNC9_HUMAN,0.0007257181013383,No,203,0.012530090735139806
NSA2,0.0007248660556648,No,204,0.012591815320041973
MRPL12,0.0007233947461321,No,205,0.012653539904944139
MRPL9,0.0007211097527408,No,206,0.012715264489846306
AKT1,0.0007127815166899,No,207,0.012776989074748472
MRPL21,0.0007093939718187,No,208,0.01283871365965064
HSPA4,0.0007085200784529,No,209,0.012900438244552805
BYSL,0.0007068169877294,No,210,0.012962162829454973
MRPL27,0.0007057584236565,No,211,0.013023887414357138
MTIF2,0.0007021427966367,No,212,0.013085611999259304
WDR31,0.0007000530006008,No,213,0.013147336584161472
UBB,0.0006930195196749,No,214,0.013209061169063637
HSPA8,0.0006922968094842,No,215,0.013270785753965805
GTPBP4,0.0006883437230794,No,216,0.01333251033886797
MRPL32,0.0006849992826024,No,217,0.013394234923770138
POLR2C,0.0006830917181248,No,218,0.013455959508672304
RPL22L1,0.0006798787497387,No,219,0.013517684093574471
MRPL33,0.0006782946496628,No,220,0.013579408678476637
MRPL20,0.0006778520997484,No,221,0.013641133263378805
NHP2,0.0006678514027852,No,222,0.01370285784828097
PES1,0.0006665750482256,No,223,0.013764582433183136
RSL1D1,0.0006656783288023,No,224,0.013826307018085304
HMGN1,0.0006582905929291,No,225,0.01388803160298747
JUN,0.0006563166602858,No,226,0.013949756187889637
EIF5A,0.0006554944516031,No,227,0.014011480772791803
DOCK4,0.0006546227260165,No,228,0.01407320535769397
ABCE1,0.0006520317956894,No,229,0.014134929942596136
CDH1,0.000651481077055,No,230,0.014196654527498303
TEX48,0.0006496139636876,No,231,0.014258379112400469
EIF6,0.000647166982744,No,232,0.014320103697302636
BOP1,0.0006465091329556,No,233,0.014381828282204802
CTNNB1,0.0006458532327376,No,234,0.014443552867106968
VCP,0.0006447190629612,No,235,0.014505277452009135
EIF1AX,0.0006444044413138,No,236,0.014567002036911301
CDC42,0.0006440800076646,No,237,0.014628726621813469
POLR1C,0.0006439597477087,No,238,0.014690451206715634
GAPDH,0.0006422851012378,No,239,0.014752175791617802
NOP58,0.0006414924857816,No,240,0.014813900376519968
POLR1B,0.0006411211280954,No,241,0.014875624961422135
HSPBP1,0.0006395179841634,No,242,0.0149373495463243
EEF1B2,0.0006335256278131,No,243,0.014999074131226468
ARL6IP1,0.0006323734353275,No,244,0.015060798716128634
NOP56,0.0006319405275836,No,245,0.0151225233010308
SRC,0.0006300399145497,No,246,0.015184247885932967
HMGN2,0.0006299322928316,No,247,0.015245972470835133
RSRC1,0.0006268117920429,No,248,0.0153076970557373
SEC61B,0.0006263234084505,No,249,0.015369421640639466
RPL39L,0.000624637887037,No,250,0.015431146225541634
HMGN4,0.0006183417609336,No,251,0.0154928708104438
NFIB,0.0006143869917958,No,252,0.015554595395345967
SRP54,0.0006142644963668,No,253,0.015616319980248133
ATP5PO,0.0006098978176922,No,254,0.0156780445651503
H3BN98_HUMAN,0.0006093182596015,No,255,0.015739769150052464
KRR1,0.000608612739491,No,256,0.01580149373495463
EIF4G1,0.0006084654800919,No,257,0.0158632183198568
RPL36A-HNRNPH2,0.0006083382141991,No,258,0.015924942904758967
POLR2B,0.0006043365925162,No,259,0.01598666748966113
WDR12,0.0006037645144097,No,260,0.016048392074563298
EIF5AL1,0.0006009438161535,No,261,0.016110116659465466
NIFK,0.0005966224782774,No,262,0.016171841244367633
NF1,0.0005938153798874,No,263,0.016233565829269797
FBL,0.0005925256374453,No,264,0.016295290414171965
MYC,0.0005916482992585,No,265,0.016357014999074132
NOC2L,0.0005914289880002,No,266,0.016418739583976296
EIF2S3,0.0005898100315714,No,267,0.016480464168878464
PPP1R26,0.0005881954322356,No,268,0.01654218875378063
EIF1AY,0.0005869469930571,No,269,0.0166039133386828
STAT1,0.0005829848145431,No,270,0.016665637923584962
IL6,0.000582037714489,No,271,0.01672736250848713
EBNA1BP2,0.0005796804047224,No,272,0.016789087093389297
BRIX1,0.0005792851257358,No,273,0.016850811678291465
BMS1,0.0005784474388746,No,274,0.01691253626319363
EIF5A2,0.000576773286162,No,275,0.016974260848095796
SERBP1,0.0005721536926065,No,276,0.017035985432997964
AKNAD1,0.0005701883066729,No,277,0.017097710017900128
RPF2,0.0005698598524588,No,278,0.017159434602802295
HSP90B1,0.000566557289256,No,279,0.017221159187704463
POLR1A,0.0005653089628435,No,280,0.01728288377260663
GNL2,0.0005629216064624,No,281,0.017344608357508794
MRRF,0.0005606929654408,No,282,0.017406332942410962
FTSJ3,0.0005581994766869,No,283,0.01746805752731313
NIP7,0.0005581325845891,No,284,0.017529782112215297
H3C13,0.000553121947868,No,285,0.01759150669711746
EFL1,0.0005525404002875,No,286,0.01765323128201963
TNF,0.0005482481273844,No,287,0.017714955866921796
STAT3,0.000547044640215,No,288,0.01777668045182396
HSPA9,0.0005468332537469,No,289,0.017838405036726127
SIL1,0.0005440556816722,No,290,0.017900129621628295
WDR36,0.0005434063383483,No,291,0.017961854206530462
EIF4A1,0.0005417779194823,No,292,0.018023578791432626
EIF3I,0.0005407076767594,No,293,0.018085303376334794
