Gene,NP_Score,is_Seed,Rank,P_value
MT2A,0.0184780166894682,Yes,1,6.172458490216653e-05
SARAF,0.0167728464576721,Yes,2,0.00012344916980433306
ZFAND6,0.0153815193000274,Yes,3,0.0001851737547064996
LCOR,0.0147770992476593,Yes,4,0.0002468983396086661
HNRNPDL,0.0147504744613085,Yes,5,0.0003086229245108327
ANKH,0.0146059236866342,Yes,6,0.0003703475094129992
PTPRM,0.014443810131784,Yes,7,0.00043207209431516574
ENPP1,0.0074402483126248,No,8,0.0004937966792173322
ALPL,0.0072259321782396,No,9,0.0005555212641194987
CTNNB1,0.0058572209458015,No,10,0.0006172458490216654
MT1E,0.0053550129701458,No,11,0.0006789704339238319
CTNND1,0.0048511295195205,No,12,0.0007406950188259984
CDH17,0.0048348453291527,No,13,0.000802419603728165
ORAI1,0.0047354543125399,No,14,0.0008641441886303315
MT1F,0.0042543978898694,No,15,0.000925868773532498
MT1H,0.0042543978898694,No,16,0.0009875933584346645
MT1X,0.0042543978898694,No,17,0.001049317943336831
PEX6,0.0041781478108982,No,18,0.0011110425282389975
STIM1,0.0039879771778066,No,19,0.001172767113141164
PEX1,0.0039493085437156,No,20,0.0012344916980433307
ZBED3,0.0039199604336108,No,21,0.001296216282945497
MT1G,0.0038361238682696,No,22,0.0013579408678476637
TRAF2,0.0037109601804529,No,23,0.0014196654527498303
STIMATE,0.0036135678538421,No,24,0.0014813900376519967
CRACR2A,0.0032402660440539,No,25,0.0015431146225541633
TRPC1,0.0027744660559399,No,26,0.00160483920745633
MTF2,0.0026993939831926,No,27,0.0016665637923584963
MT1M,0.0024573769331961,No,28,0.001728288377260663
EFHB,0.002426501522637,No,29,0.0017900129621628296
SLC35G1,0.0024143524504004,No,30,0.001851737547064996
CXorf40A,0.0022918317880368,No,31,0.0019134621319671626
MT1HL1,0.002165829623249,No,32,0.001975186716869329
APOD,0.0018194349841156,No,33,0.0020369113017714956
CRYZL1,0.0018042881425496,No,34,0.002098635886673662
C1QB,0.0017842988548739,No,35,0.002160360471575829
CSTB,0.0017541102065743,No,36,0.002222085056477995
EZH2,0.0017406806233603,No,37,0.0022838096413801616
CXorf40B,0.0017333233263111,No,38,0.002345534226282328
RBBP4,0.0016128428688266,No,39,0.002407258811184495
SUZ12,0.0015103778535915,No,40,0.0024689833960866614
ESR1,0.0013354979911224,No,41,0.002530707980988828
EZH1,0.0013318646604845,No,42,0.002592432565890994
AEBP2,0.0013303624987707,No,43,0.002654157150793161
JARID2,0.0013188720742488,No,44,0.0027158817356953274
TP53,0.001304238050188,No,45,0.002777606320597494
PHF19,0.0012991822145109,No,46,0.0028393309054996606
PHF1,0.0012687680294636,No,47,0.0029010554904018273
NLRP5,0.0012420696671306,No,48,0.0029627800753039934
OOEP,0.0012362423593489,No,49,0.00302450466020616
KDM1A,0.0011971922500879,No,50,0.0030862292451083267
EPOP,0.0011816670921732,No,51,0.0031479538300104933
PADI6,0.0011733474656453,No,52,0.00320967841491266
CTBP1,0.0011526256768433,No,53,0.003271402999814826
H3C13,0.0010646525622108,No,54,0.0033331275847169927
CTBP2,0.0010395978251251,No,55,0.0033948521696191593
H3C12,0.0010354733884677,No,56,0.003456576754521326
HDAC6,0.001028081992888,No,57,0.0035183013394234925
EGFR,0.0009939983982863,No,58,0.003580025924325659
PEX5,0.0009580940622134,No,59,0.0036417505092278253
H3-3B,0.0009502365978293,No,60,0.003703475094129992
NRIP1,0.00094109635108,No,61,0.0037651996790321585
CALM3,0.0009378622798103,No,62,0.003826924263934325
PEX13,0.0009325574364515,No,63,0.0038886488488364917
AXIN1,0.0009261963826369,No,64,0.003950373433738658
MYC,0.000888511880718,No,65,0.0040120980186408245
PEX3,0.0008688433415705,No,66,0.004073822603542991
PEX19,0.0008669725729264,No,67,0.004135547188445158
PEX7,0.0008618979853556,No,68,0.004197271773347324
PEX2,0.0008411134275025,No,69,0.004258996358249491
SRC,0.0008393844769947,No,70,0.004320720943151658
PEX14,0.0008347612708584,No,71,0.004382445528053824
HNRNPC,0.0008318245458082,No,72,0.00444417011295599
PEX10,0.0008195530917094,No,73,0.0045058946978581566
PEX16,0.0008165084335524,No,74,0.004567619282760323
MUSTN1,0.0008130527705345,No,75,0.00462934386766249
PEX12,0.0008127199778051,No,76,0.004691068452564656
SRSF1,0.0007979192130242,No,77,0.004752793037466823
HSFX4,0.0007799940876905,No,78,0.00481451762236899
ABCD3,0.0007602340024063,No,79,0.004876242207271156
HNRNPA1,0.0007556542001425,No,80,0.004937966792173323
CALML5,0.0007549345829387,No,81,0.0049996913770754894
HDAC1,0.0007543605125966,No,82,0.005061415961977656
CALML3,0.0007532625269819,No,83,0.005123140546879823
PEX5L,0.0007518678437158,No,84,0.005184865131781988
AKT1,0.0007512277076673,No,85,0.005246589716684155
EP300,0.000740682812951,No,86,0.005308314301586322
PEX26,0.000736991076754,No,87,0.005370038886488488
HNRNPK,0.0007307848869171,No,88,0.005431763471390655
CALML4,0.0007254113370349,No,89,0.0054934880562928215
ACTB,0.0007233268052947,No,90,0.005555212641194988
CALML6,0.0007193388620879,No,91,0.005616937226097155
PTBP1,0.0007181396254731,No,92,0.005678661810999321
H4C6,0.0007171159519455,No,93,0.005740386395901488
HNRNPA2B1,0.0007169209421624,No,94,0.0058021109808036545
RPS27A,0.0007148982521031,No,95,0.00586383556570582
RBBP7,0.0007079002443616,No,96,0.005925560150607987
H3-4,0.0006925554291913,No,97,0.0059872847355101535
ALB,0.0006890477153098,No,98,0.00604900932041232
U2AF2,0.0006849682792434,No,99,0.006110733905314487
CDH1,0.0006808886647462,No,100,0.006172458490216653
ELAVL1,0.0006752316535604,No,101,0.00623418307511882
DYNC1LI1,0.0006716206618812,No,102,0.0062959076600209865
DHX9,0.0006712889855104,No,103,0.006357632244923153
PKM,0.0006559788692982,No,104,0.00641935682982532
SRSF3,0.0006528456018266,No,105,0.006481081414727486
HNRNPH1,0.0006487312754586,No,106,0.006542805999629652
PRKACA,0.0006473753615246,No,107,0.006604530584531819
NT5E,0.0006406108145091,No,108,0.006666255169433985
HDAC2,0.0006386950813999,No,109,0.006727979754336152
HNRNPM,0.0006385837096172,No,110,0.0067897043392383186
CDC42,0.0006336565383989,No,111,0.006851428924140485
TARDBP,0.0006334253773979,No,112,0.006913153509042652
PRKACB,0.0006321668071115,No,113,0.006974878093944818
MT3,0.000630825122207,No,114,0.007036602678846985
UBA52,0.0006274827575416,No,115,0.007098327263749152
TNF,0.0006270430739968,No,116,0.007160051848651318
KHDC3L,0.0006267183297264,No,117,0.007221776433553484
UBC,0.0006175217098168,No,118,0.007283501018455651
SNRNP70,0.0006144222189289,No,119,0.007345225603357817
