Gene,NP_Score,is_Seed,Rank,P_value
RPS27A,0.0095936292329208,Yes,1,6.172458490216653e-05
ACTB,0.009511594401907,Yes,2,0.00012344916980433306
RPS2,0.0094164323135902,Yes,3,0.0001851737547064996
RPL13A,0.0092674949443199,Yes,4,0.0002468983396086661
RPL34,0.0091032880406961,Yes,5,0.0003086229245108327
RPL37A,0.009037222601653,Yes,6,0.0003703475094129992
RPL27A,0.0089393717615944,Yes,7,0.00043207209431516574
B2M,0.0089273015751938,Yes,8,0.0004937966792173322
HLA-E,0.0088600183874735,Yes,9,0.0005555212641194987
HLA-B,0.0087708539792709,Yes,10,0.0006172458490216654
RPLP1,0.008737628768742,Yes,11,0.0006789704339238319
RPLP2,0.0086951674119725,Yes,12,0.0007406950188259984
TMSB4X,0.0079118993893824,Yes,13,0.000802419603728165
RPL5,0.0019297633272846,No,14,0.0008641441886303315
RPS18,0.0018925512469741,No,15,0.000925868773532498
CD74,0.0018764364843275,No,16,0.0009875933584346645
RPS11,0.0018630383674835,No,17,0.001049317943336831
RPS9,0.0018065384282147,No,18,0.0011110425282389975
UBA52,0.0017807596034102,No,19,0.001172767113141164
RPL23,0.0017775763002431,No,20,0.0012344916980433307
RPL11,0.001776701953481,No,21,0.001296216282945497
RPL23A,0.0017660744359699,No,22,0.0013579408678476637
RPL4,0.0017602522395208,No,23,0.0014196654527498303
RPS3,0.0017502066446821,No,24,0.0014813900376519967
RPS23,0.0017453303228698,No,25,0.0015431146225541633
FAU,0.0017375723309255,No,26,0.00160483920745633
RPS16,0.0017341111973282,No,27,0.0016665637923584963
RPS6,0.0017164261683369,No,28,0.001728288377260663
RPS15,0.0016659651822957,No,29,0.0017900129621628296
RPL35,0.0016595226344106,No,30,0.001851737547064996
RPLP0,0.0016539882328252,No,31,0.0019134621319671626
RPS3A,0.0016285512105916,No,32,0.001975186716869329
RPL8,0.0016276057751503,No,33,0.0020369113017714956
RPS19,0.001626386093804,No,34,0.002098635886673662
RPS5,0.0016122807845692,No,35,0.002160360471575829
RPS7,0.0015970897913438,No,36,0.002222085056477995
RPS8,0.0015943725472564,No,37,0.0022838096413801616
RPS24,0.0015847455550625,No,38,0.002345534226282328
RPS28,0.0015841735861083,No,39,0.002407258811184495
RPS14,0.0015729404245511,No,40,0.0024689833960866614
RPL9,0.0015669922593198,No,41,0.002530707980988828
RPS13,0.0015573654974509,No,42,0.002592432565890994
RPL19,0.0015351477490356,No,43,0.002654157150793161
RPS20,0.0015291626153575,No,44,0.0027158817356953274
RPS17,0.0015178665266106,No,45,0.002777606320597494
RPL3,0.0015104154921583,No,46,0.0028393309054996606
RPL18,0.001507123238737,No,47,0.0029010554904018273
MRTO4,0.0015036899627714,No,48,0.0029627800753039934
